# Scramble Extremes — pair / cross_pair / OR / bin 7 (2nd-smallest)
# Population in this bin: 240661
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

324641,B2 D' L2 D B2 F2 U L2 U L2 U L2 U' R' D B U L F' R' D' B' R ,O
382339,L2 D B2 R2 U2 F2 L2 D2 U' L2 U' F2 U' F' R U' L' B2 D' B F' U2 L ,O
356341,D F2 D B2 F2 L2 B2 F2 U' L2 D2 F2 R2 U B' U L' F' D R2 U R B' L' ,O
1806,D' F2 D B2 R2 U' B2 U2 F2 D B2 U F2 L2 U2 B' R' U2 F2 D F' U' L' B' R ,O
522584,B2 U R2 U' L2 U' L2 U' B2 D L2 U2 R' B F2 D F' L' U' R' B' U ,R
912755,U2 L2 F2 U' B2 U R2 D' L2 F2 D' R2 L2 B2 U' F' L' D' R' B' U F' D2 U2 R ,O
638588,L2 U' R2 B2 D' R2 D' R2 F2 U2 R2 U B2 L' F U' B' R2 D' R L' U2 B' ,O
719078,U B2 U R2 B2 D' R2 L2 U2 F2 U' B' L' U' R' F' D B F2 L U ,R
885780,R2 D' F2 D U2 L2 D R2 U' F2 L2 U2 L2 B' R2 L U' F' R D B F' L' ,O
553790,U' B2 L2 D F2 L2 F2 U R2 U L2 U2 L2 B' L' F' R2 L2 U R D F' L' U' ,R
417231,F2 L2 B2 D2 L2 U B2 D F2 D2 R2 U' F2 D R' F L B2 F2 U' B' D' L F ,O
382782,R2 B2 R2 L2 U' R2 U2 F2 D F2 D B2 R2 D2 U' B' R' F' U' L' D R2 D2 F R' ,O
632497,B2 U' L2 B2 U B2 R2 D2 B2 U' B2 U2 B2 U2 L' F' U R2 F R' B' D F' D2 L' ,O
51059,U L2 U2 B2 L2 U B2 F2 R2 B2 U' F2 U2 B' R' L' U B2 R2 U B' F' R' ,O
641173,U2 F2 R2 U R2 F2 U' R2 D2 L2 F2 U' R2 U' F' D L D' R D B' U' F' R' ,R
643795,U B2 D L2 D B2 F2 D2 F2 R2 L2 U B2 L2 U' B' D' B2 L F' U R' D L2 F' L' ,R
