# Scramble Extremes — pair / xcross_pair / BGWY / bin 10 (max)
# Population in this bin: 174281
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

792538,B2 D2 B2 L2 F2 L2 U R2 B2 U B2 U L2 D B' L' U' R L2 B2 F U' B' L' ,B
1027370,U2 L2 D' F2 D L2 B2 F2 U' L2 D B2 R2 U2 F' L' B' U2 R2 D R' U' F' L' ,B
747042,F2 U' R2 F2 U' F2 D2 R2 U2 L2 B2 L2 F' R B' F2 D2 U' R D F' L' ,B
667010,L2 B2 F2 U F2 U' L2 F2 U' B2 R2 U R2 D U' B' D2 L' U' R2 B' D' R' F L ,B
990999,U' L2 F2 U' L2 U2 F2 D F2 U B2 L2 D U' F' L' D R B' R2 U F2 L' F' ,B
496744,R2 F2 U2 B2 D' F2 U' B2 D L2 U2 B2 F2 L' F U2 B U' R' D F' D2 B' L ,B
825281,U B2 R2 D' F2 U B2 D' R2 U L2 U L2 D' F' D' R B D' B2 U' L' F R ,B
198802,U R2 F2 D R2 B2 U B2 F2 L2 U' B2 D' B' R' B2 D F U F2 R' B L' U ,B
559941,L2 D2 F2 D B2 R2 U2 F2 R2 D' F2 L2 U2 L2 U' L B F2 U F' R' D' L' B' U ,B
216302,F2 L2 U L2 U R2 L2 B2 D' F2 L2 U L' B' R F2 U' F' D' B2 R B' ,B
578863,U' F2 U F2 R2 L2 D L2 B2 L2 F2 D2 R2 U' R' B' D U F R' L' B' U' F2 R ,B
840512,D R2 U2 F2 R2 F2 U' F2 U L2 D' R2 D F2 L' B' R F2 U' F' D' B2 R B' U ,B
350355,D' B2 U' L2 D L2 F2 D L2 U F2 U' L' B D' F' R2 U' R L' D2 F' ,B
580975,D R2 B2 R2 U' B2 D' L2 B2 D R2 U' L' B L2 U' R' D' R2 B L' F U' ,B
259551,L2 U' B2 R2 D2 L2 U' R2 F2 D R2 D' R' D B' D F L' U' R' B' L' ,B
1150425,B2 U B2 U F2 U F2 D2 R2 L2 D F2 R2 U' F' R' L2 D B L' U' B F' R' ,B
857521,D L2 D2 L2 U F2 D L2 F2 U' R2 U F2 U2 F' L' D L2 U L2 B R' F' U' L' ,B
1000076,R2 U F2 R2 U R2 U2 F2 U' R2 U B2 L2 U' L' B L2 U' R' D' R2 B L' F' U' ,B
1126587,F2 L2 D2 F2 D2 B2 L2 D' B2 R2 D' L2 B2 L2 B' R L2 U L' F' D' B' R' ,B
1131445,R2 D2 B2 D' L2 B2 L2 F2 L2 U' F2 U L2 U' L' B R' D' F' U' L U2 B' ,B
618750,L2 D R2 L2 B2 D B2 U' F2 L2 F2 R2 D' R2 F' D2 R U B L' F' D' R' U F' ,B
1062383,L2 U R2 U' B2 U' R2 D F2 U R2 U B2 D L' F' R B2 D' B' U' F2 R F U ,B
871458,R2 U B2 U' L2 D2 R2 B2 U' R2 U L2 U F2 U2 R' F' D' R D2 L B U' F D2 L' ,B
850074,U B2 R2 D2 B2 L2 U R2 D' L2 U2 F2 D' L' B L2 U' R' D' R2 B L' F U2 ,B
1015114,R2 B2 L2 D R2 U F2 U' B2 U' F2 D' L2 U2 R' D F' L' D L2 U B R' F' ,B
754272,D L2 D' B2 D' L2 U B2 U' R2 D' B2 U' L' B' U' F' U R D F2 R2 F L' ,B
359179,L2 D' B2 D' B2 U F2 U' L2 U2 B2 L2 U2 B' R' F' U' L' D L2 U2 B' R' ,B
610586,R2 B2 D R2 B2 D L2 U L2 U2 B2 D' F2 R2 U2 B' L B2 D' F' U' F2 L B' R ,B
714573,U' F2 U' L2 D F2 U' L2 F2 U F2 L2 D L2 R' B' D U F R' L' B' U' F2 R' ,B
668364,U' L2 D F2 D L2 D' R2 D L2 D L2 D B2 U' B' R F' D L' D2 U' B' F2 L' ,B
858288,F2 R2 F2 L2 U B2 D' L2 B2 U' R2 D' B2 U2 R2 L' U2 B D R F' L' U' B' D L' ,B
