# Scramble Extremes — pair / xcross_pair / ORWY / bin 9 (3rd-smallest)
# Population in this bin: 1057660
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

652242,R2 D' R2 D B2 D' L2 B2 U' R2 B2 D2 B2 L' B' F2 D' F R U L B' ,R
1238563,F2 L2 B2 L2 U' L2 U2 L2 F2 D' L2 U' B' R' B2 D F U R' B L' U ,O
111002,U' R2 U2 R2 L2 F2 U L2 D B2 U' L' D' F' R' B U L' F2 U2 F' ,O
678609,F2 U B2 R2 F2 L2 F2 D2 U2 L2 U' F2 U' B' L' D' F' U F2 D2 R' B' L' U' ,O
1118550,L2 F2 D2 L2 U' R2 U2 B2 U B2 D' U' L' U2 B' D U2 R U' L2 B' L' F' ,R
800308,L2 F2 L2 U' L2 D' R2 U2 F2 U2 F2 L2 U2 L' U2 F D B2 L U B R' F' ,O
865712,D' B2 U B2 L2 U R2 F2 U F2 L2 F2 D2 B' L D' L2 U' L2 F' R B U L U' ,O
1260905,B2 L2 B2 D' B2 R2 D' B2 F2 L2 D' U L2 R' B' D2 L2 U L' D' F' R' B' ,O
1116108,B2 R2 U2 B2 U' R2 L2 F2 L2 U F2 R' F' R2 D L U L2 F' R B' U2 ,O
438283,R2 D' L2 U R2 D R2 U' B2 U B2 L2 D' L2 F' R D' B' U' F2 R F L ,O
415080,U' L2 U L2 D2 R2 U' R2 U' B2 F2 L2 B2 D2 L' B' F2 D' F R U L B' ,R
377322,R2 U' F2 U2 R2 D' B2 U2 R2 B2 L2 F2 U' R2 U' R' B2 F' D' B L' U R L2 F ,O
785463,D' R2 U' L2 U' F2 D' B2 U R2 D' R2 B' R U' R2 D' F L B U' R ,O
1173074,R2 U' R2 D2 B2 U R2 U F2 U' B2 U R2 F2 U2 R' U' F U' L' B R D F' U L' ,O
586871,U' F2 D R2 F2 D' R2 U R2 D' R2 U B2 U2 F' L' U2 B2 D B' U' R' F' L' ,R
1092433,U B2 R2 D' L2 F2 R2 B2 U' B2 U L2 U' R2 U B' U2 L F R' D L2 B' U2 F R' ,O
49413,R2 D B2 D F2 L2 B2 L2 U2 F2 D F2 U R2 U' F' R D' R2 U' B L F D' R ,O
1245219,U' L2 D' R2 B2 U2 B2 L2 D F2 D R2 D' F' R F2 D' B' U' R F' L' F2 U' ,O
1021047,R2 D B2 U' L2 U R2 U2 B2 U' B2 F2 U' R2 U R' B L' F2 U F D B2 L' B' U2 ,R
902099,U2 R2 D L2 F2 D R2 B2 D F2 U' R2 U R2 B' R2 U2 L D B U R F' L' U' ,O
230544,R2 U2 B2 D F2 U' L2 U B2 R2 F2 U' F2 U2 B' R2 L' U' R F D B L' U2 ,O
394241,R2 U B2 R2 U' F2 U L2 D2 U R2 U' R' B L U2 F D B U' L F' ,O
542785,D2 L2 D' F2 U' L2 U R2 D' F2 R2 B2 F2 U2 L' B R' F2 D F U B2 R' B' U2 ,O
172573,B2 U B2 R2 B2 R2 D R2 D' B2 D' F2 U2 L2 U2 B' D2 R L' U L2 B D F' R ,O
893939,F2 R2 D' B2 U2 R2 D F2 L2 U B2 L2 U R2 F' L D' B U F D2 L B R' ,O
931091,U' F2 D' B2 L2 B2 F2 D2 L2 D' B2 L2 U2 F' R' B D L U F' U2 R U ,O
476243,U2 R2 F2 D' R2 F2 D' R2 L2 D' F2 R2 U L2 R' B' U' B2 F R2 L U' R' B' ,O
674537,B2 F2 D' R2 D' B2 U' L2 D' F2 U L' F L2 D' R' U' R2 F L' B' U ,R
434141,R2 U B2 R2 F2 L2 D' B2 D L2 U2 B2 L' B F2 U F' R' D' L' B' U ,R
1079237,U L2 F2 L2 D' R2 D' B2 U2 B2 L2 U R2 U' R' B D F L U' R' L2 B' U ,R
391853,U' L2 D B2 L2 D B2 L2 D' L2 D F2 U' R2 U F' L B' F2 D' U2 L U F' R' U' ,O
878899,F2 D F2 D B2 U' L2 D' B2 R2 B2 U2 L2 D F' U' R U' L' B D F R B' ,O
1112639,D B2 R2 D' L2 U' R2 D B2 D F2 R2 B2 F' R B' L2 U L D R2 B' R' U ,O
479992,L2 U2 B2 U' L2 D' L2 D R2 U F2 L2 B2 R2 B' L' F' D2 R2 U R' D' B' L ,O
1266846,L2 D B2 U' F2 D2 B2 R2 D' F2 U' B2 D2 R2 F' R B2 F2 D' B U' R F' L' ,O
371670,D F2 D' B2 R2 D2 F2 L2 F2 D L2 F2 L' U F' R' D B2 U B L' F' ,O
894313,R2 L2 D2 B2 L2 U' R2 U' L2 D R2 U L2 B' L' U' R F2 R2 F' D B L' ,R
1030,U' R2 U F2 D L2 U' F2 R2 B2 R2 U' L2 U L2 F' U R B L' B2 D' F' L' D2 U' ,O
273816,F2 L2 D B2 D F2 L2 B2 L2 D F2 U' L2 D' B' L' F D R U B' U2 L' U' ,O
343,R2 L2 U' B2 F2 D B2 L2 D' L2 D B2 D R' D' B L F' D' F2 R U2 B U' ,O
112170,R2 B2 D' B2 R2 D R2 U' B2 U F2 D' F2 U' R' B' L D F U R' U2 B U2 ,O
676079,B2 D2 R2 F2 R2 U' L2 D B2 D2 F2 L2 U2 L' B' F R2 D B2 R' U' L F' ,O
511583,F2 D R2 F2 D L2 D B2 F2 R2 L2 U' R2 L' F L2 D' R' U' F L' B' L2 ,O
232546,R2 L2 D F2 D' B2 U' R2 U F2 D' F2 U2 R2 F' R' U R2 D B' L' F' U R' ,O
350247,L2 U F2 D R2 U L2 U F2 U' B2 U' L' B U F R D' R2 L' B' ,O
786766,U2 R2 D' L2 F2 L2 D2 R2 D B2 F2 L2 U2 L' F L2 D' R' U' R2 F L' B' ,R
362270,L2 B2 D L2 B2 U L2 U' B2 F2 U L2 D2 B' D2 R L' U L2 B D F' R' ,O
343578,R2 F2 D2 F2 L2 D B2 U2 B2 R2 D2 U' B2 U2 F' R B D' B2 L U2 F U R' ,O
19729,R2 B2 R2 U' R2 D L2 D B2 D' B2 D F2 R2 B' L' U' F2 D' F' R D' B L ,O
1102447,R2 D' B2 D' F2 L2 U' B2 U B2 R2 B2 R2 D R' F R2 U' L' D' F R' B' L2 U' ,R
1047184,F2 U2 F2 D' R2 D F2 D R2 D' B2 L2 U' F2 U' B' R F' D L U R2 F' R' U2 ,O
802733,U F2 D L2 U2 R2 B2 D2 U' R2 F2 R2 B2 L2 F' U R U2 B L2 D' L F R U' ,R
727357,U' R2 B2 U L2 U' R2 U2 R2 F2 D' B2 R2 L2 U2 L' B' D' F' R' U R2 L B ,R
537920,D' B2 D2 F2 R2 D' L2 B2 D' L2 D2 F2 L2 U' B' R' F L2 U' L' D' R2 F R' U2 ,O
467900,B2 U' R2 D' F2 U2 F2 L2 B2 R2 F2 D' U2 L2 U' F' R' U' R2 L B F2 U' F' R' ,R
507880,B2 U F2 L2 D' F2 U2 F2 U' L2 D' L2 B2 U F' R F2 D' B' U' B2 R F' L' U ,R
462994,D' F2 U' L2 F2 D2 R2 B2 D' B2 U2 L2 U' B2 U2 B' U2 L D R2 B U R F' L' ,O
918925,L2 D2 B2 D' R2 F2 R2 D R2 U' F2 D B' L' D' L2 U' F R D' B L' ,O
265860,R2 F2 U' F2 D2 L2 D' R2 D U' F2 L2 F' L' B' D' B2 R' U2 F U' L' ,O
754182,R2 F2 D L2 B2 U' L2 U2 L2 F2 D F2 R2 U2 B' L B2 D' F' U' F2 L B' R U' ,R
1068648,D2 B2 U' L2 U' R2 D R2 U B2 U2 R2 B2 U B' U L F R D' R2 B U2 L' U' ,O
168981,B2 L2 D2 F2 D B2 U F2 L2 U R2 U' L2 D' B' L F' D' F2 U' R B D' L' ,O
335013,L2 D2 F2 D L2 D2 B2 U R2 B2 D' R2 B2 D L' F R2 U' R2 B' D R' L F' ,O
798607,U' R2 D F2 D B2 D' R2 U L2 B2 D2 F2 L' F R' U' B' D' L D2 F' L2 ,O
1151380,D2 R2 U L2 F2 L2 B2 U R2 F2 D2 F2 D2 L' F' U' B' R' D R2 L F' ,O
158310,U F2 L2 D' R2 D B2 D' L2 B2 F2 U R2 F' U R B' L' D' F D2 U R' ,O
250615,F2 D' F2 U B2 D L2 D' B2 U B2 U R2 B2 R' B' L' D F2 U F' R' B' U2 ,O
541214,R2 B2 D2 B2 L2 U L2 D2 B2 U' R2 D2 L2 B' U2 L F2 D' F R B R2 U L' ,R
1245796,D L2 B2 F2 D2 F2 U B2 F2 L2 B2 L2 U2 F' L' D R B' R2 U F2 L' F' ,O
1092946,F2 D F2 R2 D L2 D2 U R2 B2 U' L2 F2 U2 R' F' L' D' L2 B' U2 R U' F' U' ,R
38331,B2 L2 D B2 D' F2 R2 U B2 U2 R2 U' B2 L2 U' L' D2 F D' R' U' B' L F' U' ,O
204355,L2 D R2 F2 U' B2 R2 D B2 D L2 D U2 L' B' D' F' R' U R2 L B U ,O
15861,U2 F2 U R2 U2 R2 F2 R2 B2 L2 U F2 R2 U' R' B L' U F D B2 L' B U' ,O
555837,U R2 B2 D2 F2 D L2 U2 F2 L2 D B2 D L2 U2 R' B F U L' D' U R' U' F' ,O
376225,D' F2 U2 L2 D F2 U' F2 U F2 R2 U R2 U' F' L' B' D' B2 R' U2 F U' L' ,O
979014,B2 U F2 U2 F2 L2 D B2 D B2 U B2 L2 F' D2 L B2 U' B R F R2 D L' ,R
149139,D R2 U' F2 L2 D2 R2 U B2 U' R2 F2 U' B2 U2 B' R D R2 U F' L' D B' R' ,O
241821,F2 U' R2 B2 U B2 R2 D2 B2 L2 U' B2 D' L2 D2 R' U2 B F' D' B2 R' U' L F ,O
