# Scramble Extremes — pair / xxcross_pair / BGOR / bin 10 (3rd-smallest)
# Population in this bin: 490444
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

667650,U L2 B2 D F2 L2 D2 R2 U B2 L2 B2 L2 D L' F' R L2 D U2 F' U' L B ,B
752749,U2 L2 B2 U' R2 L2 B2 R2 L2 D L2 D R2 D2 B' U L F R D' R2 B U2 L' U' ,B
470946,L2 U' B2 R2 D L2 U' L2 B2 D R2 D2 R2 U' R' B L2 F U' R' B' L' D F' U' L' ,G
332791,D2 L2 U R2 D' R2 U2 R2 B2 R2 B2 D F' R B L2 D' B2 U' L F R' ,G
1012588,D' R2 F2 L2 F2 U' R2 D' F2 L2 D R2 D2 L2 U' L' D' F R D' R2 U' B' L F ,B
725519,U' L2 D2 R2 B2 D' F2 D L2 F2 U F2 R' B R2 D' L' U' L2 B R' F U2 ,G
105828,L2 F2 U2 R2 F2 U' R2 B2 D L2 U F2 R2 U' R' B2 F U B' L' D' R' F ,G
265282,F2 D2 F2 U2 F2 L2 U R2 F2 U' B2 R2 B2 D' B' R' D' L' F' U B' D2 U2 L' U' ,O
689538,R2 D' F2 R2 B2 L2 F2 D2 F2 U' B2 F2 L2 U R' B L2 F U' R' B' L' D F' U' L' ,R
1254709,L2 B2 L2 D' F2 R2 D R2 U2 B2 R2 F2 R2 U2 B' R' B2 D F U R' B L' ,B
2086,F2 U B2 R2 U2 B2 R2 D' F2 D F2 L2 U F' U' L B D' R2 U' R' F L' ,B
1213411,L2 U R2 F2 D' R2 U F2 D' F2 D' B2 F' L' D' R' B' U F' D2 U2 R' U' ,G
989649,L2 D' L2 U L2 B2 F2 U R2 U2 R2 U2 F2 R' F U B L D' R' L2 F' U ,R
272280,R2 U2 F2 D U R2 F2 U B2 L' U' F U' B' R D L F R' U' ,R
968873,B2 R2 F2 U F2 U' L2 F2 U B2 D2 L2 U' B2 L' B2 F D B' R' U' L' F ,R
901224,R2 F2 L2 B2 D' F2 U' L2 U B2 R2 U L2 U R' F U' F2 D' L B R U' F ,R
1173481,U B2 U R2 D U L2 U' L2 B2 R2 L2 U R' B' U' F' L' D R L2 B U2 ,B
899404,R2 D R2 U' B2 U' F2 U2 R2 D F2 R2 U2 R2 L2 F' D2 U2 R' U L' F' D' B' R' U2 ,O
