# Scramble Extremes — pair / xxcross_pair / BG / bin 10 (3rd-smallest)
# Population in this bin: 299071
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

857838,U' L2 U2 R2 F2 L2 D B2 U R2 U2 F2 U F2 R' B2 D F' R L B D' U' F' L' ,G
1129035,D R2 D F2 U2 F2 U' F2 U' L2 B2 R2 L2 U2 L' D2 B' U' R' F L D B U' L' ,G
161953,L2 D' B2 F2 R2 D' R2 F2 D' F2 L2 B' R U F2 D F L' D B' R' ,G
116854,B2 U B2 D F2 U2 B2 R2 D L2 U L2 B2 F' L F2 U' B' D' B2 L F' R' U2 ,G
457223,L2 F2 D R2 F2 L2 F2 L2 U2 F2 D R2 D2 U2 F' D L' D2 B R2 U R F L' ,G
1149854,L2 D B2 R2 U' F2 D2 R2 U R2 U2 L2 B2 U L2 B' L' F' L2 U R' D R2 F' L' ,G
386907,F2 R2 U2 F2 D' F2 L2 B2 L2 U F2 L2 D' U B' R' D' L' F' U B F2 R ,B
1121395,U2 L2 U R2 D L2 U' R2 D' L2 U B2 U2 B' R B2 U' F' D' F2 R B' L ,B
214663,B2 F2 D B2 U2 F2 L2 B2 U' B2 U2 R2 U2 F' L U' R' B R2 D' F2 L F ,G
1165258,B2 U2 B2 F2 L2 U2 R2 D R2 L2 F2 R2 F' R' B F2 D U2 R' U' F L U' ,G
1269654,U' F2 L2 D R2 U2 B2 D' B2 F2 R2 U' F2 U L2 B' L' U' R' F' D B F2 L U' ,B
865106,U2 L2 B2 L2 F2 U' L2 F2 D' B2 U' R2 D2 R' B' L F2 D' F' U' B2 L B' U' ,B
651862,L2 B2 F2 D F2 U2 B2 U F2 U' R2 L2 U F' D2 L B2 U' B R F D L ,B
1167507,R2 F2 D R2 U' B2 F2 U' R2 F2 U F2 R' B' U' F' L' D R L2 B' ,B
