# Scramble Extremes — pair / xxcross_pair / WY / bin 12 (max)
# Population in this bin: 3018
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1139205,U2 B2 U' B2 D R2 U F2 L2 U F2 U' L2 D' R' B' D U F R' L' B' U' F2 R ,W
897536,U F2 L2 U' R2 D2 F2 U L2 F2 U2 B2 U' F2 U' R B D F L' U' R' B' U2 ,W
943695,D' F2 L2 D B2 D' R2 D R2 F2 U' B2 R2 B2 L' B' R F2 U' F' D' B2 R B U ,W
209,L2 B2 D2 L2 D L2 F2 D' L2 U' B2 R2 U' L' B' D R U F L' B' D2 ,W
1173209,F2 R2 D R2 B2 U2 B2 D' L2 B2 R2 B2 U2 F' L' F2 D B U B2 L' F R U2 ,W
896910,R2 D2 F2 D' F2 U' R2 D L2 F2 D' F2 R2 U' F' R L2 D U2 F U' L B' R' ,W
1217793,R2 B2 U' F2 R2 U' R2 D2 F2 U R2 D' B2 L2 U2 R' D' B F' R U' L' F' D U' L' ,W
1212454,D' R2 B2 U R2 U' F2 U' R2 B2 D2 B2 D' F2 U2 L' B' R' U F D L B' U2 F' ,W
937051,D R2 F2 L2 F2 D L2 U' B2 D B2 U' B2 D F' L' B' U2 R2 D R' U' F' L' ,W
1058873,D' R2 D R2 U R2 D F2 D' F2 D R2 L' F' R L2 D U2 F' U' L B U' ,W
1082570,U2 R2 D B2 L2 D R2 U' R2 U L2 F2 D' R2 L' B D2 F D' R' U B' U2 F' L ,W
644752,D2 F2 L2 U L2 D B2 R2 D' F2 U' R2 D' U' R' F' D' B F2 R2 L D' R' F' ,W
897526,L2 B2 F2 U' L2 D R2 B2 F2 U' L2 D' B2 U2 R' B' L' D F U R B' D2 F' ,W
527245,L2 D F2 U' F2 U' B2 D L2 U' R2 B2 U' F' R B' L2 U L D R2 B' R ,W
527461,R2 U' F2 U' L2 U R2 U F2 U2 R2 U' R2 U2 F' L' B' R2 L2 D R U B' L' U' ,W
939860,R2 F2 U L2 U' L2 F2 D B2 L2 D L2 U2 L' U2 B' D U2 R U' L2 B' L' F' ,W
1077814,F2 U R2 U' R2 F2 L2 U R2 D2 U' L2 B2 F' L U' L2 D' L2 B' R F D L U' ,W
1000054,B2 U F2 D' R2 B2 D' L2 D' B2 D' L2 U L2 F' L' D' R' B' U B2 F L' ,W
939518,D2 B2 U F2 D B2 R2 D2 F2 R2 L2 U' L2 R' F2 U B' R L F D' U' B' L' U' ,W
929113,U2 R2 U L2 D' R2 D' F2 U2 L2 F2 D' L' D2 B' U' R' F L D B U' L' ,W
5920,D R2 B2 F2 D2 L2 U' B2 L2 U' F2 D2 F2 U' R' L' B' D2 F2 R L' U' ,W
981705,R2 U L2 B2 D L2 B2 U2 B2 D B2 U' R2 D2 R' B F2 D F' L' U' R' B' U2 ,W
913166,U' F2 D F2 U' L2 B2 R2 L2 U R2 B2 U2 B2 D' F' L' B' L2 F2 D R U B' L' ,W
413878,F2 U B2 U' F2 D F2 L2 U R2 U' F2 U2 R2 U' B' D2 R L' U L2 B D F' R' ,W
986264,R2 D F2 U B2 F2 L2 F2 D R2 U' B2 D' B2 U2 B' U' R' F L D B' D2 U' R ,W
903580,R2 B2 D' L2 U2 F2 D B2 L2 U L2 F' R D B' U2 L' U F' R' L' ,W
947437,D R2 U R2 U B2 L2 F2 U2 F2 D' L2 D R2 U2 L' U2 F R2 D' R B L U F U' ,W
941231,D' B2 D' F2 L2 U F2 L2 B2 U' B2 L2 U2 B' D2 L' F' R U' L2 B D2 F' R ,W
1092032,L2 U2 R2 U' L2 D' R2 F2 D' B2 D B2 U2 B2 F' L B' R2 D R U L2 B' L' ,W
165693,B2 U2 R2 F2 R2 U L2 D' R2 D R2 U' F' R B' U' L' D' F D2 R' ,W
6287,B2 U' F2 R2 D L2 U' L2 F2 U' R2 U' L2 D' U B' L U' R B2 U' B' F L' U2 ,W
145494,R2 U' F2 U' L2 B2 L2 F2 D L2 U2 B2 R2 U2 R' B F' R2 D' B2 L U R' F' U' ,W
951301,U2 R2 F2 R2 D R2 D2 B2 F2 U' B2 D' F2 U L2 F' R' L' U L2 F2 U B' F' L' ,W
244264,U F2 L2 U' F2 D2 F2 U' F2 R2 U R2 U2 R' B' L' F U F2 R' D2 B L' U' L' ,W
1235485,D U2 B2 D' L2 D R2 L2 U B2 F2 U' R' B L2 F U' R' B' L' D F' U' L' ,W
981530,B2 F2 U' B2 D B2 U' R2 D2 B2 D R2 U' B2 U' R' F R2 U' L' D' L2 F R' B' U2 ,W
331719,F2 U2 L2 D' L2 D B2 R2 F2 R2 U F2 D' L' B' R U' F' D' B2 R B' ,W
506690,U R2 U2 R2 F2 U R2 D F2 R2 B2 L2 D F' R B' L2 U L D R2 B' R' ,W
7053,D2 B2 D L2 B2 R2 L2 D R2 B2 U2 B2 D R2 U' B' L' U' R L2 B2 F U' B' L' ,W
7054,L2 D F2 D B2 L2 U2 B2 L2 U' R2 L2 F2 U F' L' D' R L2 B F2 D' F' L' ,W
983671,U2 L2 B2 U' F2 L2 D' B2 D2 L2 U R2 U' R2 U F' R' L U B R' D' B2 F L' ,W
149439,F2 U' F2 U F2 D L2 U' L2 U F2 U R2 U' L2 F' D2 L' F2 D B U L F R' U' ,W
1060161,D2 B2 U' B2 L2 D R2 U' F2 R2 L2 U' R2 B' U2 R L' U' L2 F' D' B R ,W
983634,D2 B2 D2 B2 L2 D B2 U R2 B2 R2 B2 U' L2 B' R' B2 F D2 U R' D' B L U' ,W
892092,U2 L2 D' L2 B2 U' L2 U' F2 D' F2 D B2 D R' B L U' F' D' R' B U2 F' ,W
967688,R2 U' R2 U2 B2 D' B2 L2 U2 R2 F2 U B2 F' D' R' D2 B' L2 U L' F' R' U' ,W
929965,R2 L2 U2 B2 L2 U' B2 R2 D U2 R2 D' F2 U' B' F' R' B2 L2 D U' F' R' L' ,W
562618,R2 D2 R2 U F2 D R2 B2 F2 D' F2 U' F2 L2 R' B' R2 L D U2 B' U' R F ,W
268791,L2 D' B2 F2 L2 B2 U' F2 D' B2 D2 R2 L2 R' F' R2 L D2 U F' D' R B U' ,W
921944,D2 B2 L2 D B2 F2 D B2 D' R2 B2 L2 D U' F' L B R2 D' R2 U' R F L ,W
1020305,D2 B2 R2 D L2 B2 U F2 D B2 L2 D F2 U' B' U2 L F2 D' F R B U L U' ,W
1077569,B2 U L2 B2 D R2 D' F2 R2 D U2 L2 D' R2 L' B R' F2 D F U B2 R' B' U' ,W
659632,U2 L2 F2 D F2 D2 B2 U L2 U L2 F2 L' D' F' R B U L' D' U2 F ,W
7176,R2 U L2 B2 F2 D L2 D' F2 D F2 D' B2 U' R' D2 B' D2 U L D' R2 B' R' F' ,W
