# Scramble Extremes — pair / xxcross_pair / Y / bin 12 (max)
# Population in this bin: 45228
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1012302,F2 D L2 F2 U' L2 U B2 U' L2 U' F2 L2 D' F' D2 U2 R' U L' F' D' B' R' U' ,Y
914695,B2 L2 D' R2 B2 F2 D L2 F2 D2 U' L2 U' L2 B' L B2 F' D2 U' L D B' R' U' ,Y
472560,R2 D2 R2 U' F2 U B2 D2 F2 D' R2 F2 U L' B' D' F' R' U R2 L B U2 ,Y
883461,D R2 B2 U' L2 U2 L2 B2 D' L2 U2 F2 U L' F' U' B' R D L F' U ,Y
38867,L2 D F2 R2 L2 U L2 D' U2 R2 U' L2 F' U' L B' D' U' R' F U' L' ,Y
747774,L2 B2 D' F2 D B2 D2 R2 D' F2 U2 R2 U F2 U' B R B2 U' F' D' R B' L U ,Y
1141479,L2 F2 D F2 U R2 F2 U' R2 B2 U F2 U2 B' R2 L D R' F U' B' F2 L' ,Y
628540,B2 L2 F2 D' L2 D2 L2 U L2 F2 U' L2 F2 U F' R' B L2 D' L' U' R2 B R U2 ,Y
92713,B2 U R2 U L2 B2 U R2 L2 B2 L2 D B2 U' F' R2 L' D' R B U F L U ,Y
557839,R2 F2 D B2 R2 U2 L2 F2 D' B2 D' B2 L2 D R' F L' D' B' U' R U2 F' U2 ,Y
1056467,B2 F2 U' F2 D' B2 D2 L2 F2 U' B2 U' L2 B' D' L' D2 F' R2 U R' B' L' ,Y
1197950,B2 U L2 U' R2 F2 D B2 R2 B2 D2 F2 D2 L' D' F' L U R B D' F' D' L' ,Y
1012114,L2 F2 L2 U R2 D' F2 U B2 U B2 U2 L2 U2 F' R D' B' R' D2 U L B' R' ,Y
527262,D' F2 D2 L2 F2 U F2 L2 U' L2 U' R2 U' L' F R' B2 U B D F2 R' F U' ,Y
145317,R2 U' L2 B2 F2 U' R2 U' B2 R2 L2 F2 L2 D2 R' F' L' D L2 U B' R' F' U' ,Y
331644,U2 B2 D' B2 L2 D U2 B2 D2 L2 F2 L2 B' R B2 U' F' D' R B' L U2 ,Y
272662,D2 F2 L2 F2 D' B2 L2 U2 L2 U' F2 L2 D' R' U2 F U' L' D' B' R F U' ,Y
430405,L2 D' R2 D F2 U2 L2 F2 L2 U F2 D2 B2 F2 L' B D2 F D' R' U B' U2 F' L' ,Y
634924,D' F2 U' R2 D2 R2 D R2 F2 D' R2 U2 R2 F2 U2 L' F2 U' B' R' L' F D U B' L' ,Y
565874,R2 D' F2 D' L2 U L2 D2 L2 B2 L2 R2 L' D2 B R2 U' R F L D B U' ,Y
144630,F2 L2 B2 U' R2 U B2 R2 D U R2 F2 D' R2 L' F' U' B' R' D R2 L F U ,Y
821766,R2 B2 U' F2 D' F2 U R2 L2 U L2 B2 U' F2 U2 B' R' L' U R2 B2 U B' F' R' U' ,Y
518095,U L2 U' B2 D' B2 L2 B2 L2 D' B2 U' L2 D' R' B2 F U B' L D' R' L2 F' ,Y
566376,B2 U B2 U B2 U2 F2 R2 B2 L2 U B2 D U' L' B' R F2 U' F' D' B2 R B' U' ,Y
1056430,U F2 L2 B2 L2 D' B2 D F2 D L2 F2 D2 F2 U2 F' U' R U' L' B D F R B' ,Y
937026,F2 D B2 D2 F2 D' R2 F2 U F2 D' L2 D2 B2 L' B' U2 R2 D R' U' F' L' B ,Y
1158071,B2 D2 L2 D L2 F2 D R2 B2 D R2 L2 F2 D2 B' R F' L2 D L U R2 F' R U' ,Y
1210313,F2 D R2 L2 D' B2 U L2 D' F2 L2 D B' R' F U' L' D' R2 F R' ,Y
97240,R2 B2 U R2 B2 D' F2 U' L2 U2 L2 U' F' R2 L U R' B' D' F' L ,Y
944009,R2 U' B2 R2 D F2 U' R2 B2 U' F2 R2 B2 R' F' L' D' L2 B' U2 R U' F' ,Y
1265850,F2 U2 R2 B2 R2 D L2 U' R2 D' F2 D2 B2 L2 F' D' L D' R' B U F L B' U' ,Y
979274,D2 F2 D' L2 B2 D' L2 U F2 L2 U' R2 U2 B2 F' R2 L' F D' R B U F U L' ,Y
554502,R2 F2 U2 L2 B2 U' R2 D' F2 D2 F2 U' L2 U L' F' U' B' R' D R2 L F U2 L2 ,Y
527847,B2 U' B2 L2 F2 L2 D R2 B2 U B2 D B2 D' B' R' B2 D F U F2 R' B L U ,Y
103949,F2 U2 R2 L2 F2 R2 D F2 U B2 R2 F2 L2 D B' R U L F D' B' F2 R' U' ,Y
354981,D2 B2 D R2 F2 L2 D2 B2 F2 U' B2 D' U' L' F' R D B U L' U2 F U ,Y
973870,B2 L2 U' B2 U2 L2 U B2 R2 U R2 U2 F2 U' R' B' D U F R' L' B' U' F2 R' ,Y
911905,B2 L2 B2 D2 B2 D B2 D' R2 U L2 D R2 F' D2 U2 R' U L' F' D' B' R' U' ,Y
633100,D R2 U' R2 U B2 D' L2 F2 D2 B2 D B2 U' F' R' L2 U' L B D F R U2 ,Y
897583,L2 D L2 D2 L2 B2 L2 U F2 U' B2 U2 L2 F' L B' D' R' U' F' U2 F2 L' ,Y
17654,U F2 U2 F2 R2 D R2 B2 D R2 B2 U R2 U' L' F D B R' U' L' F' U ,Y
948233,D2 R2 F2 U' R2 U' R2 L2 B2 U B2 D' L2 B' L D' L2 U' L2 F' R B U L U' ,Y
1147181,U2 L2 B2 U' F2 U L2 B2 D R2 D' R2 D B2 U2 R' D F L' B' U' R D U2 F' ,Y
586553,D2 F2 U' L2 D2 L2 B2 U' B2 U' L2 U B2 U R' B2 F' D' B L U R F U' ,Y
1157443,B2 L2 U2 R2 U2 F2 D' L2 F2 U2 B2 U L2 F' R B' U L D R2 B' R' ,Y
506646,U2 R2 D' R2 B2 U' R2 U2 B2 D L2 B2 U R2 F' R B' L2 U L D R2 B' R' ,Y
547928,U F2 D F2 R2 B2 F2 U B2 U2 R2 D L' D B' D2 R F2 U F L B' ,Y
567088,R2 D2 B2 D' B2 R2 U2 R2 U' R2 D' L2 B2 U' R2 L' B' F' U L2 B2 U R' L' B' ,Y
557822,F2 L2 D' R2 U' B2 R2 U2 F2 U F2 U' B2 L' U2 B U' R' D' F' L B ,Y
877858,F2 U' F2 U R2 B2 D B2 R2 B2 R2 U' F' L' D' R' B U F L' U2 ,Y
777297,U' F2 D2 L2 B2 R2 D' B2 L2 D R2 U' B2 L2 R' B' U' F' L' D R L2 B ,Y
1224638,R2 U R2 L2 D2 F2 U' B2 L2 D' R2 U F2 R2 U2 B' U2 R U' F' D' L' B R' ,Y
1053579,F2 L2 D B2 U F2 L2 B2 U' F2 U' R2 D R' B L D' L2 U' F R B' U ,Y
247774,U2 L2 F2 D' L2 U' F2 U R2 F2 D' B2 F2 L2 U2 F' D' R D2 B' L2 U' L' F' R' ,Y
983020,L2 U' R2 F2 U L2 D R2 D F2 R2 D' B' D R F' L' U' B D U2 R ,Y
1136328,F2 L2 B2 F2 U2 F2 D B2 D' F2 L2 U' F2 U2 L' F U' R D L U2 F R B ,Y
38891,R2 D R2 D' L2 U' B2 R2 U B2 F2 D B2 D L' B' R F2 U' F' D' B2 R B' ,Y
1139299,L2 B2 R2 D F2 U L2 U' F2 D R2 U' L2 B2 D2 L' B' L2 D R U R2 B' L F U ,Y
1244592,U' B2 U' L2 U R2 U' B2 R2 U B2 L2 U R2 L2 R' F L' U2 B2 D' B' U' R' F' U2 ,Y
972141,B2 F2 L2 D' U2 R2 U' R2 L2 B2 D' L2 B2 R' B' F' U R2 F2 U R' L' F' U' ,Y
1060224,F2 R2 L2 D F2 U2 R2 U2 R2 F2 D2 U' R2 B' R F2 D' F2 L' U B F' R' ,Y
961898,D B2 F2 D R2 B2 U L2 U' B2 U2 F2 U L2 U' R' F2 U B' R L F D' U' B' L' ,Y
480438,R2 U B2 R2 F2 D' B2 D U2 L2 D' F2 U' L' B' R F2 U' F' D' B2 R B U' ,Y
631335,U2 L2 D B2 D' R2 U B2 L2 U R2 B2 U R' U' B U' F' L D R B L' U' ,Y
331593,B2 D R2 U L2 D F2 L2 D2 B2 R2 D2 B2 U2 L' F R D' R2 U' B L F' U' ,Y
557519,D L2 D B2 U F2 D' B2 D B2 L2 U' F' L' U' B' D B2 U2 R' F' L' U2 ,Y
493385,R2 L2 D2 L2 D' F2 U F2 U' L2 D' L2 U2 B2 R' B2 D F' R L B D' U' F' L' ,Y
907724,F2 D B2 U B2 R2 U R2 L2 B2 D' B2 D2 L2 B' R2 L' D2 U' B' D R' F L' ,Y
1106346,U R2 B2 D2 B2 U R2 B2 U' B2 R2 U2 B2 L2 U' R' B' U' B2 F R2 L U' R' B' ,Y
368892,R2 U2 B2 R2 D L2 B2 D F2 U2 R2 L2 U' B' R' F L2 U' L' D' R2 F R' U' ,Y
965728,L2 D F2 L2 U L2 F2 U R2 D' L2 U' F2 L2 D' F' R2 L U R' B D' B2 F' L ,Y
784007,U' B2 L2 D B2 R2 D B2 F2 R2 U2 B2 L2 U2 F' L F2 U' B' D' B2 L F' R U ,Y
965790,F2 U2 F2 R2 F2 U R2 B2 D B2 D' R2 F2 U2 L' B' R F2 U' F' D' B2 R B U ,Y
1157039,F2 R2 D' R2 L2 U' R2 U' R2 B2 D' R2 B2 D2 B' L' B2 U F D L' B R ,Y
966974,U' L2 U B2 F2 U2 F2 U B2 R2 U F2 U B2 L' F' U R2 F R' B' D F' D2 L' ,Y
1082546,L2 B2 D' B2 D' R2 F2 L2 D2 R2 D F2 L2 R2 L' B D2 F D' R' U B' U2 F' L ,Y
633010,F2 U' B2 U2 R2 D L2 U2 R2 B2 U' F2 R2 U' L2 F' L' F2 D B U B2 L' F R ,Y
145436,U' R2 B2 L2 B2 D' F2 U2 L2 U F2 D' L2 U R2 L' D' F' R' B R2 U L D B' ,Y
1117697,F2 D2 L2 D' B2 U' F2 L2 D' B2 L2 D' B2 R' B' D U F R' L' B' U' F2 R' ,Y
1110014,B2 D' B2 F2 R2 F2 U R2 U R2 B2 D B2 U2 L' B' R' D' R2 F' U2 L U' B' U2 ,Y
663523,U F2 U2 B2 D F2 U2 B2 R2 D' R2 L2 F2 U F L' F2 D B U L' F R ,Y
639080,U' R2 D' F2 D' R2 U2 R2 B2 D' L2 U' B2 U B' R' F L2 U' L' D' R2 F R ,Y
504728,R2 U R2 U F2 L2 U' F2 L2 D L2 D' B2 F2 U' L' B U B2 F' R' L2 U L B' ,Y
649195,L2 D B2 F2 L2 D2 B2 D' B2 D' F2 D' L2 U2 L' B R U' R2 F D2 L D B' ,Y
1001261,B2 R2 U2 R2 D' L2 U2 B2 U' R2 U R2 B2 F' R' U' B D2 L D' F R' L' ,Y
1139847,U B2 D2 B2 U B2 R2 D' B2 R2 U' R2 D' L' D2 F D' R' U' B' L F' U ,Y
246232,U2 L2 U B2 D2 R2 U' L2 D' F2 U B2 R2 L2 U' B' R F D' L2 U' L B R' U ,Y
979277,U2 F2 U L2 D2 L2 F2 L2 U R2 F2 D' B2 L2 U' F' L' B' R2 L2 D R U B' L' ,Y
1157426,R2 L2 D' L2 D R2 D' B2 L2 U' F2 U2 B2 L2 U' R' F L' D B U F2 L' F U' ,Y
