# Scramble Extremes — pair / xxxcross_pair / W / bin 11 (min)
# Population in this bin: 3025
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

552504,D2 U' R2 D' L2 B2 U2 L2 F2 U' F2 U' F' U2 R' U B D L F' R U2 ,W
355420,L2 D B2 R2 B2 L2 D B2 U R2 U2 B2 U' L2 D2 B' R' L2 D' L F U B R U2 ,W
1141384,U B2 L2 D' R2 U2 B2 D' B2 U' L2 U L2 U' R2 F' U2 L D B R' F' U' L' D F' ,W
489732,R2 U' F2 R2 D L2 B2 R2 F2 U' F2 L2 U2 B' R' B2 D F' U R' B L2 D' L' ,W
1270231,B2 U2 R2 B2 U F2 R2 U2 L2 U' F2 R2 U2 L2 U' B' L B2 D' F' U' L B' R' F2 U' ,W
1001665,D2 U' F2 L2 U L2 U B2 F2 U2 L' B' L2 D R' U B' L F2 D' F' ,W
1213068,D2 R2 D' B2 U2 F2 L2 U' B2 U F2 R2 F2 U' R' F' L U B D R' D2 F ,W
1212654,R2 U B2 U2 R2 U2 R2 F2 L2 F2 U2 L2 U' F' R' U' L' B D F R' ,W
596308,L2 F2 D' R2 F2 D' B2 U L2 U2 F2 U' L2 U2 B' L D' L2 U' F R B D' L ,W
173536,B2 F2 R2 U' F2 D2 R2 L2 D' R2 U' F2 U F2 D2 B' D2 L D' F' U' F2 R' B L' ,W
8068,F2 U2 B2 D L2 B2 R2 L2 D B2 D' F2 R2 U' L' D' B' U' R' F L D B L ,W
8078,L2 U B2 R2 D R2 D' L2 U2 R2 U L2 F' R2 L U R' B' D' F' L ,W
1172359,B2 F2 D' L2 B2 U' L2 U B2 D' B2 U F2 D2 L' B' R U' F' D' B2 R B' U' ,W
1209377,F2 U B2 U R2 B2 D2 L2 B2 D' L2 U' B2 L2 F' D2 R D' B' U' L' F R U' ,W
682010,B2 D' F2 R2 L2 U' L2 D2 R2 D' L2 F2 U2 B' R B2 U' F' D' F2 R B' L' U' ,W
585789,B2 R2 U B2 R2 D2 B2 D F2 L2 U2 L2 D L2 B' R' L' U B2 R2 U B' F' R' U' ,W
808505,L2 U2 L2 U2 B2 L2 F2 U' L2 F2 U B2 D R' F2 U B' R L F D' U' B' L' U' ,W
866527,B2 D' F2 R2 U R2 D2 F2 R2 B2 U' L2 U R' B' D U F R' L' B' U' F2 R' ,W
1094591,U L2 U' F2 L2 D' B2 D F2 L2 D' R2 L2 B2 R' F L2 U' F' L B' D' F' U2 L' ,W
207234,B2 F2 D' B2 L2 B2 D2 L2 U' B2 U F2 U' L2 U2 F' R' U' L' B' D B2 F R U2 ,W
661629,B2 U' L2 D' B2 D2 F2 D R2 U R2 U2 R2 D2 L' F' R L2 D U2 F' U' L B ,W
1258602,F2 R2 F2 U' L2 D F2 U R2 D2 F2 L2 U B2 L' B L2 U' R' D' B L' F' L2 ,W
