# Scramble Extremes — pseudo / pseudo_cross / BGWY / bin 7 (max)
# Population in this bin: 970233
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1013323,B2 R2 D' R2 D' L2 F2 D' R2 U' B2 U2 F2 L2 R' F D' B' L2 U' R L' U2 F' ,B
973317,R2 L2 D B2 U2 F2 U L2 F2 U R2 L2 U2 B' L U' F2 D' F' R B D' L' ,B
1064245,D' R2 D F2 U2 B2 D' R2 B2 D F2 L2 D U' B' R' B2 D F U R' B L ,B
716259,D R2 F2 D B2 R2 D2 L2 U F2 U2 L2 U' B2 L2 F' R' B L2 D' L' U' R2 B R U2 ,B
686920,L2 U2 B2 F2 R2 U L2 B2 D2 U' B2 D2 U2 F' D L B R' F2 D' F2 U' F L' U' ,B
1078431,L2 D L2 U R2 D' U2 B2 R2 D' B2 R2 U2 F' R' B L2 D' L' U' R2 B R U2 ,B
262987,R2 B2 D2 R2 U' R2 U2 R2 B2 U' R2 D' R2 B2 U' F' L' B U R D F' D2 L' U2 ,B
153167,L2 D' L2 D F2 U' L2 F2 L2 D' B2 F2 D2 F' R2 L' F D' R B U F U L' ,B
1030964,L2 F2 D' F2 U R2 D F2 D2 R2 D' F2 U F2 U' R' B' L F2 D' F' U' B2 L B' ,B
657945,L2 D' R2 U' B2 L2 U' F2 U B2 U R2 D2 B2 L' B' R' U F D L B' U2 F' ,B
18941,B2 D L2 B2 U R2 U' R2 D' R2 U' L2 B2 D2 R' B L D' L2 U' F R B' U' ,B
18077,R2 B2 F2 D L2 U2 R2 F2 U B2 U B2 L2 U2 R' U2 F U' L' D' B' R F' U ,B
300610,R2 B2 D R2 U' L2 U' B2 R2 U2 R2 F2 U' F' R2 L' F D' R B U F U L' ,B
419844,U2 F2 D' R2 F2 U2 R2 B2 D F2 L2 U L2 F' R' B L2 D' L' U' R2 B R' U' ,B
863184,U' L2 D2 L2 B2 D B2 D2 L2 B2 D' B2 U' R2 B' R U' L' F L2 D' B2 R B ,B
285559,U2 L2 U2 L2 D' B2 D' L2 F2 U2 F2 D' R2 U' B' D' L' F' R' U R2 B' D2 L' ,B
948714,R2 U R2 D' B2 U L2 U2 R2 F2 U L2 U' B2 U2 F' R' B L2 D' L' U' R2 B R' U' ,B
185103,L2 U' L2 F2 U' R2 F2 U' L2 U R2 U' L2 D2 L2 R' B' F' U R2 F2 U R' L' F' U' ,B
290634,R2 U2 F2 D' F2 R2 D F2 R2 L2 D' F2 D B2 U2 R' F' L' D L2 B' U2 R' U' F ,B
977948,U2 L2 U' L2 U' B2 F2 D' F2 U' R2 B2 L' F' D' U' B R L F' U B2 R ,B
198262,R2 U L2 U F2 L2 F2 R2 U2 F2 U R2 F' R B' U L D R2 B' R' U ,B
306405,F2 D' F2 U' F2 D' L2 U' F2 U R2 B' L U' F D B U2 L F R' ,B
1105590,D2 R2 L2 D' B2 R2 U B2 D' F2 U2 B2 U' L' F' D' U' B R L F' U B2 R ,B
990464,F2 D L2 U' L2 B2 D' F2 U' L2 D2 B2 U2 L2 U' R' F U B L D' R' L2 F' U ,B
55490,R2 F2 U' B2 F2 D' F2 U B2 D B2 U' F2 R2 U' B' U2 R L' U' L2 F' D' B R' ,B
714226,R2 L2 F2 D R2 D2 B2 D2 F2 L2 D B2 F2 U' R' B L' F2 U F D B2 L' B U ,B
195936,B2 R2 D B2 D L2 D' F2 U L2 U' B2 R2 D2 F' R2 L' D' R B' U B2 F L' U' ,B
828212,F2 L2 U' L2 D2 R2 L2 B2 U' F2 D' B2 D2 R' B' U B2 D L' F' R' U B' ,B
861290,L2 F2 U' R2 L2 F2 L2 U R2 D2 U F2 L2 B' L F' D2 R2 U' R' D' B' L' U ,B
339686,F2 D2 B2 L2 D L2 U' R2 U F2 D' R2 D' F2 L' F R D' R2 U' B L F' U ,B
445248,U2 R2 B2 R2 U F2 R2 D U2 F2 L2 R2 L' F' L2 U R D R2 F' L B' ,B
975524,U' L2 U2 L2 B2 U' R2 B2 U2 R2 B2 U' B2 F' R B U' L' D' F' R U2 L' ,B
940074,R2 U' L2 B2 U2 B2 L2 U B2 U R2 B2 D' U' L' U2 F R2 D' R B L U F U' ,B
1174349,U R2 U R2 L2 U R2 U F2 U' B2 R2 U' F2 L' U' B' U F' U' R D L F' ,B
697571,B2 D2 R2 U' B2 R2 F2 D F2 D' R2 F2 D R' U2 B L2 D' L F R U B ,B
271709,U' L2 B2 D2 B2 U R2 U2 F2 U' L2 F2 U2 L' B' D' F' R' U R2 L B U ,B
66471,U' L2 F2 U' R2 L2 U' F2 U' L2 U' L2 U F' L' D L2 U B' R' F' D L U' ,B
43555,D2 R2 L2 U R2 U' L2 U2 R2 F2 D' B2 U B2 R' F' L U B D R' D2 F U2 ,B
984681,D B2 D' L2 D2 L2 D' R2 U' B2 U L2 U2 F' L F2 U' B' D' B2 L F' R' U ,B
686435,D2 R2 U B2 U F2 U2 B2 D' B2 L2 U L2 U' F' L' D L2 U L2 B R' F' U' L' ,B
337138,U B2 U2 F2 R2 D2 U B2 F2 L2 F2 U2 B' L F L2 D' R U' R2 F L' ,B
1023255,R2 F2 D2 R2 F2 D2 L2 F2 D' L2 D' L2 U B' L F D F2 R2 U R' U B' L' ,B
429707,R2 D2 R2 U' F2 U F2 D2 R2 U' B2 R2 D' L2 F' L F2 U' B' D' B2 L F' R' ,B
491916,D' F2 U R2 F2 R2 F2 D' R2 U2 B2 L2 D2 L2 R' U B L F' L2 D' R' U' F' ,B
59717,D R2 B2 U' L2 D2 R2 F2 U' B2 U2 R2 U' B2 R' F' L B2 U' B' D' F2 L F' U2 ,B
543724,U2 L2 B2 D2 L2 D B2 F2 D' R2 U' B2 U L' D' F' R' B' U B2 L' D2 F' ,B
867771,F2 D2 L2 F2 R2 U' L2 U' F2 D R2 B2 U' B2 R' B' D U F R' L' B' U' F2 R ,B
550897,B2 U' R2 L2 U B2 F2 D2 F2 U' L2 D B' L' F' L2 U R' D R2 F' L' ,B
156049,B2 U B2 F2 U2 L2 F2 R2 L2 D' L2 U2 F2 L' B' D R U L F' L B' L' ,B
996836,L2 U2 R2 U F2 U' B2 U2 L2 B2 L2 F2 U' R2 L' D B L' U' R' F' D B D L ,B
1073499,R2 B2 U' B2 U F2 U' F2 D' L2 U' F2 U' F' L F2 U' B' D' L F' R ,B
1011878,U2 B2 U' L2 F2 U B2 U' L2 U' B2 U B2 U F' U' L' B' R F2 U F2 D F' L' U' ,B
439002,L2 B2 D F2 D' B2 D L2 U' F2 U' L2 U2 R2 B' L' F' L2 U' R D U2 F' U2 L' U' ,B
306523,F2 D F2 D' L2 U2 B2 L2 F2 L2 U' L2 D B' R' D F U' R' L U2 L' B L' ,B
1085558,U2 L2 D' R2 B2 U2 F2 D L2 D2 F2 U F2 U' R2 B' R F' D L U R2 F' R' U2 ,B
