# Scramble Extremes — pseudo / pseudo_xcross / BGORWY / bin 7 (3rd-smallest)
# Population in this bin: 264806
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

413677,B2 D2 U' F2 U' F2 U' L2 F2 U R2 B2 L2 R' F' L' D L2 U B' R' F' U2 ,B
910721,U2 R2 U F2 U L2 D B2 D2 R2 U' B2 U2 L2 U' B' L D R F U' B D2 U2 R ,O
244349,B2 L2 D' R2 U2 R2 B2 D' B2 D' L2 B2 D' B2 U2 L' B' R L2 D2 U B' D' L F ,B
892108,L2 B2 U2 L2 U R2 F2 D' B2 R2 F2 L2 U2 B' R F D' L2 U' L B R' U ,B
97094,U R2 F2 L2 U2 F2 L2 U L2 U' B2 D L2 D B' D2 U2 R' D L' B' U' F' R' ,O
431330,L2 D2 F2 R2 U' F2 L2 D2 L2 D L2 B2 R2 B' R' U' F' D B2 D2 R B' L' ,B
292898,R2 U' F2 U B2 L2 F2 L2 D2 U' F2 U' R2 U B' L' F' L2 U R' D R2 F' L' ,B
412397,U' B2 D L2 F2 L2 U' B2 D U2 B2 R2 L2 R' F' R2 D L U F' R B L2 ,B
392164,U' B2 U2 F2 D' F2 L2 U2 F2 R2 U' L2 D2 F' L B' U2 R2 D' R' U' F' L' U ,B
441579,D2 R2 F2 R2 U' B2 D' R2 U' F2 U R2 B2 R' D B U L F' R' D' B' R' ,B
938101,B2 L2 D' R2 F2 D' U2 B2 R2 U L2 D' R2 B' L' F' L2 U' R D U2 F' U2 L' ,O
1121447,L2 D2 R2 L2 D L2 D2 L2 U' F2 D' L2 F2 R' D2 B F' D' F2 L' U' R B' ,G
904322,U2 L2 D B2 D R2 B2 D B2 U' B2 U2 B2 R2 U' F' R U' B2 D' B' L F D' R' ,B
650262,L2 F2 D F2 D F2 R2 U L2 D L2 D2 B' R2 L' U' R F' D B F2 L ,B
1234248,R2 D' L2 U' R2 B2 D' B2 U' L2 D2 B2 U L2 U F' L' D' R B2 R2 B' U F L' ,O
874503,D2 B2 R2 D2 R2 U' R2 U F2 U' R2 F2 U' R2 U' B' R F D L U' R2 U2 F' R' ,B
612153,B2 R2 U R2 U L2 D2 R2 F2 D' B2 U' F2 U2 L' F' R' D B2 U B' L' F' ,B
459786,U2 L2 F2 D' F2 U2 L2 F2 R2 F2 D R2 U2 B2 U' L' F L2 D' R' U' R2 F L' B U' ,B
370182,D' U' F2 L2 U2 R2 D' F2 R2 F2 R2 U L2 U' L' F' L2 U R D F' L B L2 U' ,B
1248505,U B2 L2 D' F2 D2 R2 U L2 U' B2 F2 U2 F2 R' F D L U' L2 D2 B R F' ,B
347595,F2 D L2 D' R2 D R2 D' B2 R2 D L2 D B' L F D' F2 U' R B L' U' ,G
3893,F2 D R2 U' R2 D B2 L2 F2 R2 F2 U' R2 B' L B2 D' F' U' F2 L B' R U' ,G
894102,D B2 D' L2 D' F2 U R2 D' L2 U' F2 U R2 U' L' B R' D F' D2 U' R2 L' F' ,G
464269,D R2 U L2 B2 F2 L2 D' R2 D' B2 L2 D' F' L' B U R D F' D2 L U ,B
358297,F2 U' B2 F2 R2 D2 U L2 D2 B2 L2 U' R2 U2 F' L' F2 D B U B2 L' F R ,B
1175651,B2 D' L2 F2 R2 U B2 U R2 D2 B2 U' L2 F' L' F2 D B U B2 L' F R U' ,O
460361,B2 U' L2 U F2 R2 U B2 D2 R2 U L2 D B2 R2 L' U2 B U' R' D' F' L B' U' ,B
1255237,R2 U F2 D B2 F2 D F2 D R2 U F2 D B' D R F L' F2 U' B' D' L ,G
528295,B2 U2 F2 R2 B2 D' F2 U' B2 D' F2 U2 R2 U2 F' L B' R2 D R U L2 B' L' U' ,B
879173,F2 U' B2 U L2 D2 L2 F2 L2 D' B2 D' L2 U2 F' R D' L' B L2 U' F2 R F ,B
634774,B2 U F2 U' L2 U F2 U2 R2 U' L2 U2 B2 L' B' U2 F' U R D' B D2 F L' U' ,R
771018,L2 D' B2 D2 B2 F2 D L2 B2 D2 F2 U2 L' U2 B U' R' D' F' L B U' ,G
886165,B2 D' F2 D' B2 L2 U2 F2 L2 F2 D' F2 U' R' U' B U' F' L D R B L' U' ,B
1233892,L2 D' R2 U' L2 B2 L2 D R2 L2 U R2 D L2 U' F' D2 L' D B U R F' L U' ,B
454359,F2 U B2 U L2 U B2 U B2 U' B2 U R2 U' B' R' D' L' F' U B' D2 U2 L' U' ,B
1093117,U L2 D' B2 U' L2 D' B2 L2 U2 R2 U' B2 L2 F' R' B D' L D2 U B2 F L' ,B
916136,U' L2 B2 U' F2 D' B2 U2 L2 D B2 F2 R2 U' B' L F' U' R' D' B D2 L' ,B
399064,B2 U B2 U' B2 D2 B2 L2 D' F2 U' B2 R2 D2 R' F' R2 D L U L2 F' R B' ,B
1607,B2 L2 U2 B2 D' U2 R2 U' F2 D L2 B' R U' F' D' B2 R B L ,B
