# Scramble Extremes — pseudo / pseudo_xcross / BGWY / bin 6 (2nd-smallest)
# Population in this bin: 1595
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

881906,B2 D L2 B2 U' F2 L2 U' B2 R2 D' F2 U2 F' U R U' L U B' D' F' L' ,B
1146551,L2 U B2 U B2 L2 D B2 U' L2 U' R2 D2 L2 U' R' U2 B F' D F2 R U L' B' ,G
865920,B2 R2 U2 R2 U R2 F2 L2 D' B2 D' R' B F' D' F2 L D' R F U' ,B
938594,B2 U R2 D2 B2 D B2 D R2 B2 U L2 U B2 U R' U' F' L B D R' D2 U' F ,G
1248587,U B2 R2 D B2 D L2 B2 U L2 U' R2 U' F2 U' B' F' U' R L' B D2 F' D U' L' ,B
1248946,U2 L2 B2 R2 D' L2 B2 U F2 D2 B2 L2 U B2 U F' R' L2 D B L' U' B F' R' ,G
877315,D B2 U2 R2 B2 U' L2 D' B2 R2 U R2 U' L' F' R' D B2 U B' L' F' ,B
1248592,U L2 D' R2 B2 U' B2 D B2 U B2 D B2 R2 B' R L' U R2 F' U B' R U' ,B
1271384,B2 F2 D' R2 F2 U R2 U2 B2 U' F2 U2 B2 R2 U B R' L' U B2 R2 U B' F' R' U' ,B
244987,D B2 L2 U B2 D2 B2 R2 U L2 B2 U2 B2 D L2 B' R' U2 F2 D F' U' L' B' R' ,B
877227,U F2 R2 U F2 R2 U2 F2 R2 U2 L2 D' F2 U' L' B R' D F U B2 R' B U' ,B
918353,D2 F2 R2 U F2 L2 B2 L2 U B2 D2 R2 L' B U R2 D R F' D L' B ,B
1257,D L2 D2 R2 L2 D R2 F2 U' B2 D2 U' B2 U' R2 L' B D' F U L D' R' U' L ,B
893097,R2 U' L2 D2 L2 F2 U R2 U B2 R2 U F2 R2 U2 B' D2 U2 L' U R' B' D' F' L' ,G
1247634,D' L2 F2 D' B2 D' B2 L2 U2 R2 D F' L2 U' L' B' R F' D L U ,G
1248604,U L2 D B2 U' B2 U R2 U' R2 F2 U' B2 R' U2 F' L B' F' R' D' F' L' ,B
