# Scramble Extremes — pseudo / pseudo_xxcross / BGOR / bin 8 (2nd-smallest)
# Population in this bin: 53571
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1232324,D2 F2 U' B2 F2 R2 D2 B2 U F2 U2 R2 U' F2 U' F' U R L' D F' L B D2 L' ,G
921595,R2 L2 D L2 F2 D' B2 L2 U' R2 U F2 D' F2 D' F' R' B D L U F' U2 R U ,B
1207829,L2 D B2 D' R2 B2 U2 R2 B2 L2 U' L2 U' B' L' F' U' F2 R' D2 B D' L' U' ,O
920014,B2 F2 U' R2 L2 B2 D L2 D' R2 D R2 F2 U B' L D' F R' D' R2 U' B' L' U' ,O
355430,D2 F2 L2 D B2 L2 D' R2 D' R2 B2 U2 R2 L' U B' U F R' D' L' B' R' ,G
247289,D2 R2 L2 B2 U' B2 U2 L2 U' B2 F2 U R2 F' D L' B' D B2 U R F' L' ,R
927071,F2 U B2 D L2 D2 L2 U F2 U' L2 F2 R' F' L' B2 F2 D B U L' F' ,G
375508,U2 F2 R2 D' F2 U B2 U2 L2 D' F2 R2 U2 L2 B' L' F' D' R' U R2 D2 B' L' ,O
247367,R2 B2 R2 B2 U' L2 U2 F2 D L2 U L2 D2 U' F' D2 L' F2 D B U L F R' ,O
565318,D L2 D F2 R2 D2 R2 D R2 F2 U' B2 F2 L2 B' L B2 D' F' U' L B' R U2 ,G
357232,L2 B2 F2 D F2 U B2 D' R2 L2 F2 D2 F' U R B L' B2 D' F' U' L ,G
528105,U2 L2 D R2 U B2 F2 L2 U2 R2 U B2 D' U' B' L' F R2 D' R' U' L2 F L U' ,O
928871,F2 L2 D' F2 U' R2 L2 F2 L2 U2 R2 U' F2 L2 U B L F' U' R' D' B D2 L' U2 ,O
248848,F2 L2 U2 R2 F2 U F2 R2 B2 D' L2 D R2 B' L F' D2 R2 U' R' D' B' L' U ,G
913673,L2 U' L2 U2 F2 D L2 U R2 L2 U R2 U' L2 U' R U B' L' D F2 U F R' B' ,O
6245,B2 D' L2 D' F2 R2 D2 B2 L2 D' F2 U R2 U' R' B' F' U2 R' L' F' U L2 ,O
340143,L2 B2 F2 D' F2 L2 D' F2 D L2 D' R2 D' F2 U B' R' U' R2 D' F L U' B R' ,G
910471,D' F2 D' B2 F2 L2 F2 L2 D2 B2 U2 B' R' F U L D B' D2 R U' ,B
400585,U F2 R2 B2 F2 D B2 D' B2 R2 D2 L2 B' L D R F U' B D2 U2 R' ,R
1228397,F2 U B2 R2 B2 L2 U L2 B2 U' F2 L2 F2 L2 U' R' B L D' L2 U' F R B' U' ,G
921128,D' B2 U' F2 D R2 U' L2 U' F2 R2 U' R2 D B2 R' F' U2 L2 D L' U' B' R' F' ,B
327063,U' F2 L2 D L2 U F2 D2 B2 F2 L2 D' R2 U F' D2 R D' U B' L' U F R' ,R
419357,F2 D L2 D B2 F2 R2 D' F2 U L2 D B2 D2 B' R F D' L' U' B' R D2 L' ,G
7338,R2 D R2 D F2 U B2 U' L2 B2 D2 U' B2 U F' R' U' L' B D F R' U ,G
470547,D' B2 U B2 R2 D2 R2 U F2 D2 F2 L2 U F2 L2 B' R U' R2 D' F L B U' R' ,R
400247,U2 L2 U B2 U R2 U L2 F2 U2 L2 D B2 D' R' F U B D' R' D L' D' F' ,O
931183,B2 D' L2 B2 F2 L2 U2 F2 U' F2 L2 U' F2 U L' B U F R' D' L' B' U ,G
923750,B2 U' B2 U2 B2 L2 B2 D' F2 D' B2 U F2 U2 R' B L2 D' B' L F' U' B' D2 L' ,R
878448,D2 B2 L2 F2 L2 U R2 U' B2 U2 R2 U B2 R2 U2 B' R' B2 D F U R' B L F2 ,G
384762,B2 R2 U L2 U B2 U' B2 F2 U' F2 U' R2 L' B L2 U' R' D' R2 B L' F' U ,O
522007,D' L2 B2 U' L2 D R2 D B2 F2 R2 U2 F2 U B' R' L2 D' L F U B R' U' ,O
926937,B2 U L2 B2 D U' B2 R2 D2 L2 B' D' L' F' R U B' L2 U2 L' U' ,R
293256,R2 F2 L2 B2 U' F2 U' R2 U2 B2 U B2 R2 L' F R D' R2 U' B L F' U2 ,B
878006,F2 L2 D2 L2 D' L2 D F2 D' R2 D' L2 B2 D F' U2 R' U B D L F' R U' ,G
879533,U' B2 L2 D2 B2 F2 L2 D' L2 U F2 D' L2 D' U' B' R U L F D' B D2 U2 L ,O
292904,D B2 D2 R2 U' F2 R2 B2 U' B2 D' R2 D2 F' R' F2 U B D R' F L' U ,R
1207257,F2 U2 F2 U' R2 U L2 B2 L2 D' F2 U L2 D' U' B' L' F' U' F2 R' D2 B D' L' U' ,R
882554,R2 B2 U' L2 F2 D2 B2 D' L2 U' B2 U F2 L2 F' L D' B2 U' B' R F U' L' ,R
389194,D2 L2 B2 D B2 U' L2 B2 R2 F2 U' L2 U F' U2 L' B' R D' L2 F U2 B' R ,G
1207767,R2 U' B2 U R2 F2 D2 B2 U F2 R2 B2 R2 F' L B2 D' B2 R' U B' F L' ,O
832780,U' B2 R2 F2 D R2 F2 U R2 U2 B2 U' F2 R2 L' F' R B2 D' B' U' F2 R F' U ,G
917257,D' B2 R2 B2 U2 L2 U R2 B2 U F2 U2 R2 F' L' D' R' B' U B2 F L U2 ,R
917793,D2 R2 B2 D L2 B2 L2 F2 L2 D F2 U' L2 U' F' R B L2 D' B2 U' L F R' U' ,B
929553,L2 B2 U' L2 U2 F2 D F2 U R2 D' F2 U' B2 U2 R' B' U' R U2 L F D' B U2 L' ,O
643713,D R2 D' L2 F2 D R2 L2 U2 F2 L2 U' B2 L2 R' F' D' B F2 R2 L D' R' F' ,G
1121515,D2 U R2 D F2 U F2 L2 F2 R2 L2 D2 B' R B2 F2 U' F D' R B' L' ,G
874265,U B2 R2 U R2 L2 D' L2 U L2 D2 B2 D2 L' U' B' R F D L' D2 U' B' ,G
878279,D' R2 U' F2 D2 L2 D' R2 F2 D2 R2 L2 F2 U' F' R' B' D' L' U' R2 B U2 R' ,B
1012270,L2 U2 B2 R2 D R2 L2 B2 D R2 U' L2 B2 U' F' L B2 D' B2 R' U B' F L' U' ,R
96090,B2 D B2 R2 F2 U2 R2 F2 U R2 U' F2 D F2 U' L' B U F R' D' L' B' U2 ,G
883701,R2 L2 U' R2 U' F2 D2 L2 F2 U2 L2 U' L2 B' U L F' R' D' B D2 U L' ,G
371080,D2 R2 F2 D' B2 D2 B2 F2 R2 D B2 U R2 F' L U R B' D' F' L' U' ,R
6864,R2 U L2 U' F2 U' F2 U B2 U' R2 B2 U' L2 U' L' D B' R' F' L B2 D B D' ,O
250490,D2 F2 D' F2 U' B2 F2 D' L2 B2 U R' D2 F' D L U B R' F' U' ,R
935348,D R2 F2 U' L2 B2 L2 B2 D' B2 U' F2 D2 B' R' F U' L' D' R2 F R U ,G
891099,B2 U L2 D' L2 D' B2 R2 U L2 B2 U2 R' U2 F U' L' D' B' R F U' ,G
1208905,D L2 B2 D L2 B2 U R2 B2 D2 R2 B2 D' L2 U2 L' B' D' F' R U L B' U' ,B
1212115,R2 D' B2 R2 D F2 R2 U2 F2 L2 U' L2 U' R2 U' B' R F' L2 D L U R2 F' R U' ,O
249199,D L2 D' R2 D2 R2 F2 D' F2 R2 F2 R2 D R2 U B' D' U2 L' U F R B' D' L ,B
883620,F2 L2 F2 L2 D' R2 D2 R2 U B2 L' U' F U' B' R D L F R' ,R
1267788,F2 U2 R2 U2 L2 F2 D R2 F2 U2 F2 L2 D2 B' D2 L' F2 U F' R' B' D' L' ,B
917640,R2 F2 R2 U' R2 U2 L2 B2 U F2 U2 L2 D' B2 U B' R' L D F R' U' B F2 L' ,B
462783,F2 L2 D' F2 R2 B2 R2 U' F2 U' B2 U2 F2 U' F' L' B U' R' D' L2 B L U2 ,B
1229603,B2 L2 D' F2 D' R2 U B2 L2 F2 U' F2 D' L2 U2 F' L' D' R' B U F L' ,R
244541,L2 D' B2 D R2 D' F2 D' B2 L2 D' L2 B2 U' L' F R' D2 B2 U' B' D' L' F' U' ,B
355171,R2 U' F2 U B2 U B2 L2 B2 D2 B2 U' L2 D U' B' L D' L2 U' L2 F' R B U L' ,B
381521,F2 D' B2 U F2 U R2 U R2 D' F2 D' R2 U' L' B' R F2 U' F' D' B2 R B' ,O
928599,R2 U L2 U L2 U' B2 D2 B2 R2 U F2 D' F' R B L2 D' B2 U' L F R' U2 ,G
1206164,D2 F2 D' L2 U F2 R2 D2 L2 F2 U F' R2 L' U B R' D' B F' L' ,O
1205762,F2 U R2 U' F2 R2 F2 U R2 U2 L2 R2 L' D2 B R2 U' R F L D B U' ,R
1208819,D U R2 B2 R2 B2 U L2 D' F2 D B2 U' F' R U R2 D B' L' U F' R' ,B
887152,D' F2 D B2 L2 U L2 B2 D R2 U' F2 U' L' D2 B' D R U F L' B U' ,R
561743,F2 R2 B2 R2 D' R2 U R2 B2 U F2 U' R2 U' B' R' L' U B2 R2 U B' F' R' U' ,G
929437,R2 F2 D B2 R2 D' F2 D2 F2 R2 U' R2 U' B2 R2 F' U' L' D' U R' U B F L' ,R
1187314,U' L2 F2 L2 F2 U B2 U' L2 F2 U' F2 D' R2 U B' D2 U2 L' U R' B' D' F' L' ,R
455047,B2 L2 D2 R2 U F2 R2 D' R2 D2 R2 B2 L2 R' U' F U2 L' B2 D' B' R' F' ,G
888563,U B2 D' L2 B2 F2 D R2 U' L2 D2 R2 U2 B' L F' D2 R2 U' R' D' B' L' U2 ,B
