# Scramble Extremes — pseudo / pseudo_xxcross / BGWY / bin 10 (max)
# Population in this bin: 76467
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

213025,L2 D' F2 U' B2 L2 F2 L2 U' F2 U2 L2 U L2 R' D2 F' D L U B R' F' ,B
1120540,R2 F2 U2 R2 L2 U R2 D' B2 U B2 U L2 D B' L D' L2 U' L2 F' R B U L ,B
646333,L2 D' L2 D F2 D2 R2 D' R2 F2 U' L2 B2 F2 U2 F L' B R2 U' R' D' L2 B L' U2 ,B
1262164,U F2 D2 B2 R2 D' L2 F2 U' L2 U2 B' R2 L' U' R F' D B F2 L' U' ,B
476751,F2 L2 F2 D L2 U F2 D F2 D' R2 U B2 U' L' F2 U' B' R' L' F D U B' L' ,B
21300,L2 D' F2 D2 B2 F2 U' R2 U' L2 U B2 R2 L2 B' L F' U R D L2 F' L ,B
1108788,D' B2 D2 F2 L2 F2 R2 F2 U F2 D R2 U' L2 R' B' U' B2 F R2 L U' R' B' ,B
968667,F2 L2 U2 B2 U R2 D F2 U2 F2 L2 B2 D' L2 R' B' R2 U L' D B' R F2 U' F' ,B
1080014,D' B2 R2 U F2 D' B2 F2 L2 D2 B2 U R' F R2 U' L' D' L2 F R' B U2 ,B
1023555,R2 D2 R2 D' L2 B2 D R2 B2 R2 B2 D2 U2 F' R' F2 U B D B2 R' F L' U2 ,B
529367,R2 U2 L2 D B2 D' L2 B2 L2 F2 U R2 D2 B' L' U L2 D L2 F R' B' D' L ,B
941355,F2 R2 U' L2 B2 R2 B2 U L2 D2 L2 B' L B2 D' F' U' F2 L B' R' ,B
1131336,U B2 R2 U L2 F2 D' B2 R2 U' F2 L' F R' D2 B2 U' B' D' L' F' ,B
107874,R2 B2 F2 U2 L2 D L2 D' R2 F2 D' B2 R2 U' R' B' L F2 D' F' U' B2 L B ,B
503455,L2 D2 L2 B2 U' B2 L2 D' R2 B2 D2 F2 U' L' B' D R2 B R' F' U B' U2 L' ,B
