# Scramble Extremes — pseudo / pseudo_xxcross / Y / bin 10 (3rd-smallest)
# Population in this bin: 770001
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

383953,U F2 D B2 D F2 L2 U2 B2 D F2 L2 U B' L B2 D' F' U' L B' R U' ,Y
521828,L2 D2 R2 B2 L2 U' R2 B2 U' F2 D B2 R2 L' F' R B2 D' B' U' F2 R F U ,Y
640679,B2 F2 D2 L2 U' L2 B2 R2 B2 D L2 D2 U2 R' B' L D F U R' U2 B ,Y
642225,B2 R2 L2 U B2 L2 D R2 U L2 B2 D' L' B' F2 D' F R U L B' ,Y
404576,D' L2 U2 F2 D' L2 D B2 U B2 R2 U R2 U2 B' L' U' R' F' D B' D2 U2 R' U' ,Y
1263217,B2 U' B2 D' F2 D L2 F2 U B2 D' F2 L2 B' D' L' F' R U B' L2 U2 L' U' ,Y
1240689,D2 F2 D R2 D B2 R2 D F2 R2 F2 L2 F' U2 R D' U2 B' U F2 R F L' U' ,Y
605232,U R2 F2 U' L2 U2 B2 U F2 R2 D F2 R2 L2 U' F' L' B' R2 L2 D R U B' L' U' ,Y
210333,D2 F2 D L2 B2 U L2 B2 D L2 D' F2 R2 F' L B2 D' B2 R' U B' F L' ,Y
90538,B2 D' F2 D' L2 D2 R2 F2 U' B2 F2 L2 U' R2 U2 R' B' R2 U L D L2 B' R F U2 ,Y
539946,F2 D2 B2 L2 D2 L2 F2 D' F2 U R2 U L' U' B R D' F2 U' F' L B ,Y
196382,R2 D R2 F2 U F2 D' L2 B2 D' L2 D' B2 U2 R' U' F' L B D R' D2 U' F' ,Y
252533,F2 R2 U2 L2 U' R2 F2 U B2 U' R2 U L2 U2 F' R' L U' B' L D B2 F' R' U' ,Y
990543,B2 F2 D' R2 U R2 U' L2 U' R2 L2 U2 F2 L2 F' R' B' U' B2 L' D2 F D' R' U2 ,Y
325985,R2 D2 L2 D' L2 U2 F2 R2 U F2 D B2 U' L' B F' R2 U' B2 R D L' F ,Y
956390,L2 U2 B2 D' L2 F2 U F2 U' R2 D' F2 U' L' B' R F2 U' F' D' B2 R B U ,Y
385657,B2 U2 R2 D F2 L2 U' F2 D2 L2 U F2 D' R' F' L' D L2 B' U2 R' U' F ,Y
137251,U' F2 L2 D' F2 D B2 U2 L2 F2 L2 U' F2 D B' R' F L2 U' L' D' R2 F R' U' ,Y
1049927,F2 U' B2 D L2 B2 D L2 B2 F2 U B2 F2 R2 F' U2 R B2 D' B L F U R ,Y
18399,F2 L2 B2 R2 D' R2 B2 D2 F2 D L2 U R2 D' L' U' F U' B' R D L F R' ,Y
1222998,D2 F2 L2 F2 L2 D R2 D B2 L2 U2 L2 U R2 U' R' F L' D B' D2 U' R' L2 B' ,Y
1181537,D' R2 L2 U' R2 B2 D' F2 R2 L2 U B2 R2 U B' L D F' U2 R' U B' R' L' ,Y
310980,D2 F2 L2 B2 R2 D R2 D' L2 B2 D2 U' B' D R U L2 B L' F' D' R' ,Y
914893,L2 D' R2 U R2 L2 F2 D' R2 D' B2 U' R2 L2 F' D2 L' F2 D B F2 R' F U' L' ,Y
249229,U2 R2 B2 L2 U2 B2 L2 D' F2 U R2 D L' F' U B R' B2 D L2 F' L' U' ,Y
1031056,B2 U R2 U' L2 U B2 U L2 D2 F2 D' F2 R2 U2 F' R B' U L D R2 B' R' U ,Y
342943,B2 D' L2 D' R2 U2 R2 F2 U' F2 D' F2 U2 R' B D F L U' R' L2 B ,Y
418992,R2 U F2 D F2 D' B2 L2 U' F2 D' L2 B2 F2 U R F R2 U' L' D' F R' B' ,Y
768918,D B2 D R2 B2 U2 B2 U' F2 U' L2 B2 U B' L2 U B2 L' F R' U' B' D' L' ,Y
985729,B2 R2 U R2 L2 B2 U R2 U2 B2 D' B2 U B2 U R' D' B' L F U R' D' U2 B ,Y
472980,R2 U L2 D F2 R2 U2 F2 D L2 D F2 U' R2 U2 L' F' U R2 F R' B' D F' D2 L' ,Y
763743,B2 D' R2 U F2 U' F2 U' B2 D' R2 D2 U' F2 L' B L2 U' R' D' R2 B L' F U2 ,Y
892107,R2 F2 D R2 F2 D F2 D' B2 D' R2 U L2 U' L2 F' R F2 D' B' U' R F' L' U' ,Y
878525,F2 U2 B2 L2 D' R2 B2 U' R2 B2 U R2 U R2 L' D2 B' D R U F L' B' ,Y
416936,U2 B2 D' B2 D B2 U' R2 U R2 B2 U L2 B2 L' B' R U F D L' D2 B U ,Y
165045,U F2 U F2 R2 D2 R2 U' F2 U' R2 D F2 U B' L F' U' R' D' B D2 L' U2 ,Y
644012,L2 D' F2 U' B2 D2 R2 B2 L2 B2 D B2 U2 R2 U' L' B' U2 R2 D R' U' F' L' B' ,Y
1202923,U L2 U' B2 R2 U F2 U F2 U2 L2 D' L2 U' F' L U R' L2 B' F2 U F L' ,Y
157748,B2 D' R2 D' B2 F2 D' B2 R2 U' L2 U' R2 D' B' L D' F R' D' R2 U' B' L' U' ,Y
386422,U2 R2 F2 U B2 D' R2 B2 R2 F2 D B2 D' B' R' L F2 D R2 F' U' B L' ,Y
1204221,R2 B2 U' F2 R2 U' L2 D F2 D2 B2 D U' L' F U' R D L U2 F R B ,Y
969957,D B2 D2 B2 L2 D' B2 L2 D' B2 F2 D2 B' R2 L' U' R F D B L U ,Y
