# Scramble Extremes — pseudo / pseudo_xxxcross / O / bin 11 (3rd-smallest)
# Population in this bin: 806733
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

970958,B2 D' L2 B2 F2 D U2 F2 D R2 D' L2 U' L2 B' R' F U' L' D' R2 F R' U' ,O
980604,U F2 R2 U' R2 D' F2 D2 R2 L2 B2 L2 U' R' F' L' D' L2 B' U2 R U' F' U' ,O
1132314,B2 D2 F2 D R2 U B2 F2 D' R2 F2 U' B2 U' L' B' D R2 B R' F' U B' U2 L' ,O
248101,D R2 D2 B2 U R2 D2 B2 R2 B2 R2 D B2 D' L2 F R' L2 U' L B D F R U' ,O
119493,B2 U2 R2 D L2 B2 D' B2 U' R2 L2 U2 R2 F' L U R B D' B2 F' L' U ,O
1221568,L2 D' F2 L2 B2 U2 L2 D R2 U' B2 U R2 U' L2 F' R2 L' D' R B U F L U' ,O
1130320,F2 U2 B2 R2 U' B2 D' L2 D2 B2 F2 L2 B2 U' B' R F' L2 D L U R2 F' R U ,O
376188,L2 D2 B2 L2 D B2 L2 F2 U2 L2 U F2 U' L2 D' F' R' U' L F2 R2 B U' F' R' U2 ,O
1001271,B2 D B2 D' R2 D R2 L2 B2 U' R2 L2 D2 R2 U' L' B' R' D' R2 F' U2 L U' B' U' ,O
1041508,B2 U' L2 U' R2 L2 U' R2 D R2 D R2 U2 L' B' L2 D R U R2 B' L F U' ,O
510375,D B2 D F2 D' F2 D2 B2 L2 U' B2 U' F2 U' B' R' F' D F2 L' U2 B' U' R ,O
37618,U2 B2 U' B2 U B2 D F2 D B2 D B2 L' D B R F' R2 U' L' D' F ,O
992889,D2 F2 D' B2 D' R2 U L2 U F2 R2 B2 U2 B' R U L F D' B' F2 R ,O
998376,F2 U2 R2 L2 D F2 R2 U B2 U2 L2 F2 L2 F' L F2 U' B' D' L F' R ,O
448283,F2 D R2 D F2 U2 L2 D R2 U B2 U' R2 F' R D' R2 U' B L F D' R ,O
462267,F2 D' L2 F2 L2 F2 U2 L2 D B2 F2 L2 D' R' U' F L D' B2 U' B' R F ,O
991458,B2 D' R2 D F2 D2 F2 R2 L2 D F2 R2 D2 F' R U' B D F U2 R B L' ,O
1068226,R2 U L2 U2 B2 R2 U B2 U F2 D' F2 U R' F' D' B' L' U R L2 F U ,O
389414,F2 L2 B2 D' L2 B2 D2 U F2 D' L2 U' L' F L2 D L B R' U' L' U' F' ,O
341655,F2 R2 D' B2 F2 D L2 U R2 U L2 D F' R F2 D' B' U' R F' L U ,O
170684,F2 D R2 D' L2 B2 U B2 U' F2 R2 D' B2 U2 B' D' L' F' R U B' L2 U2 L' U' ,O
291673,R2 B2 L2 U2 R2 D' L2 D' R2 D B2 D L2 U B' D R F L' F2 U' B' D' L ,O
98809,D' B2 F2 D' F2 R2 D' R2 U' F2 U R2 L' B U' R F D' L2 U' L' B ,O
1155729,U B2 U L2 D' B2 L2 U2 L2 U F2 U2 L2 B' L B2 D' F' U' F2 L B' R U2 ,O
294962,D R2 B2 L2 U' F2 U' B2 D B2 D F2 R' B' F2 U' F L D R B U ,O
454214,R2 L2 D R2 U' R2 D R2 F2 D F2 D L2 B2 U' L' B R' D F' D2 U' R2 L' F' ,O
30925,B2 U R2 D F2 D' B2 L2 U F2 R2 L2 U R' F L' B2 D B U F2 L' F' U ,O
339976,D2 R2 U F2 L2 U R2 D' B2 F2 U' F2 U' R2 U' B' R' B2 D F U R' B L' ,O
397466,D2 F2 D' F2 U2 B2 U R2 F2 L2 B' L D' L2 U' L2 F' R B U L U' ,O
560932,B2 L2 D F2 U' B2 U B2 F2 R2 D B2 L2 R' B R2 D' L' U' L2 B R' F U2 ,O
277819,F2 D' L2 F2 U B2 D' R2 D' F2 U' R2 L2 B' U' R' U2 F' L2 D L' B' R' U' ,O
65951,D' F2 U' R2 D2 R2 D B2 R2 B2 L2 U' L2 U' R' B F2 D F' L' U' R' B' U' ,O
1268743,R2 F2 R2 B2 U' B2 U2 F2 U R2 D F2 U R2 F' R B2 D' B U' F2 R F L' ,O
618308,R2 D' R2 L2 D R2 U2 R2 L2 F2 D U' B2 L' F' L2 U R D R2 F' L B' ,O
306952,B2 R2 U F2 L2 D R2 U2 L2 F2 U F2 U R2 U' R' B F' R2 D' B2 L U R' F' U' ,O
492623,D' L2 D2 U' B2 D R2 B2 R2 F2 D' F2 U' B' R B2 U' F' D' R B' L U' ,O
16393,D' L2 B2 R2 F2 D' B2 D U2 B2 F2 U' B2 U' R' F' L U' B' D' F2 L F' U' ,O
1033152,U' L2 U' L2 B2 R2 U2 R2 D' R2 U' L' B' R F2 U' F' D' B2 R B' ,O
1114538,U F2 L2 D R2 D2 L2 F2 U L2 U B2 R2 L2 B' R' B2 D F U F2 R' B L U2 ,O
9089,U2 R2 U' R2 L2 B2 D' R2 D F2 U F2 R' B' F' U R2 F2 U R' L' F' ,O
395360,R2 B2 U' R2 U' B2 R2 B2 D2 B2 U L2 U' F2 R' B' U' B2 F R2 L U' R' B' ,O
2729,R2 L2 D2 B2 D U2 L2 U' F2 R2 U' B2 U F' L U B2 D B R' D F' L ,O
622290,B2 D L2 B2 U2 L2 D B2 R2 D' U' B2 D U' L' F' D U B R' L' F' U' B2 L ,O
554995,D' R2 B2 D F2 U' R2 L2 D L2 D U' B' L' D' F' U F2 D2 R' B' L' ,O
1247803,B2 R2 U F2 D B2 D2 R2 L2 B2 L2 U' F2 L2 F' R' L2 D2 U' F' D L' B R' ,O
941234,F2 D' R2 U2 L2 F2 R2 U B2 U F2 U' B2 L' U2 B' D U2 R U' L2 B' L' F' ,O
418943,U2 F2 R2 L2 D L2 U' R2 U R2 U2 B2 R2 U R' F' R2 D L U F' R B L2 ,O
325313,R2 F2 U2 L2 F2 U' L2 U' F2 D2 F2 R2 U' F' R D L B U' B2 F' R' U ,O
1145049,D2 B2 D L2 D B2 R2 D F2 U' B2 U' L2 B2 L' D F' U' L' B' R D F U2 L' U' ,O
234202,R2 D B2 U' R2 U' R2 F2 R2 U B2 F2 U' F' D2 L' F2 D B U L F R' U' ,O
926862,F2 U' R2 D' L2 D B2 L2 U R2 U' F2 L2 D2 B' D2 U2 R U' L B D F R' ,O
661901,B2 F2 D' U' R2 D B2 U B2 L2 B2 D2 U' F' L' D R B' R2 U F2 L' F' U' ,O
866135,B2 R2 D R2 D' F2 D R2 L2 F2 R2 D' L2 F' R' U' L' B' D F' D2 U2 L' ,O
1077911,L2 D2 R2 F2 R2 L2 U2 F2 U L2 U2 L' B' D F R' F2 U L2 B' L' U' ,O
145435,U2 B2 D' F2 U2 L2 U' R2 F2 U2 B2 D2 U2 B' L D' R' F R2 U' B2 L B ,O
51318,B2 L2 D' L2 U2 R2 B2 U R2 F2 L2 U2 L2 B' L' D2 F2 U F' D' R' B' L' ,O
580807,L2 U2 R2 U' F2 D B2 D2 R2 U' R2 U' L2 U F' L B' D R U L2 B' L U' ,O
175819,F2 R2 U' L2 D' R2 D2 F2 U F2 R2 U B2 U' L' D B U F2 L F' R' D' B ,O
715742,L2 U2 B2 F2 D R2 D B2 R2 D' L2 D2 L2 B' R2 F' L' D R' F' U' R2 B' L' ,O
574538,D' B2 R2 B2 F2 D R2 F2 D2 B2 D L2 D L2 U' F' L F2 U' B' D' B2 L F' R U' ,O
621105,F2 D' R2 F2 U2 R2 D' B2 R2 D F2 R2 U R' U2 B L2 D' L F R U B ,O
953906,R2 U2 B2 D R2 D' L2 D' F2 D R2 F2 D L2 U2 L' D' F' R' B U L' F2 U2 F' U' ,O
300865,B2 D2 L2 B2 U B2 D F2 D' B2 U2 L2 U' F' R' F2 U B D R' F L' U' ,O
821371,F2 R2 D R2 B2 U2 F2 D F2 L2 D R2 U L2 F' D2 R' B2 U B' L' F' D' R' ,O
1258516,F2 D' F2 L2 U R2 D2 F2 U' B2 D' F2 U2 B2 U2 F' L U' R' B R2 D' F2 L F ,O
864304,U R2 U2 F2 D F2 R2 B2 L2 U' F2 R2 D2 F' L' B' D' B2 R' U2 F U' L' U2 ,O
213099,D' F2 R2 D' L2 D R2 U2 L2 U' B2 F2 L2 F' R L2 D L' B' U' F' R' U2 ,O
578903,F2 U2 F2 D F2 U' B2 U2 R2 B2 D' L2 D' R2 B' D2 L' F' R U' L2 B D2 F' R ,O
158487,D' F2 U B2 U' R2 F2 U' B2 U2 R2 U L2 F' R' F2 U B D B2 R' F L U ,O
667375,D2 F2 D' L2 U' R2 U2 B2 U R2 B2 L2 B2 U L2 F' L' B R2 U' R' D' L2 B L U2 ,O
533297,U2 F2 L2 F2 L2 F2 U' R2 D L2 U' F2 U' R2 L' D B' D2 R F2 U F L B' ,O
828614,R2 F2 R2 U F2 D R2 U2 B2 D' F2 D F2 L2 U2 B' D B2 L D' F R L B D' L' ,O
428371,D2 L2 F2 U' B2 U2 L2 B2 L2 U' L' U2 F' D' R' B L U F D' L' ,O
271770,R2 U L2 U F2 U2 F2 U2 L2 U R2 B2 U2 F2 L' B U' F' R F2 D' L2 B L U' ,O
178575,F2 R2 U R2 U' L2 U' F2 D B2 U' L2 B2 D2 B' R' F' D F2 U L' B' R' U' ,O
246317,B2 R2 F2 U' F2 L2 F2 L2 U' L2 F2 D B2 R' U2 F U' L' D' B' R F L2 ,O
999358,F2 D F2 U R2 U R2 F2 R2 U' B2 U L2 U' F' R2 U' L' B' F' R D U L' F' ,O
334704,D L2 U' B2 U' B2 U2 R2 D R2 F2 R2 L2 U2 F' L B D' R2 U' R F L' ,O
865026,U2 B2 U' B2 L2 D' L2 D L2 U' B2 R2 U B2 U' F' L' F2 D B U L' F R F2 ,O
