# Scramble Extremes — pseudo / pseudo_xxxcross / W / bin 11 (3rd-smallest)
# Population in this bin: 552425
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

69236,D U2 R2 B2 D2 R2 B2 L2 U L2 D L2 U' F' R F2 D' B' U' B2 R F' L ,W
112726,B2 U B2 L2 D F2 U B2 L2 B2 U2 B2 F' L' U' B' D B2 U2 R' F' L' U' ,W
627586,D' F2 D F2 R2 U B2 U' R2 U2 B2 F2 L2 F' R F2 D' B' U' B2 R F' L' U2 ,W
220430,L2 B2 R2 U2 L2 U R2 D F2 U R2 D' B' D2 L D2 F L2 D' R' U' F' L' ,W
465825,U' B2 R2 D L2 D2 L2 D2 F2 D B2 U' R2 L' U2 B U' R' D' F' L B U' ,W
297824,U B2 L2 U2 F2 D' R2 B2 R2 L2 D F2 D B' U2 R B2 U' F' D' R' B' L' ,W
1248671,U R2 L2 U' L2 D' B2 L2 U B2 U2 F2 U' R2 L' D' B D' F' R U L B R' ,W
1170843,D F2 U' R2 L2 F2 U' R2 B2 U2 F2 U' F2 U F2 R' B L U2 F D B U' L F ,W
826474,B2 U B2 D' L2 D L2 F2 D' B2 U2 R2 B2 D' R2 F' R' U' L' B' D B2 F R U' ,W
202480,L2 U L2 B2 U L2 U' F2 D R2 D2 L2 F2 D2 U' F' U2 L U' B' D' R' F L U' ,W
829710,U2 L2 D F2 D2 F2 L2 D' L2 D B2 F2 L2 U' L' F' R' D B2 U B' L' F' ,W
498073,L2 F2 U L2 D R2 F2 D2 R2 D' F2 U2 R2 F2 U L' F L2 D' R' U' F L' B' L2 ,W
597134,U' R2 U B2 U' B2 R2 U' F2 U R2 U2 R2 B2 L' U F R B' R2 D' L' U' B ,W
842771,B2 D2 U L2 D B2 F2 D2 B2 U L2 F2 U' F' L' B' U2 R2 D R' U' F' L ,W
720000,D2 F2 U L2 D2 L2 U B2 D L2 U' R2 D' B2 L2 F' R' B' L2 D L2 U L' F' R ,W
421777,F2 R2 D' B2 U' R2 U2 L2 U B2 L2 U' B2 U L' B' U' F' U R D F2 R2 F L' ,W
868382,L2 U' R2 D B2 D' R2 D2 B2 F2 R2 B2 U' F2 D2 L' F' R L2 D U2 F' U' L B ,W
475648,R2 F2 U R2 U B2 F2 R2 B2 D R2 D' L2 U L' B D2 F D' R' U B' U2 F' L' ,W
324924,U' F2 U' B2 D B2 U' B2 F2 R2 F2 U R2 U' R' B2 F U B' L' D' R' F' ,W
1228791,D F2 L2 U2 L2 D F2 U' B2 U2 R2 U R2 U' R2 B' R' F U L D B' D2 R U ,W
246932,U R2 U F2 U2 F2 L2 U F2 L2 D2 L2 U F' D L B' R' U' F D U2 L' ,W
1270027,R2 D L2 U' R2 F2 U2 L2 D2 F2 U' F2 U2 F' R2 L' U B R' D' B F' L' U' ,W
442171,F2 R2 U' R2 B2 R2 F2 U2 B2 D R2 D B2 U2 F' D' R' B L U F' D' U2 R ,W
1203654,F2 R2 D B2 D' R2 F2 U' R2 D B2 L2 U2 R2 U' L' D2 F' R' U' L' B' D F U2 L ,W
763571,R2 D' L2 D L2 U' B2 D' F2 U' B2 U' F2 U2 R' U2 F' R D' B' F' U' R F L' ,W
122206,U' B2 U2 B2 R2 D' L2 D' F2 U2 B2 D2 R2 L' U' B' R' F R2 D L U F' ,W
328724,D' R2 U F2 D' R2 B2 L2 B2 L2 U L2 U L2 B' U L F R' F2 D' B' U' R' ,W
1163878,D' F2 R2 U2 R2 D F2 U2 L2 D' F2 R2 U2 L2 B' R B2 F' D' U2 R U B' L' U' ,W
1207133,B2 D R2 D R2 U' F2 U F2 L2 U' F2 D R2 L2 F' U' L' B R D F' D2 U' L' ,W
163476,R2 L2 D F2 R2 D R2 B2 U2 R2 F2 D R2 U B' U2 R L' U' L2 F' D' B R' ,W
171475,F2 R2 L2 D' R2 U2 F2 D R2 F2 U' L2 D U' B' D R U L2 B L' F' D' R ,W
1154948,L2 D R2 D' R2 B2 D' B2 F2 L2 D' F2 L2 D2 L2 B' L' B2 U F D L' B R F2 ,W
331793,U' L2 U L2 B2 D2 F2 D L2 B2 D B2 L2 U2 L' B' L2 D R U R2 B' L F' U2 ,W
347787,D' F2 D B2 L2 U2 F2 L2 D' L2 F2 D B' D2 L' F2 U F' R' B' D' L' ,W
120548,F2 D' F2 R2 U' F2 R2 D2 R2 D' B2 D' F2 L2 F' R' U' L F2 R2 B U' F' R' U2 ,W
558028,F2 D F2 R2 L2 D B2 D2 B2 R2 L2 D L2 U' B' L F' U R' D' U2 B' F2 R' ,W
879092,D2 R2 U2 F2 L2 B2 U B2 U' L2 B2 R2 L' F R' D2 B2 U' B' D' L' F' U' ,W
541387,L2 U' B2 U' F2 U2 R2 F2 L2 B2 D' B2 L2 U' L2 F' R L D B' D U' F' D' R' ,W
890002,B2 U' R2 U F2 D R2 U L2 D2 F2 U2 L' F' U' B' R D L F' U2 ,W
1252241,U' F2 L2 U R2 F2 L2 F2 D L2 D' B2 F2 L2 D2 L' B2 F' U' B R D L F' U2 ,W
812456,U2 F2 D' B2 U B2 U2 L2 U R2 L2 U2 L2 F' U' L B D' R2 U' R' F L ,W
1162276,R2 U' L2 U F2 D' F2 D' R2 L2 F2 R2 U2 L' F2 U' B' R' L' F D U B' L' ,W
90374,U' B2 D' R2 F2 U' F2 D R2 U' F2 R2 D2 L2 U R' D F L B U' B2 R D2 F ,W
