# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / BGWY / bin 6 (3rd-smallest)
# Population in this bin: 239045
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

889554,D2 R2 B2 U L2 D B2 D' R2 U B2 L2 B2 L' F' R D' B D2 U R2 L B ,B
901484,U B2 L2 D B2 F2 L2 D2 R2 U' F2 U' B2 F' R2 L D' B' R U B' F L' U' ,B
462199,U' L2 D F2 D' F2 U' L2 D B2 L2 D' R2 U' R' B L' F2 U F D B2 L' B U' ,B
898186,F2 U F2 R2 U F2 R2 D2 R2 D B2 U' F2 L2 D L' F' U' B' R' D R2 L F U' ,B
1093161,U' F2 D' B2 R2 F2 R2 D B2 L2 U2 R2 U R2 U' B' L D' L2 U' L2 F' R B U L U' ,B
375038,R2 D F2 L2 U L2 U2 R2 B2 D B2 D' R2 D' B' L F D' F2 U' R B L' U' ,B
347625,B2 R2 B2 R2 F2 D B2 L2 D' U' R2 F2 D2 F' L' D' R' B' U B2 F L' ,B
911125,L2 F2 D' B2 U2 B2 F2 R2 U' L2 U' R2 L2 U' R' B' L F2 D' F' U' B2 L B U2 ,B
382767,U L2 U' L2 U F2 D L2 B2 L2 U R2 U' L' D2 B' D R U F L' B' ,B
54662,B2 U' B2 U B2 F2 L2 D2 B2 D F2 U' L' F' R B2 D' B' U' F2 R F U2 ,B
460751,D' F2 D B2 D2 F2 U B2 L2 B2 F2 L2 F' L' B' D B2 U R' F' L' U' ,B
515794,U R2 U2 R2 D' F2 D R2 D' R2 U2 B2 L2 B' L' D' F' U F2 D2 R' B' L ,B
930009,L2 B2 U' L2 F2 L2 D2 F2 D F2 R2 U F2 U B' R D' L' F2 U' B F' U2 R' ,B
372050,D2 R2 B2 U' L2 D' R2 D L2 U' F2 R2 U' L2 U' B' R2 L U' F' R D B F' L' U' ,B
644354,L2 B2 D U2 L2 B2 D2 F2 D' R2 B2 U L2 U' F' L' U' B' D B2 U2 R' F' L' U2 ,B
453761,U' L2 D' F2 D2 R2 L2 B2 R2 D B2 U2 R2 U B' U2 R U' F' D' L' B R ,B
478935,U' F2 L2 U' B2 R2 D' L2 U2 F2 D F2 U F2 U2 R' B L U2 F D B U' L F' ,B
595926,U L2 F2 U L2 D' B2 R2 U F2 D' R2 F2 U' R' B' F R2 U B2 L' D' R F ,B
635590,F2 D' R2 U' R2 F2 R2 L2 U' F2 U R2 U2 L' B L2 U' R' D' B L' F' ,B
324238,F2 D' L2 U' R2 D' R2 F2 L2 D' R2 F' L D' B2 U' B' R F U' L' ,B
634258,F2 U2 B2 L2 D B2 D B2 D R2 U2 B2 U2 B' D' U2 L' U F R B' D' L ,B
356096,B2 D' R2 B2 U2 L2 U L2 D' F2 D' U' L2 U' B' L' D R' B2 L2 D B F' L' ,B
464427,F2 U' B2 U B2 R2 L2 F2 L2 D' L2 D2 R2 F' R B' U2 R2 U' L D B R' U' ,B
933515,R2 B2 U B2 U2 F2 R2 B2 L2 F2 U2 F' U R D L2 F L' B' U' R ,B
174341,U' B2 D R2 B2 D2 R2 B2 D' L2 F2 U R2 D2 B' R' D' L' F' U B' D2 U2 L ,B
630567,D' R2 U F2 U R2 D2 R2 F2 R2 U L2 B' R' D' F U2 L U' B R' L' ,B
394631,D' B2 U L2 B2 D' B2 D2 B2 U B2 F2 R2 D' L2 R' B L' U' F' D' R D2 B' U ,B
931503,F2 D' L2 F2 L2 B2 U R2 D2 R2 U2 B' L' F' L2 U R' D R2 F' L' ,B
1121477,L2 F2 U' L2 F2 D L2 F2 L2 U' F2 U B2 D R' B' D2 L2 U L' D' F' R' B ,G
647795,U' F2 R2 D2 R2 D' B2 U' F2 D' B2 R2 B2 U L' F R2 U' R2 B' D R' L F' U' ,B
643461,D2 B2 U' L2 D B2 D' R2 D2 B2 U F2 U' B' R' D F' U B2 R' B' L2 D' L' ,B
459771,D' B2 U2 B2 R2 U' R2 B2 D' B2 U F2 L2 U2 R' F' L B2 U' B' D' F2 L F' U2 ,B
