# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / OR / bin 6 (3rd-smallest)
# Population in this bin: 261434
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1214103,R2 D' F2 R2 D' L2 D R2 D2 R2 D F2 U' L' U' F' D' R' B L U F L' ,O
936087,U' F2 L2 D R2 L2 F2 D' R2 B2 U' F2 U' F' R' U' L' B' D B2 F R U2 ,O
905015,D' R2 D2 U' B2 U' B2 F2 R2 B2 F2 U R2 L' U2 F' U R D B L' F ,O
524407,D2 R2 B2 R2 D F2 U L2 U' R2 L2 D B' R B2 U' F' D' F2 R B' L U2 ,O
237022,F2 U' L2 B2 F2 D L2 U L2 U2 B2 L2 F2 U' R' B' L F2 D' F' U' B2 L B ,O
529708,D' F2 U R2 D L2 U' R2 L2 U' L2 U2 R' D' B' L F U R' D' U2 B' ,O
215185,D' R2 U F2 R2 D2 B2 L2 D U2 B2 U' R2 F2 R' F' L U B D R' D2 F ,O
332420,R2 D R2 D' L2 B2 D' R2 U F2 L2 U R2 U2 L' B L2 U' R' D' R2 B L' F' U ,O
903209,L2 U' F2 U' B2 U2 R2 B2 L2 U R2 D R' F L D B U' F2 U2 L' F' ,O
875157,D L2 U' B2 L2 U' F2 L2 D' R2 U F2 U L2 U' L F R U' B2 D' B L F' U2 ,O
2465,D' R2 D' B2 U B2 D' F2 D' B2 F2 L2 D' F2 U' B' U2 R L' U R2 F D B' L ,O
388934,L2 D F2 U2 L2 U B2 L2 U' B2 D F2 R2 U L2 R' F' R2 L D2 U F' D' R B U' ,O
338531,D' F2 D' L2 F2 D' B2 R2 D' L2 D2 U B2 U2 L' B R' D' F' U' L U2 B' U ,O
73152,F2 R2 L2 D R2 U' F2 D F2 L2 D2 L2 D F2 U' L' U2 F' U R D B L' F' U' ,O
888480,D' R2 D R2 D' L2 D B2 U' B2 L2 F2 L2 D2 U' F' L' D' R' B' U F' D2 U2 R' U' ,R
1209888,D' F2 U' L2 U B2 U2 R2 L2 U' L2 F2 U2 F2 U' B' D' L D2 F' R2 U' R' B' L' ,O
559398,R2 F2 D L2 U' L2 U B2 D2 F2 R2 F2 D' B2 U' B' R' D' L' F' U B F2 R U' ,O
398760,F2 R2 U2 F2 U' R2 U L2 D' L2 U L2 U L2 U2 L U2 B U' R' D' F' L B ,O
314440,L2 B2 F2 U B2 F2 R2 D' R2 L2 F2 U' R2 F' R' B D L U F' U2 R U ,O
1207861,U F2 R2 U L2 D2 L2 F2 D F2 D' B2 U L2 U2 L' F R' D2 B2 U' B' D' L' F' U2 ,R
479849,D2 B2 U' B2 D L2 D L2 B2 F2 U L2 U' R2 U' B' L' F' R2 D R2 U R' B' L' ,O
597321,D' L2 U B2 L2 D2 F2 L2 U F2 R2 U2 R2 U2 B' D R' F' D F2 U L B' R' ,O
477781,D L2 U2 L2 B2 U' R2 D' L2 U' L2 U R2 U' R2 L' B' R F2 U' F' D' B2 R B' ,O
447475,U B2 R2 U' R2 B2 U2 B2 D' F2 R2 D' R2 U2 L2 F' R L2 D U2 F U' L B' R' ,O
447257,R2 L2 D' L2 U R2 B2 D2 B2 U' R2 U2 B2 F' L D' B2 U' B' R F U' L' ,O
460659,L2 B2 F2 U L2 U F2 R2 D' R2 D R2 F2 U2 B' R' F U L D B' D2 R' ,O
928191,D R2 U2 F2 R2 D' B2 D F2 U2 R2 U' B2 U R2 L' F R' B2 U B D F2 R' F' U' ,O
245861,F2 U2 F2 L2 D2 L2 D' R2 L2 U' B2 L2 U' L' B R D' F2 U' F L B' U ,O
40413,R2 B2 U' B2 U2 B2 U R2 B2 U' B2 U' B' R' F' D' F2 L' U2 B U' R' U2 ,O
224875,U' B2 R2 U' R2 F2 U2 B2 U L2 U2 F2 U' L2 F2 R' B' L F2 D' F' U' B2 L B ,O
917978,U2 L2 U' B2 U2 L2 U' B2 L2 U' R2 U B2 R2 U' F' L B' U2 R2 D' R' U' F' L' ,O
896944,R2 U2 F2 R2 U2 F2 L2 U' B2 U R2 B2 U L' D F U R B' L' D' F' L ,R
611262,U' R2 B2 D F2 U L2 D' L2 U L2 U' L2 F2 D2 L' U B D R F' L' U' B' L' ,R
451699,L2 U F2 D' L2 U' R2 U' L2 D L2 U' R2 U2 B' L D R F U' B D2 U2 R' ,O
611293,D2 F2 L2 D R2 L2 U B2 L2 D B2 U B2 U L' B2 F D B' R' U' L' F' U' ,O
916406,F2 U' B2 R2 U2 L2 U' L2 B2 D' L2 D B2 U L2 B' R U' F' D' B2 R B L ,R
558329,U L2 U' F2 L2 D' F2 D' R2 U B2 R2 U B' L F' U R' D' U2 B' F2 R' ,O
64153,L2 D' L2 D L2 U' R2 D' L2 F2 U2 F2 U F2 L' B' D' F' R' U R2 L B' U' ,O
220795,F2 D F2 D' L2 D R2 U' R2 B2 R2 F2 U2 L2 R' B' L' D F U R B' D2 F' ,O
372779,D F2 R2 D F2 D2 L2 B2 D2 R2 B2 U2 L2 F' R' F2 U B D R' F L F2 ,O
529469,D F2 D2 F2 U R2 B2 D R2 D2 B2 D F2 U2 L' B U B2 F' R' L2 U L B' ,O
924599,U R2 L2 B2 D' L2 U2 L2 F2 U F2 U F2 U' R' D2 B D' L' U' F' R B L2 ,O
891845,U' R2 D2 B2 L2 B2 D' R2 U2 B2 U' B2 F' L' D B U R2 F2 L' F' R' ,O
627650,R2 U' R2 U B2 U2 B2 U' F2 U' R2 D F2 R2 U F' R F2 D' B' U' B2 R F' L' U2 ,O
639656,B2 F2 U F2 U' L2 B2 U' F2 D R2 D' L2 F2 U R' D2 B F' D' F2 L' U' R B' ,O
446980,R2 U2 F2 U L2 U' L2 F2 U R2 U2 R2 F2 L' B U F R' D' L' B' U ,O
529724,U L2 B2 R2 F2 D2 R2 D B2 L2 F2 L2 D F' L B' D' R' U' F U2 L' U ,O
650445,L2 F2 R2 D' F2 D2 F2 U B2 L2 U B2 R2 D R' B' L F2 D' F' U' B2 L B U2 ,O
388477,B2 U B2 U F2 R2 U R2 U2 R2 B2 D' R' D F D' B D L' U' R' B ,O
355947,U L2 D' B2 U R2 B2 D' F2 D2 R2 F2 U L2 U' B' R2 U2 L D B U R F' L' ,O
346066,L2 U' L2 D L2 B2 U2 F2 D R2 U R2 L2 F2 D' B' D' L' F' R F2 U B D R' ,O
