# Scramble Extremes — pseudo_pair / pseudo_cross_pseudo_pair / W / bin 7 (2nd-smallest)
# Population in this bin: 1270040
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

786205,B2 U' R2 B2 D2 R2 D2 L2 F2 D2 L2 F2 U2 L' U F R B' R2 D' L' U' B ,W
2219,F2 L2 U R2 F2 U2 R2 U B2 D' U2 L2 U2 F' R' L B2 U R2 B' D' F L ,W
716648,L2 F2 U F2 U' F2 R2 U' F2 U' L2 U2 R2 B2 L' F L2 D' R' U' F L' B' L2 ,W
513289,L2 U' L2 U' B2 R2 U2 R2 U' R2 U L2 D F2 U' L' B R' F2 D F U B2 R' B' U2 ,W
464819,R2 F2 U R2 U B2 L2 U R2 U L2 B2 U L2 F' R' B' L2 D L2 U L' F' R' ,W
1077223,D R2 U2 L2 U R2 U B2 L2 U B2 U B2 F2 U2 L' F' R B2 D' B' U' F2 R F' U ,W
1123464,U' B2 D B2 U F2 U R2 U' R2 D2 R2 L' D2 B R2 U' R F L D B U' ,W
427741,L2 B2 D' F2 D F2 U' R2 D B2 R2 L2 U' L2 B' R B2 U' F' D' F2 R B' L U' ,W
200573,U L2 U2 L2 B2 U' R2 D' F2 D2 B2 D R2 U2 B' L' F D' R D2 U B F2 R' ,W
182072,U B2 D2 B2 R2 U R2 B2 L2 F2 U2 L2 U' R2 U F' L' B U R D F' D2 L' U2 ,W
720812,L2 D R2 D2 L2 F2 R2 D' R2 U' F2 U' B2 U' B' R' D F' U B2 R' B' L2 D' L' ,W
1013838,B2 D2 B2 F2 U L2 F2 U' F2 U' B2 U2 F2 R2 F' L' B R2 U' R' D' L2 B L U' ,W
740570,R2 U L2 U F2 D' L2 U' B2 D2 F2 R2 L2 F' U2 R' U B D L F' R U2 ,W
332867,B2 D R2 U L2 U2 R2 F2 U F2 D' B2 R2 F' R' B D L U F U2 F2 R' U' ,W
487829,L2 U B2 U2 L2 U F2 U B2 F2 D R2 D' R2 U' R' B' L F2 D' F' U' B2 L B' U2 ,W
1147009,B2 L2 D' F2 L2 D F2 R2 D2 R2 D B2 L2 U' R' B F' L2 D' B2 L U R' F ,W
415409,D' B2 U' F2 U2 R2 L2 B2 L2 D R2 L2 D2 R2 L' F D R2 U R B' U L' F ,W
612169,B2 R2 F2 D2 B2 D' R2 D' R2 U' F2 U2 L2 B' L' F D' R' U' L2 F L' U' ,W
209744,D' B2 U L2 U R2 B2 D' L2 B2 D2 R2 U' B2 U F' R' B' U' B2 L' D2 F D' R ,W
1019134,F2 D R2 U2 B2 R2 U' F2 U' F2 U' B2 F' R2 L F' U R' B' D' F' D' L ,W
924955,F2 R2 U L2 B2 D U' B2 U' R2 D' B2 L' B U F D' L' D R' D' B' ,W
1028204,D' B2 U' L2 U B2 L2 U L2 D R2 B2 F2 U B' D2 L' F' R U' L2 B D2 F' R ,W
143686,F2 U' F2 D L2 U' B2 U R2 B2 D B2 L2 B2 F' L' D L2 U B' R' F' D L ,W
1020938,U' L2 D' R2 B2 D' B2 L2 B2 D L2 U' F' U' R U' L' B D F R B' U' ,W
553081,L2 D B2 U' L2 B2 U F2 R2 L2 D2 F2 D' L2 U2 B' L' F R2 D' R' U' L2 F L ,W
109548,L2 U L2 D' F2 U' F2 L2 F2 L2 U' B2 F2 R' F U B D' R' D L' D' F ,W
648274,F2 U B2 D2 U B2 F2 U' L2 D' R2 L2 B2 L' B2 F D B' R' U' L' F' U2 ,W
1086077,R2 D2 F2 U R2 D R2 D' L2 U R2 F2 L2 B' D' L' D2 F' R2 U R' B' L' ,W
576349,F2 D B2 F2 L2 U' F2 D2 B2 L2 U' R2 U' R2 U F' U R U2 B L2 D' L F R U' ,W
191214,L2 D' B2 F2 D' U' F2 D R2 L2 F2 L2 U' L' D B U F2 L F' R' D' B ,W
451639,F2 R2 U' B2 D' F2 U L2 B2 U F2 D' L2 U' F' D L' B D U R F' D L U2 ,W
868308,F2 D' F2 U' F2 L2 D' U' B2 F2 L' U2 F' D' R' B L U F D' L' ,W
1174366,R2 F2 D2 B2 D' F2 D' R2 D' L2 F2 D2 F2 U' R' U' F' U B' U' L D R B' ,W
764413,U L2 F2 D B2 D' R2 B2 F2 D' R2 B2 D' L' F R2 U' R2 B' D R' L F' U' ,W
270913,D B2 F2 R2 U' B2 U B2 D2 F2 R2 U R2 U' B' D' L' F' R F2 U B D R ,W
810017,R2 L2 B2 D2 U L2 B2 D' B2 U' B2 F2 L2 R' U B L F' L2 D' R' U' F' ,W
354115,U F2 U' L2 U' L2 U2 F2 U L2 B2 R2 L2 U' B' L F U2 R2 D' R U B L' U' ,W
199284,U F2 R2 U R2 F2 D' R2 F2 U2 R2 U' B2 U B' U2 L' U F D R B' L U' ,W
333319,F2 R2 F2 U B2 U' L2 U' F2 D' L2 F2 R' B' L D F U R' U2 B U2 ,W
1049452,D U2 L2 B2 F2 D' B2 R2 B2 U2 L2 U L2 U2 L' U' B' R F D L' D2 U' B' ,W
366161,U L2 D R2 B2 D2 L2 B2 U B2 R2 U' B' D2 L D2 F L2 D' R' U' F' L' ,W
532147,D2 L2 U' L2 F2 U' L2 U' F2 U2 B2 D2 U' L2 U' F' L U' B' L' D U2 R B' L' ,W
5458,U' R2 D' R2 U L2 F2 L2 U' L2 U' L2 D L2 U B' U2 L F2 D' F R B R2 U L' ,W
885882,D R2 U' L2 D' R2 B2 U L2 D' F2 U L2 D' U' L' F' U F2 D R' B' L' U F' ,W
1131197,F2 R2 D' L2 B2 D F2 L2 F2 U' F2 U' F2 D2 U' F' R B L2 D' B2 U' L F R' ,W
