# Scramble Extremes — pseudo_pair / pseudo_xcross_pseudo_pair / R / bin 6 (2nd-smallest)
# Population in this bin: 859
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1217792,U' R2 D2 R2 F2 D L2 U F2 U F2 U2 F2 R' B L B2 D B2 F R' B ,R
889775,D' F2 R2 F2 U2 R2 D R2 U' R2 B2 D' B2 U2 R' U2 B' U L D F R' B' L2 ,R
891768,R2 U L2 D U F2 L2 U F2 D R2 F2 U R2 F' R2 U2 R U B D L F' R' U' ,R
1146236,D L2 D F2 R2 U R2 U' B2 U' B2 U L2 U R' B' L F2 D F R' B' D' ,R
938578,L2 F2 L2 U B2 D' L2 B2 U2 B2 D B2 R2 L' F' R D B U L' U2 F ,R
866341,D' L2 U L2 B2 U' F2 D2 F2 L2 U' B2 U2 R2 U' B' R' L2 U F L' D' B' F R' ,R
891761,R2 F2 D2 F2 D' B2 U R2 F2 U L2 F2 D L2 U' F' L B R2 D' R2 U' R F L' ,R
885123,D F2 R2 U L2 B2 D2 L2 F2 D' B2 L2 U R2 U' L' F' U' B' R D L F' ,R
925177,B2 R2 U B2 U' F2 R2 U2 B2 D R2 L' B U F R' D' L' B' ,R
889830,F2 U2 R2 F2 R2 F2 L2 U' F2 D R2 D2 U' B' D2 R' B2 D F U R B L' U' ,R
1246402,R2 D' L2 F2 L2 U R2 L2 B2 D R2 D2 F2 U' L' B' R U F D L' D2 B' U2 ,R
874873,D2 R2 B2 D2 R2 U2 R2 U R2 D B2 R2 U R2 L' B' R' U F D L B' U2 F' ,R
1206409,R2 D F2 D' R2 B2 D R2 D2 R2 U' F2 U B2 R2 F' R' L U B R' D' B2 F L' U' ,R
889758,U' B2 L2 D R2 D2 F2 R2 D R2 U' L2 D2 L' F' R D B U L' U2 F' ,R
866213,B2 U2 B2 F2 R2 D B2 U B2 U' R2 U2 B2 L' B' D' F' R U L B' U ,R
6234,U' F2 R2 B2 L2 U2 B2 D B2 U' F2 L2 D' L2 R' U L2 U' L' B' F' R' L' ,R
889256,F2 D R2 B2 L2 B2 U2 L2 D L2 U L2 B2 D U' B' F' R' B2 L2 D U' F' R' L' ,R
1206401,U2 F2 L2 B2 L2 U' L2 D F2 D' L2 D' U2 B' R2 U2 L D B U R F' L' U' ,R
1210352,U' B2 U R2 U2 L2 F2 U' F2 L2 U2 L2 U' B2 U' F R' U' L' B D F R' ,R
6247,B2 D' F2 R2 D2 R2 L2 D L2 U R2 U' R2 U R' D L2 D' L B F' R' L' U' ,R
6248,R2 B2 U B2 D2 B2 R2 L2 D U2 R2 D2 B2 U' B' R L U2 B F L' U L2 U2 ,R
866205,F2 R2 U R2 F2 R2 B2 U' R2 U R2 D L2 D2 F' R' U B D F2 R' F' L' ,R
872716,F2 D' L2 U B2 U' F2 D' F2 U2 L2 F2 U2 B2 F' R L' D B L' U' B2 F R' U' ,R
6256,B2 D B2 U' L2 U R2 B2 D F2 U R2 U2 L2 U2 B' R2 D' B D' R' L' B' F' L' ,R
889271,F2 U2 R2 U B2 D F2 U F2 U2 R2 U B2 U2 L' F' U' B' R D L F' U' ,R
6264,U2 L2 D L2 B2 U L2 F2 U' L2 D2 U' R2 U' L' B F U2 R L F' U' ,R
6266,L2 D2 B2 F2 U' L2 F2 D' U' L2 U' F2 U2 B' R L U2 B F L' U2 ,R
889664,L2 D R2 L2 U F2 R2 B2 R2 F2 U L2 D2 R' B L' U' F' D' R D2 B' U ,R
6282,B2 U2 B2 L2 D B2 R2 L2 U2 F2 L2 D L2 U' F' L2 F2 R' U' L' B F R ,R
886003,B2 U' L2 U' R2 U B2 R2 D R2 D F2 R2 U2 L2 F' L U R B' D' F' L' U2 ,R
872712,B2 R2 U' F2 L2 D2 R2 D B2 D' R2 U' L2 F' R' B' L2 D L2 U L' F' R' ,R
6358,F2 L2 B2 F2 L2 D R2 D' L2 U' F2 U2 L2 D R' U R2 B L' U' F' R' B' D U' ,R
553777,F2 L2 F2 D B2 F2 D' F2 D2 B2 D F2 U' F' R D' B' U' F2 R F L ,R
918314,B2 L2 U B2 L2 F2 U2 R2 D' B2 D B2 U2 R2 U' R' D2 B D' L' U' F' R B U' ,R
925192,F2 D' B2 D2 F2 D' R2 D L2 D2 F2 U' F2 U' F' D2 R D' B' U' L' F R ,R
6419,U' L2 F2 D' R2 D L2 B2 U B2 D' B2 U R2 U' B' F' U' R L' B D2 F' D U' L' ,R
553600,R2 F2 D2 F2 U B2 F2 L2 F2 D L2 U' F2 D2 U' R' U2 L2 B' F' R D' L' B' D2 ,R
1210337,D' B2 R2 D' F2 D' F2 U2 F2 L2 D2 F2 R' B' F L2 U B2 L' D' R F' ,R
910263,L2 B2 R2 F2 D' B2 U2 R2 F2 U L2 D' B2 D' F' L U R B' D' F' L' U' ,R
6432,R2 D' F2 L2 U R2 B2 U' F2 D' L2 F2 U' R' B U' F R2 U' R' L B' U ,R
866339,L2 U B2 U L2 B2 D B2 U R2 F2 R2 D' L' F D B R' U' L' F' U ,R
918326,D' B2 D' F2 U2 F2 L2 U' L2 U2 B2 U' L2 U' L' B U F R' D' L' B' U2 ,R
866345,B2 U' B2 R2 B2 R2 D' L2 U F2 D2 R2 D' L2 U' F' D2 U2 L' D R' F' U' B' L' U' ,R
1146237,B2 U2 L2 D' F2 L2 D' B2 R2 L2 U B2 L2 D' R' F L F2 U B F2 R' F ,R
876199,D2 F2 L2 U L2 B2 D B2 U' L2 U' L2 F2 R2 U F' L' D' R B2 R2 B' U F L' ,R
1247806,U R2 B2 R2 F2 D U F2 D B2 R2 F2 U2 L' F D B R' U' L' F' ,R
928340,B2 L2 F2 D2 F2 L2 D' R2 D L2 F2 R2 U' F' R D L B' U' F' R' U2 ,R
6441,U2 B2 D' B2 F2 D' U2 R2 F2 R2 L2 U2 F2 U2 F' R B D B2 L2 U' L' F' R' ,R
6443,L2 B2 D2 B2 U' R2 L2 B2 U' B2 D L2 D' B2 U' L' F R' U' B' L F' U' F2 U' ,R
885124,D R2 D2 L2 F2 D2 F2 D B2 D F2 L2 U2 L' F' U' B' R D L F' ,R
889826,U B2 D2 B2 F2 D F2 R2 L2 D2 U' R2 U' L2 R' B L' U' F' D' R D2 B ,R
1146238,L2 D R2 D2 R2 B2 D B2 U' R2 L2 B2 D2 R' B L' U' R B R' F' R U' ,R
6451,L2 F2 D F2 L2 D' L2 D B2 D' L2 D2 U' F2 U' L' F' R D B L' F' D2 U ,R
6453,U L2 U L2 U' F2 D2 L2 D' R2 B2 U' F2 U' L' B' D' B2 F L D R B' ,R
6454,U2 L2 F2 D F2 R2 D R2 D2 F2 U' R2 U' R2 U2 L' B R' D' F' L B L2 U ,R
1012061,B2 D' R2 U' B2 D F2 R2 L2 U' B2 L2 D2 R' B' L' B2 U' B2 F' R B' ,R
6456,F2 D R2 F2 D' R2 D2 F2 U F2 D B2 R2 B2 L' D2 L2 B F L' D R B D ,R
1249149,U F2 R2 U2 F2 D B2 R2 B2 R2 U' F2 U L2 U' B' D' L' F R U B' D' U2 L ,R
1249156,U2 F2 U R2 D2 R2 B2 L2 D' L2 U R2 U2 L' U2 B U' R' D' F' L B' U ,R
1271420,U2 B2 U' F2 U F2 L2 B2 R2 D2 B2 U L2 U' R2 L' B2 F' U' B R D L F' U' ,R
553590,F2 D' L2 B2 R2 B2 U F2 D' R2 U R2 U R2 U2 L' F U' B L2 U' R L' F' U2 ,R
1235824,D2 B2 R2 D R2 D F2 L2 U F2 D' L2 U L2 U' R' B' L' B2 U' B2 F' R B' ,R
925182,F2 U' L2 U' F2 D2 B2 D R2 B2 R2 F2 U' F2 U R' B' F L2 U B2 L' D' R F' ,R
889457,U2 F2 D' L2 D' F2 L2 U2 L2 U' B2 D' R2 B2 F' L B R2 D' R2 U' R F L' ,R
918282,R2 D' R2 U R2 D2 F2 U' L2 U' L2 B2 R2 F2 U' B' F' R' B2 L2 D U' F' R' L' ,R
866349,F2 R2 D' F2 U F2 D' R2 U R2 F2 U2 F2 U F' D L' B' R D R2 U F' L' ,R
889748,D2 B2 D F2 L2 U' L2 D L2 D R2 L' D2 B' D R U F L' B ,R
1271669,U2 B2 D B2 R2 U2 R2 D' R2 B2 D R2 L2 U' F' L U R B' D' F' L' U2 ,R
1217786,D' L2 U' L2 U' B2 D R2 B2 L2 B2 D' F2 D2 R' B' F U F2 L' U R' F U2 ,R
6758,U B2 L2 U B2 D' F2 U' R2 U R2 U' B2 R2 L' D' R2 F' R B L D' L2 F' ,R
1271418,B2 U B2 U F2 D L2 D' L2 D F2 R2 U' L2 R' U2 F U' L' D' B' R F' U' ,R
889734,R2 F2 R2 U R2 U' F2 D F2 R2 U' L2 D U' B' L U' R F2 R2 D B F' L' ,R
532142,R2 F2 D B2 L2 U2 B2 R2 L2 U' F2 D B2 F' L U' B' L' D U2 R B' L' ,R
918340,R2 D B2 R2 U' F2 L2 D' B2 U' B2 U2 F2 L2 U' R' F' L' D' L2 B' U2 R U' F ,R
889779,F2 R2 D' R2 D2 R2 B2 D F2 D2 L2 B2 L2 B2 U' B R L' B2 U' R2 F D B' L' U' ,R
6764,U2 F2 D' R2 U F2 U' R2 L2 U' B2 U' R2 L' U2 L2 B F L' U R F U2 ,R
6765,L2 D2 R2 D F2 D B2 U2 L2 U2 R2 U' B2 R2 L' F' R B2 D B L' F' U2 ,R
1235825,F2 U R2 D2 B2 U L2 D2 F2 D F2 U' L2 U R' B' F U' B2 L U' R B' U2 ,R
1271665,R2 L2 U2 F2 R2 U' F2 L2 D' R2 U' R2 D' B' F' R' B2 L2 D U' F' R' L' ,R
6768,F2 U' B2 U B2 U2 L2 F2 U F2 U R2 D F' L' D B F2 U L' F R U' ,R
1271694,D U B2 D B2 L2 B2 F2 D' F2 U2 F2 L' U2 F' U R D B L' F' ,R
6770,R2 F2 D2 L2 B2 D' R2 U L2 D' L2 F2 U' L' B' F L D L B R B L' ,R
876498,U F2 L2 F2 L2 D' L2 D' R2 D2 B2 L2 D' L2 U' F' L' D' R B2 R2 B' U F L' ,R
912594,B2 U F2 D' U' L2 B2 F2 U F2 R2 F2 L2 F' R' U' L' B D F R' U' ,R
918327,R2 B2 D' L2 U' R2 L2 F2 D B2 R2 U' B2 U2 L' B U F R' D' L' B' U' ,R
6775,L2 U L2 U' F2 D U2 B2 D' L2 B2 R2 D' L' D R2 B R' F' L D B U' ,R
653846,D' L2 B2 D R2 D2 B2 D R2 U2 R2 F2 U' F2 U2 F' R D' B' U' F2 R F L ,R
925218,U' R2 U R2 B2 L2 D2 B2 L2 D B2 U2 L2 U' R' D' F D' B' L U R F L' U' ,R
918297,F2 D2 R2 D F2 U2 B2 R2 D' R2 U' B2 L2 F2 L' F' U' B' R D L F' ,R
6780,U2 L2 F2 R2 L2 U R2 D F2 L2 D' R2 D2 L' F' R B2 D B L' F' U2 ,R
6781,R2 F2 R2 D' U' F2 D' F2 L2 D B2 R2 F2 D L' B R' D' L B L' F' L U2 ,R
1249148,F2 U' B2 R2 U L2 U B2 F2 D2 U' R2 B2 R2 B' R F R2 U' L' D' F R' ,R
889364,R2 U F2 D' F2 R2 U B2 U' L2 U R2 F2 U B' U2 L' U F D R B' L' U' ,R
6786,B2 D L2 D2 R2 B2 U R2 U2 B2 R2 B2 R2 U' L' U' B R' F2 D' F' L' B U ,R
6788,U2 B2 R2 U' R2 U F2 D' L2 U2 R2 F2 U2 F' L' D B F2 U L' F R U' ,R
889475,D F2 U' R2 D L2 F2 D B2 U' F2 U' B2 U2 B' R F D L U' L2 D2 B R' ,R
6796,B2 F2 L2 U R2 B2 D U2 B2 U' L2 D2 L2 F' L' B U R F' L U F2 U' ,R
6798,B2 L2 B2 U B2 U B2 R2 F2 U2 F2 U2 R2 U' L' D R2 B R' F' L D B U' ,R
889776,U B2 D B2 D' L2 U' B2 D2 F2 R2 U' B2 U2 F' D L' B' D B2 U R F' L ,R
889692,L2 F2 R2 U R2 F2 D2 R2 U L2 U B2 D' F2 L' D2 B F' U F2 L D R' B ,R
653847,U' F2 L2 D' L2 D L2 B2 F2 U F2 L2 U2 F2 U' B' D R L' U B' L F U2 L' ,R
890081,L2 F2 R2 B2 U' B2 L2 F2 R2 D2 L2 U R2 U' F' L U R B D' F D2 U2 R' ,R
925172,U2 L2 D' B2 U' F2 D' B2 U' B2 R2 B2 U2 F' L U R B' D' F' L' U' ,R
885089,F2 U' B2 F2 R2 B2 U R2 U R2 D2 F2 L2 U' F' L U R B' D' F' L' U' ,R
1258974,U2 L2 B2 L2 F2 D U B2 L2 U B2 U' B' U2 R L' U R2 F D B' L' ,R
889657,B2 R2 B2 L2 U R2 F2 D L2 F2 D' U' L2 R' F' D' B' L' U R L2 F U2 ,R
1206879,R2 F2 D F2 U' F2 R2 L2 U F2 R2 D2 R2 U2 R' D2 B D' L' U' F' R B ,R
925190,D' B2 U' R2 U2 F2 D2 F2 R2 U' B2 F2 U F' R' L B2 U R2 B' D' F L' U' ,R
6869,L2 B2 D2 U' L2 D B2 L2 F2 R2 U' F2 U' L' F R' U' B' L F' U' F2 L2 ,R
6870,R2 D L2 B2 D B2 U L2 B2 D' L2 B2 L' D B F' L' D' R' F' U R ,R
866344,L2 F2 L2 U B2 U R2 U B2 U' R2 D R2 U' L' F' U' B' R D L F' ,R
889783,D L2 D R2 D B2 D2 B2 U' L2 U' L2 B2 U2 B2 L D2 F D' R' U' B' L F' U ,R
866371,U2 L2 D' B2 F2 U2 F2 R2 D' R2 F2 U' F' R2 U2 R U B D L F' R' U' ,R
918298,B2 R2 F2 D L2 U' R2 L2 U2 F2 D U L' F' U' B' R D L F' U ,R
889645,L2 F2 U R2 F2 D2 B2 D B2 F2 R2 D' R2 B2 U' L' B' R' D R2 U F' L' B' ,R
889818,F2 U' R2 B2 U2 L2 U L2 B2 U' B2 D' R2 L' B R' D' F' U' L U2 B' L2 ,R
1271699,D L2 U' B2 L2 D' F2 L2 U R2 B2 F2 D2 F2 U' F' L U' L2 D' B R F U' L ,R
1248908,F2 D2 B2 R2 D2 F2 R2 D F2 D L2 D' B2 U2 B' R2 L D R' F U' B' F2 L ,R
159637,D R2 D' L2 F2 U2 F2 U' B2 D F2 R2 U F2 U' B' F' R' B2 L2 D U' F' R' L' ,R
882719,U2 F2 U' R2 F2 U2 L2 F2 D' B2 F2 R2 D F' L' D' R' B' U F' D2 U2 R' U2 ,R
889774,F2 R2 B2 U2 F2 D B2 U L2 U2 F2 D2 L2 F' R B L2 D' B2 U' L F R' ,R
1248947,L2 D L2 U R2 D' B2 L2 U2 R2 U' F2 R2 D' B' U L' U2 F R2 D R B L' ,R
159642,D' F2 U R2 D B2 F2 R2 U' R2 U F2 U2 R2 F' L U R B' D' F' L' U' ,R
873493,U' B2 L2 D L2 U' B2 D R2 F2 D F2 U' L' B' R U F D L' D2 B' ,R
892022,F2 U' R2 F2 U2 R2 U' F2 R2 U2 R2 D F' L' D B U R2 F2 L' F' R' ,R
866228,U' B2 L2 D2 L2 D' L2 U F2 L2 F2 L2 U' F' R' U B D L2 F2 R' F' L' ,R
889772,B2 F2 D B2 L2 F2 D2 F2 U' F2 U R2 U' B' L D R F U' B D2 U2 R ,R
586072,D R2 U F2 L2 U B2 U' F2 D' R2 D' F' R L' D B L' U' B2 F R' U' ,R
1246450,B2 U2 F2 U F2 U' B2 U B2 U' L2 D' R2 U2 L' F D' F2 U' R B L D' F ,R
243999,B2 U2 F2 U B2 D L2 B2 U B2 R2 B2 U B' L' U F D R2 B2 L' B' R' ,R
244002,L2 F2 D R2 F2 D L2 U2 F2 U' F2 R2 B2 U' F' R' U B D F2 R' F' L' ,R
249558,R2 D L2 B2 U2 B2 D' R2 L2 U' F2 U B2 U2 L' F D B R' U' L' F' ,R
886021,R2 U2 B2 D2 U' L2 U R2 B2 U L2 U2 B' L' D R' B2 L2 D B F' L' ,R
