# Scramble Extremes — pseudo_pair / pseudo_xcross_pseudo_pair / WY / bin 8 (2nd-smallest)
# Population in this bin: 87790
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1211394,L2 U' F2 R2 L2 F2 U' L2 B2 L2 U R' U2 B L2 D' L F R U B U' ,W
891349,D2 R2 L2 D B2 U' L2 D R2 D' L2 R2 L' B' R' D' R2 F' U2 L U' B' U2 ,Y
928824,F2 R2 U' L2 B2 D2 F2 D' B2 U F2 D' F2 R2 U2 R' F L' U2 B2 D' B' U' R' F' U2 ,Y
539222,F2 D2 R2 L2 U' L2 U' L2 U' B2 R2 F2 U R' B' L D F U R' U2 B' U' ,Y
897000,R2 B2 U L2 D' R2 L2 B2 D B2 R2 D' R2 B' L' F' L2 U' R D U2 F' U2 L' U' ,W
879622,D R2 D F2 L2 D R2 U' R2 F2 R2 F2 D' L' D2 F D' R' U' B' L F L2 ,W
128783,F2 U R2 D R2 L2 B2 L2 D2 L2 U' R' B' F L2 U B2 L' D' R F' ,W
846822,L2 D F2 R2 U F2 U' L2 F2 D' B2 F2 L2 D2 B' R' D' F U2 L U' B R' L' ,Y
873812,L2 F2 D2 R2 L2 D' L2 F2 D' F2 D' U F' R D L B' U' F' R' U' ,Y
872981,B2 F2 U' F2 U' B2 L2 D' U2 R2 D R' F' L B2 U' B' D' F2 L F U ,W
719218,F2 D2 F2 D L2 F2 U' B2 U L2 D2 R2 U' R' U B L F' L2 D' R' U' F ,W
910705,R2 U' L2 D2 F2 D L2 D2 B2 U L2 D' B2 U' B' R' L F2 D R2 F' U' B L' ,W
891058,U' B2 D' R2 U2 R2 L2 U' B2 U' B2 F2 L2 U2 L' F' R L2 D U2 F' U' L B U' ,W
832763,L2 U F2 D' F2 U B2 D2 R2 U R2 D R2 L2 F' D2 R L' D' L2 B' U' F R' ,Y
1270091,D' R2 U2 B2 U' B2 U F2 L2 B2 U' F2 U L' D' F' R' B U L' F2 U2 F' ,Y
1210538,U' L2 B2 U' R2 D B2 R2 L2 D' L2 U F2 U F' R' D2 B2 U B' D' L' F' R ,W
465411,U R2 U' F2 D2 L2 F2 R2 D F2 D L2 D' R2 L2 F' D' R' D2 B' L2 U L' F' R' ,W
866249,D R2 B2 R2 D F2 D' F2 L2 D2 L2 U' R2 U' L' B R D' F' U' L' B D2 F' ,W
914921,F2 L2 F2 U' B2 L2 D2 L2 D' L2 U2 F2 U' L2 U F' R2 L U R' B' D' F' L' U' ,W
929910,L2 D R2 L2 F2 D R2 D2 F2 U' R2 D R2 B2 F' L U' L2 D' B R F U' L' ,W
579481,D L2 D2 B2 D2 F2 L2 D F2 R2 L2 F2 R2 U' L' F' R D' B' U' F2 R F' ,Y
919159,D2 R2 D B2 D R2 F2 D L2 B2 U' F2 R2 U' B' R F2 U' F D' B2 R B L' ,Y
1049341,R2 D L2 D' L2 F2 D U2 B2 U B2 L2 U' F2 U' R' F R2 U' L' D' L2 F R' B U ,Y
399880,R2 L2 D' L2 D' B2 L2 U2 B2 R2 D' F2 L2 U F' R B D' B2 U' L F R' U ,W
884821,F2 L2 D R2 L2 F2 R2 U B2 D' B2 R2 D' R' F U B L D' R' L2 F' U' ,W
