# Scramble Extremes — pseudo_pair / pseudo_xxcross_pseudo_pair / BGOR / bin 9 (3rd-smallest)
# Population in this bin: 900301
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

648063,F2 U L2 D F2 L2 U R2 F2 R2 L2 U L2 U F' R F2 D' B' U' B2 R F' L U ,R
1196747,F2 D' B2 D R2 L2 F2 R2 D R2 D' F2 D' U2 L' B' D R2 B R' F' U B' U2 L' ,R
1210081,U L2 U' F2 D' B2 D' F2 L2 D' F2 U' L2 D' B' L' F' D R2 U R' B' L' U2 ,O
834343,U L2 U' L2 U2 F2 R2 B2 U B2 F2 U F2 L' F' R B2 D' B' U' F2 R F' ,R
769002,D B2 L2 U R2 B2 D L2 U F2 U' R' B2 F U B' L' D' R' F' U' ,G
127137,U' R2 D L2 B2 U2 R2 D R2 B2 U' R2 F2 L' U2 B F' U B2 R D L' F ,B
114310,D' B2 L2 U L2 D' F2 U' B2 R2 D2 B2 U' L2 U' L' F D B R U' R2 L' F' ,G
985649,U R2 B2 D' F2 D L2 D' B2 U' L2 D' R2 L2 B' R L' B2 U' R2 F D B' L ,B
846580,R2 U' B2 F2 L2 D' F2 U L2 U F2 D L2 U2 B' R' D F' U B2 R' B' L2 D' L' ,O
907910,U2 F2 D' R2 L2 D' R2 L2 B2 D' R2 D2 L' B U' B2 D' R F L U' B ,G
65046,F2 L2 F2 U B2 U' L2 U2 L2 F2 U' B2 U R2 U' B' R' D L F' L2 U B2 R' B' U' ,B
991871,L2 U R2 L2 B2 U R2 U' R2 U L2 U F2 R2 D' F' L F2 U' B' D' B2 L F' R U2 ,O
524983,U F2 L2 U R2 D R2 B2 U2 B2 F2 U' L2 B' L' F D' R' U' L2 F L' ,O
916572,L2 F2 R2 D' R2 D R2 U2 F2 D' B2 D F2 D2 L2 B' U2 R D U' F' L' D B R' ,G
461638,L2 D R2 D' B2 R2 F2 R2 F2 D2 F2 D F2 R2 F' U R' B' D L2 U L F' R' ,G
914185,D L2 D' R2 L2 F2 L2 U' L2 D' B2 D' F2 U' L' U2 F' U R D B L' F' U' ,B
1164175,U L2 D F2 U R2 L2 U B2 D' B2 U' F2 R2 U L' B' D B2 U R' F' L' D B' ,G
623488,U' F2 U' B2 D2 R2 F2 R2 F2 D' F2 U R2 U2 R' F U B L D' R' L2 F' ,R
826272,L2 U2 L2 F2 R2 B2 U R2 F2 U2 F2 D2 U' L2 B' D2 U2 R' D L' B' U' F' R' U2 ,B
985105,F2 D B2 D R2 B2 R2 F2 U2 L2 U' F2 L2 U2 B' L D F2 U F R' U B' L ,O
1270234,R2 D R2 F2 U' B2 D' F2 D' U2 B2 R2 F' R' F2 U B D B2 R' F L U2 ,B
336281,D' R2 D B2 D2 B2 L2 D F2 R2 D R2 B2 U' B' U' R' U2 F' L2 D L' B' R' U' ,R
1221297,B2 L2 D2 B2 L2 D2 U' R2 L2 B2 D R2 U F' R' U R2 D B' L' F' U R' ,B
990449,F2 D F2 R2 D2 F2 L2 D' R2 U R2 L2 U2 L2 R' B' F' U R2 F2 U R' L' F' U' ,B
1179846,B2 U' L2 D R2 B2 D B2 D2 R2 U' R2 U L' U F L' D' R' B' U F U L ,O
1084921,B2 U' B2 U2 R2 U' R2 F2 D' R2 D2 B2 F2 U' F' U2 R L' D L2 F U B' R' ,O
139126,B2 L2 F2 U2 R2 U B2 D R2 F2 R2 L2 U F' R F2 D' B' U' R F' L U ,G
713386,R2 U' B2 U' B2 D B2 F2 U F2 R2 U L2 U F' L F2 U' B' D' B2 L F' R' ,O
857247,D2 F2 D R2 U B2 R2 D R2 L2 D B2 U L2 F' L' F2 D B U L' F R' U ,B
982744,L2 D' B2 U' F2 U' B2 R2 U' F2 R2 U2 F' L' D R B' R2 U F2 L' F' ,R
518927,B2 D B2 L2 U' R2 D R2 U' L2 B2 F2 U R2 U2 L' B' U2 F' U R D' B D2 F L' ,R
956863,B2 L2 D' F2 U' B2 D' B2 L2 D' L2 B2 D2 L' F' R B2 D' B' U' F2 R F' U2 ,R
857372,D B2 D' R2 L2 D B2 F2 D' F2 D B' D' L' D2 F' R2 U R' B' L' U' ,G
762882,U2 L2 U' R2 U2 B2 D B2 D' L2 B2 R2 F2 L2 U2 R' B' L' D2 F' U' B' D L' F ,B
202296,U' L2 U' B2 L2 D2 B2 R2 L2 U R2 U' L' B R' D F' D2 U' R2 L' F' ,B
753304,F2 L2 D L2 F2 U2 B2 U F2 R2 U2 L2 U F2 U' L' U2 B' R2 D R' F' L' U' B' ,G
824145,D L2 B2 D L2 F2 U' L2 D2 F2 R2 L2 U' L2 U2 B' D B2 L D' F R L B D' L' ,R
395141,D' B2 U L2 F2 U2 F2 D B2 U' R2 B2 D2 F' R B' L2 U L D R2 B' R U2 ,O
649324,L2 D' F2 U' L2 D F2 L2 U R2 U F2 R2 D F' R B' F2 D2 U' R D F' L' ,B
985409,R2 F2 D2 R2 D R2 U R2 F2 D' F2 U2 B2 D2 U' R' D2 F' D L U B R' F' L2 ,B
82596,D' F2 U R2 U' L2 U2 R2 B2 D' F2 D R2 F2 D' L' B' L2 D R U R2 B' L F' U2 ,B
1135316,D2 F2 R2 U L2 U L2 D2 B2 U R2 U2 F2 R2 U' B' R' B2 D F U F2 R' B L' ,B
675275,U B2 D' B2 L2 D B2 L2 B2 D R2 D2 B2 L2 F' R2 L F' U R' B' D' F' D' L ,B
909790,D L2 F2 D2 U' R2 D R2 B2 D R2 L2 B2 R2 L' B L2 U' R' D' B L' F' L2 ,O
175339,U2 F2 U B2 R2 B2 L2 U2 F2 U F2 U L2 U' L' U2 F' U R D B L' F U2 ,B
1189708,B2 U L2 D' B2 F2 U B2 D' B2 U R2 U' F2 U' F' R B2 D' B U' F2 R F L' ,O
613547,B2 D' F2 D' R2 F2 U2 B2 L2 D2 L2 D B2 D' F' L' B' U' R' D' L2 B D2 L' ,B
979124,B2 L2 D L2 U' F2 U L2 F2 D2 F2 U B2 L2 B' R' D' R2 L B2 F D' B' R' ,G
314715,R2 D B2 U' R2 D' F2 U' F2 L2 B2 L2 U' B' U' R' U2 F' L2 D L' B' R' U' ,B
407733,L2 U B2 U L2 U R2 U' R2 U' B2 U2 L2 F' L' B R2 U' R' D' L2 B L U ,O
557513,U' F2 U' L2 F2 L2 F2 U' B2 U R2 U' L2 D2 U' F' R B' F2 D2 U' R D F' L' ,R
273705,D F2 D B2 D2 B2 F2 R2 U' L2 U F2 U' B' D' L F D' F2 U' R' B L ,O
46393,U2 R2 U B2 R2 D F2 U2 R2 U2 L2 U2 L' D2 B R2 U' R F L D B ,B
658528,U' F2 U R2 U' L2 U' L2 D2 B2 F2 L2 F' L' B R2 U' R' D' L2 B L U2 ,B
431511,U2 F2 U F2 D F2 R2 U R2 F2 L2 R' B' L F2 D' F' U' B2 L B U' ,G
1218548,F2 L2 F2 L2 U2 B2 U' B2 F2 U' F2 U B2 F' R' U R2 D B' L' F' U R U2 ,B
22609,B2 U B2 R2 U L2 D2 F2 U' R2 U' B2 U2 L' B' R U F D L' D2 B' U2 ,G
1253913,B2 L2 U R2 U2 F2 L2 D' R2 U F2 U B' R' F L2 U' L' D' R2 F R U2 ,R
667290,L2 D L2 U R2 D' R2 B2 U2 B2 U R2 L2 U2 F' U2 R' F2 U B D R F L' ,G
50547,L2 F2 U B2 U' R2 B2 U F2 U' B2 R2 D U' L' U2 F R2 D' R B L U F ,G
521329,R2 F2 D B2 D' R2 D L2 U F2 D2 R2 F2 U2 F' U2 L' D2 R2 D F' U' R' B' L' ,R
66509,U2 B2 L2 D R2 D L2 U2 B2 U' B2 L2 U' B2 L2 B' L F' R2 U R D L2 F' L ,G
