# Scramble Extremes — pseudo_pair / pseudo_xxcross_pseudo_pair / O / bin 8 (2nd-smallest)
# Population in this bin: 4609
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

891479,R2 U B2 L2 B2 R2 U R2 F2 U R2 U B2 U' F' L' F2 D B U L' F R F2 ,O
1219332,R2 F2 U B2 U F2 D' B2 D' R2 U' L2 D2 R' U2 B' U L D F R' B' L2 ,O
1248312,F2 D' B2 U B2 L2 D2 R2 U' B2 L2 U R2 D' B' U' R' U2 F' L2 D L' B' R' U' ,O
879889,R2 D F2 L2 F2 D' F2 L2 U F2 U2 L2 U' L2 U' F' L' D' R' B U F L' ,O
1249233,D B2 R2 U R2 U2 L2 B2 L2 U' R2 U2 R' D2 B' D2 U L D' R2 B' R' F' ,O
1248343,B2 L2 D' L2 D L2 U' L2 F2 L2 B2 L2 D L2 F' R' B L2 D' L' U' R2 B R' ,O
249455,U B2 U' R2 D' F2 L2 B2 U2 L2 D F2 R2 U' L' B' R' U F D L B' U2 F' ,O
880987,U2 R2 D' F2 L2 D F2 D F2 U2 L2 B2 U R' B L' U' F' D' R D2 B' U2 ,O
932738,L2 D2 F2 U R2 F2 U' B2 U F2 U' B2 D2 F' L D' B2 U' B' R F U' L' ,O
866482,D' B2 D L2 U' B2 D L2 U R2 U' L2 U2 R2 L2 B' L F U R D' L2 D2 F' L' U' ,O
1211476,D2 L2 B2 D B2 D2 B2 L2 U' B2 L2 U' B' R' D F U L2 B2 R' B' L' ,O
916273,L2 U' B2 F2 L2 U' L2 F2 D' F2 D R2 U' B2 D2 F' L U R B' D' F' L' U2 ,O
1187112,D2 B2 D' L2 D L2 U F2 R2 U' R2 D B2 U' F' U2 R' U B D L F' R U ,O
1249132,B2 U' R2 B2 D' R2 U2 L2 B2 D R2 U L2 U F' L B R' B F' L' U B' U' L' ,O
1210529,U' R2 F2 U B2 D2 U L2 B2 D L2 U' F2 L' D2 F D' R' U' B' L F' U' ,O
929896,F2 R2 D L2 U2 R2 F2 U F2 D2 R2 D F2 U' R D2 F' R B F2 U' R D F' L' ,O
462035,L2 U' R2 B2 D R2 B2 U2 L2 B2 U F2 U' L2 U' F' L B D2 R2 U' R D F L' ,O
1187064,D' B2 U' B2 D' B2 F2 R2 U R2 L2 U2 R2 B' D2 R' D F U L B' R' U' ,O
1186878,F2 U2 B2 D B2 D L2 B2 R2 U' F2 U' B2 L2 U2 F' R' B' D L2 U L' F' R' U ,O
715,B2 R2 B2 U R2 B2 D L2 D2 B2 U' B2 U2 R2 L' B' D R U F L' B' D2 ,O
883717,L2 D2 R2 D' R2 D' B2 D L2 B2 U L2 U L2 U F L' B U R D F' D2 L U' ,O
1208780,U R2 D2 L2 B2 D2 U' F2 D' L2 B2 U' F2 U' F' R' U' L' B D F R' ,O
1218167,R2 D L2 B2 R2 U2 L2 U' L2 U' R2 D2 U' R' B L D' L2 U' F R B' U ,O
250547,B2 F2 R2 U2 F2 U' R2 D2 B2 U R2 F2 R2 F2 U' L' B2 F D B' R' U' L' F' U' ,O
906935,L2 D L2 U2 R2 B2 R2 U L2 U2 R2 U2 B' L U' F D B U2 L F R' ,O
1180976,F2 D L2 F2 U F2 R2 D R2 U' B2 U2 L2 D2 L' B U F R' D' L' B' U2 ,O
884046,D2 R2 D B2 R2 D' R2 F2 D2 B2 D' L2 D' R2 U' L' F' R' U' R2 B' D2 L D' F' U2 ,O
912332,D2 B2 U' B2 L2 B2 L2 D F2 R2 D L2 U2 B' L' D2 F2 U F' D' R' B' L' ,O
463400,F2 D2 B2 L2 B2 L2 U' B2 D2 R2 D' L2 B2 U R' B' U' F' L' D R L2 B U' ,O
960725,R2 F2 D' B2 U' R2 D' U2 F2 L2 F2 L2 U L2 R' U2 F U' L' D' B' R F U' ,O
1208804,L2 B2 U' L2 U2 L2 U' L2 D' R2 D' B2 U L' F R' U' B' D' L D2 F' L2 ,O
1248776,F2 U2 F2 L2 D2 R2 U' L2 D' F2 L2 D U' B' L D' L2 U' F R B D' L' ,O
1206283,B2 R2 D L2 U' R2 D' B2 U2 F2 U' B2 U' L2 U' B' U2 L F2 D' L2 F' R B D L' ,O
3458,D2 F2 L2 U' L2 D2 R2 F2 U F2 U B2 R2 U2 R' B' F2 U' F L D R B' U2 ,O
846833,D L2 B2 F2 D B2 U' L2 U R2 U L2 D2 U2 R' B L' U' F' D' R D2 B ,O
932765,D2 B2 R2 D2 L2 U' B2 U' F2 D B2 L2 D' U' L' F' R D' B' U' F2 R F' ,O
1187095,L2 D2 L2 U' L2 U2 F2 U' R2 L2 F2 U L2 D U' B' D2 L' U' R2 B' D' R' F L ,O
938551,F2 U2 B2 U' R2 D' L2 F2 R2 B2 L2 U R2 B' R' L' U R2 B2 U B' F' R' U' ,O
446146,D F2 D2 L2 U' F2 D R2 D' L2 U' R2 U2 L2 F' L' D B U R2 F2 L' F' R' ,O
915330,B2 L2 B2 D2 B2 U' L2 D2 F2 R2 U' R2 U' L' F' L2 U R D R2 F' L B ,O
877079,R2 U' F2 L2 U F2 D2 R2 F2 D F2 D R2 L' F D B R U' R2 L' F U' ,O
446134,F2 U2 L2 U' B2 F2 L2 U' L2 U' B2 F' L' D B U R2 F2 L' F' R' ,O
1181506,U R2 U' L2 B2 U' R2 U' L2 F2 U' R2 D B2 U2 L' B F' L2 U' B2 R D L' F ,O
932806,D L2 U2 L2 B2 U L2 D' B2 U' L2 U2 L2 U F' R B' F2 D2 U' R D F' L' ,O
293408,R2 U2 R2 B2 D2 F2 D' B2 R2 D' L2 U2 F2 U R2 L' B' F' U' R D U' L U F' ,O
881103,F2 L2 U L2 U' L2 B2 D' L2 U' L2 B2 F' L' B' D B2 U R' F' L' U2 ,O
1248003,B2 U B2 F2 D' R2 D' F2 D2 B2 U' B2 D' U' F' L B' D' R' U' F' U2 F2 L' ,O
313367,F2 R2 U F2 R2 L2 U F2 L2 D F2 U' L2 B' L D R F U' B' F2 L' U' ,O
437226,B2 U' R2 B2 D' U2 B2 D F2 U' R2 U F2 U' F' U R' B' D L2 U L F' R' ,O
885611,U' L2 U' R2 U' R2 U2 R2 F2 U' R2 U' B2 L2 B' L' F U2 R2 D R U B L' ,O
925217,B2 R2 U R2 D2 F2 U' R2 U' L2 D R2 U L2 U2 F' D2 U2 L' D R' F' U' B' L' U2 ,O
1210486,B2 L2 U' B2 U B2 U' R2 U B2 R2 D' L2 F2 L2 R' B L U' F' D' R' B U2 F' ,O
262372,L2 D L2 D B2 R2 D R2 U L2 F2 L2 D' B' R F' D2 R2 D' L U F R' U2 ,O
1210497,F2 L2 D2 L2 U' B2 L2 D B2 D2 R2 U2 R' F L' D' B' U' R U2 F' U2 ,O
932749,B2 D' L2 U L2 D' L2 U R2 B2 R2 D' B2 L2 F' L B R2 L2 U' R' D' B L ,O
876180,U2 F2 D2 B2 L2 B2 U R2 D F2 R2 L2 U' R2 U' B' L F R2 D' F2 U' R B L ,O
1252794,B2 U F2 R2 D' B2 R2 D2 U L2 F2 U' L2 B' R F D2 L U R D' F L ,O
880042,U' B2 D R2 D' B2 D' R2 D' F2 R2 B' R L' U' F' R D B' F2 L' ,O
247716,U2 L2 U' R2 D F2 L2 F2 R2 D' L2 U2 L2 U' B' L B2 F' D2 U' L D B' R' ,O
1212676,D R2 D2 B2 D' R2 L2 B2 U2 R2 U' R2 U L2 U2 B' L D' F' L' D2 U R F' L' ,O
883531,B2 D2 B2 D' B2 L2 U2 L2 D L2 B2 D' L' F R D' R2 U' B L F' U2 ,O
917598,R2 D2 R2 F2 D R2 B2 L2 B2 U2 L2 U' B2 D R' B' L' D F2 U F' R' B' U2 ,O
927805,L2 U2 R2 D' R2 B2 U' L2 F2 U R2 B2 R2 D' F' R B2 U' B2 L' D B' F R' U' ,O
920062,U F2 R2 U' R2 D' R2 B2 U2 B2 U L2 U2 F' U R B' L' D' F D2 U R' ,O
916297,L2 U F2 U' R2 U L2 B2 D' U' L2 U' B' L' F U2 R2 D R U B L' U' ,O
446255,L2 U' L2 D2 F2 U' F2 D F2 U' L2 B2 L2 U B' L F' D2 R2 U' R' D' B' L' ,O
382663,F2 D R2 B2 F2 U F2 R2 D2 R2 U F2 U' R2 F' U R B' L' D' F D2 U R' ,O
456298,R2 U2 L2 B2 D R2 D' L2 D' F2 U2 B2 D2 B' L U' F D B U2 L F R ,O
6582,R2 L2 U' B2 L2 U2 F2 L2 D L2 F2 U' R2 U B' L U' R F2 R2 D B F' L' ,O
920999,B2 U2 R2 D R2 U B2 R2 U2 F2 R2 U' L2 U' F R' B D L U F' U2 R U ,O
885583,U2 F2 L2 U' R2 B2 U' F2 R2 B2 U2 L2 D2 U' B' L' F U2 R2 D R U B L' ,O
929881,U2 F2 R2 U' R2 L2 B2 U' B2 L2 U' L2 U F2 U B' R F D' L2 U' L B R' U2 ,O
596339,R2 F2 U' L2 D2 F2 D L2 D2 F2 D' R2 F2 U L' D2 F D' R' U' B' L F' U ,O
887090,D' F2 U F2 L2 D2 U B2 F2 R2 U2 R2 L' D' B' U' R' F L D B L' ,O
914366,U F2 R2 D' F2 D' F2 U B2 U' L2 B2 U F2 U2 F L U R B D' B2 F' L' U ,O
413548,D L2 B2 D2 R2 B2 U R2 L2 F2 L2 D' L2 U' L' B' D' F' R U L B' U ,O
1181283,R2 D R2 U' F2 L2 U' B2 U F2 R2 D F2 L2 U' F' L' B' R2 D B2 U R' F' L ,O
458425,R2 D F2 D' F2 L2 D L2 U' L2 D L2 U L2 U2 L' F' R' B2 F2 U B D R' F' U' ,O
1249039,R2 L2 F2 U' B2 R2 D2 R2 U' F2 D' F2 R2 F2 R' D2 B F' D' F2 L' U' R B' ,O
887825,F2 D' L2 U L2 B2 U2 L2 F2 D' B2 U' F2 D R2 F' L B R2 L2 U' R' D' B L ,O
1180750,D R2 U L2 D' R2 U F2 L2 U' R2 F2 R2 B2 U B' R F L2 D' L2 U' L B R ,O
1248339,L2 U L2 D R2 B2 U2 F2 U' F2 D' B2 L2 U2 F' L B' D R U L2 B' L' ,O
293254,D' B2 R2 U' F2 U R2 U2 L2 F2 U F2 U' F2 D2 R' F L' U2 B2 D' B' U' R' F' ,O
29139,L2 F2 D' L2 D2 B2 D F2 U' R2 B2 D2 B2 U L' B' F D B2 U' R' L F' ,O
916244,D2 B2 D' L2 D R2 F2 R2 L2 U' F2 D' F' R B' U L D R2 B' R' U ,O
932698,L2 U2 F2 D L2 F2 D' R2 B2 U2 R2 F2 R' D2 B D' L' U' F' R B' U' ,O
846866,L2 F2 R2 L2 U' F2 D2 B2 U F2 D F2 D' L2 R' B2 F U B' L' D' R' F' U' ,O
1208678,F2 R2 F2 U R2 U' F2 U' R2 F2 U2 L2 U' L2 U' F' R2 L' U B R' D' B F' L' U' ,O
1088054,D2 B2 D L2 B2 R2 U R2 U B2 F2 L2 D' U' L' B2 F' U' B R D L F U2 ,O
1218048,L2 B2 R2 D F2 U F2 U2 F2 D' B2 U L2 U' F' R' B' D L2 U L' F' R' U ,O
915953,L2 B2 D L2 U' L2 U' B2 U R2 U' L2 D' L2 B' R F L2 D' L2 U' L B R' U2 ,O
880161,L2 B2 L2 U R2 L2 B2 R2 D' L2 D2 U' L' B' R U F D L' D2 B U' ,O
918344,B2 U R2 U' L2 D L2 U' B2 R2 B2 L2 D B' U2 L' U F D R B' L' ,O
883857,D' R2 B2 F2 D' B2 U B2 R2 U L2 D L2 D' R' D' F D' B' L U R F L' U' ,O
891753,U R2 L2 B2 L2 U2 R2 U' L2 D R2 L' B' D' L' F' R U B D L' ,O
369023,F2 L2 F2 D L2 B2 U F2 U' L2 D2 U' F2 L2 U' B' R U' F' D' B2 R B L ,O
