# Scramble Extremes — pseudo_pair / pseudo_xxcross_pseudo_pair / Y / bin 10 (2nd-smallest)
# Population in this bin: 1023495
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

410918,B2 D2 F2 D' B2 D' R2 F2 U B2 D' F2 U2 R' B' F2 U' F L D R B ,Y
1144647,U2 F2 D' R2 F2 D B2 U2 R2 U' L2 U B2 R2 L' F' U' B' R' D R2 L F' ,Y
148251,B2 L2 F2 U' R2 L2 U B2 U2 R2 F2 D' F2 U2 B' R F D2 L U R D' F L ,Y
126131,U L2 U' R2 U2 B2 L2 B2 L2 U' F2 U B2 U' B' U2 L F2 D' F R B U L U' ,Y
611938,U' R2 B2 F2 U' L2 U R2 D2 B2 U L2 U' F' L' B' D' B2 R' U2 F U' L' U' ,Y
37298,R2 U B2 U' B2 R2 D' F2 L2 U F2 L2 D' U' L2 F' L' B D2 R2 U R D F L' ,Y
1172983,B2 R2 F2 U' L2 U L2 U2 F2 U' F2 U F2 L2 D' L' B R' F2 D F U B2 R' B U ,Y
509826,B2 D' L2 D2 B2 L2 F2 L2 U' B2 U2 L2 F' D2 R U B L' F' D' R' U F' ,Y
780162,U B2 U' R2 U B2 D' B2 U F2 L2 U2 L2 U' B' R' L2 D' L F U B R ,Y
334205,L2 B2 L2 U' L2 U' R2 D2 L2 D B2 U' B' L' F' R2 D R2 U R' B' L ,Y
305848,D2 R2 U' F2 D B2 D' R2 D R2 D' B2 R2 U' L B' R U F D L' D2 B ,Y
51472,D R2 D' F2 D B2 R2 U R2 U' L2 U L2 D R2 B' R' F' U L D B R' U2 L' ,Y
1064049,F2 L2 D' B2 D2 U' F2 R2 D R2 U R2 L2 U2 R' B' L D' F' U' B2 L B' ,Y
474146,R2 D2 L2 B2 D' L2 D R2 U' F2 R2 U2 B2 U2 B' R B2 U' F' D' F2 R B' L' U ,Y
