# Scramble Extremes — pseudo_pair / pseudo_xxxcross_pseudo_pair / BGORWY / bin 10 (2nd-smallest)
# Population in this bin: 29104
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

746989,U F2 L2 D F2 U' R2 B2 U F2 D2 B2 D R2 U2 F' R' B' D L2 U L' F' R' U ,R
98707,U' F2 U' B2 D L2 U2 L2 B2 D R2 D B2 U L' D2 B F' U' B2 L' D' R F ,G
348391,D' F2 R2 U2 R2 D' L2 D' R2 B2 U' F2 D2 B' L' F' D' R' U R2 D2 B' L' ,O
416869,L2 B2 D' U' F2 R2 U L2 U' B2 D B2 U' B2 U B' L U' F2 D' F' R B D' L' ,B
210015,D B2 R2 U' B2 L2 U L2 U2 R2 U' L2 U' B2 L' B R D' F2 U' F L B' U' ,B
753080,B2 U' L2 U' R2 U2 R2 D B2 U' B2 R2 L2 B' R D' L' F2 U' B F' U2 R ,B
719961,R2 D' R2 U R2 B2 U' R2 D' F2 D' L2 D2 U' B' U2 L' D' U F R D' B' L' ,R
323339,D2 F2 U F2 R2 U2 B2 F2 U B2 R2 B2 U B' U2 L' U F D R B' L U' ,O
553718,U R2 D' F2 D R2 L2 F2 R2 U F2 D R2 D2 U' B' R U F' D2 L' D B' R' L' ,R
270873,B2 F2 U L2 B2 D' L2 U B2 D' L2 U L2 F2 U' B' R' F U L D B' D2 R' ,O
1268695,B2 D F2 R2 U B2 D2 R2 U' L2 U F2 U' F2 U' L' F D B U' L' U R' U' F' ,O
1211814,R2 D2 L2 F2 L2 U2 F2 D' B2 U B2 R2 U R2 U' F' R' L' U L2 F2 U B' F' L' ,R
309461,R2 U' L2 U' B2 F2 D F2 R2 L2 U' B2 F' L B' D R U L2 B' L' ,R
418198,B2 D2 R2 D' L2 D' R2 F2 R2 D' U' L2 D' F' L F2 U' B' D' L F' R' F2 U' ,R
1214213,R2 F2 L2 D R2 D2 B2 F2 R2 D F2 U' F2 U' B' R L' F2 U' R2 F D B' L ,R
1053681,B2 R2 F2 D2 R2 F2 D' U2 R2 L2 F2 U F' L U' L2 D' L2 B' R F D L U' ,B
879358,U B2 L2 D R2 D R2 U' B2 D R2 B2 R2 L' F R D' R2 U' B L F' U' ,R
355701,R2 D2 L2 U' R2 U' F2 U2 B2 L2 U B2 U2 R2 F' L B' D2 L2 D' R U B L' U2 ,R
