# Scramble Extremes — pseudo_pair / pseudo_xxxcross_pseudo_pair / G / bin 10 (2nd-smallest)
# Population in this bin: 6993
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

517767,U' R2 D' L2 U' F2 L2 U' F2 R2 U' F2 U2 L' B' U2 F' U R D' B D2 F L' ,G
885465,B2 D B2 R2 U' L2 U2 L2 D F2 D F2 R2 L2 U' B' F' R' B2 L2 D U' F' R' L' ,G
953621,B2 L2 U B2 U' F2 R2 U L2 D' F2 U2 B2 U2 R' B R2 L' D2 U' B D R' F' ,G
740867,L2 D2 U L2 D R2 U' F2 U F2 R2 L2 F' U2 R B L' D R2 F' U2 B L' ,G
701678,B2 F2 L2 U' B2 D R2 U2 L2 D' R2 D' F2 R2 L' B' L2 D R U R2 B' L F U2 ,G
383666,L2 D' B2 L2 B2 D R2 U' F2 D2 F2 L2 B' D2 R' D F U L B' R U ,G
805827,R2 F2 R2 B2 U' F2 D' R2 U2 F2 D R2 U' F2 U2 F' R' B2 U B' D F2 R' F' L' ,G
220080,R2 F2 D' R2 F2 D F2 D' B2 D B2 L2 U' B2 D R' B' L F2 D' F' U' B2 L B ,G
462527,U2 R2 L2 B2 L2 U' L2 D' B2 D R2 D B2 R' B2 F U B' L' D' R' F' ,G
714057,F2 D2 L2 B2 U L2 D B2 L2 U2 F2 R2 D' L2 U' R' B' D U F R' L' B' U' F2 R ,G
934654,R2 B2 U' B2 R2 L2 D B2 D R2 D2 R' B2 F' D' B L U R F U' ,G
1241941,R2 F2 R2 B2 D B2 U' L2 D R2 B2 R2 U2 F' L U' L2 D' L2 B' R F D L' ,G
892981,L2 B2 L2 F2 U' R2 U' B2 R2 B2 F2 U2 F' R' B' D L2 U L' F' R' U ,G
1111060,R2 B2 R2 U F2 D B2 F2 U F2 L2 D F2 L' F' R B2 D' B' U' F2 R F U2 ,G
1211330,L2 F2 U B2 D F2 R2 B2 D2 F2 U L2 B' D2 U2 R U' L B D F R' ,G
700313,L2 U' B2 L2 U L2 U2 L2 B2 D' F2 U' B2 R' F R2 U' L' D' L2 F R' B' U2 ,G
101300,B2 D2 R2 D2 L2 D F2 U' R2 L2 D L2 U2 R' B L2 D' B' L F' U' B' D2 L' ,G
416635,R2 U' L2 D F2 U' R2 D F2 L2 F2 U2 R2 U' B' L' F' D R2 U R' B' L' U' ,G
965413,U2 R2 L2 F2 D R2 D2 B2 D' F2 U B2 U' B2 U2 L' F' R B2 D' B' U' F2 R F' U2 ,G
1164361,B2 U F2 D' L2 U F2 L2 D' R2 F2 R2 B2 U' F' L U' L2 D' L2 B' R F D L' ,G
447124,L2 D' R2 D' L2 U R2 D2 R2 U' R2 U' F2 R2 U B' L U' R F2 R2 D B F' L' ,G
393391,L2 B2 U' F2 R2 U2 R2 D2 U B2 R2 U B2 F' R' B D L U F' U2 R U ,G
883523,L2 B2 R2 U' R2 D B2 F2 U F2 U F2 L2 D B' D2 R L' U' R2 B' D' F L' ,G
669408,B2 R2 U' B2 L2 D L2 U2 L2 F2 U' B2 L2 D R' F D' B' L2 U' R L' U2 F' ,G
865977,U F2 U2 B2 R2 D' R2 D L2 D' L2 D2 B2 U' B' L' U L2 D F' R' B' U L U2 ,G
1068422,U' F2 U' R2 D2 R2 D L2 B2 D R2 U' R2 L' B' F' U B2 L2 U R' L' B' U' ,G
251848,D2 B2 U' B2 D L2 D R2 D' F2 U2 B2 L2 F' D2 L' D B U R F' L' ,G
654750,L2 U' F2 R2 U2 R2 U L2 F2 D' B2 R2 U' R2 L' B' D' F' R' U R2 L B U2 ,G
46346,U2 L2 F2 D R2 D L2 D' B2 U' R2 B2 D2 R2 L' B' R F2 U' F' D' B2 R B' ,G
301831,B2 L2 U R2 F2 U2 R2 D' F2 D2 L2 U' L2 F' L B' F2 D' U2 L U F' R' U' ,G
966841,U' L2 B2 R2 L2 U R2 D2 L2 D' F2 U' L2 U L' F' U R2 F R' B' D F' D2 L' ,G
424709,D2 F2 R2 L2 U' L2 U2 F2 U R2 B2 D B' L D F2 U F R' U B' L ,G
252604,F2 D' F2 L2 U F2 D U L2 F2 D F2 U' B2 F' R2 L D' B' R U B' F L' U' ,G
1034622,B2 U2 F2 R2 B2 R2 U' R2 U B2 D2 L2 U' B2 U R' B L' F2 U F D B2 L' B U2 ,G
637311,B2 D F2 U L2 U' R2 B2 D' R2 L2 B2 D' B2 U F' D L U' L2 D2 B R F U' L' ,G
1008091,F2 D' R2 D2 B2 U F2 R2 U R2 B2 U L2 B2 U F' L' F2 D B U B2 L' F R U ,G
520710,F2 L2 D R2 D F2 U2 L2 U' F2 D' B2 U R' B' L F2 D' F' U' B2 L B U' ,G
184508,U' R2 D L2 D F2 U F2 U B2 R2 U B2 U2 F' R' L B2 U R2 B' D' F L ,G
5543,B2 F2 D' F2 R2 U2 R2 U R2 F2 D2 F2 U F' R L U B' F D' U F' D' U' L' ,G
868958,F2 U2 F2 R2 D' F2 U R2 U L2 B2 D' U' F' L' F2 D B U B2 L' F R U' ,G
876533,B2 U F2 U' L2 B2 D' B2 R2 D' B2 L2 U' F' R' F2 U B D R' F L ,G
561058,B2 R2 D' B2 R2 D' R2 U F2 U B2 U L2 U2 L' B U F R D' R2 L' B' U ,G
788910,F2 D' F2 D R2 F2 U2 F2 D R2 U L2 D' R' B' L F2 D' F' U' B2 L B U' ,G
370555,B2 U' L2 U L2 F2 U' B2 U L2 D' R2 U' L2 B' R' L B2 D R2 F' U' B L ,G
956956,D R2 L2 B2 R2 D F2 D2 R2 U' R2 U F2 R2 L' F' D U B R' L' F' U' B2 L ,G
