# Scramble Extremes — std / xcross / ORWY / bin 8 (3rd-smallest)
# Population in this bin: 164884
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1205271,B2 D' B2 U' F2 U' L2 U B2 R2 U' F2 R2 B' R F' D2 R2 D' L U F R' U2 ,R
7253,D B2 U' B2 U' L2 B2 D' B2 R2 F2 R2 U' R2 U' B' R U' F' D' B2 R B L ,O
630573,U' B2 D B2 U' L2 B2 F2 D' F2 U R2 U' B2 F' L' B U R D F' D2 L ,R
478816,B2 U2 B2 L2 U' B2 D R2 D2 B2 U' F2 U B2 L' B' R F2 U' F' D' B2 R B' ,O
465414,D U F2 L2 F2 U' B2 L2 U' F2 R2 B2 U' B' R' D L F' L2 U B2 R' B' ,O
417829,F2 R2 F2 U L2 D B2 F2 L2 U' R2 B2 U' B2 L' B F D R' D U' L' D' F' ,O
390216,B2 F2 D2 L2 U B2 U' F2 D' L2 U2 F2 L2 F' L U R B D' B2 F' L' U ,O
456497,U2 F2 R2 U2 L2 D R2 L2 B2 U R2 U' R2 F' R B' U L D R2 B' R' U ,O
1212167,D L2 B2 U F2 U' R2 U' B2 R2 U2 F2 L2 F2 U' L' F' R' D B2 U B' L' F' ,O
463639,R2 B2 L2 F2 D2 B2 D B2 U R2 B2 U F2 L' F' R' B2 F2 U B D R' F' U' ,O
889227,U' L2 U' F2 D' B2 F2 D' F2 L2 U2 F2 U F' R L' D B L' U' B2 F R' U' ,R
459616,D2 L2 B2 R2 L2 D' R2 D' U' R2 B2 R2 D' B' R' F' L2 D F2 U L' B' R' ,O
96960,R2 U' R2 B2 U' R2 B2 U2 F2 U' B2 L2 U' R2 U2 B' R' F U L D B U2 F2 L' U' ,R
1211848,U' R2 U F2 U L2 D2 R2 D' F2 L2 U' B2 U' L' F' D' R' U R2 D2 B' L' F ,O
357387,R2 U B2 D' U' B2 F2 D' R2 L2 F2 D' R2 U' B' D2 U L D' F' R' B U L ,R
520238,B2 R2 L2 F2 R2 D R2 U' F2 R2 U2 R2 D2 U' L' B R' D F U B2 R' B U' ,O
462726,B2 D' F2 R2 L2 U L2 U' R2 D' L2 F2 R2 F' L F2 U' B' D' L F' R' F2 ,O
587288,L2 D2 F2 U L2 U2 F2 R2 D2 B2 U2 B2 F' R D' B' U' F2 R F L ,R
377246,F2 U L2 B2 D2 B2 L2 F2 R2 U' F2 L2 U R2 U' R' B2 F U B' L' D' R' F' ,O
515614,D' R2 D2 R2 B2 D' B2 D' R2 F2 U' R2 D F2 R' F R2 U' L' D' L2 F R' B' U ,R
884342,D2 R2 L2 U' B2 D' L2 U' B2 U F2 U R2 U' R' B F' L2 D' B2 L U R' F ,O
6120,L2 D2 B2 U L2 U2 B2 R2 U F2 U F2 D' R2 U2 F' R' L2 D B L' U' B F' R' ,R
465815,R2 B2 D L2 D B2 L2 U B2 U' L2 U F2 U2 L2 R' B L D' L2 U' F R B' ,R
980692,F2 D R2 D' F2 U' B2 D' L2 B2 F2 U' B2 U2 F' U F2 L U' B R L F U' L' ,R
893564,U' B2 D B2 D B2 R2 D F2 U' R2 D' F2 U2 R2 B' D R' F' D F2 U L B' R ,O
384481,F2 U2 F2 D F2 U R2 B2 F2 D U2 B2 L2 F' L' B R2 U' R' D' L2 B L' U ,O
250597,U' R2 U' R2 U2 F2 L2 U R2 L2 U2 F2 U' L2 U' L' D2 B' D R U F L' B U ,O
336370,U2 B2 D' B2 L2 B2 F2 D F2 L2 F2 U2 R2 B' L F L2 D' R U' R2 F L' ,O
449054,D' L2 U2 F2 D' L2 F2 D F2 D2 F2 U2 B' R U L F D' B' F2 R' U' ,O
131136,R2 L2 D' F2 L2 F2 U L2 D2 F2 L2 U' R' F L' B2 D B U F2 L' F' U ,O
393883,L2 U L2 D' R2 U2 B2 D B2 F2 R2 U' F2 L2 U2 B' L B2 D' F' U' F2 L B' R U2 ,O
372724,D R2 U' L2 B2 R2 D F2 D B2 F2 D2 L2 U2 B' R' F U' L' D' R2 F R' ,O
248849,B2 U' F2 U L2 U R2 B2 D2 R2 L2 F2 D' R2 U' F' L' B' R2 L2 D R U B' L' U' ,R
101041,U2 R2 D B2 R2 D B2 D2 L2 U' L2 B2 U' B2 L2 B' R' F' U' L' D L2 U2 B' R' ,O
562108,L2 D' B2 D2 F2 R2 L2 D' R2 B2 R2 U2 F2 R' U' B U' F' L D R B L' ,O
817563,D' R2 D2 R2 F2 U' F2 U2 B2 L2 U2 B' R2 L' U' R F D B L U ,R
42914,B2 U B2 D L2 U' R2 D' R2 B2 R2 F2 U2 B2 F' L B' D' R' U' F U2 L' U2 ,R
1246497,F2 U' F2 D2 B2 F2 L2 D' F2 R2 D' F2 U L2 U' L' B U F R D' R2 L' B' ,R
1173568,L2 D F2 D' B2 R2 F2 U2 L2 D L2 U' L2 U' R' B L U' F' D' R' B U2 F' ,O
632958,B2 D' F2 D' B2 F2 U' R2 D2 B2 U' F2 L' B L2 U' R' D' R2 B L' F U2 ,O
336167,D2 R2 U' F2 R2 D L2 D' F2 R2 F2 R2 U L2 R' F' U2 L2 D L' U' B' R' F' ,O
