# Scramble Extremes — std / xxcross / BGOR / bin 10 (3rd-smallest)
# Population in this bin: 1090955
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1248078,B2 D L2 U' L2 U' R2 F2 U B2 U2 F2 L2 R' B' F L2 U B2 L' D' R F' ,B
480899,U2 F2 U R2 L2 F2 U' L2 D' B2 F2 U2 B2 D2 F' U' F2 L' B' L2 D R' U B' L' ,O
57535,B2 U' B2 R2 D' L2 B2 D2 B2 U' F2 D L2 F2 U L' B' D' F' R' U R2 L B U ,B
959536,B2 U' F2 D' F2 L2 F2 U R2 U B2 U2 L2 D' L' B' U' F' U R D F2 R2 F L' ,G
282202,L2 U2 B2 D R2 U2 F2 U B2 R2 B2 U2 L2 U2 B' R' B2 D F U R' B L' ,B
74812,F2 R2 D R2 D' L2 U F2 D2 B2 R2 U F2 R2 L' F R U2 B2 D' B U L F ,O
144357,F2 L2 U B2 L2 D R2 B2 F2 D' L2 B2 U' F' R' F2 U B D R' F L ,G
281593,B2 D R2 B2 D2 F2 U B2 R2 D2 F2 L2 U R2 U' F' R' B' R2 U L' D L2 B' R' ,G
11854,R2 D F2 L2 D B2 U' B2 U' B2 D R2 D' L2 U2 B' R' F U L D B U2 F2 L' U2 ,B
501840,R2 U' B2 R2 D R2 F2 D2 B2 D F2 U' L2 F2 L' D2 F' R2 U R' B' L' D' F' ,B
173602,F2 D' R2 B2 L2 F2 U2 R2 D' F2 U R2 F2 U F' U2 L U' B' D' R' F L' U2 ,B
430229,R2 L2 D' B2 L2 D2 F2 L2 U' B2 D R2 U' L2 B' R' B2 D F U F2 R' B L U2 ,O
902252,B2 U2 L2 D' L2 U F2 D' R2 U L2 U' L2 U2 L' U' B R D' F2 U' F' L B ,G
606851,B2 L2 D' F2 U' L2 U2 R2 U R2 F2 U F2 R' B2 D F' R L B D' U' F' L' ,G
194696,D2 L2 D' F2 D' F2 D2 F2 L2 U R2 D2 L2 D R' D F D' B D L' U' R' B ,G
1042022,L2 B2 L2 U B2 U2 B2 R2 D' L2 U2 L2 D2 B' U2 L F2 D' L2 F' R B D L' ,G
1218657,L2 B2 D' B2 D' F2 D F2 U B2 F2 U2 B2 L2 B' L' U' R' F' D B' D2 U2 R' ,B
1268942,L2 D' R2 L2 B2 D' F2 D2 B2 L2 D' R2 U' L2 U R' F L' U2 B2 D' B' U' R' F' U ,B
313657,D B2 D L2 U' R2 L2 F2 D2 R2 L2 D' R2 L' B' R2 U R2 F D' R L' B' ,G
276483,F2 U2 F2 R2 U' R2 U2 B2 U L2 U R2 L2 U' L' B' R F2 U' F' D' B2 R B' ,G
560090,L2 D' F2 U R2 L2 U' R2 D2 L2 U R2 U B' R2 L' U' R F D B L U ,G
359297,U' F2 U' F2 U' R2 F2 U' L2 B2 U2 F2 D' L2 B' R F L2 D' L2 U' L B R' U' ,G
945762,L2 U' R2 U' L2 B2 F2 U2 F2 D F2 U R2 U' B' L' D' F' U F2 D2 R' B' L' U' ,G
974062,D' F2 R2 U L2 B2 D2 B2 L2 D2 F2 R2 U' L2 R' B' F' U R2 F2 U R' L' F' U' ,B
292359,R2 U R2 D2 B2 R2 U' B2 D' R2 B2 U' B2 F' D2 L' F2 D B F2 R' F U' L' ,B
1075652,L2 U R2 D L2 D F2 U2 L2 U' L2 B2 U R2 F' L' U' B' D B2 U2 R' F' L' U' ,G
101980,R2 U L2 B2 U2 B2 D' B2 L2 D2 L2 U B2 L2 U B' R' B2 F D2 U R' D' B L ,O
492887,B2 U2 R2 D B2 D' B2 L2 B2 D2 L2 D B2 F' L' D B' U F2 L' F' R2 D' R' ,B
966990,B2 R2 L2 U' F2 U F2 U' B2 D R2 B2 D B' U2 L F2 D' F R B U L U' ,O
605154,U2 L2 B2 D R2 L2 D R2 U' R2 B2 U B2 U' L' B F2 U F' R' D' L' B' U ,B
682710,F2 U' R2 D2 F2 L2 F2 D B2 U2 B2 R2 D' L' F' D2 B' D R U' F U2 B L ,O
699738,B2 R2 D L2 U' R2 D' B2 F2 U' F2 U' L2 B2 R' U' R2 F L' D B' U F2 L' F' ,B
1146759,F2 L2 D' R2 D L2 U' F2 R2 B2 U2 L' U' B' R' F R2 D L U F' ,G
1144435,D B2 R2 U2 L2 U' L2 D B2 D' R2 D L2 D B' U R L' U' B2 F L' U' B L' ,O
955945,F2 U' L2 D R2 U' L2 D' R2 U2 L2 D B2 U F' L U R B D' B2 F' L ,G
551660,D F2 D L2 U B2 U F2 L2 U2 L2 B' R' F U L D B' D2 R U2 ,B
394799,U2 R2 U B2 R2 D R2 U' F2 U B2 U' R2 B2 U2 F' R' L2 U' L B D F R' U' ,B
736027,L2 F2 D' R2 U L2 U' L2 U L2 F2 D F2 U2 B' R B2 F' D' U2 R U B' L' U' ,B
303712,U L2 U' B2 D R2 F2 U B2 D2 F2 U' L2 U' L2 B' R' F2 U F2 L D' B' F R' ,B
481736,D' B2 D' B2 L2 D2 B2 R2 L2 D' R2 U' F2 R2 B' R' F L2 U' L' D' R2 F R U2 ,O
641346,B2 F2 U F2 U2 F2 L2 D' F2 D' F2 R2 F2 U' B' R' D L F' L2 U B2 R' B' ,B
651083,D B2 U R2 U' F2 L2 B2 U R2 U B2 D' R' B' D U F R' L' B' U' F2 R ,R
1014436,B2 F2 U L2 F2 D2 R2 U F2 L2 D' R2 U' B' L D R F U' B' F2 L' U2 ,B
628553,D R2 L2 F2 U' B2 D2 F2 R2 F2 U F2 U2 R' F' L B2 U' B' D' F2 L F' U ,B
1040894,D R2 D' L2 D L2 D' R2 F2 L2 F2 L2 U2 B' R F U' F2 L D2 B D R' ,B
713797,L2 D2 U R2 F2 D2 B2 U' F2 U R2 U' B2 R2 F' L' B U' R' D' L2 B L' ,B
1117569,L2 U' R2 D' B2 D2 L2 U L2 U' R2 U R2 U' L' F R' B2 U B D F2 R' F ,B
543737,U2 L2 U F2 L2 D R2 L2 F2 U' L2 D' L2 U2 L2 F' R' B L2 D' L' U' R2 B R U2 ,O
214783,U2 L2 U' F2 U B2 D2 F2 L2 D B2 F2 L2 F2 U' F' R L2 D U2 F U' L B' R' ,B
140586,L2 B2 U2 F2 U' F2 U B2 D F2 U' F2 U' B' L' B2 U F D F2 L' B R U' ,B
276444,D2 L2 B2 U2 B2 D' F2 R2 U R2 D' B2 R' B R2 D' L' U' L2 B R' F U ,O
525385,L2 U' B2 D' L2 D F2 U' L2 U B2 U' L2 U' L' F' R B2 D' B' U' F2 R F U ,B
339231,D' L2 F2 U F2 U F2 U F2 U B2 L2 D U' F' R2 U2 R U B D L F' R' U' ,B
229400,L2 F2 U2 F2 U' L2 B2 U' L2 F2 D U R' B D F L U' R' L2 B ,B
1062772,U2 L2 D' B2 D R2 F2 L2 B2 U2 F2 L2 U' B' D2 R D2 U' F' D B2 R B L' U' ,B
1103709,R2 U2 B2 D R2 U2 F2 L2 F2 R2 F2 D' R' F2 U B' R L F D' U' B' L' ,B
1075804,F2 R2 U R2 D B2 D2 F2 D2 L2 U R2 L' B R' D F U B2 R' B U' ,O
72984,F2 U' L2 D R2 L2 B2 U L2 B2 D2 U' B2 U' L' B2 F D B' R' U' L' F' U ,B
960363,B2 U' F2 U' B2 R2 U' R2 L2 U2 R2 U2 F' D' F2 L' B' D2 L' D' R' F' L' ,G
364676,R2 D2 F2 L2 D' B2 L2 D' R2 B2 U' R2 L2 U2 R' B L' U' F' D' R D2 B' U ,G
176246,L2 B2 L2 U' F2 R2 U R2 U2 B2 D' R2 U' L2 U2 B' U2 R L' U' L2 F' D' B R' ,R
1208860,R2 U2 R2 U' B2 R2 B2 F2 D R2 U' B2 D L2 U' B' R' F' D' F2 L' U2 B U' R ,B
818742,U2 B2 U B2 U L2 U' R2 L2 U' B2 R2 U' L2 U' R' B F2 D F' L' U' R' B' ,O
809356,U2 L2 B2 D2 F2 L2 U' L2 B2 L2 U2 L2 U' R' B' D U F R' L' B' U' F2 R' ,G
1121237,D' L2 D2 R2 D B2 D R2 L2 F2 D' R2 U' L2 R' F' L B2 U' B' D' F2 L F ,B
179843,U R2 F2 R2 F2 U B2 U2 R2 U' F2 L2 U R2 U' F' L' D' R' B' U F' D2 U2 R ,G
96094,U' R2 F2 U L2 U' F2 D R2 D' B2 F2 L2 F' L' U R' F2 L2 U B' F L' ,B
1065063,D R2 D L2 U' F2 D L2 B2 L2 B2 L2 D2 L2 B' R' U2 F2 D F' U' L' B' R' ,B
310656,U B2 L2 D B2 L2 D' L2 F2 D F2 L2 D2 F' R B D' B2 L U2 F U R' ,B
849900,D F2 L2 B2 L2 U' R2 F2 D' B2 D2 F2 L2 F' U' F2 L B' D R' U L2 B' L' ,G
948577,B2 D B2 U2 R2 B2 L2 D' L2 F2 D F2 D' B' R B2 U' F' D' F2 R B' L' U2 ,R
921639,B2 D' L2 U2 B2 L2 U' F2 D' F2 L2 D' F' D' R' B L U F' D' U2 R' ,B
475978,R2 D L2 D B2 U2 B2 U' B2 U' F2 L2 D2 B' U' R' L' F D L' B' D2 U R' ,O
1091687,F2 U' L2 U R2 U2 L2 F2 U R2 F2 U F2 D U' R' F2 U B' R L F D' U' B' L' ,G
697989,B2 R2 F2 U L2 U' L2 U' R2 U F2 L2 U' B' L' U L2 D L2 F R' B' D' L ,O
1042614,D2 R2 D2 L2 B2 D F2 D R2 B2 U B2 U' F2 L2 R' B' U' B2 F R2 L U' R' B' ,O
1240425,R2 D2 B2 R2 B2 L2 F2 D B2 U2 L2 U2 R' F R2 U' L' D' L2 F R' B' U' ,B
858195,D2 B2 U B2 U R2 L2 D L2 U' L2 B2 L2 D' B' L' F' L2 U' R D U2 F' U2 L' U' ,B
913387,D' F2 R2 U R2 L2 D R2 U' R2 U F2 L2 D2 F' U' L' U R' U' B D F R ,B
533916,R2 L2 D B2 D R2 U2 R2 F2 D L2 F2 D' L2 D2 F U2 R' U B D L F' R U2 ,G
185964,R2 B2 R2 F2 D2 R2 F2 L2 B2 D U2 L2 F' U2 L U' B' D' R' F L' U' ,B
371637,F2 R2 D' L2 F2 D' R2 F2 L2 F2 D' B2 U R2 B' R' F U' L' D' R2 F R' ,B
599014,D U R2 U' R2 L2 B2 D L2 D F2 L' D F' U' L' B' R D F U2 L' U' ,B
586056,F2 D2 B2 U B2 R2 F2 R2 U' L2 F2 D2 B2 U2 F' R2 L D' B' R U B' F L' ,B
587026,L2 B2 L2 U2 B2 D R2 U L2 B2 F2 U' R2 U2 B' R B2 U' F' D' R B' L U' ,B
774049,R2 B2 U L2 D F2 D F2 R2 L2 F2 U R2 U2 L' F' R' B2 F2 U B D R' F' ,B
593185,R2 D' F2 U' B2 R2 D2 L2 U' R2 U R2 F2 D U' R' B2 F U B' L D' R' L2 F' ,B
801697,U2 B2 D' L2 B2 F2 D2 B2 U B2 U2 R2 B2 U2 R' B' R2 U L D L2 B' R F' U2 ,G
398074,U L2 F2 D' B2 R2 U' R2 U B2 R2 U' B2 U' B' L' F' L2 U' R D U2 F' U2 L' ,B
981609,L2 D R2 U R2 D2 F2 D' R2 D2 F2 R2 B2 U' L2 F' L' B' L2 D R' U R2 B' L' ,G
571414,D2 L2 F2 U F2 D F2 R2 U2 L2 U F2 R2 U R' B' D2 L2 U L' D' F' R' B ,O
1067477,U' L2 D2 B2 L2 B2 U' R2 L2 B2 U R2 F2 D' L' B L2 U' R' D' R2 B L' F ,B
294219,L2 D' F2 L2 D' L2 B2 F2 U L2 B2 D' R2 D2 F' R' B D' L D2 U B2 F L' ,B
1133579,U L2 U' B2 R2 D' R2 F2 R2 U' L2 U' R2 B' L' F D R2 U R' B' U L' ,B
684665,L2 U B2 U' F2 U2 L2 U L2 U2 B2 R2 F2 U' R' B' L F2 D' F' U' B2 L B' U2 ,O
187197,U' R2 D' F2 L2 U' L2 F2 U' B2 U F2 U F2 L' B2 F' U' B R D L F' U2 ,B
