# Scramble Extremes — std / xxcross / B / bin 10 (3rd-smallest)
# Population in this bin: 580905
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

757336,R2 U2 B2 U' R2 D B2 R2 L2 D R2 F2 R' B L' F2 U F D B2 L' B' U ,B
12327,U F2 D F2 R2 U' F2 D F2 U' B2 R2 D L2 U2 B' L' F' L2 B2 U R D F' L' ,B
135874,R2 B2 U2 L2 D B2 F2 U' L2 D L2 D L2 U2 R' D B U L F' R' D' B' R' ,B
232098,U R2 B2 D B2 U' F2 D2 R2 L2 B2 L2 D' R2 D2 L' F' R B2 D' B' U' F2 R F U2 ,B
659322,R2 U2 L2 D R2 U2 B2 D' F2 U' F2 U' L2 U2 R' F' L' D' L2 B' U2 R U' F' U2 ,B
940128,U' R2 U' L2 B2 U' R2 U2 L2 B2 D' F2 R2 U L' U2 F R2 D' R B L U F U' ,B
834135,L2 D' R2 B2 D' F2 D R2 B2 D2 L2 B2 D2 B' R' L2 D' L F U B R' U' ,B
839520,B2 D' L2 D' B2 L2 U2 L2 D' B2 U' B2 F2 L2 U' L' B U R2 D R F' D L' B ,B
907690,D' F2 D' B2 U B2 U' B2 D' F2 L2 U2 B2 U' L2 R' F U B D' R' D L' D' F' ,B
730462,R2 D2 B2 R2 F2 L2 D' F2 U B2 R2 U' R' B R2 L' D2 U' B D R' F' U' ,B
759366,L2 U2 B2 D' F2 D' B2 D' F2 R2 D2 F2 R2 F' R' U' B D2 L D' F R' L' ,B
474062,L2 D2 L2 D B2 U' B2 F2 U' L2 B2 U' R2 F' L' B R2 U' R' D' L2 B L' ,B
3838,D F2 U2 L2 U B2 F2 L2 U R2 B2 U2 L2 U' F' U2 R' D' U B L D' F' R' ,B
144303,B2 D F2 D F2 D2 L2 B2 U F2 U' R2 F2 R2 F' R' B F2 D U2 R' U' F L ,B
1003164,R2 U2 F2 U' R2 F2 U B2 U2 L2 U' B2 R2 B2 L' D B R F' R2 U' L' D' F' ,B
889164,F2 U2 F2 D' R2 B2 U2 B2 D' F2 R2 D' R2 U2 F' R L' F2 D' R2 B U F' L' ,B
514587,U' R2 B2 U R2 L2 U2 L2 B2 D' R2 U2 F2 R' F' R2 D L U L2 F' R B' U ,B
1000907,F2 L2 D R2 D' R2 F2 U2 R2 D2 L2 B2 U' B' D2 R D2 U' F' D B2 R B L' U' ,B
927373,U B2 L2 U B2 U2 R2 B2 L2 F2 D R2 U F2 U' B' L' F2 D F2 R U' B' F L' ,B
407166,F2 D F2 L2 U R2 F2 U L2 U B2 L2 D2 B2 U' R' F R2 U' L' D' L2 F R' B U ,B
315011,B2 F2 D F2 D' F2 D F2 D2 L2 U' L2 U F2 L2 R B' L' D F U R B' D2 F' ,B
378236,L2 U2 F2 U F2 D' R2 D2 L2 D' L2 U F' L' F2 D B U L' F R' U2 ,B
1205221,L2 U2 R2 D' R2 U' F2 D L2 F2 U R2 U R' F U B D' R' D L' D' F' ,B
252518,U R2 U2 L2 U' R2 D' R2 U L2 F2 U' R2 B' L F' D2 R2 U' R' D' B' L' U' ,B
260943,D' L2 B2 U' R2 L2 F2 U F2 U' B2 D L2 F2 L' D B R F' R2 U' L' D' F' ,B
417598,U' F2 U' R2 U F2 D L2 U' B2 L2 U' B2 R2 B' U2 R U' F' D' L' B R ,B
639673,D R2 D' R2 D2 B2 F2 U' B2 U' L2 U F2 D U' R' B' L D F U R' U2 B' U' ,B
54456,B2 U' F2 D R2 B2 D L2 U2 F2 U B2 L2 U2 L2 F' L' D' R F2 L2 B D' F' L' ,B
197160,L2 D F2 R2 U2 L2 U F2 U R2 D' F2 U L2 U' B' R L D F' D U' B' D' L' ,B
711548,L2 D R2 D2 B2 U' R2 D' F2 R2 F2 U F2 L' F D L B R' U' F' D' L' ,B
748171,R2 B2 U L2 U F2 D2 L2 U' B2 U' L2 B2 F2 U2 B' L F' U2 L2 U' R D F L' U2 ,B
482080,D' F2 L2 B2 D' B2 U L2 D L2 F2 L2 R' F' R2 D L U F' R B L2 ,B
141837,R2 B2 D B2 D2 F2 R2 F2 L2 D F2 U B2 D F' L' B U' R D U2 B2 F R' ,B
985445,R2 U2 L2 D' F2 U B2 U2 R2 U R' B D' B2 U' L F R D' B ,B
421034,F2 U B2 U F2 D' F2 D' L2 U2 R2 F2 U' L2 R' F R2 U' L' D' F R' B' U' ,B
369404,U B2 U' R2 F2 R2 F2 U2 R2 D' R2 F2 U' L2 U B' L F' U' R' D' B D2 L' U' ,B
274724,B2 F2 D' R2 U L2 U' F2 D2 U' R2 U' F2 L' U2 F' U R D B L' F' U' ,B
1148058,U' B2 D B2 F2 D2 L2 U R2 B2 F2 D' B2 U2 F' U' L' U2 B' R2 D R' F' L' ,B
33890,L2 B2 L2 U' L2 D' U' R2 B2 U B2 F2 L' B' R F2 U' F' D' B2 R B' ,B
461808,F2 D R2 D2 L2 F2 L2 D' R2 U' L2 D B2 R2 F' R' B D L U F U2 F2 R' ,B
