# Scramble Extremes — std / xxcross / G / bin 9 (2nd-smallest)
# Population in this bin: 10385
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1109868,B2 R2 U B2 D' B2 D2 L2 B2 D F2 U' B' U L F R' F2 D' B' U' R ,G
250529,R2 U2 B2 U R2 U' R2 F2 D R2 D2 F2 U F' L' B' U' R' D R2 U2 F' L' ,G
20,L2 B2 D L2 D F2 L2 D B2 R2 F2 U' R2 U' F' R2 D R L B' U' F' R ,G
918278,R2 U R2 L2 U' F2 R2 D' F2 L2 D' B2 D2 F' R L' B2 D' R2 B U F' L U' ,G
950493,B2 U B2 R2 B2 D F2 U L2 U' R2 B2 U B' R F' D' L' U' B U2 R' U2 ,G
840235,R2 U' R2 F2 U R2 F2 D' U2 B2 D2 U' R2 L' B' R' U F D L B' U2 F' ,G
969203,R2 L2 D' B2 F2 D L2 D' R2 U2 L2 U' L2 U' F' R' B D' L' U' R2 B R U2 ,G
1143029,L2 D2 U' B2 L2 U F2 L2 U R2 B2 D2 F2 U' F' R' U R2 D B' L' F' U R ,G
1210597,R2 F2 U L2 U L2 U2 B2 D' B2 R2 L2 D F2 D2 L' B' F' R' D F' R2 U' F U L' ,G
413556,B2 D B2 U2 L2 B2 R2 B2 U L2 U R2 U' F2 L' B U F R' D' L' B' U ,G
173083,L2 B2 U2 L2 U' F2 D' L2 D B2 F2 L2 D' B2 U F' L' D B U R2 F2 L' F' R' ,G
1190794,B2 D R2 L2 B2 R2 U L2 U' L2 B2 D B2 U2 F' R' U' L' B D F R' U' ,G
1050,R2 L2 B2 R2 D' L2 D B2 D2 L2 D B2 U2 R2 B' L' D' F' R B D' U B' L U' ,G
1211382,R2 D L2 U' R2 D' R2 F2 U' B2 D R2 B2 U B' L D' F R' D' R2 U' B' L' U' ,G
1118614,U B2 D2 F2 R2 D' R2 U2 R2 L2 B2 U' L2 U2 L' B' F' R' D F' R2 U' F U L' ,G
926173,R2 F2 U' B2 U' R2 U' B2 R2 U B2 F2 R2 L' F D B R U' R2 L' F' U2 L2 ,G
658417,U F2 L2 D' F2 R2 D' F2 L2 U2 R2 U' B2 U' L' F R' D2 B2 U' B' D' L' F' U2 ,G
929455,L2 B2 U2 B2 U2 L2 U' L2 D' F2 R2 B2 R2 U' B' L B2 D' F' U' L B' R U' ,G
926161,U2 L2 B2 D F2 D2 L2 F2 D U2 B2 U' R2 U2 F' L B' R2 D R U L2 B' L U' ,G
1211650,B2 R2 U' R2 F2 L2 B2 U' R2 U' L2 B2 U2 R2 B' U L F R' F2 D' B' U' R ,G
340051,D2 B2 F2 D' B2 D2 L2 U R2 B2 R2 F2 U' F' D2 U2 L' D R' F' U' B' L' U2 ,G
899468,D B2 U R2 D' R2 L2 F2 U R2 F2 D2 F2 U B' L' U' R' F' D B' D2 U2 R' ,G
233225,D' F2 R2 D2 R2 U R2 U B2 R2 L2 D B2 F' R' U R2 D B' L' F' U R ,G
986283,R2 B2 F2 U2 R2 D' B2 D' B2 L2 U2 F2 R2 F' R U' B2 D' B' L F D' R' ,G
367914,D R2 D' F2 U2 R2 F2 D L2 U F2 D2 L2 U' F' R L' D' B' R U B2 F' L' U' ,G
245954,F2 R2 D U2 B2 D' R2 B2 F2 U L2 D2 R2 L' B F2 U F' R' D' L' B' U' ,G
261807,U R2 B2 U' B2 D2 B2 R2 D' B2 U2 F2 R2 U' F' R D L B U' F D2 U2 L ,G
875853,L2 U' L2 D' B2 L2 B2 U' F2 U L2 U2 L2 U2 L' F' U' B' R' D R2 L F U' ,G
381674,D' L2 D' R2 F2 U' L2 D' F2 R2 U2 L2 U' B2 U' F' R D L B' U' F' R' ,G
422843,L2 D2 F2 D B2 U2 F2 R2 D2 U' R2 F2 U B2 F' L' B' D' B2 R' U2 F U' L' U2 ,G
892604,U' F2 D2 L2 F2 U R2 F2 U F2 D' U' F' D L D2 B R2 U' R F L ,G
