# Scramble Extremes — std / xxxcross / BGOR / bin 11 (3rd-smallest)
# Population in this bin: 194547
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

676382,R2 U' R2 F2 U2 R2 D B2 U R2 D' L2 U' F' L' B D2 R2 U R D F L' U' ,B
1051492,F2 L2 U2 B2 D L2 B2 D F2 D' L2 U B2 R' F R2 U' L' D' L2 F R' B' U2 ,O
1236177,U2 F2 U R2 D2 U F2 D' B2 L2 U' R2 F2 U' F2 L' D' F' R B U L' D' U2 F' ,O
14715,U2 F2 U' R2 D L2 U2 B2 U' B2 U L2 U' B2 U B R' L B2 D R2 F' U' B L ,B
870301,R2 D' B2 R2 U2 F2 R2 L2 U R2 D R2 D' R' F R2 U' L' D' L2 F R' B' ,R
317759,L2 B2 F2 D' B2 D R2 U' B2 U B2 L2 D2 R2 B' L' U' R' F' D B' D2 U2 R' U2 ,G
1187109,B2 U' F2 U F2 U2 B2 L2 D R2 U B2 R2 U' B' R B2 U' F' D' R B' L ,O
1271053,R2 U B2 U F2 L2 U' R2 F2 R2 D B2 R' B' D' U' F R L B' U F2 L' ,G
488444,U L2 B2 L2 F2 U' L2 D' U' R2 U B2 U' L2 B' R' F U' L' D' R2 F R' ,O
1162749,L2 B2 R2 B2 U2 R2 U B2 D2 U L2 B2 L' U2 B D R F' L' U' B' D L' ,R
339087,U2 F2 U' B2 U R2 L2 D F2 L2 D' B2 U2 B2 F' R' B' U' B2 L' D2 F D' R ,B
525624,F2 D2 B2 R2 L2 U' L2 B2 F2 D' L2 D L2 U2 R' B' L F2 D' F' U' B2 L B U' ,G
213509,R2 D' L2 F2 D' F2 U F2 U L2 F2 D2 U' B2 F' U2 L U' B' D' R' F L U' ,G
376979,D' B2 U' L2 B2 R2 F2 L2 D' U' R2 D' B2 U R' B2 F U B' L' D' R' F' ,G
816970,F2 D2 L2 B2 U' R2 F2 U2 B2 D' R2 B2 U R' F R2 U' L' D' F R' B' U' ,R
874713,L2 D R2 F2 U F2 U F2 D' L2 D R2 D' L2 U2 F' R' U' L F2 R2 B U' F' R' U' ,R
