# Scramble Extremes — std / xxxcross / G / bin 11 (3rd-smallest)
# Population in this bin: 56799
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

382758,B2 D B2 F2 L2 D' R2 F2 U2 F2 U' R2 U2 L2 U' L' F R' U B' D' U2 R2 L' B' ,G
1045202,R2 U B2 U2 L2 U' B2 U2 L2 U' R2 F2 U' B2 L' B' R F2 U' F' D' B2 R B' U2 ,G
4775,U' R2 D R2 U' L2 U2 F2 U B2 U' L2 U L' B' D R2 B R' F' U B' U2 L' ,G
1048246,B2 F2 R2 U B2 U' R2 B2 D F2 D R2 L2 U2 B' L B2 D' F' U' L B' R' F2 ,G
648801,F2 R2 B2 D' R2 U' F2 D2 B2 D2 R2 U L' U2 B U' R' D' F' L B ,G
622221,L2 U L2 U R2 F2 L2 D2 B2 U' F2 L2 U2 B' D2 U2 R' D L' B' U' F' R' U2 ,G
936386,R2 U' F2 L2 D R2 B2 D2 B2 L2 U L2 D2 U' R' B' F L2 U B2 L' D' R F' ,G
762420,F2 R2 D' F2 U R2 D2 B2 D' R2 B2 F2 U F2 U F' L F2 U' B' D' L F' R U' ,G
452711,B2 R2 D2 R2 U R2 F2 D2 B2 U L2 B2 U2 F2 U B' L U' F D B U2 L F R ,G
159337,U' L2 D2 B2 D' F2 U B2 F2 R2 U' R2 F2 R' B' F2 U' F L D R B' ,G
265412,D' R2 B2 U' L2 B2 D' B2 R2 U' L2 U L2 U L2 B' L' U' R' F' D B' D2 U2 R' ,G
404714,D' F2 D2 L2 U' L2 D R2 F2 D2 R2 U L2 F2 U' L' B R D' F' U' L' B D2 F' ,G
173943,D' F2 D R2 B2 F2 D L2 D2 F2 R2 U' L2 R2 L' B' D R U L F' L B' L' ,G
16569,R2 L2 U B2 D2 U' L2 B2 L2 F2 D B2 L2 F' R L' F2 D' R2 B U F' L' U' ,G
856951,U' R2 U2 L2 F2 D' B2 L2 D' F2 U L2 D B2 U' F' R L D B' D U' F' D' R' ,G
390835,B2 F2 D L2 B2 U2 L2 F2 D' U2 F2 L2 B2 F' R B' U2 R2 U' L D B R' U2 ,G
163132,B2 D F2 R2 B2 F2 U2 R2 D F2 U B2 D2 F2 U' L' F R' U B D F2 R' F ,G
456400,F2 D' L2 U' R2 F2 D R2 D2 F2 D' R2 U' L2 U L' U2 F' U R D B L' F ,G
38341,D2 R2 D L2 U B2 U R2 U' F2 U R2 L2 U L' D B D' F D R' U' L' F ,G
903044,U' F2 U R2 U' F2 L2 D' R2 U L2 D U' F' L' D' R' B' U F' D2 U2 R' U2 ,G
117556,B2 D' B2 D F2 D R2 F2 L2 F2 U2 L2 U R2 F' R B' U2 R2 U' L D B R' U2 ,G
1150310,R2 L2 D B2 U' R2 B2 F2 U' L2 B2 U2 B2 D2 L' B R' F2 D F U B2 R' B U ,G
237782,D2 B2 D' F2 D F2 U' R2 D F2 U R2 F2 U B' L F' R2 U R D L2 F' L ,G
791966,B2 U' R2 F2 U' B2 D' L2 F2 U B2 U R2 U B' R' F' D' F2 L' U2 B U' R ,G
1211855,F2 U2 F2 L2 D' R2 F2 U' L2 D2 R2 F2 U' R2 U B L' F' D' R' U' L2 F U2 L' ,G
245416,F2 R2 U R2 U' B2 U2 L2 U L2 F2 U B2 U R' D F' L D U B R' D F' ,G
579757,B2 D B2 R2 D2 R2 U F2 U' B2 U B2 U' L2 U' B' R' L2 D' L F U B R' U2 ,G
31129,U' F2 D F2 D2 B2 D B2 R2 U' F2 U' B' R' F L2 U' L' D' R2 F R' U' ,G
866042,F2 D R2 U L2 D2 B2 D' F2 L2 F2 D L2 U F' L B' U2 R2 D' R' U' F' L' U2 ,G
456745,U B2 U L2 B2 D F2 U' L2 U' R2 D2 L2 U' B' R F R2 U' L' D' F R' ,G
898108,R2 D' R2 F2 D2 L2 B2 U' B2 D2 L2 U L2 F2 U L' F R' U' B' D' L D2 F' U2 ,G
918284,U R2 U' B2 L2 D2 F2 R2 U F2 U B2 U' R2 U2 B' R F L2 D' L2 U' L B R ,G
300654,B2 D' B2 U R2 D' R2 U L2 U L2 F2 D2 U' L2 B' R' D' L' F' U B F2 R' ,G
318260,U2 L2 D F2 R2 D F2 L2 U' R2 D R2 D' U F' R' L2 D2 U' F' D L' B R' ,G
1005333,B2 F2 L2 U2 R2 D F2 D F2 U' L2 F2 D' F' R B D' B2 L U2 F U R' ,G
306000,L2 D' L2 B2 R2 B2 D2 L2 D' F2 R2 D' L2 U F' R B2 D' B U' F2 R F L' ,G
615597,L2 D R2 L2 D2 B2 F2 U' F2 U' L2 D F' R' U' L F2 R2 B U' F' R' ,G
1240437,D' F2 U' B2 F2 U2 L2 D' B2 F2 D2 L' D F' U' L' B' R D F U2 L' U' ,G
1192724,B2 U2 B2 F2 R2 U' F2 L2 D' F2 U' B2 U' L' F' R D B U L' U2 F ,G
661319,D F2 D B2 L2 U2 L2 U' F2 U' R2 B2 L2 D2 U' B' R F D' L2 U' L B R' U' ,G
1095001,D F2 U F2 L2 U' L2 D R2 B2 U' L2 U' R' F R2 U' L' D' F R' B' L2 ,G
249466,D B2 L2 U B2 D' F2 D L2 F2 L2 B2 D U L' B R' D F U B2 R' B U' ,G
554079,R2 D R2 U B2 U F2 D2 B2 U' B2 F2 L2 R' U' B U' F' L D R B L' U' ,G
244594,L2 B2 U F2 R2 F2 L2 U B2 R2 D R2 U' L2 B' R' L2 U F L' D' B' F R' U' ,G
747045,B2 F2 U R2 D2 B2 D R2 D2 F2 R2 L2 U' L2 U' L' B R' F2 D F U B2 R' B U2 ,G
273639,R2 B2 U F2 U2 L2 D' L2 D' R2 B2 R2 F2 U B' L' U' R' F' D B F2 L ,G
591650,R2 B2 D2 F2 D' B2 D R2 U' F2 D' B2 R2 D U' B' L' F D' R' U' L2 F L' ,G
1049931,U' F2 L2 B2 D F2 D L2 F2 U' F2 D2 F' L F2 U' B' D' L F' R U2 ,G
305437,U' B2 D2 L2 F2 R2 U2 L2 D F2 D B2 D2 F' R L' F2 D' R2 B U F' L' U' ,G
679114,F2 L2 B2 F2 U R2 F2 U' F2 U2 B2 F2 U' R2 L' F' R B2 D' B' U' F2 R F' U ,G
453171,D2 B2 U2 B2 U F2 D F2 L2 U F2 U B2 L2 R' B' L' D F2 U F' R' B' ,G
949652,D2 R2 U B2 U2 L2 B2 L2 U' F2 D' B2 U L2 F' R2 L' D' R B U F L' U2 ,G
445982,U' F2 R2 D R2 U R2 F2 D2 B2 D L2 D' F' R' B D' L' U' R2 B R U ,G
925724,R2 F2 R2 U' R2 D B2 U B2 U' F2 D F2 R2 L' F R' U' B' D' L D2 F' U' ,G
1242548,U F2 D B2 D' B2 D F2 D' B2 U2 F2 R2 U B' L F' U2 L2 U' R D F L' ,G
962378,R2 U R2 B2 R2 F2 D2 U' B2 F2 R2 U' F2 D2 R' D' B' L F U R' D' U2 B ,G
876694,L2 U2 B2 D R2 L2 D' R2 F2 R2 D B2 U2 R2 L' F D B R' U' L' F' ,G
1110882,D R2 U' R2 D2 F2 R2 L2 U F2 R2 L2 U' L2 F' L' B' U2 R2 D R' U' F' L ,G
661986,D' F2 D B2 D F2 U F2 U' F2 U F2 L2 R2 L' F' R' D B2 U B' L' F' ,G
523247,R2 B2 D2 R2 U' R2 L2 U2 B2 L2 U R2 B' R' L2 D' L F U B R' ,G
1103360,U F2 U' B2 D B2 L2 D' R2 D2 B2 L2 D' B2 U' R B' L' F U F2 R' D2 B L' U' L' ,G
731268,D F2 U2 R2 U' L2 B2 U2 B2 U F2 L2 U F2 U L' B' R U F D L' D2 B U' ,G
818164,F2 D L2 U R2 B2 F2 U' F2 U R2 D' F2 U' F' R' B D' L D2 U B2 F L' U' ,G
71477,D2 B2 L2 D' R2 U F2 L2 U F2 D' L2 U B2 U2 B' R U L F D' B' F2 R' U' ,G
40502,F2 R2 B2 U2 R2 F2 D L2 B2 U B2 L2 B2 R' B2 F U B' L' D' R' F' ,G
585748,L2 U B2 D' R2 U' R2 B2 U L2 U2 F2 R2 U B' R' L F2 D R2 F' U' B L' U' ,G
431868,U2 B2 D F2 U L2 U2 F2 L2 D' R2 D R' D2 B D' L' U' F' R B' U' ,G
824385,U' L2 D R2 U2 F2 L2 F2 L2 U' B2 L2 U2 R2 B' D R' F' D F2 U L B' R ,G
455892,F2 U F2 L2 U2 B2 R2 D' F2 L2 B2 D2 L2 B' U2 R' F2 D F' L' B' U' R' ,G
1221342,U B2 D' U2 F2 U' R2 U' L2 U L2 F2 L2 B' L F' U' R' D' B D2 L' U ,G
358555,D B2 U R2 D2 L2 B2 L2 F2 L2 U' R2 U' F2 U' B' L U' R F2 R2 D B F' L' ,G
535327,F2 D L2 U' L2 U R2 D' F2 D B2 R2 B2 R2 U' B' U L F R D' R2 B U2 L' ,G
595684,F2 U' B2 D' F2 R2 B2 F2 U' B2 D L2 D2 B' L' F' U' F2 R' D2 B D' L' U' ,G
1129167,U2 L2 B2 D' L2 D' R2 D L2 B2 R2 B2 U' L2 U L' D' L2 F R' U B' D F2 R' F' ,G
358985,U F2 D B2 U2 L2 B2 D2 U' B2 F2 R2 U2 L' U2 F' U R D B L' F' U' ,G
279918,F2 L2 U2 B2 F2 L2 U L2 U2 B2 D2 U' L2 B' L F R2 L2 D' R' U' F L ,G
1219929,R2 U R2 F2 R2 U2 R2 U R2 L2 U2 F2 U L2 U' B' L' F' L2 U R' D R2 F' L' ,G
560628,U' B2 U' L2 F2 U2 R2 B2 D B2 U' R2 U L2 B' R B2 U' F' D' F2 R B' L' U ,G
337174,L2 B2 U2 R2 D R2 U' R2 B2 D F2 D' F2 R' F L B2 F2 U' B' D' L F ,G
485827,F2 R2 F2 U B2 D F2 D F2 D2 R2 D' B2 R2 U' R' D' B' L F U R' D' U2 B ,G
105873,F2 U L2 B2 D L2 B2 F2 U' R2 U2 B2 U2 F' L B2 D' B2 R' U B' F L' U' ,G
314545,D' F2 U F2 R2 D2 B2 R2 D' F2 D L2 B2 F2 L' D F' D B R' U' L' F' R' ,G
281658,R2 U' B2 F2 R2 F2 U' B2 D2 U' R2 U' B2 R2 F' R U' L' B2 D' B F' U2 L ,G
375138,L2 U' L2 D L2 U' B2 U B2 D R2 U2 F2 R2 D B' D' L F' D' U' R' B D' L ,G
838628,U2 R2 B2 D F2 U' B2 L2 U' L2 U L2 U R2 U' R' F U B L D' R' L2 F' ,G
676707,B2 F2 L2 U' R2 D' F2 D2 F2 R2 U' L2 U B2 U2 L' F' R L2 D U2 F' U' L B ,G
705823,R2 L2 U R2 D' F2 U R2 U B2 R2 D2 L2 U' L' D' F' R' B R2 U L D B ,G
506594,B2 R2 B2 D R2 U2 L2 D R2 U B2 F2 R2 D F' R2 L' D' R B U F L U2 ,G
121232,F2 U R2 D' R2 B2 D' U' L2 F2 D' R2 L2 U' F' L F2 U' B' D' B2 L F' R' U2 ,G
465466,D' R2 B2 U2 F2 U R2 D' F2 U R2 F2 U2 F' L' D' R' B U F L' U ,G
1018345,F2 L2 U' R2 U' F2 R2 D U R2 L2 U' B' L F U R D' L2 D2 F' L' U' ,G
233082,R2 U' B2 U2 R2 B2 D L2 F2 U' L2 F2 D B' L U F D' F2 U2 R B L' ,G
1048150,L2 U' R2 B2 F2 U' L2 U2 B2 U L2 F2 U L2 B' D2 L D2 F L2 D' R' U' F' L' ,G
1142596,R2 B2 R2 D F2 D L2 B2 D2 F2 D' F2 U' F' R B' L2 U L D R2 B' R' U2 ,G
893822,D2 B2 U2 R2 B2 L2 F2 D' R2 U2 F2 U R2 U' F' R' B D L U F' U2 R U' ,G
889808,R2 F2 D' R2 L2 U' F2 D B2 U' F2 U R2 B' R' D' F2 U' F' L U' B R' ,G
235909,U F2 L2 U' B2 D' F2 U' L2 U L2 D2 R2 U' F' L' B U' R' D' L2 B L U2 ,G
656088,D' F2 U2 R2 L2 U' L2 U' L2 U' B2 U2 F2 U' L' F D R2 U R B' U L' F ,G
793639,B2 R2 U F2 R2 F2 L2 U F2 D' L2 U2 L' D2 B R2 U' R F L D B U' ,G
864980,F2 D R2 D' B2 L2 U B2 U' B2 U R2 D R2 U' L' B' F R2 D B2 R' U' L F' U' ,G
1116173,U' F2 R2 U L2 U2 F2 U' R2 U' B2 L2 F2 L2 U' B' L' F' D R2 U R' B' L' ,G
1234751,B2 R2 L2 U F2 U' L2 D' R2 U2 R2 D2 L' F' R B2 D' B' U' F2 R F U' ,G
415090,R2 L2 B2 R2 L2 D' B2 U' L2 U2 F2 U L2 U' L' B' F R2 D B2 R' U' L F ,G
1211907,D R2 F2 D F2 D' F2 R2 U' R2 D2 R2 F2 U' R' F R2 L' D' U2 F U R' B' U' ,G
472083,U' L2 D F2 R2 F2 L2 U' R2 U2 B2 F2 R' B L2 F U' R' B' L' D F' U' L' ,G
669614,L2 U' B2 U B2 R2 U F2 R2 D F2 R2 D U2 L2 F' L' B D2 R2 U R D F L' U' ,G
827885,R2 D B2 U2 F2 L2 D F2 L2 U R2 B2 D F2 U F' D' F2 L' B' D2 L' D' R' F' L' ,G
293193,R2 L2 U' L2 U' B2 U F2 U' B2 D' L2 U2 F' D2 L' D B U R F' L U2 ,G
1056827,D2 L2 D R2 U F2 D U B2 R2 U' R2 U2 F' U R B' L' D' F D2 U R' ,G
121199,R2 B2 D R2 U F2 D' F2 R2 U B2 L2 D U' F' L' F2 D B U L' F R' U2 ,G
86177,U L2 F2 U' F2 D2 L2 U F2 R2 D' B2 L2 F' L B D2 R2 U' R D F L' ,G
525447,R2 U F2 D B2 D' B2 L2 D R2 F2 D' R' B R2 D' L' U' L2 B R' F U' ,G
913535,L2 F2 U' L2 D U2 F2 D F2 U' F2 U B2 R2 U' R' F' L D2 B2 U B D R F' U' ,G
247205,R2 U R2 U' R2 D2 R2 B2 R2 L2 U' R2 U R2 F' R U B D' F2 D2 R' F L' ,G
337168,L2 D L2 U' L2 D B2 D' R2 B2 F2 D B2 L2 U F' R' U B D F2 R' F' L' ,G
470074,B2 D2 L2 F2 D B2 U' B2 D B2 U' R2 D' R2 U B' D2 R D2 U' F' D B2 R B L' ,G
375169,U' F2 D' R2 D' B2 R2 U2 B2 D' L2 D L2 U' B' L F' U R D L2 F' L ,G
568696,F2 U F2 R2 D R2 D' R2 D F2 U' R2 D F2 U' B L D B R U2 L2 F' D' B L' ,G
563267,D2 B2 U F2 L2 U L2 U R2 B2 L2 U2 L2 R' D2 B D' L' U' F' R B' ,G
954338,D F2 U' B2 R2 D F2 R2 B2 D F' L' B' D' B2 R' U2 F U' L ,G
739372,U' F2 L2 D R2 D' R2 U L2 U' B2 L2 D2 L2 U2 R' F' R2 D L U L2 F' R B' U ,G
604883,L2 B2 D' L2 U' R2 U' F2 D2 U F2 U' L2 F' L U R B D' B2 F' L U' ,G
324790,R2 U' R2 F2 L2 F2 D2 L2 U' L2 F2 D2 F2 U' F' L' B U R D F' D2 L' U' ,G
121219,F2 D' F2 L2 U F2 R2 U' R2 D U F' L F2 U' B' D' L F' R' U' ,G
459272,R2 F2 D' F2 U B2 F2 L2 U' L2 U F2 U2 L' B' F L2 D B2 R' U' L F ,G
504213,L2 D' R2 U B2 F2 L2 U' R2 D' B2 U B2 D' B L' F D' R' U' L2 F L ,G
754162,R2 B2 D F2 R2 D' L2 D F2 R2 U B2 U2 R2 U' B' L B2 D' F' U' F2 L B' R U' ,G
138225,F2 U2 L2 U R2 L2 B2 L2 U B2 D' B2 U F' D2 L B2 U' L2 B' R F U L' ,G
448983,R2 B2 D2 L2 D L2 U L2 U' F2 R2 B2 U2 F' L' B' D B2 U R' F' L' U ,G
1265969,U' L2 D R2 D' R2 B2 U' F2 U F2 U' R2 D2 U' F' R' L' U L2 F2 U B' F' L' U' ,G
587184,D R2 L2 U L2 B2 D2 L2 U B2 F2 U B' R' D' L' F' U B' D2 U2 L' ,G
810384,F2 D R2 L2 U' B2 U B2 D2 U' F2 R' B' D2 L2 U L' D' F' R' B ,G
69101,R2 B2 D2 B2 U' L2 F2 U B2 U' R2 D' R2 U F' R' B' D L2 U L' F' R' U' ,G
525838,U B2 D2 B2 L2 U' B2 U F2 L2 U2 R2 F2 R' F' D' R D2 L B U' F D2 L' ,G
931610,F2 D2 R2 U' B2 D' B2 R2 U' F2 U F2 L2 U' L' F L2 D' R' U' R2 F L' B' U ,G
