# Scramble Extremes — std / xxxcross / WY / bin 12 (3rd-smallest)
# Population in this bin: 1027170
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1087698,B2 D' B2 U F2 D' L2 U2 B2 L2 U' L2 U2 R' F U B L D' R' L2 F ,W
43688,F2 D2 L2 D' B2 D F2 U' L2 B2 U2 R2 D B' D2 L' F2 U F' R' B' D' L' ,Y
608367,U' R2 F2 D2 B2 D F2 D L2 U2 L2 U' L2 F2 U' R' D2 F' R B F2 U' R D F' L' ,Y
404003,L2 D B2 L2 B2 F2 D2 U L2 D2 F2 R2 L2 F' L' B' R2 L2 D R U B' L' ,W
64900,B2 D2 R2 L2 D' R2 D' B2 R2 U2 L2 D' F2 L2 R' B L' F2 U F D B2 L' B U' ,W
67054,U2 F2 U F2 L2 B2 F2 D2 L2 D B2 U F2 L2 D F U2 L' B' R D' L2 F U2 B' R ,Y
1003753,F2 R2 L2 D F2 U' F2 U F2 D L2 U2 L2 U' B' L' F' D R2 U R' B' L' U' ,W
120057,D R2 U' R2 U L2 B2 D F2 L2 U' B2 U R2 B' D' L F' D' U' R' B D' L ,W
899228,D' F2 D2 L2 D F2 D' B2 F2 U R2 U L2 U2 B' D2 U2 L' U R' B' D' F' L' U' ,Y
1064290,U' B2 U2 B2 L2 B2 R2 U' R2 D' B2 R2 L2 U B' R' B2 D F U R' B L ,W
808451,R2 D' R2 U' B2 L2 U' R2 D L2 U' R2 U2 L' B' L2 D R U R2 B' L F U' ,W
412808,L2 B2 D R2 L2 F2 L2 D R2 D' F2 L2 D2 U' R' B L' U' F' D' R D2 B' U2 ,Y
340069,B2 D' B2 L2 D2 U L2 U2 L2 B2 L2 D R2 U2 B' R' D' L' F' U B' D2 U2 L' U2 ,W
202655,L2 D R2 D2 F2 R2 B2 U F2 U2 B2 L2 D L2 U' B' L' U' R' F' D B F2 L ,Y
502559,D' L2 D2 R2 B2 L2 D B2 U2 L2 D2 L' B2 F D B' R' U' L' F' U2 ,W
265594,F2 R2 D B2 D2 F2 L2 B2 D' B2 U' R2 U F2 R' U2 B F' D' B2 R' U' L F ,W
512531,R2 L2 B2 D' R2 U R2 L2 B2 D' U' B2 U' B' L' F' L2 U' R D U2 F' U2 L' U' ,Y
407097,D B2 R2 L2 D' L2 D L2 U' R2 U' L2 D U' F' L' B R2 U' R' D' L2 B L U ,W
268729,F2 L2 U' F2 U2 L2 F2 D L2 D B2 L2 B' L' F D R U B' U2 L U' ,W
598120,U F2 U' F2 U2 B2 R2 U F2 L2 U2 L2 U' R B' F R2 U B2 L' D' R F ,W
24398,R2 D' F2 D' R2 U B2 D' L2 U' R2 F2 D R' B' F L2 U B2 L' D' R F ,Y
172984,D' L2 F2 D F2 D L2 B2 F2 U2 B2 L2 D R2 U2 L' F R' U B D F2 R' F ,W
456537,F2 D2 F2 D R2 F2 U' R2 U' R2 L2 U2 R2 U F' R B D' B2 U' L F R' U2 ,W
75242,F2 R2 D2 B2 F2 R2 D R2 L2 B2 R2 D' F2 U2 F' R B2 F2 D' B U' R F' L' ,W
333971,L2 D F2 U B2 U2 B2 U' B2 L2 U F2 R2 D' U' F' L B' D' R' U' F U2 L ,W
584109,U' R2 F2 U R2 U' L2 U2 F2 L2 D F2 U' B' R B2 U' F' D' F2 R B' L U ,W
670764,L2 D B2 L2 D R2 D2 F2 D' B2 F2 L2 D L2 F' L' B' U2 R2 D R' U' F' L ,W
210468,F2 L2 U' R2 U R2 F2 U2 B2 D R2 F2 D' F2 U' B' L U' F D B U2 L F R ,W
151157,U' R2 U R2 B2 D' R2 F2 U B2 D' B2 R2 F' R D' R2 U' B L F D' R' ,W
555734,L2 B2 R2 U' F2 U B2 R2 L2 U' B2 U2 B2 R2 F' L' D B' U F2 L' F' R2 D' R' ,Y
909701,D R2 B2 D2 U' B2 F2 U' B2 U' F2 L' B2 F' U' B R D L F' ,W
1029735,D' R2 U' F2 R2 D F2 R2 U B2 U' R2 F2 D' R' D2 F U B2 R D B L' F' ,W
105061,B2 L2 F2 D R2 F2 U F2 D L2 D' R2 L2 D2 B' R2 L' U' R F D B L U2 ,W
81484,U' F2 R2 D2 B2 U B2 F2 L2 D' L2 F2 D' B' R2 L D R' F U' B' F2 L' ,W
937307,U' R2 D' L2 F2 D2 R2 D' B2 L2 U F2 U' R' B R2 D' L' U' L2 B R' F U' ,W
421823,R2 U2 F2 D F2 U' B2 U2 B2 L2 D B2 F2 L' B' U' F' U R D F2 R2 F L' ,Y
148150,R2 L2 D2 R2 B2 U' B2 D' U2 B2 R2 F' L U R D' F' D B' D' L ,W
1173299,U' B2 R2 U R2 D' R2 U F2 R2 L2 D' F2 U2 B' L' F' L2 U' R D U2 F' U2 L' U' ,W
765564,D' B2 D L2 F2 U' B2 F2 L2 B2 U2 F2 D L2 D2 L' F' R' U' R2 B' D2 L D' F' ,W
774760,R2 D2 U' F2 L2 F2 U' F2 U' R2 U' B' L B2 F' D2 U' L D B' R' ,W
1124758,D L2 F2 R2 F2 U R2 D2 L2 B2 U R2 U' L2 U2 F' U R' L U' B F2 R' U' F R' ,W
687475,U2 L2 D2 R2 F2 U' B2 R2 U' F2 D F2 U2 L' F' U B R' B2 D L2 F' L' U' ,W
346522,B2 D' R2 B2 U2 B2 U R2 D2 F2 R2 U B2 U F' L F2 U' B' D' L F' R' ,W
1062719,D' F2 D2 L2 B2 R2 B2 D R2 F2 U L2 U L' B' R U' F' D' B2 R B' ,W
1064478,R2 D B2 F2 R2 D' L2 D2 F2 R2 D2 L2 R' F L' D' B' U' R U2 F' U ,Y
1250907,F2 D2 R2 U F2 D2 F2 R2 B2 D R2 D2 R' B R2 D' L' U' L2 B R' F ,W
475838,D R2 U' L2 D B2 U2 L2 B2 L2 B2 D B2 R2 L2 F' D2 R' B' L U' R2 F D2 B' L ,W
272452,B2 L2 B2 U F2 R2 D B2 U2 R2 D L2 U F2 R' D2 B D' L' U' F' R B L2 ,Y
394475,L2 U' R2 L2 B2 D' B2 D' B2 U L2 U' R2 U' B' L' F' D' R' U' L2 F U2 L' ,Y
1131775,F2 U' R2 D B2 R2 F2 L2 U2 F2 U R2 U L2 U' B' R B2 U' F' D' R B' L U ,W
919092,U' F2 U' L2 U B2 F2 L2 U R2 D' R2 U' L' D B U F2 L F' R' D' B ,W
995703,L2 F2 U F2 L2 U2 F2 L2 D' B2 F2 L2 U L2 U2 F' R2 L' D' R B U F L' U' ,Y
987913,D' B2 R2 L2 D' B2 L2 D B2 D2 R2 U' L2 U' L' F R2 U' R2 B' D R' L F' U' ,W
1105746,B2 D2 F2 D' L2 F2 U' B2 U L2 U F2 U' L2 U L' B' R U' F' D' B2 R B' ,W
1232744,R2 U2 R2 U R2 B2 F2 D' B2 L2 D2 L2 D' R2 U2 B' L D F' U2 R' U B' R' L' ,W
709532,F2 D' B2 U R2 U' R2 F2 D R2 D2 F2 U2 R' F' D' B' L' U R L2 F ,Y
839854,D R2 B2 R2 D' F2 U L2 U2 B2 U B2 U' B' D' B2 L F' U R' D L2 F' L' ,Y
573142,B2 U2 L2 U B2 L2 U F2 R2 D' F2 D L2 U' L' D2 B R U L F D' B' U2 L' ,W
368148,F2 L2 D2 F2 D' B2 D' F2 U2 R2 U R2 F2 U' L2 F' R F2 D' B' U' B2 R F' L ,W
1168808,L2 U R2 L2 D R2 U' B2 L2 U F2 U' L2 D' L' B' F' U' R D U' L U F' ,W
465986,U B2 F2 L2 D2 L2 U F2 L2 U F2 L2 B' R B2 U' F' D' F2 R B' L' U ,W
60447,D2 F2 R2 U2 L2 D' B2 U L2 F2 U L2 B2 U' R' F' L B2 U' B' D' F2 L F' U2 ,W
350429,U R2 L2 D2 R2 B2 D' L2 B2 D B2 R2 U B' R' F U' L' D' R2 F R' ,W
758436,U F2 L2 U' L2 D' R2 U F2 D F2 L2 U L2 U2 B' L' F' L2 U' R D U2 F' U2 L' ,W
1254872,L2 D' R2 D B2 U' L2 U' L2 U' R2 B2 L2 U R2 L' U2 B U' R' D' F' L B' U2 ,W
451311,L2 U2 R2 U B2 D' L2 U L2 D' B2 U2 B2 U2 R' D2 B D' L' U' F' R B L2 ,Y
761160,B2 L2 B2 R2 D2 U L2 U' B2 D F2 U2 L2 B' R F' D' L2 U' L B U' R' ,W
867435,U2 R2 F2 L2 B2 L2 D' L2 D' F2 U' R2 B' R B2 U' F' D' F2 R B' L' U' ,W
592144,L2 D' B2 U2 B2 L2 F2 L2 F2 D B2 D2 B2 U' B' R' F U L D B' D2 R' U' ,W
1037657,L2 D R2 L2 F2 U F2 U' B2 L2 D' R2 D' F2 U R' F' L B2 U' B' D' F2 L F ,W
1062354,L2 D' B2 L2 B2 R2 U' L2 B2 D2 R2 U2 L2 F' R' U' R2 L B F2 U' F' R' ,W
816807,R2 B2 D U2 F2 U' L2 D R2 L2 U' R2 U2 F' U' R' L' B D R' F' D2 U L' ,W
887156,D L2 D2 F2 U F2 D' B2 U2 B2 R2 U' L2 U F' L' D' R B2 R2 B' U F L' ,W
898903,F2 U2 F2 U R2 U L2 U' B2 D F2 U R2 U' L' F' U R D L B' L F' L' ,Y
981955,D' R2 D2 F2 R2 F2 U' F2 D2 L2 D' F2 L' D' F R D' R2 U' B' L F ,W
741759,L2 D2 R2 B2 U2 B2 U B2 F2 R2 F2 U' R2 U2 B' R' F' D' F2 L' U2 B U' R' ,W
1135940,B2 D' F2 D' F2 U' L2 F2 D' B2 U' F2 D2 F2 U' B' R2 L' U' R F D B L' ,Y
740238,R2 U2 B2 L2 B2 L2 U B2 D' L2 F2 U2 B' L D' L2 U' L2 F' R B U L U' ,Y
