# Scramble Extremes — std / xxxxcross / Y / bin 12 (2nd-smallest)
# Population in this bin: 539
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-04-27T02:55:05.485Z
# Columns: id,scramble,bottom_color

1029,F2 R2 D' L2 D' R2 D B2 L2 F2 U' B2 L2 U' F' R L B' D' U' F' D2 R U2 ,Y
1030,U' R2 U F2 D L2 U' F2 R2 B2 R2 U' L2 U L2 F' U R B L' B2 D' F' L' D2 U' ,Y
394014,R2 F2 D' B2 L2 D' B2 D' B2 U' L' B' L2 D R U R2 B' L F' U2 ,Y
393918,D' L2 U' R2 B2 L2 U2 F2 U L2 U' L2 B2 F2 U L' F' U' B' R' D R2 L F U ,Y
393968,F2 R2 F2 U2 F2 D' B2 D L2 B2 F2 D' L2 U' F' R L' B2 D' R2 B U F' L ,Y
919815,B2 L2 U F2 L2 D L2 U2 B2 F2 U L2 U R2 U2 L' B' D' F' R' U R2 L B' U' ,Y
394039,U' B2 D' B2 L2 U' L2 U' R2 D' R2 L2 B' L' B2 U F D F2 L' B R U' ,Y
1233884,B2 U2 F2 L2 U B2 R2 U L2 U R2 B2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
1037,U L2 U F2 D2 R2 L2 F2 L2 D L2 D' R2 D U' B' R D R U F' L' D B R' U' ,Y
1038,F2 U2 F2 R2 U' L2 B2 U B2 D' R2 U F2 R2 B' R2 D L D R' F' U' L B' ,Y
1039,R2 D' F2 U2 R2 B2 L2 F2 D F2 U2 L2 D2 F' U' L' D L2 B F2 L F' R' U' ,Y
1265375,R2 F2 R2 D' L2 D' B2 F2 D2 F2 U' F2 D F' R F2 D' B' U' R F' L U' ,Y
1265389,U2 R2 F2 U2 F2 L2 U2 L2 D' R2 U B2 U' L2 U' B' L' U' R' F' D B F2 L U' ,Y
394028,D2 R2 U B2 D' B2 U' F2 U F2 L2 U F2 R2 U2 F' R' L2 U' L B D F R' U' ,Y
1043,B2 L2 F2 D' L2 D' L2 U2 R2 B2 D' L2 U' B' R D R U F' L' D B R' U' ,Y
1232775,L2 D L2 F2 U R2 U B2 R2 L2 F2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
394041,F2 L2 D F2 L2 D2 B2 L2 U2 L2 D2 U' F' D' R' L' B U L' F' D U2 R' ,Y
393970,L2 D R2 L2 F2 U R2 B2 D2 B2 U R2 U L2 D F' R2 L' D' R B U F L U ,Y
394012,F2 U' B2 U R2 F2 U R2 L2 D F2 U2 B2 L' B2 F' U' B R D L F' U2 ,Y
1048,U2 L2 B2 D2 U' L2 D' B2 L2 B2 R2 D2 F' U R B L' B2 D' F' L' D2 U' ,Y
414946,R2 B2 U F2 D' R2 B2 U2 B2 U F2 U2 R2 F2 U' B' R U' R2 D' F L B U' R' ,Y
1285,U R2 L2 B2 U' B2 D R2 F2 L2 F2 U B2 D' R' B' F L2 U B2 L' D' R F ,Y
919790,U' F2 D2 U B2 L2 D B2 U' B2 U L2 U' L2 R' B L D' L2 U' F R B' U ,Y
1267786,D B2 U' L2 D' B2 D' R2 B2 U' F2 D' F2 D F' R B' U L D R2 B' R' U2 ,Y
369107,L2 D2 L2 U F2 R2 U' R2 U' R2 B2 F2 D' B' F' R' B2 L2 D U' F' R' L' ,Y
393961,L2 U F2 D' L2 F2 D' L2 D2 B2 L2 D2 F2 U' L' B2 F' U' B R D L F' U2 ,Y
1232774,F2 U' R2 U F2 R2 B2 D2 F2 U' R2 L2 F' R B U' L' D' F' R U2 L' ,Y
1291,B2 D' R2 U R2 U2 F2 U B2 R2 F2 D2 F2 U2 F' L' D' R' B' U F' D2 U2 R ,Y
394040,B2 R2 D' U' R2 U' R2 F2 U L2 B2 L2 F2 R' B' R2 U L D B' R F ,Y
394024,B2 L2 U' F2 U B2 R2 U' R2 U2 F2 R2 L2 U' R' B2 F' D' B L U R F U2 ,Y
1197381,L2 U B2 U2 F2 R2 U' R2 D2 F2 D F2 L2 D' F' R' U L B' L2 D F2 R' F' U' ,Y
394035,B2 U2 R2 L2 D R2 B2 D F2 U' L2 U F2 L2 F' D' R' L' B U L' F' D U2 R' ,Y
1296,U2 L2 D' R2 U R2 U2 R2 F2 U' L2 B2 U2 F' R D L B U' F D2 U2 L' ,Y
1297,F2 D2 F2 U' L2 U' R2 D' L2 B2 U2 B2 U' B2 U' L' B F' R2 U' B2 R D L' F' ,Y
1298,F2 R2 U R2 B2 D' R2 F2 R2 L2 D L2 F' R' L B2 U R2 B' D' F L ,Y
369108,F2 D' R2 U F2 U' L2 U' R2 F2 U' L2 U' F' R' U B D F2 R' F' L' ,Y
414947,L2 U2 F2 U' B2 L2 D' B2 L2 U2 B2 U' R2 U2 B' R B2 U' F' D' R B' L' F2 ,Y
1301,U F2 U2 B2 D F2 R2 D' F2 U' F2 R2 L2 U' B' F' R' B2 L2 D U' F' R' L' ,Y
369110,B2 D F2 L2 U L2 B2 R2 B2 D B2 U F2 U2 B' D2 L D' F' U' F2 R' B L' ,Y
1267787,D B2 D2 B2 R2 U L2 D2 B2 U2 B2 U' F2 U2 L' U2 F' U R D B L' F U2 ,Y
1304,B2 R2 U F2 R2 L2 D R2 F2 L2 F2 L2 D' F' L D' R B2 R2 U B' F L' ,Y
