# Scramble samples — 123 / rouxs1 / BGOR / bin 8
# Population in this bin: 25
# Samples listed: 25 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-06
# Columns: id,scramble,bottom_color,competition,round

93484001,D B2 D2 L2 D L2 F2 R2 D2 F R B2 L B D' L2 F D2 L R,B,Schleswig Holstein Open 2014 (2014-12-27~28),333 R2 B #5
146873001,B' L2 B2 L2 B' L2 B U2 F2 U F' R' U B' L F U2 F2 L' D' B' L,B,Indian Nationals 2015 (2015-05-29~31),333bf R2 A #1
195084001,B R' B' D' L F' U' L' B U D2 R' F2 R2 D2 F2 D2 R' D2 L2,B,Arnold Classic Rubik 2015 (2015-09-25~27),333 R2 A #2
218641001,U' B2 R2 U L2 D L2 F2 U B D2 R' U2 L B' F2 D R D' U',B,Clash Of Cubers Davao 2015 (2015-11-15),333 Final A #3
246936001,D F2 L2 D2 U2 F2 U B L D2 U' L R D' B' U F2 L2,B,Sharon Winter 2016 (2016-01-30),333oh R1 A E1
529052001,R2 D F R2 L2 B U' R' L B' R' F2 U D2 B2 U2 D' L2 B2 R2,B,Ticino Open 2017 (2017-06-10~11),333 R2 B E2
878444001,D' L U R F L' U L' F2 L D L2 U F2 L2 U F2 U L2 D2,B,Hillsboro Open 2018 (2018-09-15),333 Final A E1
880770004,B2 D2 L2 D2 R2 B2 L' D2 U B F R2 B L B' D' R' U L2,B,Berkeley Summer 2018 (2018-09-15~16),333mbf Final A #1
945665001,F2 U2 L' D2 R F2 R' F2 R B2 R' D' R2 D B R' D' F' L' D2 F2,B,Arkansas Cubing Drive 2018 (2018-12-01),333 Final A #3
1025192001,D2 F R2 D2 R2 B' F2 L R2 U' R B2 D2 F D B L F2 U B' L2,B,UCSD Winter 2019 (2019-02-16~17),333bf R1 A #3
1041560018,U' R2 D2 R2 F2 R2 F2 U2 B2 U R D F' R2 B' L D R' U R2 B L B2,B,IIT Kanpur Open 2019 (2019-03-09~10),333mbf Final A #2
1225568001,D2 L2 F' D2 F' D2 U2 F2 L B2 L2 F2 R' F U' L B R F' D' L B2,B,II Project Warszawa 2019 (2019-07-13),333bf Final B E2
1396975001,B D2 B' L2 U2 F' D2 F' U2 F L U R' F U2 B D2 R B' D,B,Lafayette Fall 2019 (2019-11-09),333 R2 A #3
1453474019,L2 F' D2 L2 F2 U2 F' D2 B L2 R B2 D U B2 L D2 L D' L' F' D,B,Hobart Hoedown 2019 (2019-12-14~15),333mbf Final A #1
1691189001,L' U F D' L' F' R' F B U2 F R2 U2 B R2 D2 F' R2 U2,B,September Speedcubing Tour Rzeszów 2021 (2021-09-11~12),333oh Final C #2
2398576018,B' D B L F' U' D2 R' D' L B' F2 U2 L U2 R B2 R' L' F2 L2 U,B,Taiwan Championship 2022 (2022-12-16~18),333mbf Final A #1
2533428048,D2 L2 F' U D2 B' L F R F L2 D' F2 L2 D2 R2 U' F2 U2,B,MBLD in a Madison Meeting Room 2023 (2023-03-04~05),333mbf Final A #1
3924358018,L2 U D B R' L' F U2 R F2 L R2 U2 R2 F2 U F2 D F2 L' F2,B,Philippine Championship 2024 (2024-07-05~07),333mbf Final A #1
4348524001,B2 R2 U' L2 B2 L2 U' R2 L' B' D F L B2 D B2 L2 R' U',B,Cubes Canes & Joy Vegas 2024 (2024-12-08),333oh R1 A #3
4735593001,D' F2 R' B2 R' U2 F2 R D2 R D2 B2 R2 U' L' D2 B D F' R F2,B,Tramsheds V: Autumn Sunday 2025 (2025-05-18),333 R1 E #3
5121416001,R2 L2 F U2 L' U B R' D' L F L2 F' U2 D2 R2 U2 F B,B,Bodocó Open 2025 (2025-10-18~19),333 R2 B E2
5297405051,F2 U F2 D U B2 R2 D' B R F L' U F' L F' L' B' D2 B D,B,Taiwan Championship 2025 (2025-12-19~21),333mbf Final A #1
5599614016,D' F B' D2 R' F U L D F R2 F2 B2 U2 R2 F2 L2 F' U2 R2 B' L2,B,Campeonato Mineiro 2026 (2026-05-01~03),333mbf Final B #1
5627733001,F' L2 B' U2 F2 L2 R' U2 L' B2 R' D2 B2 U L2 D B D U2,B,Temple Qualifier 2026 (2026-05-09~10),333 Final A E1
5670928001,D' F2 D2 L' B' U' D2 L' U2 R2 F2 D2 F2 R' D2 R2 F R B,B,Solo Lur 2026 (2026-05-30~31),333 R2 A #5
