# Scramble samples — 123 / rouxs1 / BG / bin 2
# Population in this bin: 251
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-29
# Columns: id,scramble,bottom_color,competition,round

5542001,D' R2 L' F' R2 B2 U B L' U2 F2 L2 U2 F2 B2 U' R2 D' R2 U',B,Swiss Open 2014 (2014-03-29~30),333oh R1 A #2
5488072031,D' R2 D2 U2 R B2 L' D2 F2 R2 U2 B' U L2 U' B U2 F' R' F2 L',G,Los Heroes Bogotá II 2026 (2026-03-29),333mbf Final A #1
53811001,R2 F2 L2 D2 F2 R F2 L2 B' D L' D' R2 B2 F D F2 R' F',G,Fortaleza Open 2014 (2014-08-23~24),333 R2 B #5
57538001,R U F R' B' R' U F D L2 U2 L F2 L2 B2 R' D2 B2 U2,G,Aaruush Cube Open 2014 (2014-09-13),333oh R1 B E1
5416363001,D' B2 D R2 B2 F2 D F2 L2 F D L B U2 R' U B2 U2 L,G,Good Solves in Gibson Park 2026 (2026-03-01),333 Final A #1
5306890001,L' U' B R F B' U' R U R2 L2 U2 B' R2 U2 L2 U,B,Imagination Station B 2026 (2026-01-04),333 R1 B E1
103934001,R2 D F2 U' R2 D L2 B2 D B2 D' R' D' B2 L2 B L2,B,Happy Sheep Year 2015 (2015-01-24),333 R1 B #2
4717616001,L' F D F B2 U2 R' F' R' L2 U2 L2 D' L2 D2 F2 L',B,Kublördag Västerås VIII - 2025 (2025-05-10),333 R2 B #5
5545098001,D' L B2 R2 U B2 F2 L2 U2 R U B' U2 R' B2 F U2 L2,G,OberliNxN 2026 (2026-04-12),333 R2 B E1
5700303001,B2 D' B2 F2 L' F2 U2 F2 U2 R' D2 F' D F2 U R2 B2 R' U2,G,Davis County Showdown 2026 (2026-06-13),333 R1 B #4
4626882066,R L' B' L' B2 L' B U' R' B R' L B2 R' U2 L U2 F2 L B,G,New York Multimate PBQ 2025 (2025-04-04~06),333mbf R1 B #2
205789001,B D2 B D2 U2 F' R2 B U' F2 R U F2 U' L2 F D L B L,G,Nanjing Autumn 2015 (2015-10-24),333bf R1 A E2
218668001,B2 F2 R F2 L' D2 F2 U' F D' L2 B' D2 B' F U B D2,G,Clash Of Cubers Davao 2015 (2015-11-15),333oh Final A E3
228201001,B2 D' B2 U' R' F2 U D' F L2 U2 F' L2 B2 U2 F R2 B2,G,Santa Lucía Open 2015 (2015-12-12),333oh Final B #1
5419233001,D' L B' D' R2 F2 D2 B2 D2 U F2 L2 F' R2 F R' B D' F2,B,Summer of the Cube Huancayo 2026 (2026-02-28~03-01),333oh R1 A E1
4847473001,D' U2 F2 D' R2 U2 B' L' R U R2 F' D F L U',B,Rubí Guanajuato 2025 (2025-07-05~06),333oh R2 A #3
340777001,L' B' R B R2 B U D2 F2 U' L' U L2 U' F2 U D2 L2,B,Cube Camp in Kanazawa 2016 (2016-08-05~07),333 R1 B #2
343469001,R' U' F R2 U2 B2 L2 D2 B2 U' R2 F R2 D2 B2 R B2 R2 D' B F D' R' U' F,B,N8W8 Summer 2016 (2016-08-06~07),333fm Final A #1
347735001,R F2 L2 R U2 L B2 L' D2 F2 D' F2 D F D2 B2 L2 D2 B' L' D,B,Yangzhou Open 2016 (2016-08-17),333bf Final A #3
379705001,U2 L2 U' F2 D2 R2 U2 R2 U2 F' D' L R2 B U L' R2 B F,B,Cubing ATMOSphere 2016 (2016-10-15~16),333oh R1 E #5
379726001,L D2 R U2 R' U2 B R B' D' R U' F' R' D' F D',B,Cubing ATMOSphere 2016 (2016-10-15~16),333oh R1 H #5
388295001,U2 F2 L2 B2 L2 D L2 B2 D2 B L R2 B2 L' R U' L D' L2 F2 L',G,UNSA Speedcubing 2016 (2016-10-29),333bf R1 A E2
428859001,F' D2 R2 D' R' U2 B2 D2 L' D' B U2 F2 B R2 B' D2 R2 F,B,South East Texas Open 2017 (2017-01-07),333 R2 C E1
429557001,F2 D2 R' B2 F2 R' U2 L B2 U' F' D U2 F' R' B R' D' R,B,Cubers East India Open 2017 (2017-01-07~08),333oh Final A #4
433280001,U2 F' R2 B U2 B' D2 U2 L2 D' U' R' B2 U R B2 L' D2 U',B,Santa Fe Open 2016 (2016-12-10),333 Final A E2
438645001,B R2 B' L2 R2 F' U2 L2 U F' R' U R D' L' B2 R2 F' U,B,Monument Mountain Winter 2017 (2017-01-28),333oh R1 B #1
4431742001,D B' L U2 L U2 F2 U2 L2 D2 L R D' L B' U' F' L' F',G,Bolivia Cubing Tour - SCZ 2025 (2025-01-19),333oh Final B #3
5138567001,F R2 U2 B' D2 U2 F2 R' F D2 R2 F' L' U' B2 L2 D' B2,B,AstroCubing Oruro 2025 (2025-10-26),333oh R1 B E2
490099001,F D2 F R2 F D2 U2 F' L U B2 U2 L' B2 L B2 U2 R,B,Berkeley Spring 2017 (2017-04-15~16),333oh R1 A E1
4733005001,U L2 U F' L F' U' F R2 B2 L2 D' B2 D2 B2 R2 U' L F,B,Valencia Arena Open 2025 (2025-05-17~18),333 R1 A #5
529174001,D2 L B L D2 F D R' D2 L' U' D2 B R2 B' U2 B2 D2 B2,B,Texas Two-Day Showdown 2017 (2017-06-09~10),333 R1 F E2
550546001,U' F' L U2 F R D L U B2 U2 L2 B2 L2 U' L2 U2 R2 U,G,Thailand Championship 2017 (2017-07-15~16),333 R1 A E2
563575001,L' B U' R' L2 D F' R2 B2 L F2 L2 D' L2 B2 D2 F2 U' L2,G,Sharon Summer 2017 (2017-08-05),333 R1 E E1
563975001,U L2 B2 D L2 B2 D' R2 F2 D R D2 L B' D U' L2 U R',G,Classic City Summer 2017 (2017-08-05),333 Final A #3
4529562001,B2 U' L' U L U2 L2 U B L2 B R2 L2 F' R2 U2 L',G,Unicentro Tunja 2025 (2025-03-01),333 R1 C #5
581627001,D2 F2 R F2 R' U2 L2 D2 R2 F2 D2 U F' D2 R' F U F R2 U' L2,B,Supreme South Open 2017 (2017-08-26~27),333oh Final A #4
622236001,L' F D2 F2 B' R' L D F D2 F' B U2 D2 F' L2 U2,G,Rodeo Plaza Speedcubing 2017 (2017-10-21),333 R1 A E1
624325001,D2 R2 U2 F2 D2 U2 B D' U2 R U B2 R2 D R B' U2,G,Sumaré Open 2017 (2017-10-21~22),333oh Final A #3
635338001,L2 B2 R2 D2 B F R2 F2 D' L F2 D2 B' D L' U R2 D L2,G,Jawa Timur Open 2017 (2017-11-04~05),333 R1 C #4
