# Scramble samples — 223 / block223 / W / bin 4
# Population in this bin: 86
# Samples listed: 86 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

208474001,D2 F2 U' B2 U2 B2 R2 U B' F D B' R D B2 U2 B2 R,W,Saint Petersburg Autumn Open 2015,333oh R1 A #3
247356001,B' D2 B U' D' B' D2 B U R2 D2 R F2 R D2 R U2 D2 R2,W,Hsinchu Winter Open 2016,333 R2 A #5
249035001,R' L U2 R' F L2 F L' B2 D2 R L2 U F2 D F2 U',W,Manchester Open 2016,333 R1 A E1
272516001,L2 D2 F' B2 D2 L2 B D2 R' U2 R B2 U2 L D2 F2 L',W,Cilegon Open 2016,333 Final A E2
305656001,L2 D' B2 U2 F2 D R2 F2 L D' F U L2 D L D2 F2 D' L',W,Florence Rubik's Cube Open 2016,333bf Final A #2
393260001,B' R' B2 R B' D R2 F2 U' L' D F2 D' L2 U L2 D' L2 F2,W,Munich Open 2016,333 R2 A #3
410766001,U2 L U2 R' U2 L2 D2 B2 R2 B D L2 D' B L2 D F' U2,W,Urdaneta City Fiesta Open 2016,333 Final B #4
511853001,D2 U L2 D' B2 D2 F2 D2 F U R U R' B2 U B' F L',W,Bay Area Speedcubin' 10 2017,333 R2 A #2
524231001,L' F2 L' F' U2 D' F R2 F' R' F2 L2 F' L2 F' L2 U2 D2,W,City of Joy Open 2017,333 R2 A #5
537336001,F B2 U' L' F' B2 D' F' D B2 U' F B U2 R2 L2 F' U2,W,Beijing Open 2017,333 R1 B #5
544535001,D2 B' F2 L2 F2 D2 F' L2 R2 U B2 R2 B' R U2 L' R2 B' D2,W,Cubing Kerala Alappey Open 2017,333 R1 C #4
545152001,F D2 B2 L2 B' U2 F2 D2 U2 F D' F R B R D2 R2 F' R',W,Celebes Champ 2017,333oh Final A #4
589339001,B2 D R2 D2 U R2 U L2 B' L' B' U' F2 L' U L U' F',W,Bit Cube Open 2017,333 R1 A #2
626653001,F U2 B' R2 B U2 F D2 L2 B2 L D' F2 D F' L B2 R2 U',W,Classic City Spooks 2017,333oh Final A #1
637863025,B L2 B' F2 D2 F U2 L2 U B' D F' D' L' D2 R U F U' B' L2,W,Porto Alegre Open 2017,333mbf Final A #1
638118001,L2 B2 F2 L D2 F2 D2 R2 U' B2 R D2 B' U2 R F' U2 B' L D,W,Hudson Valley Fall 2017,333bf Final B #2
660666012,R2 B U2 B2 F2 U2 B R2 D' F2 U2 L' D2 R U F2 U' R' D' L' F',W,Ural Winter 2015,333mbf Final A #1
660707002,U' L2 U F2 R2 B2 D2 L2 F2 U F' L D' F D' L D2 R2 F2 D2 B R,W,Mega Rubik 2015,333mbf Final A #1
660718015,D' B2 L2 U L2 F2 L2 B2 D' F2 L' R F' R F L B R',W,Indian Nationals 2015,333mbf Final A #1
661369015,R2 B2 U2 B2 R2 B2 D' L B2 D' B2 L2 B D L2 B' D' L D2,W,Wuhan NxN Open 2017,333mbf Final A #2
682432001,D2 F2 L' F D' F R' D' R2 L' U' R2 D2 R2 L' F2 U2 R,W,Tulcan Open 2018,333 R1 B #2
685141001,L' R2 U2 R' D2 F2 R' U2 R' F' R U' F2 D' F' D2 B F2 U,W,Thanks Four The Invite 2018,333oh R2 B #5
810771001,U' R' U2 L2 B' R' U D' L' F L D2 R2 F U2 L2 F2 L2 D2,W,Shenyang Open 2018,333 R1 G #5
814332001,R2 B2 D F2 D' B2 R2 D' F D' F' L F' U B' L D U F2,W,Byczy Cube Race 2018,333 R1 A #5
846356008,L' D2 L B2 U2 R U2 L2 U L2 B L D2 L2 B2 R2 U' B' D2 L,W,Batam Open 2018,333mbf Final A #1
