# Scramble samples — daisy / daisy / BGORWY / bin 0
# Population in this bin: 960
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-08-06
# Columns: id,scramble,bottom_color,competition,round

262001,R2 U' R2 F2 U2 L2 D B2 L2 F U2 L D U' F2 L2 U2 B' L',Y,Montréal Open 2014 (2014-03-15),333 R2 B #2
1761412001,F D' B R2 D2 R2 D2 B2 U2 R B2 F2 D B' D' R2 B L2 D,Y,New Beginning Santa Cruz 2021 (2021-12-10~11),333oh R1 B E1
2574894001,F R2 B D2 R2 D2 L2 B' D' R' U2 R F R2 F D' L' F',G,Lismeneta Open 2023 (2023-03-17~18),333 R1 C #1
5075159001,U' L2 U' R2 F2 B D L F2 L F' D2 B2 L2 F' D2 B2 U,Y,Axemann Fall 2025 (2025-10-04),333oh Final A #2
3799771001,R F' U2 B2 F L2 R2 D2 F U2 D F2 L U2 R B' R U B2,B,Pitt Meadows Spring Open 2024 (2024-05-26),333 R2 A #1
1121693001,B2 L2 U' F2 D' F2 L2 D B2 U2 L' F' U' L' R2 F' L2 U L' B,Y,Virginia Qualifier 2019 (2019-04-27~28),333 R2 E #4
5237970001,R2 D' B' L2 U2 B' F' R2 B2 U' R' B F' R' D2 L2 B' D2,W,Taoyuan Airport Cube Day 2025 (2025-11-29~30),333 R2 F #3
40305001,U' B2 R2 D' F2 U2 L2 B2 D' R2 B2 R' D' F U' F R2 B F2,Y,Melaka Open 2014 (2014-07-19~20),333 Final A E1
901891001,U2 L2 F2 R2 U' B R' F R' D2 R2 B' U2 F' R2 D2 B' L2 F,B,Dutch Open 2018 (2018-10-13~14),333 R1 B #3
5370861001,D' L D2 U2 R F2 R' D2 R' B2 U' R D' F2 D B D2 L' B' L2,O,Cubing in the Cape Q1 2026 (2026-02-08),333bf Final B #3
56165001,R U2 L B2 L2 D2 F2 L F2 R' F L' D' B2 L U L2 R2 B2 U',Y,TCG Lima 2014 (2014-09-06~07),333oh Final A #2
57905001,U2 B2 D2 B' R2 F2 R2 U2 L2 F R' D R U F' R D F2 R U2 B' L',Y,Champagne Summer Open 2014 (2014-09-13~14),333bf Final B #2
4485598001,R' F' U2 L2 U' F2 D F2 U2 B2 R2 U' F' D2 B2 L2 D' L' B' L',O,GA Cubers Please Banana Quiet 2025 (2025-02-15),333bf Final A E1
2485471001,D' R2 D2 B2 U' B2 R2 F2 L2 R' D2 B D' R' D2 R2 B2 L2 D',Y,Charente Open 2023 (2023-02-11~12),333 R2 A #4
2176752001,U2 F' L2 R2 D2 B' U2 B2 R' D2 F2 D B D' L F' L2 D2,B,U24 Open September 2022 (2022-09-18),333 R1 A #5
68264001,B2 D2 L F2 R B2 L B2 F2 D2 L2 F' R' F2 R2 D B' D2 L,W,Rice University 2014 (2014-10-18),333 R2 A #3
1042679001,U2 B2 U2 F R2 F R2 U2 F D2 B R F' D2 U R B U F R2 B',O,Iruña Open 2019 (2019-03-02~03),333bf Final A #2
1407098024,U2 R2 U2 B2 D L2 F2 L2 F2 U2 L' B D2 B L D' B' D' U2 B' L',R,Mini Minnesota Fall 2019 (2019-11-16~17),333mbf Final A #2
4760530001,L2 D' U' R2 D F2 U' B' D2 F L' F2 R2 B R B2 R',B,Kanto Spring 2025 (2025-05-31),333oh R1 B #5
5302887001,D' L2 D' F2 R2 B2 U' L2 U L' D' U' F' U L2 D L' U,Y,Michigan Medium 2025 (2025-12-29),333oh Final A #5
1831188001,D' R' D2 U2 L B2 L2 B2 L F2 U2 F2 B' D2 F L2 U' F' R' F2,W,Back to İstanbul 2022 (2022-03-12~13),333 R1 C #1
1432017001,R2 U' L' F' D2 B' U R' F' D' B2 D2 R2 D' R2 B2 R2 D2 B2 R2,O,Xiamen Winter 2019 (2019-12-01),333 R1 B #1
107842001,R2 B' R2 D2 F' U2 B2 D2 F' L2 F2 U B R2 F2 U2 L R2 B' L2 D2,B,Copa Rubik Sigi 2015 (2015-01-31),333bf R1 A #3
3288604001,U2 R2 F2 U2 R D2 R D2 R' B2 R' U' L R2 U2 L2 B D L U',W,Kjeller Open 2023 (2023-11-17~19),333oh R2 B #2
130086001,B2 D' B2 F2 D' F2 R2 B2 R F' U B' U F' D L2 D' B' R,W,German Open 2015 (2015-04-18~19),333 Final A #5
4776824008,F2 D2 B2 U' R' L F' L D B' L2 D' R2 D F2 L2 B D,R,Episode VII - The Blind Awakens Israel 2025 (2025-06-06),333mbf Final A #1
2791196001,L2 D' B L R B2 R' B2 D2 R' D2 F2 L F R U B2 D' L2 B,G,Ohio State Summer Solving 2023 (2023-06-10~11),333 R2 A #2
3815292001,L2 U2 D' B2 U2 L B' R' F2 U' D2 R2 F2 L2 F R2 U2 R2 D',O,Cato Cubing Cochabamba 2024 (2024-06-01~02),333 R1 A E1
4657533001,R' F' D2 F U2 B2 R2 U2 F' R' D R' F2 L2 B D B' D B,O,UIUC Side Events Spring 2025 (2025-04-19),333bf Final B #2
148550001,U R2 D U2 F2 D' B2 R2 D' F2 R' F L U L F L R U2,W,Guangzhou SYSU Open 2015 (2015-06-06),333oh Final A #4
5184855001,U R' D' B2 U F2 R2 D2 L2 D' R2 F2 U R' F D' F R' F D,Y,Celebes Championship 2025 (2025-11-15~16),333 R2 C #3
2777818001,D2 L2 D2 F2 L' D2 U2 R F2 D' B2 D2 B' L2 U' F' D2 B' F',W,Exeter Summer 2023 (2023-06-03~04),333 R1 A E2
4470698001,R' U L2 U2 L2 F2 R2 U2 B' D2 U2 B L U' B2 U' R' U R2 U,Y,DeNxNver 2025 (2025-02-01),333 R1 A #3
