# Scramble samples — eo / eo_cross / BGWY / bin 3
# Population in this bin: 779
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

1706763001,D' B2 F2 U L2 D2 L2 B2 D' R U L' D2 L2 D' B L D' L',Y
14804001,D L2 B2 R2 F2 R2 D R2 D' R2 B F2 D2 U L2 U2 B' U L R' U2 L,W
2100662008,U R2 B2 U2 F' D2 U2 B2 L2 R F U2 B' R D' R2 D R' B' L B,B
4801071001,B' U' L2 B F' L2 U2 B' U2 D F L2 U' R2 U2 L' B' F2,G
3145307001,B2 D' F B2 D B2 U B2 U B2 U' B' U R2 B D' U' L,W
28514001,F U2 F2 R2 F2 D2 B U L2 B' U2 D2 L2 B U2 F R2 U2 B',G
3909390071,F D2 L2 R2 D R2 D B' U2 F2 D2 R2 D F L2 D' F D',B
3059228001,U2 F2 U2 B2 U2 R' B2 D2 U' F' R2 F' D B L R2 D R2,G
3872395001,D F' D' L2 F2 R U' R U' R B2 U2 F2 B D2 F R2 F,W
3815607053,F2 B2 D' R F' L' U F B' L' B F2 U D L2 B2 U D2 L',W
61076001,D2 R U2 R2 B2 U2 B2 L F D2 U B U2 F L F2 R U,W
66342001,U2 F2 R U2 L2 U2 L' B' U2 B F2 U2 F2 L' F' R F2 D,B
5412599001,R' U F' L U2 R2 D2 B2 F2 L B' L' B U2 L D2 B' F',Y
2349697001,F' U F' D2 B2 R2 B D2 F2 R2 F D2 U' B U2 B2 R F' R2,Y
4128984001,L2 B D2 L D2 B' R B D2 B2 R' L' D2 R' F2 U2 F',B
2036088001,F' L2 F' D B D F U' D2 L2 B' R2 B2 R2 L2 B R2,W
4020382041,U2 R D2 R D2 B2 L2 F2 D' F R F' U2 F' U2 L' F R B L' F',Y
2661966001,F2 D2 U' R2 D2 U F' L2 R B R2 B U F' L2 R B2,W
