# Scramble samples — eo / eo_xxxcross / O / bin 14
# Population in this bin: 115
# Samples listed: 115 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color,competition,round

25116001,B2 D' R2 D' R2 B2 D' R2 D B2 R2 F' D F2 L' R D' F' U2 R B2,O,National Cubing Region Open 2014 (2014-05-31~06-01),333oh Final A E2
92901001,D' B2 U' B2 U2 F2 U R2 B2 R2 U' L' B2 D2 F' L R U' F' D' R2,O,Minsk Winter 2014 (2014-12-27),333 R1 A #2
113337001,F' R2 U2 B' R2 B' F2 D2 B2 D2 R D' U2 F' L U' F R2 U' B',O,ŚLS Gliwice 2015 (2015-02-28~03-01),333oh R1 A E1
115461001,R' B U' D F U D' F' R F' L' D2 F2 D2 L' U2 R' F2 L F2 B2,O,BASC 5: Everything But 2x2 2015 (2015-02-28~03-01),333ft Final D #1
119555001,R' B2 F2 L U2 B2 U2 R' B2 R2 U2 F D B F U B' L F L2 R,O,Indian Open Rubik's Cube 2015 (2015-03-20~22),333 R1 B #2
160630001,D' B' L' U R' B R' F B2 R' F' R2 L2 B L2 B R2 F R2 B2 R2,O,Cube-a-Thon 2015 (2015-07-04),333oh Final B E1
205241001,U D' B' U' D' R2 U2 R L' U L F' L2 U2 R2 D2 F R2 L2 F,O,ÅF Cube Days 2015 (2015-10-17~18),333 R1 B E1
219842001,F' R' D' F2 U2 B2 R2 D F' R' U' R2 D2 F' D2 F L2 B R2 F,O,Gdańsk Rubik's Cube Day 2015 (2015-11-21),333 R1 C #1
247416001,D L' B U2 F L D2 F U D' L D R2 U' R2 F2 R2 U L2 D',O,Rubikeros Open 2016 (2016-01-29~30),333 R1 D #2
314177001,D2 B2 U' F' R' B' L D F2 B2 R U F2 L2 B2 R2 F2 U B2 D',O,Austrian Open 2016 (2016-06-18~19),333 R1 C #5
321291001,U F2 U2 B2 L2 U L2 U B2 R' B2 D' B U2 L F R2 D R',O,GLS Cup III 2016 (2016-06-25),333 R2 D #1
346270001,R L U' D' R2 F' R2 B L' U' L' D2 R U2 D2 F2 R U2 B2 L2 B2,O,Game Pro Tour 2016 (2016-08-13~14),333oh R1 B E2
350641001,R2 U' B2 D2 R2 U' F2 D L2 F' D R2 B L F2 L' R2 B2 U R B,O,Silent Saloon Open 2016 (2016-08-20~21),333bf R1 A #3
429713001,D2 R L' F D B' U D2 B' L D B2 L U2 L' D2 R F2 D2 B2,O,Cubers East India Open 2017 (2017-01-07~08),333 R1 A E1
453708001,L2 D2 F D2 B2 R2 D2 B2 U2 R F U B2 R' U' L' F2 U' B2 F',O,Cuberussia in SPB 2017 (2017-02-25~26),333oh R2 B #2
473188001,B2 F2 L2 U F2 U2 L2 U2 L2 F2 L' D B' U' F' D2 U' L F2 R F',O,Dixon Spring 2017 (2017-03-25),333oh Final A #5
488854001,U2 B D F2 R B U B' L2 U2 D' R F2 R' D2 R2 B2 R U2,O,Nanchang Spring 2017 (2017-04-15~16),333 R1 C E1
514718001,R2 U2 B' U2 B2 F D2 R2 F2 L F D U' B U2 F2 L' D U2 R',O,JRCA Kansai Spring 2017 (2017-05-28),333 R1 A #5
555906001,L2 U' L' F' D R U' R U F' U R2 U' F2 U2 B2 D2 L2 B2 U B2,O,Cool Toons Guadalajara 2017 (2017-07-21~23),333oh R2 B #4
595723001,B2 R2 F L2 D2 R2 U2 F' L' B2 U2 B U B D F L2 U2,O,Golden Rubik's Cube 2017 (2017-09-14~15),333oh R2 B E2
659496001,U2 L2 B2 L2 F2 D R2 D' U' B' U F R B2 D' U2 R' B' D' U,O,Rocky Top 2017 (2017-12-02~03),333oh R1 C #2
660815025,L2 D2 U' L2 D2 L2 F2 U R D' F U B F D' L' F L2 R2 U' L B',O,Hungarian Open 2015 (2015-09-18~20),333mbf Final A #1
661208005,R' D2 B2 R2 B2 L2 R B2 R' D2 F D B' U' R2 F' D2 F R' B2 L2 U,O,Mega Minnesota Winter 2016 (2016-12-10~11),333mbf Final A #2
661253001,L2 U2 R2 B R2 B F' D' B' F2 R2 U B' R2 U R' B' U' F' L' F2,O,Mental Breakdown Germany 2017 (2017-02-11~12),333mbf Final A #3
661488023,U2 F' L2 F2 U2 L2 B L2 B2 L2 U' F' D L' R' U L2 F' L2 B' L' F2,O,SCMU 2017 (2017-09-01~03),333mbf Final A #3
674890014,U L2 D L2 F2 L2 U F2 L2 F2 L' U2 F' D' U2 F2 R' U' B U B' L2,O,AG Championship 2017 (2017-12-23~24),333mbf Final A #1
693388001,D B2 R2 B2 D' L2 U2 R2 F' L B' F' D' F L U' R' B2 L2 F2,O,Oakville Limited Winter 2018 (2018-01-27),333oh R1 B #3
704277001,U2 L2 B2 F2 D L2 B2 L' D' U' B' R' F L F2 D2 B D' R',O,Incredible Pencil Mania 2018 (2018-02-10~11),333oh R2 A E1
714165001,L2 B R2 B2 R2 D2 F' U2 B L D B L' B2 L U' F' D2 B' R D',O,Berkeley Winter 2018 (2018-02-24~25),333bf Final D #1
749561010,B2 L2 F2 R D2 L2 F2 D2 U2 L U L2 R F' R F2 U' B' L' D B' L',O,Kalmykia Open 2018 (2018-04-07~08),333mbf Final A #1
772113001,R U2 L F2 D2 R U2 R' B2 R' D' R' B' U L' F D F' R2 B' F',O,Naxçıvan 2018 (2018-05-05),333 R1 C #5
803709011,B2 F2 D B2 L2 D' U2 R2 D2 R' D2 F' U B' R F2 U' F2 D' L' D2 B R2,O,Indian Nationals 2018 (2018-05-25~27),333mbf Final A #1
806141001,L2 B D2 R2 B' F2 D2 L2 F D' B' U' F' L U R F' R2 U',O,Edward Calvo Summer Day 2018 (2018-06-16),333oh Final A #2
806811001,R F2 U2 R B2 R U2 L' B U R2 D2 B L2 R' B' D U2 R,O,Xuzhou Open 2018 (2018-06-17),333 R1 A #3
823649001,B2 L' B U D F R' U L' B L F2 L2 F2 B2 D' R2 U L2 D',O,Varsha Ritu Cube Open 2018 (2018-07-08),333 R1 F E2
833946001,U2 F2 L' R D2 R B2 D2 F2 L2 D F2 R' U B D R U B F U',O,Shenzhen Open 2018 (2018-07-21~22),333oh R1 C #4
853084001,U2 L2 U2 L2 F R2 D2 U2 F2 U2 B' U' F2 D' B2 F R B2 R B L,O,Tajikistan Open 2018 (2018-08-14),333 Final A #5
855896001,U F' R' U' F2 B R2 U' F L' U2 F2 U' D B2 R2 U' F2 L2 D2 L2,O,Villavicencio Open II 2018 (2018-08-18~19),333oh Final B #5
920172001,U' L2 F2 B' D R F U B' R D' L2 D2 L2 B2 L2 F U2 B,O,Polish Championship 2018 (2018-10-26~28),333 R2 A #4
942748001,B2 L2 D' F2 U F2 D2 B2 D L2 B' R2 B D' L F L R' U' B L2 U',O,Latvian Open 2018 (2018-11-23~25),333bf Final A #1
944590012,D2 U2 F2 D2 F' L2 F D2 R2 U2 L F2 D R D2 F U' L R2 B R2 D',O,Please Be Quiet Berkeley 2018 (2018-12-01~02),333mbf Final B #3
950583001,F2 R2 B2 D2 R F2 L B2 F2 U2 B2 F' D' L' U R U2 F2 U2 L2 B',O,Melbourne Cube Days 2018 (2018-12-08~09),333 R1 C #4
957638001,L2 U L2 U' B2 R2 U L2 F2 L2 U F' L' R2 B2 U L D' B F R,O,Skillcon 2018 (2018-12-14~16),333 R1 A #3
1009284005,B2 R2 D' B2 F2 D' R2 D2 L' B D R2 F L2 B' D R' B2 F2 U2 L B',O,Mentallinn 2019 (2019-02-09),333mbf Final A #2
1059068001,B D L' U' D F' R D F' R2 U' L2 U2 B2 L2 B R2 F' U2,O,Project Warszawa 2019 (2019-03-16),333 R2 A #1
1109979001,U2 B' D' F B' L' U F' L2 U' D2 B2 L2 D2 L B2 R2 U2 F2 R' D2,O,Berkeley Spring 2019 (2019-04-21),333 R1 E #5
1267040001,R2 F2 L2 F' R2 U2 F2 R2 B2 F' U' R U2 B' L2 D' B' F R' U B',O,Regionales Medellín 2019 (2019-08-17~19),333 Final A E2
1389326001,B F U2 L2 F' L2 B2 R2 D2 U2 F R U L' B' D' F' D2 B' R B' L,O,Munich Open 2019 (2019-11-02~03),333bf R1 B #2
1394500001,L U2 L F2 R2 D2 F2 D2 F2 U2 B' R U2 R2 B F2 U L D F,O,Hangzhou Autumn 2019 (2019-11-09~10),333 R2 B #5
1418363001,U2 B D2 R2 D2 L2 B R2 U2 B' D' L F2 L' R' U2 B U L D' F',O,Fargo Fall 2019 (2019-11-23~24),333oh Final A E2
1429291001,B2 L2 D F2 L2 D L2 U' R2 U' F' L' D' F R2 B R' U' L U' L2,O,Malaysia Cube Championship 2019 (2019-11-22~24),333 R1 B E2
1495597001,L2 R2 F2 U2 L2 F D2 F' R2 F R' U' R2 D' R' D' B' L2 F' L' B2,O,Northside Cube Days 2020 (2020-01-11~12),333 R1 D #4
1728239001,B R2 U L' U F' R2 F' B2 R2 U2 F2 U F2 U2 F2 R' U' F D,O,BrizZon Side Open III 2021 (2021-11-12~14),333bf Final A #1
1731811001,B' F2 U2 B2 R' U2 R' B2 F2 L' F L2 F2 D' U L U' R D2 F',O,Welcome Thrissur 2021 (2021-11-21),333oh R1 C #3
1737172001,D' R D' L' B U R U2 D2 B' R2 U2 R2 B2 L2 F R' B D' L2,O,Babylon Fall 2021 (2021-11-14),333oh R1 C #3
1800684001,F' D2 L2 B2 D2 B2 R2 F L D' F' U L2 B2 R' F' L B' U2,O,Speedcubing i Lille Friheden 2022 (2022-02-06),333oh Final A #4
1938376001,U' L' B2 U D B' R' L2 D' B2 D L2 D2 F B' D2 F U2 F L2,O,Lake Constance Cubing 2022 (2022-05-21~22),333oh R1 A #2
