# Scramble samples — eo / eo_xxxxcross / OR / bin 16
# Population in this bin: 38
# Samples listed: 38 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

94846001,B R2 B D2 R2 B F2 D2 B D L R' F L' F2 L' U B2 R' D B R2,O
145030001,D2 R2 D2 B2 F2 R' B2 R' U2 R' D B' F2 U2 L' R B U L2 R2,O
252066001,F2 L2 F2 R2 F2 D F2 U' B2 U2 L2 B F D B2 F' U R D' U' L,O
370422001,F' B D' F2 L2 B R B' L F2 U F2 B2 D2 B2 R B2 D2 R,O
604223001,B' U2 B F2 R2 B U2 B2 D2 U' L B' F D L2 B2 R U2 F L2,O
615826001,B2 R2 F2 R2 D2 U' F2 L2 U2 B' L D2 R' F2 L2 D U2 F' R2 B,O
618875001,R2 D2 R' U2 F2 R2 U2 L' U2 L U2 B L' F U B' D F D' R,O
640720008,F U2 L2 F L2 B D2 L2 U2 L U R' F2 D B U' R2 F R2 B D2,O
661493046,D2 U' L2 B2 D B2 D2 U R' B' U B' F L' D' L2 B2 D B' F2 L2 U,O
674729001,B L' B2 U' D' F' L F2 D' B L2 B2 R' D2 R U2 B2 L' B2 R,O
704072001,R F2 D' R D' R' F R' L' B D R2 U2 R2 F2 B2 R' F2 L',O
905126001,F U' F' B D F2 R2 F2 R B' L2 B2 R' L' D2 R' B2 L' B2 D2 B2,O
1642238001,U L2 B2 D' U L2 D2 R F' D2 B' D R' B2 F D U F2 R',O
1642445001,B2 L2 F' U' L' U' F' L2 U B' D R L D2 F2 R' F2 U2 F2 L,O
1790669001,L F2 D' F2 L2 D2 F2 D B2 D' F L' R2 D B' D2 L' R D2 U,O
2140734001,L2 U D L D B' R2 B' U B' U2 B2 U2 R2 L' D2 R U2 B',O
2305097001,F' L2 R2 D2 F' L2 F U2 L2 F D B' D2 F2 L U2 B' L D' L2,O
2441531001,F2 U R2 F2 D2 F2 U2 L2 U2 R' B' D L2 U' B U' B2 L' F2 U,O
2689086001,L' U L U B U' F D R U2 D2 B2 L2 D2 L2 U2 B' U2 B L2,O
2744971001,D' B2 D2 U L2 R2 U' R2 F2 D2 R D B D' F' D B2 R F' D' B' L,O
2955596001,B F2 R' F2 U2 R2 U2 R D2 F2 U2 F2 U' L2 B' F' D' L2 D' L',O
2993517001,U2 R F2 D2 B2 U2 R2 U2 R' F' R2 U' L' D' B D2 R F' U,O
3298247006,F D2 B D' R F2 L U R2 D B2 D F2 U2 L2 F2 B D R2 B' L',O
3300959001,R2 D2 B2 R F2 L B2 L' D' U' L2 B' L' U L2 D L F D,O
3412974001,L' F2 R2 U' B2 D2 B2 D B2 D L2 B2 R' B2 F L' R2 B' D L2,O
4116400030,U2 R' F U2 R2 U' R2 F2 L2 U' B2 R2 F' L' D2 F' L' F' U' L,O
4183956001,R F' U' B2 L D' F U' B2 D2 F2 D L2 B2 L2 U' L F2 D2,O
4358344001,B2 D2 U' R2 U R2 B2 U2 R2 D2 R' F' D' B U' L D' B U2 R D,O
4421457001,R' F D2 F2 R2 D2 F U2 F' D2 B' U F2 R' U' F' D' B' L' F2,O
4438171001,B2 U' L2 F2 L2 R2 D' L2 D2 L2 F U2 B' R D' U' F2 L B2 R B',O
4542485001,B' L' D2 F U D2 R U F D' R2 L' B2 R U2 R' F2 B2 L',O
4558006001,F B2 U F2 L U D' F D B R' F' U2 B' L2 F' D2 R2 F2 U2,O
4578816001,B U' F2 L2 B2 U B2 F2 R2 D' F2 U L' D B' D2 R' F L2 B2 U2,O
4598738001,D F' L B2 R2 B2 U2 R2 D U2 F2 U2 R2 B' F L B R2 F D,O
4789796003,U2 L' R2 U2 L D2 U2 F U2 F' L' D2 B' U2 B2 D R U' L2 U2,O
4852221001,B2 U2 B2 L2 B2 L2 U L' U' F' R' U F2 U B' L U L U',O
5092082110,R B2 D2 R' F2 U2 B2 R' D2 U' B' L' U2 R' B2 D' B' F' L B D',O
5135339001,F' U' D' F2 L2 F R2 L' B U B2 L2 F' B R2 D2 B U2 L B2,O
