# Scramble samples — eo / eo_xxxxcross / Y / bin 11
# Population in this bin: 521
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color,competition,round

1568001,B' U2 D' F U' L' B' R B' D2 R B2 R B2 L2 U2 B2 U2 B2 L',Y,Open Colca 2014 (2014-03-21),333 R1 A #1
1727001,D B2 D F2 U' R2 D2 U' F2 D R D2 B F' D F' U2 R' D2 L2,Y,Kansai Open 2014 (2014-03-21~22),333 R2 A E1
5410919001,U2 F' U2 D' B' U2 F' D' B' L2 D2 B L2 D2 B' U' L2,Y,Brown Cubing Day 2026 (2026-02-21),333 R1 A #1
5539194001,L2 U2 B2 F2 L2 U' B2 D' R2 L U2 F U' B2 D' F' U2 B' D2,Y,Adelaide Autumn 2026 (2026-04-12),333 R1 A #2
34703001,D L2 U' B2 U F2 U2 B2 L2 U' R' D2 B L' R F D2 B' D L B R,Y,Chojnice Open 2014 (2014-07-05~06),333bf R1 A E1
1976033001,F D2 R' B2 R2 F2 D U2 L2 D B2 U2 F' U2 L' R2 F D B,Y,Ciu Open 2022 (2022-06-18~19),333 R1 A #1
5724448051,F U2 B2 F D2 B' D2 R2 D2 U L' B' L U2 L2 U R' B R' B,Y,Ljubljana Blind & Big 2026 (2026-06-27~28),333mbf Final A #1
64855001,B2 R2 D2 L2 F2 U B2 U L B2 D' F2 D' F L2 B' F' D' B',Y,Cuthberts Open 2014 (2014-10-11~12),333oh Final A E1
5111960001,D2 R2 U' F2 D2 B2 R2 B' L2 U2 R2 L' B2 U B2 U' L2 R,Y,SuNxNter Speedcubing 2025 (2025-10-11~12),333 R1 B #5
5270333001,U R F' U2 L2 D' B2 U' R2 B2 D2 B R2 D R2 B L2 R' F',Y,Bay Area Speedcubin' 68 - Belmont 2025 (2025-12-13),333 R1 A #2
85552001,F' L2 F L2 F' U2 B' L' B' R2 D2 R' F' R D F2 R' U2,Y,Newport Winter Open 2014 (2014-12-06),333oh Final A #4
94380001,D2 B2 D U L2 U L2 F2 U' B L R2 B2 L' F' U' R' B',Y,Mumbai Open 2014 (2014-12-28~29),333oh R1 D #5
94982001,B2 R2 D B2 D F2 R2 U2 F2 R' B L D2 F U2 F' R' F2,Y,KAIST Fall 2014 (2014-12-27),333 R1 B E2
5393056001,D' R L B' R' D' L R2 U2 R2 D F2 D2 B2 L2 D' R2 U2 R,Y,Cube Against Cancer Brisbane 2026 (2026-02-14~15),333 R1 E #2
2100263001,U' F' U' L U F2 D' R2 D U2 B2 F2 L2 R D L' U B' D2 F2,Y,Korean Championship 2022 (2022-08-12~14),333 R2 A #2
111326001,B2 D R2 D' B2 F2 U L2 F2 L' B2 F D F2 D B' L2 U L2,Y,MAD Cube Weekend 2015 (2015-02-21~22),333oh R1 A #1
3345749031,D' R' L2 U' L B U2 L' D' B R F2 R' F2 R' F2 D2 B R,Y,Taiwan Championship 2023 (2023-12-08~10),333mbf Final A #1
2762939001,F' D L B D B2 L' D' B R2 F L2 B D2 F U2 F',Y,Vilnius Amanita 2023 (2023-05-27~28),333oh R2 A #2
3901867001,R' B2 L2 F2 U2 R' D' L B' F R D2 R' F R' D2 F,Y,CubingUSA Southeast Championship 2024 (2024-06-28~30),333 R1 F E1
169741001,B2 D' F' D2 L U' D2 R2 U2 L' B' U2 B L2 B U2 F2 D2 L2,Y,CUCEI Open 2015 (2015-07-15~16),333oh Final B #3
183348001,L2 D' F2 D' L2 U' F2 D B L2 R' U R D2 B2 F' U2 B',Y,Brain Studio Cube Open 2015 (2015-08-29~30),333 R1 G #5
186522001,U' D' F R2 B' D2 L2 F U' B2 L2 F2 R2 D' B2 R2,Y,Utah Megacomp 2015 (2015-09-05),333oh Final B E1
5153457001,D F' R' L2 B' R D' B' D2 R2 D2 F2 U2 B U2 L2 D2 U',Y,Garidech Open 2025 (2025-11-01~02),333 R1 C #4
4151098001,F2 D' U2 B2 D' L2 F2 L2 B2 D F' R D' F L B F' D2 L' R,Y,Battersea Autumn 2024 (2024-09-28~29),333 R1 A #2
3518432010,U2 R2 U F2 L2 R2 U2 L2 B2 R B' R' D' F' U2 B' D F' L' F,Y,Cube With Retention in Denton 2024 (2024-02-17~18),333mbf Final A #1
209612001,B2 U2 B2 L' U2 R2 D2 R' D2 B2 L2 D' L' R B L' D2 F2 D B',Y,Avenues CUBELELO Open 2015 (2015-10-31~11-01),333ft Final B #3
3466957001,U' B2 R2 U' B2 F2 R2 D' F2 L' U2 B2 F R2 F2 R' B' L B2 L',Y,Fushun Open 2024 (2024-01-28),333 Final A E1
3943969001,D F2 U2 F' U2 R2 D2 B2 L2 F' D' L F D2 U2 L' R' F2 U' L2,Y,Ansan Summer 2024 (2024-07-20),333 R2 D #2
3005259001,R B2 L' D2 L B2 L' F2 R F' U L B' F2 R B2 R B' U,Y,Taman Anggrek Speedcubing 2023 (2023-08-19~20),333 R2 C E1
246064001,D2 R2 B2 R2 B2 U2 L2 F' L2 R U' L' D' F2 U2 L F U2 B,Y,Shaastra Cube Open 2016 (2016-01-23~24),333 R1 W #4
4327829001,U2 R2 B' L2 D' R D R' U L' U2 R' F' D2,Y,Spanish Championship 2024 (2024-11-29~12-01),333oh R1 C #4
3207506001,D2 F2 R' F2 B L F B' U L2 U2 B D2 L2 D2 F' R B R,Y,UMA Open 2023 (2023-10-28~29),333bf Final A #2
4761787001,U' F U F U' L2 D' L2 U2 F' L2 B2 U' B R2,Y,Fun in Muncie 2025 (2025-05-31),333 R1 A #3
283143001,U2 F2 R2 B2 L' R2 F2 U2 R' U2 L D R2 D' F' U' R D' F2 U2 L' F',Y,Puget Sound Spring 2016 (2016-04-16),333bf Final A E1
4333704001,B U' R' D R2 D U B2 L2 D2 R2 U' R F D' R2 F' R',Y,Singapore Freeze 2024 (2024-12-07),333 R1 D #2
4973750001,F2 U' B2 U2 R D2 L B R2 B' L2 B R2 F' D' F',Y,Michigan Mini 34 2025 (2025-08-28),333 R1 C #2
313605001,L' D2 F2 R' D2 B2 L2 B2 R' F U' B' R' U2 B U' R' D F',Y,Doge Open 2016 (2016-06-18~19),333 Final B #3
1390903001,D2 B D2 F U2 B2 R2 F' L F R' D2 L2 R2 D' R' F' L' F2,Y,Dream City Cube Open 2019 (2019-11-03),333 R1 F #4
335940001,L2 D' L2 D2 U' F2 L' B' D2 U B' L' R2 D2 U L' B' R D2,Y,Zeeland Open 2016 (2016-07-30~31),333bf R1 B #3
4966195010,R' D F' R2 F' R2 B2 D B2 F2 U' R B U2 R' D2 F2 U L B',Y,Silent Korea Open 2025 (2025-08-23~24),333mbf Final A #1
4231813024,L2 B2 F2 U F2 L2 B2 R2 L' F' D' U2 L' U2 B2 R B F L2,Y,DNFeandont Tijuana 2024 (2024-10-26~27),333mbf Final A #1
352777001,D2 B2 L' D2 B2 L R2 B2 U B F2 R U2 L' R D L',Y,The Most Serene Competition 2016 (2016-08-27),333 R1 B #5
365779001,U' L2 F2 D2 U L2 U F' U R2 B2 U2 F2 L' D U' L U',Y,VIT Rubik's Cube Challenge 2016 (2016-09-24~25),333 R2 H #2
5433188001,U L B' L' B D' R B R' D' F2 U2 F2 U2 R2 U2 F B L2 U2,Y,BrizZon Side Open II 2026 (2026-03-07~08),333bf R2 A #2
