# Scramble samples — eoline / eoline / BGWY / bin 1
# Population in this bin: 324
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-29
# Columns: id,scramble,bottom_color,competition,round

5606061001,D R2 B' R2 D2 F' D F' R2 L2 U' D R2 D' F2 B2 R2,W,Speedcubing Huánuco 2026 (2026-05-03),333 R1 E #5
29322001,F L U2 B' R F U2 L' B' U2 F2 D2 L' F2 B2 L' B2 D2 L,B,No Parity Open 2014 (2014-06-21),333 R1 C E2
41772001,D' R2 B2 D R2 B' D F D2 B' F' D2 R2 D F2,G,Indian Nationals 2014 (2014-07-25~27),333 R1 A #5
3735236001,U' R2 F U B U2 F L2 D2 L2 B2 D' B2 D B' L B R2 B',W,BrizZon Side Open II 2024 (2024-05-01~05),333bf Final A E2
64339001,F' D2 F R2 B' D B D' B' D' R2 D2 B L2 D L',Y,Hamilton Spring 2014 (2014-10-05),333oh Final A #2
5369462001,R' F R2 F' L2 R2 U2 B2 L2 D' F D2 U2 L' F U' L2 R2,Y,DSF Generalforsamlingen 2026 (2026-02-07~08),333oh R1 A E1
3375599001,L2 D' B U' B U B2 L2 D B R2 U' D2 B2 U B2,G,Paraguay Nationals 2023 (2023-12-17),333 R1 B E1
4949726001,U B' L' B2 L D2 R2 U F' B2 R' F2 R2 U2 L2 U2 F2 R' B' L',B,Korea Open 2025 (2025-08-15~17),333bf R1 C E2
5371194001,B R2 B2 L' R' F2 L F2 U2 R2 D2 F' R' F2 R D2 R U',G,Simi Mini A 2026 (2026-02-07),333 R1 A E2
4020788001,R2 B2 D2 R2 F R2 B2 L2 D R2 F' D L2 F' U2 F2 D2 L',G,En Lille Søndag i Ishøj 2024 (2024-08-18),333 R2 A #4
4715625001,F R2 U B' D' B2 U' R2 L2 B2 R2 F' U2 L2 B D2 B2 L,Y,German Open 2025 (2025-05-10~11),333bf Final B E2
125408001,U D2 F2 L' D' F2 L U' R2 B2 L2 U' F2 U2 B2 L2 U L2,W,National Cubing Region Open 2015 (2015-04-11~12),333oh R1 D #5
135226001,F D2 R2 F2 R2 B D2 L2 F' L2 R B' D2 R F2 R B2 R' U',B,Remember The Alamo 2015 (2015-04-25),333 R2 B E2
135928001,L' B2 D2 R U2 B2 R2 B2 F2 R2 D F D' R2 F' U2 R' D F' D' B',W,Nanjing Spring 2015 (2015-05-01~02),333bf R1 A #3
139766001,U' L2 D R2 F2 D R2 U2 R D' F2 U' R2 F2 U' L2 D R2,W,Xi'an Summer 2015 (2015-05-17),333oh R1 A #4
157311001,F2 U B2 D B2 U' R2 D2 R2 F' D2 U' L2 U2 R B R' D2 R B' L2,B,Akash Open 2015 (2015-06-27~28),333bf Final A #3
3604060001,L2 F' U2 B' R2 B F2 U' L2 F U2 F2 L D U2 F' U2 B',W,Laguna Speedcubing Open III 2024 (2024-03-17),333oh Final C E2
3333145001,R' U' F U2 L D F' R2 D' L U F2 L2 D' B2 U F2 U2 F2 U L2 F D R' U' F,W,Rhein-Neckar Mental Breakdown 2023 (2023-12-09~10),333fm R1 A #3
193948001,D' U B2 D' F2 U2 F' D2 U' L2 B D' L2 U2 B' F2 D2,B,Slow n Steady Fall 2015 (2015-09-26),333 R1 H #4
202936001,D' U' B2 R2 D' L2 R2 D' R D L2 U' R' F2 D' R' D' B,W,Korean KAIST Style 2015 (2015-10-09),333 R2 F #1
205781001,B2 L2 R2 U' R2 U2 B2 D' R2 B2 F2 R B2 L D' R2 U2 L,W,Nanjing Autumn 2015 (2015-10-24),333oh Final A #4
5697793001,D' B2 U2 L D2 R' U2 F2 R' U2 R2 B' R' D' B' D2 F2 U2 B D' L' F2,W,Valdepeñas Open 2026 (2026-06-13~14),333bf R1 A E2
254415001,D2 L' B2 U2 L' B2 R U2 R F2 U' B' L2 D2 U' R2 U' F,W,Big 'n Weird Pretoria 2016 (2016-02-13),333 R1 A #2
268905001,R' D2 L U2 L' U2 L D R' U B2 U' L D U2 R2 U2 B',W,Tulip Open 2016 (2016-03-20),333 Final A #1
4002301001,D F2 L2 F2 L2 U' B U B' U2 B R' B' L2 B R' B R',G,Ontario Championship 2024 (2024-08-09~11),333 R1 C #4
282342001,F2 L' D L' D' R U2 F U' L2 F' U R2 U F2 L2 D,W,Finnish Open 2016 (2016-04-16~17),333 R1 B #4
5428598032,D2 B2 D2 R2 B2 R B2 F2 U2 B2 R U L2 D2 B' L2 F L B' U2 L' F,W,Zoioff Campinas 2026 (2026-03-07),333mbf Final A #1
5025555001,L2 U' L2 R2 B2 U' L2 U' L2 F D2 B2 D2 F' D2 L R2,G,The Heart of Texas Fall 2025 (2025-09-14),333 R1 B #1
293516001,F L2 B' L2 F D' F' R2 D' B R2 U D F2 U' L2 B2,Y,Hari ng Norte 2016 (2016-05-01),333 R1 B E2
295619001,D' F2 R2 B2 R2 D2 U' F2 D' B2 F' R D F' D F D2 L2,Y,Summit City Open 2016 (2016-05-07),333oh Final A #5
305586001,L' B2 R' F2 L U' F2 R U' L' U F2 U' F2 R2 B2 R2 U2,W,Connor's Cube Day 2016 (2016-05-29),333 R1 D #2
5254123001,U2 R F2 R' D2 R2 B2 R U2 F' R F' L' D2 R' D F' U,W,Plaza Madero Chía VI 2025 (2025-12-07),333 Final B #3
311516001,F2 U' L U2 R D' L U2 D' L F2 D2 R L2 F2 R' D2 L,B,Athens Summer Omega 2016 (2016-06-04~05),333 R1 C #5
5283686004,F2 R2 D' B2 D B' D F2 D' F L2 B2 F D F' U' L2 U',G,Uppsala Christmas Special 2025 (2025-12-20),333mbf Final B #2
314356001,B D2 B D2 U2 R' B' D2 R2 B' F2 L2 F R B' F,G,Strasbourg Open 2016 (2016-06-19),333 R1 D #5
3614058001,F' D' R2 B' R F D' B' F2 R2 U' F2 R2 B2 D2 L D R2,W,Clayton State Cubing 2024 (2024-03-23~24),333 Final B E1
5201174001,B' D F2 D' F2 L2 U' B' U' R' B' R2 F2 L2 D' F' R2,W,Drury Summer 2025 (2025-11-15),333oh R1 A #3
357493001,B F' L2 U2 F2 L2 U' R2 F R2 D F' D' L2 D' R2 B2,Y,CVDB Open 2016 (2016-09-03),333oh Final A #5
364976001,D F2 L2 F R2 F2 R2 F2 U F D2 F2 D2 L2 F' L2,G,Rubik's Cube Sorocaba 2016 (2016-09-24),333 R1 E #5
5242739001,R' U2 R' U2 D2 F' D2 L U2 F L2 B' D2 F' U2 F' U',B,Cubestuff Q4 Zwartkop 2025 (2025-11-29~30),333 R1 B #3
391470001,F2 R2 D2 U' L2 D' B2 D2 R2 F D2 F2 D B U F D2 U',W,Cubetcha 2016 (2016-11-05),333 R2 A #3
397306001,R' B' R2 F' U D2 F2 B2 U F R2 D2 R D2 R' U2 L F2 R2,B,GeniusCube 2016 (2016-11-05~07),333oh R1 F E1
406981001,L2 D2 U' B2 L2 U L2 F2 U' L2 U2 B' D' U2 R2 D' B F2,Y,Cerbuna Open 2016 (2016-12-03~04),333oh R1 B #5
