# Scramble samples — eoline / eoline / R / bin 1
# Population in this bin: 75
# Samples listed: 75 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color,competition,round

94472001,U2 R2 B2 L' F2 R B R2 B L' R' B D2 B2 L' R' D2,R,Kyushu Open 2014 (2014-12-28),333 Final A E1
131623001,F2 L F2 L D2 B2 L2 D U L R2 U B2 R2 U2 L' D' F2,R,Slovenian Open 2015 (2015-04-18~19),333oh Final A E1
186800001,R' U L F U2 D' R' U' D F' L2 U2 B2 R B2 L F2 R' F2,R,Oslo Fall 2015 (2015-09-12),333 R2 A E2
235036001,B D2 F R' F D2 R2 L' B' U2 L2 D2 L U2 F2 L' U2 L',R,Brain Studio Winter Open 2015 (2015-12-25~27),333oh R1 D E2
254415001,D2 L' B2 U2 L' B2 R U2 R F2 U' B' L2 D2 U' R2 U' F,R,Big 'n Weird Pretoria 2016 (2016-02-13),333 R1 A #2
254796001,R2 B2 R' F2 R D2 B2 U2 B2 R2 D2 U' R U' R U B2 L,R,Johor Lunar New Year 2016 (2016-02-14),333 R1 C #3
278780001,L' U2 R F2 R' F2 L2 D2 R F2 L2 U' F' R' B2 R B2 F' U F',R,Jeonju Spring 2016 (2016-04-02),333oh R1 E #1
389846001,F2 D2 R2 U2 R' F2 R2 B2 D L' D' R2 D' R D' U L,R,Torneo de Speedcubers 2016 (2016-10-29~30),333 R1 B E2
399312001,D' R2 D' B2 D' L2 B2 R2 D2 B2 R U B2 R2 D' F2 L2,R,Samara Open 2016 (2016-11-12~13),333oh R1 A E1
444024001,B2 U2 L2 F' R2 F D2 B' R' B' U2 L' R' U2 B2 R B' R,R,Aventura Cúbica III 2017 (2017-02-04~05),333oh R1 A #5
449799001,D' B2 D B2 R2 D2 U L D2 L2 D L U L B2 D2 B2,R,Carte Blanche Kube Open 2017 (2017-02-18~19),333oh R1 D E2
450097001,L2 D2 F' D2 F' U2 B' D2 F' U2 R B2 R2 D2 L U2 F L2 D,R,Piedra del Sol Santander 2017 (2017-02-18),333bf Final B #1
522144001,L U2 R2 B2 R' B2 L' F2 R B L2 R2 B2 L' U2 F L' R',R,Swedish Championship 2017 (2017-05-26~28),333oh R1 B E1
660629009,U B2 L2 F2 R2 D U' F R' D R U' F2 R' D2 R F U L',R,Eretum Open 2015 (2015-01-11),333mbf Final A #1
660727037,D' B2 R2 B2 R2 D' B2 F2 D L2 R' F2 U R' U B2 L' F2 L2 U',R,Finnish Open 2015 (2015-06-13~14),333mbf Final A #1
666756001,R' U2 F2 L2 U2 R F2 R U2 R D U2 L' D' R2 D2 U2 R' B,R,FECA Open 2017 (2017-12-09~10),333oh R1 B #2
696524001,D' F2 U2 R2 U' R2 D F2 U L' D2 B2 U' B' R' F L2 F' R,R,Utah Winter Open 2018 (2018-01-27),333 R1 D #3
707346001,B L2 D2 F' U2 B2 R2 F' D2 L' R2 D2 B' R' B' R' U2 B' U',R,Sangrah Cube Open 2018 (2018-02-17),333 R1 C #4
713067001,R2 F' L2 B2 L2 F L2 B' R B' D2 B2 R B' F L F' D,R,Singapore Cube Championship 2018 (2018-02-24~25),333 R1 E E1
787533001,L' B U2 R' B R D2 B' R' F B' R2 L2 D2 B2 R2 B2,R,CubingUSA Great Lakes Championship 2018 (2018-05-18~20),333oh R1 E E1
826341001,R' U' F U2 L' F2 L F2 R2 U2 B2 U2 L B U' B2 U2 L' R B' L' F' D U R' U' F,R,Wuxi Try to Get a Mean 2018 (2018-07-14~15),333fm R1 A #3
920151001,L' B L F' L' B R2 B L' B L2 F D2 B D2 R2 D2,R,Polish Championship 2018 (2018-10-26~28),333 R1 D #4
920944001,B' U2 F' U2 R2 B2 D2 R F' D2 U2 F' R' B' D2 L2 R F',R,Kubekings Villanueva Open 2018 (2018-10-27~28),333 R1 C #4
