# Scramble samples — eoline / eoline / W / bin 2
# Population in this bin: 867
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-24
# Columns: id,scramble,bottom_color,competition,round

1100196001,F R2 F' D2 R2 B' D' F2 R2 D' F' R2 B' D F R2 D',W,SnoCo Feet Fest 2019 (2019-04-13),333 R1 A E1
943212001,R' D2 B2 L2 R F2 D2 L U' L2 B2 U2 F2 R' B2 U2 F' R2,W,Malaysia Cube Championship 2018 (2018-11-23~25),333 R1 E #1
3587415001,F2 D L' U L' D' F2 R2 L D L D2 F B U2 L2 U2 F2,W,Athens Cubing Starter Pack 2024 (2024-03-09~10),333 R3 B #2
3976340001,L2 R2 U' L2 D2 F2 U B2 D' R' B2 D' R' F2 U2 L2 B2 F2 L2,W,Perth Winter 2024 (2024-07-27~28),333bf R1 B E2
4681574001,L' B' R2 D2 F2 L2 U2 B2 L' U2 B2 D2 R D B' U R F',W,Erie Spring 2025 (2025-04-26),333 R1 A E2
3043711001,L2 D L' B2 U2 D' L U' B2 R2 U F2 U B2 L2 U R',W,Budapest Back to School 2023 (2023-09-02~03),333 R1 B E2
1549814001,U2 B' R2 D2 F L2 R2 U2 B' D2 F' U' B D' F2 R2 B D U,W,Reno Winter 2020 (2020-02-15),333 R2 A #5
5235381001,U' L2 F2 L2 F2 U R' F D2 B' D B2 U2 L2 D' L2 D2 F',W,Thouaré Open 2025 (2025-11-29~30),333 R1 A #1
905243001,B2 U2 L2 F2 U2 L R' U R' D2 R D F2 D' B2 D2 R',W,Ukrainian Nationals 2018 (2018-10-12~14),333 R2 B #2
2673141001,F2 L B2 U' F' R' F' R D2 L B2 R2 F2 D2 B D2 R2 U2 B,W,German Open 2023 (2023-04-29~30),333 Final A #1
39899001,L2 U R2 D L2 F2 U2 F' D' U L2 F D' F' L2 D2 R2,W,Les Santes Open 2014 (2014-07-18~19),333 R1 F E2
5548669008,B' U2 D L U2 F' R2 D' R D' F2 L2 F2 B2 U2 L' D2 R B' L,W,North Sydney No Seeing 2026 (2026-04-18~19),333mbf Final A #1
43117001,D2 R' B2 L' R' F U2 L' R2 U2 B2 L2 F L' R2 F',W,N8W8 Summer 2014 (2014-08-02~03),333 Final A E1
55153001,R2 D' R2 D' U2 R2 F2 L2 R2 B R2 F D' F2 L2 B U' B,W,360 Degree Wellness Open 2014 (2014-08-30),333 Final A #5
1248054001,B' L U B2 L B' L F2 B' L' U2 B' U2 F2 R2 B D2 B' L2 B,W,Urnieta Open 2019 (2019-08-03~04),333ft Final A #1
3081508010,L D L D B2 D' U2 L2 D U2 R' B2 R2 D2 R D' B' R',W,NCR Please Be Quiet 2023 (2023-09-16),333mbf Final A #1
61109001,B' U' F2 B2 R U2 R' L2 B2 D' F2 R2 D2 L U2 L,W,Spanish Championship 2014 (2014-09-26~28),333oh R1 B E2
5584496001,R D2 B2 U' R B2 D' L R2 F2 D' R2 B2 D R2 U' D' F2,W,Welcome Guayaquil Open 2026 (2026-04-25),333oh Final C E1
902458001,L2 D' B2 L2 D2 U R2 U L R B' L' D' U2 B2 R U L2 U,W,Curicó al Cubo 2018 (2018-10-13),333 R1 B #4
1552979028,B2 D2 B2 D' R2 D2 F2 R' U R' D' L' D U' B2 U L' U2 L,W,Kiev Super Blind 2020 (2020-02-15~16),333mbf Final B #3
1792556007,D' B2 L' F' U2 D' F R2 L2 F D2 R L U2 L D2 R' L B R2,W,BrizZon Side Open 2022 (2022-01-22~23),333mbf Final B #2
1425072001,F R' L2 B' R F' U2 R' U2 L' F2 D' F2 U L2 U' B2 D' R2 D2,W,MPEI Open 2019 (2019-11-22~24),333 Final A #3
2822680001,B L U' L2 U2 L2 B F' U2 B D L2 U' B' F D F2 U,W,Cubing in Glendale 2023 (2023-06-25),333 R2 B #5
1017103001,D' L D L' B2 D' L' U2 F L2 U2 R' F2 R L2 F2 U2 L' B2,W,Austrian Open 2019 (2019-02-09~10),333 R1 A E2
4598833001,B' U' B2 D L2 U2 R2 U L2 B' D U2 F' R' F' R2 F R B' L2 U,W,Cubolimpiadas Aves María 2025 (2025-03-22~24),333bf Final A E1
3592820001,F' R2 F' R U2 R' U D2 L2 F' D' R' U2 R F2 R2 F2 R' F2 R' B R2,W,Aarhus Spring 2024 (2024-03-17),333bf Final A E1
112636001,F2 D2 B D2 B R2 F' L2 U R2 B F2 R D2 L2 R' F R',W,SP Open 2015 (2015-02-28~03-01),333oh R1 D E2
117653001,F D2 F2 R2 D2 R2 B' R2 B' L2 F2 D U2 B D F' D2 R',W,Grudziadz Open 2015 (2015-03-07~08),333 R1 C E2
4697259058,D' L2 U2 F2 L2 F2 L2 U' B R U L U F2 L R2 F D' B' D2,W,BrizZon Side Open II 2025 (2025-05-01~04),333mbf Final A #1
3018020001,F D' R2 D2 F' L' D' B2 R' B2 D R' U2 B2 L' F2 B2 U2,W,Let's Cube Laguna 2023 (2023-08-28),333 R1 B #3
4128984001,L2 B D2 L D2 B' R B D2 B2 R' L' D2 R' F2 U2 F',W,Barberton Mini 2 2024 (2024-09-16),333oh Final B #3
5106525009,F2 R' D2 B2 L R2 D2 R B' L' F L B2 F2 U' B D2 F2 D2 L B2,W,Cehegín Mental Breakdown 2025 (2025-10-18),333mbf Final A #2
897033001,B U D2 F B R2 B R' D B' L' U2 F2 L F2 B2 R2,W,Australian Nationals 2018 (2018-10-06~07),333 R1 G #2
2955469003,R2 L U2 D' F2 L' U' D' L' F2 R F2 B2 U2 D' F2 D2 F2 D,W,Vilnius Summer Open 2023 (2023-08-05~06),333mbf Final A #1
5018951001,B2 U' R2 B2 L2 F2 D2 L2 D' L2 B' R2 B R2 D2 U2 L D',W,Back to School in Ivanka 2025 (2025-09-13~14),333oh R2 B E1
1103097001,F2 D' F2 L2 B2 U F2 D' B2 R2 D2 L B2 L F' L D' B' U' F' D L B2,W,Slovakian Spring 2019 (2019-04-13~14),333bf Final B #1
170902001,U R2 F2 U F2 R2 B2 R U' R' F2 L' D2 U' L D2 F2,W,N8W8 Summer 2015 (2015-08-01~02),333fm Final A #2
178913001,U2 L2 R2 D' B2 D' L2 F2 U' F' D' U2 B2 L2 D' F' R2 B',W,Norrkubing 2015 (2015-08-16),333 Final B E1
188075001,U' L2 U F2 L2 R2 U2 F' U' B2 D' L2 D R2 B' U,W,LMDL Open 2015 (2015-09-12),333 R1 B #3
4062495001,D' F B2 D F B2 D' L2 U2 L2 F D2 B2 R2 L2 B L2 R U',W,Leersum Algs 24 Hours in 2024 (2024-08-31~09-01),333 R1 B #4
812090001,F' U2 F' B D2 F' D' R' D2 R U2 R' F2 L U2 B2 D2 R2,W,Fairview Cube Day 2018 (2018-06-24),333 R1 C #5
2182685001,B2 D' L B2 D2 R U D L2 B2 R B2 L F2 L' U2 F2 R,W,Richmond Hill 2022 (2022-09-24),333oh R1 B #5
3312338055,D U L2 F2 U' L2 F' U2 B U2 F' D2 U L' B D2 F2 U2 B' L,W,UCLA PBQ 2023 (2023-12-02),333mbf Final B #1
2533427054,L' D R' D F2 R U' R L2 F2 U R2 U R2 D R' F2 L' F,W,MBLD in a Madison Meeting Room 2023 (2023-03-04~05),333mbf R1 A #2
205848001,U R2 D2 U B2 F' L2 D2 B' D' B2 R2 B2 R2 B U',W,Nanjing Autumn 2015 (2015-10-24),333 R1 A #5
4625833001,B2 L2 B2 U2 R' U2 R D L B2 F R D2 F2 L2 B2 U2,W,Xi'an Cherry Blossom 2025 (2025-04-04~05),333 R2 A E2
5373650024,D2 F R2 U2 L U D2 F2 B R' F2 R2 L2 U L2 U R2 U2 D L B2,W,Lets Go Carlow 2026 (2026-02-07~08),333mbf Final A #1
1758752001,D' L2 F2 D R U2 D' R D' F2 D2 F2 U F2 B2 L2 F' R2,W,Florida Fall 2021 (2021-12-11~12),333 R1 C #4
218153001,D2 F2 R2 D' F2 U2 F2 L2 R B2 L' D2 L F' R F' U' B',W,La Plata Open 2015 (2015-11-14~15),333 R1 A #2
4928198001,F2 D2 R2 D2 L D L2 U R L2 B2 D' L2 D2 R2 U' L',W,Coffee Cup Tacoma 2025 (2025-08-09~10),333oh Final C #1
228221001,R D L D2 R2 B U2 F' R2 F U D2 R2 B2 D2 F2 U2 L2 U,W,Santa Lucía Open 2015 (2015-12-12),333oh Final D E2
851855001,F2 R2 B2 F' D2 F R2 U B L2 R' B' D U' R2 B2 F' D,W,Belgian Summer 2018 (2018-08-11~12),333oh R1 A E1
237303001,F2 R2 D' L2 U' R2 F2 L2 R2 D F' U B' F L2 B D2 U B R',W,Bay Area Speedcubin' 8 2016 (2016-01-03),333oh Final B #2
1405573001,B R2 D2 F' L2 U2 B F L2 F' L U2 L B' R' D F2 R B' F2,W,Flag City Fall 2019 (2019-11-09~10),333 Final A #2
3493512001,F' D F2 R2 B' L2 U2 B2 U2 B' U2 B U' B2 D' L D' R2 B' L2 U',W,Mysore Cube Open 2024 (2024-02-03~04),333bf Final A #3
4844629001,D' F' U2 F D2 R2 F2 R2 U2 L2 D' B2 U B D B F2 D' L,W,Aníbal ao Cubo 2025 (2025-07-05),333oh Final A #2
4408858001,B' D' B' L2 D2 R2 B2 D2 B2 F R2 U' F' U' R2 B2 F L',W,Space City Winter TX 2025 (2025-01-04),333 R1 A E1
4276692065,B2 D' R F' U2 R' D2 R2 F2 U F U2 F2 B2 R2 D2 F2 D2 B' L B,W,Colombian Nationals Avenida Chile 2024 (2024-11-09~11),333mbf Final B #1
4733259001,L' F' D2 F2 L2 F2 B R' D' F2 U' B2 D F2 R2 U' R' U2,W,Mololoa Open 2025 (2025-05-17~18),333 Final A #4
5422801001,R2 D2 U' R2 B2 U2 F2 D' U' R' B L D L2 F R2 B' L2 B2 F2 L' F,W,Glasgow Favourites Evening V 2026 (2026-03-03),333bf Final A #3
2344880001,R2 U' L2 D' F2 U' L2 U L U B2 U2 L2 U2 L' F2 U2,W,Grizz Cubing 2022 (2022-12-03~04),333 Final A #2
2850238001,B2 U F' U2 F' D' F L2 D B' R2 B2 U2 R2 L2 D L2 U',W,CubingUSA Western Championship 2023 (2023-06-30~07-02),333 Final A #2
275192001,D2 R2 U2 F2 U R2 B2 L2 U' B2 U2 B U L' U R2 F L2 U R' B2,W,Speedcubing Mérida 2016 (2016-03-27),333oh R1 B #5
1702425001,B R D2 F' U D' R2 L2 U' B' R' D2 R2 B' L2 F2 D2 B U2 L' F',W,Montpellier Open 2021 (2021-10-09~10),333bf R1 C #3
5391310001,L2 D2 B L2 D2 F2 R2 D2 U' L' D L' U2 B2 F2 D' R,W,Stockholmsligan 3: Surskallar - 2026 (2026-02-17),333oh Final B #2
296920001,B2 R2 D F2 U2 B2 F D' R2 F D' F' D' B L2 F D2,W,Swedish Decathlon Challenge 2016 (2016-05-07~08),333 R2 B E2
297383001,U2 B2 R2 D2 F2 L2 U2 B F D' B U2 R D B' D B2 D2 U,W,Torneo Nacional Colombia 2016 (2016-05-07~09),333 R1 C #5
5499447001,F2 D R U2 R2 D2 B U2 F' R2 B2 R2 U' R B2 R B' L D2,W,Return to Green OH 2026 (2026-03-29),333 Final A E1
2871337001,F2 L' F' U2 R2 B R2 D2 B' L2 F2 R F2 U2 B2 D2 U' L R2,W,Sens Open 2023 (2023-07-08~09),333 R2 B #2
311516001,F2 U' L U2 R D' L U2 D' L F2 D2 R L2 F2 R' D2 L,W,Athens Summer Omega 2016 (2016-06-04~05),333 R1 C #5
3784469095,R2 D' L F' U2 L2 F' L2 F L2 U2 R' D L R U' R U' L2,W,South Bay Weeknight Brain Freeze 3 2024 (2024-05-22),333mbf Final A #1
4127915001,D2 R D U L2 F2 U2 F2 R D L' R2 D L F2 D U,W,Desafío Cubo CRAI UCA 2024 (2024-09-22),333 R2 C E1
4423782040,B2 D' B2 D U' R2 D' B R2 U R' U2 F R' B' R U' L F' L' F',W,Adelaide Summer 2025 (2025-01-10~12),333mbf Final A #1
1208501001,B2 D2 F2 D' B2 L2 D' B2 R2 F' L2 U R2 F' L' U B' U' B2 L B2,W,YJ Fest Moscow 2019 (2019-06-28~30),333bf R1 A #2
335210001,R2 D2 B2 F R2 D2 B F2 U B' F L2 D2 B U' R2 U2,W,Aguascalientes Summer 2016 (2016-07-22~24),333oh R1 A #5
335468001,D2 R2 B R2 F' D2 B U F D2 F L2 B F U2 L2 U F,W,Thessalonicube 2016 (2016-07-30),333 R2 A #3
3087602001,R2 L2 F U2 B L B U' R2 B2 L2 U2 F2 B' D2 B L2 U L2,W,San Juan III 2023 (2023-09-16),333oh Final A #1
1009821001,L2 U' B2 U F2 D' L2 U2 R F R2 U2 F D U2 R F2 L2 B',W,Vinnytsia Open 2019 (2019-02-09),333 R1 E #2
3126811001,D2 F' L2 U' D' F2 U' F' U F' R2 B' L2 B2 U2 B' R2 D,W,Búfalo Open 2023 (2023-09-30),333oh R2 A #2
2763685001,B' L' F D' F2 L2 R2 D2 F2 R2 U' L2 B2 L D B R2 D' R2,W,Solved Central Alberta 2023 (2023-05-27),333oh Final B #1
348230001,D2 U2 F D2 F' U2 L2 F2 D2 L2 U2 R' F D' B' F U2 B,W,Michigan 2016 (2016-08-13~14),333 R1 H #2
4504760001,B' F2 D2 B D2 L2 D L2 D' R2 D B U2 F' L2 B D,W,Cambridge Cube Clash 2025 (2025-02-16),333 R1 C E2
2366939008,U' F2 U B2 F2 R2 F2 R2 U2 B L' R2 B U' L' B2 U2 F D2 L B',W,Archena 24 Horas 2022 (2022-12-10~11),333mbf Final A #1
353748001,D2 L2 R2 U R2 F2 R2 U2 B2 R U F2 L2 F2 R B' L' B2 D' F2,W,Slovakian Open 2016 (2016-08-27~28),333oh Final A #1
843062001,B L' B' L2 D L2 F2 B U L' U R2 B2 R2 U2 B2 L2 U2 F2,W,Copa Inframundo HN 2018 (2018-07-28~29),333oh R1 A #3
361177001,L2 B' D2 U2 B' U2 F' D L2 D R2 U R F L2 F' R2 F,W,Botosani Rubik Open 2016 (2016-09-10),333oh Final B #5
1264671028,D2 F2 R' D2 L F2 L2 B2 D' L R2 D R' B2 L' D U L2 D,W,Tchê Math Cube 2019 (2019-08-17),333mbf Final C #1
5196179001,F2 U D2 L2 U2 B' U B D B2 D' R2 B2 D L2 U2 F2,W,Basauri Open 2025 (2025-11-15~16),333 R2 A #4
1827346001,R2 F2 U2 B F2 U2 R2 F R2 D2 R2 U' B U B' F2 D2 R B,W,Deerfield Winter 2022 (2022-03-12),333 R1 C #5
372301001,U2 D F2 R' B' L' U2 D L F2 D2 B2 D2 L2 D' L2 F2 R2 U2,W,Prague Open 2016 (2016-10-01~02),333 R1 A #5
974691001,F2 U R2 F B D' L2 B2 L2 F2 B R2 L2 F' D2 B' L2,W,Shaastra Cube Open 2019 (2019-01-05~06),333oh R2 B E2
3306076001,U2 B2 L D R2 B2 F2 D R2 U' R2 B2 D2 B' R F' L2 R F,W,Villeneuve les Avignon Open 2023 (2023-12-02~03),333 Final B #1
389846001,F2 D2 R2 U2 R' F2 R2 B2 D L' D' R2 D' R D' U L,W,Torneo de Speedcubers 2016 (2016-10-29~30),333 R1 B E2
4013036001,U R D' L' D L D' R F2 R2 B2 L2 D L2 U2 F2 B2 L2,W,Korean Championship 2024 (2024-08-15~17),333 R1 H E1
392727001,L2 B2 U' L2 U R2 B2 U' R2 B2 L' R' U L R2 D L D2 R,W,Jawa Timur Open 2016 (2016-11-05~06),333 R1 B #3
866875001,L2 F B' L2 F U2 D2 B U R2 L2 F2 D F2 L2 D R2 F2 D,W,Canada's Best in the West 2018 (2018-08-24~26),333oh R1 B #1
2699595001,B' R2 U2 F' R2 U2 B' U2 B L2 B' L D' L' D' L2 F' L' D2 U',W,Uppsalaligan 2: Malus Domestica - 2023 (2023-05-08),333 Final B #2
4864631012,D' B' D2 B R2 D2 B' D2 R2 U2 B2 L' U2 R B' F' L' F D2 L B2,W,MBLD Madness in Dobřejovice 2025 (2025-07-12),333mbf Final B #3
2722408013,U2 L' U2 F2 L' B2 R' D2 B2 L D F2 D2 L D R F2 L' D',W,Let's Qualify Kuwait 2023 (2023-05-19),333mbf Final D #1
429791001,B2 U F2 D' U2 B2 L2 D' R B2 U L2 F2 D R' D R D2,W,Cubers East India Open 2017 (2017-01-07~08),333 R1 L E2
3306449002,B L2 B2 D L U2 B' L' U2 R2 D R2 B2 U2 D R2 L2 B' L2 U,W,Kansas Holiday Cube-Off PM 2023 (2023-12-02),333mbf Final A #1
3758646001,R' U' F R D B2 L' D2 R' F2 L' D2 L2 D' B2 L R F' U' R2 B D2 R' U' F,W,General Trias Speedcubing Open III 2024 (2024-05-10~12),333fm Final A #1
1824545001,F' U2 D L2 B L2 D' R' B' U2 F D2 R2 B R2 F2 L2 F' D',W,Flatåsen Open 2022 (2022-03-05~06),333 Final A #2
4748708001,F2 U L2 D' L2 B2 R2 F2 R F L D' U R2 F' D2 B F R',W,Robinson Latkrabang Cubing 2025 (2025-05-24~25),333oh R1 C #1
1421411019,U2 F R2 F L2 B2 D2 U B2 U' B' R' F U2 B L2 R' D2 L B',W,I Hope It's Solved Edmonton 2 2019 (2019-11-23~24),333mbf Final A #3
4696619001,F2 B2 U D2 R' U2 D2 L' D2 F R L2 D2 R U2 F2 B2 L',W,Don't Inverloch Up 2025 (2025-05-03~04),333 R1 D #3
942115001,B' D2 F2 D' F R2 B' R2 F2 U B2 D R2 L2 U2 L2 B2 D',W,MPEI Open 2018 (2018-11-23~25),333oh R1 C #5
