# Scramble samples — f2leo / f2leo_cross / G / bin 9
# Population in this bin: 17
# Samples listed: 17 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color,competition,round

32670001,F2 L2 U' L2 U2 B2 L2 R2 D' B2 U B' L F D' R' U' L' F',G,Thailand Championship 2014 (2014-06-21~22),333 Final A #3
968340001,R' D' R2 U2 B' U' R L F D' B R L2 D2 R' F2 U2 B2 L,G,Race the Clock 2018 (2018-12-31),333 Final A E1
1216467001,R' F2 L R2 B2 U2 B2 D2 L D' F L' U' R B' U B2 D' U2 F',G,Luzon Championship 2019 (2019-06-22~23),333oh Final A #5
1458834001,U2 B L2 B L2 D2 B D2 B2 F' U' B' R' B D B2 R D R F' L' F',G,Santa Claus Cube Race Poland 2019 (2019-12-06~08),333mbf Final A #1
1912829001,R L2 B2 U2 F2 U R2 B2 F L' F D2 B2 R2 B' U2 L' U' F,G,Princeton Spring 2022 (2022-05-07),333 R1 D #3
2891346046,U' F' R D' B' U' L B2 R U2 D2 F B R2 L2 F' U2 F U2 B L',G,Canadian Championship 2023 (2023-07-13~16),333mbf Final A #1
3591417001,R B U L2 D B2 F2 L2 R2 D2 L' U' F2 R U' L' U B F',G,Vancouver Newcomers Morning 2024 (2024-03-16),333 R1 D E2
3743938001,L' U F' R2 B' D2 U2 L2 U2 F' L2 F L B2 L2 D' F L U2 B,G,Cubing at Carson 2024 (2024-05-04),333 R1 D #4
3770031050,U' L' F R' B R2 F D2 F L2 F2 U2 B' D' B L D B2 L D2 L' F2,G,Quiet Seattle Spring 2024 (2024-05-18),333mbf Final A #1
3878719001,L F R' L2 D2 B' U2 L2 R2 F' L2 B2 D' U F D2 R F2 D',G,Louisiana Championship 2024 (2024-06-22~23),333 R2 A #2
4210855001,B U' L R2 D B2 D2 F2 L2 U' F L' B' R2 U' R D U F2,G,Zaragoza Open 2024 (2024-10-19~20),333 R1 B #2
4357098008,D U2 L2 F2 R2 F2 D L2 F2 U' R B' R B2 L2 F' L' D F R D2,G,New Zealand Nationals 2024 (2024-12-13~15),333mbf Final A #2
4539635001,U2 F2 D2 B2 U2 R2 F2 L' U2 B2 R U L2 R' D2 B' F2 R U F',G,Yanahuara Summer 2025 (2025-03-01),333 R1 H #2
4818663001,B2 L' D2 L2 D' U' B2 D' R2 D' R B L B D R' B F D' L' F,G,Dublin Summer Solving 2025 (2025-06-21~22),333bf Final A #3
4920336001,L2 D2 R' F2 D2 R2 U2 L' B2 U B D' B2 L2 F' L' R F D' B,G,Houston Back to School 2025 (2025-08-09),333 R1 A #5
5164079001,U D2 B D2 B' R2 D2 B2 D' L D U L' U2 L' R' B' F,G,Sequoia Cubing 2025 (2025-11-01),333 Final A #2
5688306041,F' U' R D' B' U' F L D2 B' L2 F B' R2 L2 F R F' D2 L2 U',G,More Than One Cube Shanghai 2026 (2026-06-06~07),333mbf Final A #1
