# Scramble samples — f2leo / f2leo_xcross / Y / bin 10
# Population in this bin: 25
# Samples listed: 25 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-06
# Columns: id,scramble,bottom_color

29464001,U L2 R2 U2 F2 L2 F2 R2 D' U2 R B L D' U' R U2 F' L U2 L2 B R,Y
456029001,L2 F2 R' D F' L' F' B D L2 F' U2 R2 D' R2 D L2 U R2 U2 B2,Y
522317001,U2 L2 U R2 B2 D' L2 B2 U2 L2 F' U2 L' B R2 B2 D' R F L',Y
660800025,F L2 B U2 R2 B' L2 B' D2 B L B D' L2 B2 D F' L' D' U L' F,Y
729279001,D2 B' L2 F' U2 R2 U2 R2 F2 R' D' L F R' U F D2 F D' B2,Y
853083001,D L2 B2 L2 D' B2 D R2 U2 L2 F' U' B' F2 R F L R2 D' U',Y
976946001,D' F2 U2 F2 R2 B2 L2 F' L2 R' D' B L' U B D2 L F R2,Y
1187846012,U2 F2 L2 D' U2 L2 B2 U2 B2 U F' L2 B L D' B' R' F R2 F2 D2 B R,Y
1233691001,U2 L2 U2 F2 R2 B' U2 F' R2 U2 L U' L2 D B' F R D2 U B,Y
1547429001,U2 D' L' U' L2 U B R F' R2 D' F2 U L2 U F2 D L2 F2,Y
1605620001,D2 R' F2 U R2 B2 L U' F' R B2 D2 B2 L' U2 B2 R2 L' U2 D2,Y
1636598001,R2 U' R' B2 D2 L' F' R B' D R2 U2 R2 L2 D' F2 D' F' R2,Y
1858262001,F' D B R U' L' F B2 U L2 B2 U' L2 D R2 U' R D2 B,Y
2846569005,L2 F U2 B2 U2 R2 D' B' L' D2 F2 D2 F U' R2 B' L' R' D2,Y
3164801019,U2 B D2 R2 F D2 B U2 F2 U R' D2 F' L F2 L F' U L2 D L B',Y
3227997001,U2 F2 L U' B2 U' R2 D2 F2 L2 B2 R2 U2 F' U B D' R B2 D',Y
3580686058,D2 R B R2 U R2 F2 L2 D2 L2 D B2 F' L' B2 L2 U' R D' B2 L2,Y
3846234001,D R L D R L F' R' U R2 U2 L2 F2 R2 F U2 F D2 R2 F D2,Y
4585744001,L' F D' F U2 R2 U2 L2 B D2 F2 D2 F' U2 R' D' R' F2 L F2 L B R',Y
4899326001,R2 U B D2 B R2 B2 F2 U' R2 F R D2 B R D2 L' B R,Y
5150837001,R B2 D2 B' L2 D2 R2 F D2 R2 F' R D' B' L2 D' L' U F' D2,Y
5197191001,R2 U B2 F2 U' B2 U' L2 D2 L2 U L U' R2 F' R B' L' B2 U,Y
5223027001,F2 R2 B' L2 D2 B F R2 F R2 D' B R' B2 L D U F L2 U2,Y
5297405051,F2 U F2 D U B2 R2 D' B R F L' U F' L F' L' B' D2 B D,Y
5425971001,R2 D' U B2 D' R2 D R' F L U' L' B R F L R2 B2 F2,Y
