# Scramble samples — f2leo / f2leo_xxxcross / O / bin 7
# Population in this bin: 63
# Samples listed: 63 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-23
# Columns: id,scramble,bottom_color,competition,round

6373001,U D2 F U' L' F2 D R2 L D' L2 D' F2 R2 F2 U F2 R2 D,O,Rumia Open 2014 (2014-03-29~30),333 R1 A E2
52675001,B' R2 U' R D' R2 U D2 B U B2 D' F2 B2 D2 B2 D L2,O,ABHC 2014 (2014-08-23~25),333oh Final A #1
53449001,B2 U' L2 U L2 U' F2 U L2 B2 U F R' F R B D2 B L,O,Bydgoszcz Summer 2014 (2014-08-23~24),333oh R1 B E1
68780001,F2 L2 B' L B L' U' B' R' D2 F2 U2 B2 L U2 R D2 L B2,O,Hungarian Open 2014 (2014-10-17~19),333oh Final A #5
74824001,D R2 D2 L2 B2 D2 R U' B R' D2 L2 R' F' R F' U,O,Slow n Steady Fall 2014 (2014-11-09),333 R1 B E1
80535001,R F' U2 L2 U D2 R U D' B U' L2 B R2 B' D2 B,O,Plaza de las Américas 2014 (2014-11-15),333oh Final A #1
103545001,U' R F' R' D2 F' B D' B D F' U2 R2 U2 F U2 R2 B2,O,Pré-Mundial 2015 (2015-01-23~25),333 R3 A #4
149455001,D R2 U L2 D B2 F2 R' B' D U' L' D2 R F' L2 R',O,Bratislava No-Cutoff Open 2015 (2015-06-06~07),333 R1 C #2
159027001,R2 B' U2 B D2 F' D2 F2 U2 F2 R' U F R2 F D B2 R2 F U2,O,Lyon Megaminx Open 2015 (2015-07-04~05),333oh Final A E1
233963001,R2 F' L2 D2 B U2 F' R2 B2 F' R' F U2 B2 D' U2 B2 R2 U',O,Kyushu Open 2015 (2015-12-27),333 R2 A #2
248902001,R' B' R2 B2 L2 F D' F D L' F2 L F2 B2 R B2 R,O,Frankfurt Cube Days 2016 (2016-01-30~31),333 Final B #1
273537001,D' F B2 U2 L U' B' U' L2 F B2 R2 F2 D' B2 U2 D F2 B2 D',O,Indian Nationals 2016 (2016-03-25~27),333oh R2 E E1
419553001,F' U' F R U F2 R' F L2 B' L D2 R B2 R' D2 F2 L2,O,Cubelelo Winter Open 2016 (2016-12-22~23),333 R2 F #3
433070001,R L' D' L' F' D2 B U2 R B2 U' R2 D R2 D F2 R2 U' F2 L2,O,Olsztyn Open 2017 (2017-01-14),333 R2 D #5
433885001,F2 B R2 U' D R L' F R' D' L2 D' F2 D' R2 F2 U' L2 F2 L2,O,Camarma Open 2017 (2017-01-21),333 R1 B E2
594019001,B' R' B R2 L' U' F2 R U' F2 D2 B' D2 B2 U2 F R2 F U2,O,Music City Fall 2017 (2017-09-15~16),333oh R1 C #2
635081001,D L2 D R2 D' B2 D' R2 U2 R2 B' L' B2 F R F L' F U R2,O,Kjeller Open 2017 (2017-11-04~05),333oh R1 D #2
660851016,D2 R2 D2 F L2 R2 D2 B F' D2 F' L' U2 B U' R B L2 R2 U' L2 U',O,Two days in Vitebsk 2015 (2015-10-31~11-01),333mbf Final A #1
738648001,D2 L' F2 L2 B2 R' D2 U2 R2 B U' B' U2 L' B' D2 L' F2,O,Lviv Spring Days 2018 (2018-03-24~25),333ft Final A #4
740861042,F2 D2 B2 D' L2 B2 D' F2 U2 R B2 D' R2 D2 F' L U L2 U' L2 U',O,CFCTC Open 2018 (2018-03-31~04-01),333mbf Final A #1
814533001,L2 D L2 D B2 D2 B2 R2 D' U2 L' B2 F L2 F' D2 U2 R' B2 U,O,SJTU Open 2018 (2018-06-30),333 R1 B #5
842206001,R' D B' R' L B' L2 U L2 U' L' D L2 U D2 B2 R2 U',O,CubingUSA Nationals 2018 (2018-07-27~29),333 R1 M E2
866642001,L2 U2 B2 R D2 R F2 D2 R B2 D' R F' R2 F' D' U B',O,Canada's Best in the West 2018 (2018-08-24~26),333 R1 F E1
907121001,D R' D' B U' B2 D2 F2 B' L' D2 B2 D R2 F2 L2 U2,O,Gravitas Cube Open 2018 (2018-10-13~14),333oh R1 F #5
952585001,U F2 L2 D F2 D' B2 U F U F D' B2 R' F2 D' F' U2 L' U,O,Pittsburgh Open 2018 (2018-12-08~09),333 R2 B #2
961313001,D2 L2 F2 D2 L2 B2 U R2 U2 B' R D2 U' L2 U2 R' B2 F,O,WCA South American Championship 2018 (2018-12-15~16),333oh R1 C E1
1014753001,F' R B' D2 F U' D' B' R2 U F U R2 D' R2 F2 U B2 L2,O,West Branch 2019 (2019-02-10),333 R2 C #3
1040957029,D2 F2 D2 F D2 L2 B U2 L2 U2 L' U' F' D' F2 U' L R D F2 L2 U,O,PBQ Berkeley Spring 2019 (2019-03-09),333mbf Final C #2
1050870001,F2 B U L U2 B2 U2 D2 B D' F R2 U D' R2 F2 U' B2 D,O,Blue Water Winter 2019 (2019-03-09),333 R1 A #5
1123503001,D' R2 B2 R2 F2 D2 B2 D' L2 B' L D2 U L' B U2 B D' B U2,O,New Challenge Santa Cruz 2019 (2019-04-27~28),333oh Final A #2
