# Scramble samples — pair / cross_pair / BG / bin 8
# Population in this bin: 407
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-03
# Columns: id,scramble,bottom_color

679001,R2 U2 B2 R2 U B2 D' U' L' D R F2 D' L' B F2 U L' R2,B
4881870001,D2 F2 U' L F U' R' U D' R' L2 D2 B R2 L2 F2 D2 F' R2 B',B
14248001,F2 L2 D2 R U2 R2 U2 R U2 R' D2 B L' B2 F' D' F' R2 U L' D',B
5512709001,U' R L F' B2 R2 L2 D' L2 F U2 B' R2 L2 U2 B U2 B U' F2,B
2833883001,B' D' L D R2 D L2 D' R' F2 L' B2 L B2 D2 L2 U' L2 F L2 U2,B
4170756001,D2 F D2 B2 D' L U B R B' F2 D' R2 D F2 B2 R2 F2 L2,B
50436001,B' F2 D2 F' U2 R2 F2 U2 B2 D2 R' B2 U2 B R' U B D' L R' F2,B
55435001,B' R U' F' D' L F2 D F2 R U2 F R2 U2 B2 D2 L2 B L2,B
59883001,U R2 D' F2 D2 L2 B2 R2 F2 U' F' U L R' D' R' B' D2 F D2 R',B
81477001,D F D F2 D2 B D B2 L F2 R' U L2 F2 U' L2 U2 D' B2 D',B
4471270010,R' B2 R F' R' U R2 B2 D' U' F2 D' F D2 U R' D L F2 L2 U,B
4627603001,B2 U F R' L F' R B2 U' B' U2 R2 D2 R' B2 R2 L F2 R,B
3924904001,L U' F U' B2 D L2 B2 R2 B2 U' L2 D' L B' R' U' L' B' D,B
2956346001,R' L B D' F U2 R U' D F L B2 R' B2 U2 L' F2 R2 B2 R,B
101649001,R U' R' B R D R2 B2 R' L D F U2 F' D2 F' D2 B' L2 U2,B
5075097001,R' B' R' B2 L' R' U2 B2 L' F' D F' U' B2 F' L R',B
113159001,F' B L2 U' D' F' R B2 L F' D' B2 R F2 D2 L B2 D2 L2 D2,B
2892685033,D L' F' B2 D2 L' U R L2 D2 F2 R2 F2 R D2 F2 B2 D' F' U' F' D',B
116127001,U B2 L2 D' B2 D R2 D2 F2 L2 D R' D2 L U B' U2 R2 D' B L,B
5264131001,D2 L' D F2 D2 F2 L2 F2 L' U2 R' D U L' F' U' L2 R2 F',B
136036001,F R F U' D F L' F2 B' R2 F2 U' B2 D F2 R2 B2 D2 L2 D',B
211903001,D B2 U F2 D' B2 U' R F D' F' L' F2 U B R' B2 D2 F',B
217224001,R2 B L2 F' R2 B' D2 U2 F' D2 L D B' D B' R2 D' U L F2,B
273409001,U2 R' F2 R' F2 U2 F2 L' R2 D2 L2 D' B R2 U2 F' L2 B L D B,B
5594098001,L' F2 U2 F2 D' L2 D2 U R2 U2 B L2 R U' B F2 R2 U2 F,B
282350001,B2 U2 R2 D2 U2 F' L2 D2 U L' F2 R D R2 B' U2 R2 D2,B
294283001,F2 U2 L' F2 R2 D2 U2 B2 L D U2 F2 U2 L U2 B' U' F' D' F,B
295678001,B2 U2 B2 R2 B U2 R2 D' L2 U' B' R' D2 L' U' L' D,B
312476001,L2 R2 B L2 D2 F R2 U2 B' R F L F' D' F U' R B' L D2,B
334512001,U D2 R' U2 L F D B' L D R' D2 R' U2 F2 B2 L' B2 U2 R',B
339435001,B D' R2 L2 B' R' L2 U L' D' F2 R2 B' U2 B' U2 L2 B2 L2 D2 F',B
339760001,B2 F2 U2 L' D2 B2 F2 R' B2 U B2 R F' D L2 F' U' F2 L R,B
344426001,L2 B L2 B' D2 F R2 U2 F2 R' B2 L' F' U L D B R U F',B
350680001,F' R2 B2 U B D' R L B2 U2 D L2 B D2 F R2 D2 F2,B
353730001,L U' D' F2 R2 B' R' D' B' L' U2 R2 D2 F' B2 L2 U2 B' D2 L2 D2,B
3485871001,R' B L2 U2 F D2 U2 B L2 F U2 F' R2 U' L B2 D R' B' F',B
362978001,F2 L' D2 R2 U2 B2 D2 F2 U L F U' B' F2 U' R D' L2 U',B
376087001,F U D R F2 U' D2 B' U2 R B2 D2 F2 L2 D' B2 D' L2 U' D',B
4704081001,D2 L' F R' L' F2 B2 U F' U R2 F2 D' L2 D R2 D' B2 U2 R',B
378042001,R2 D2 B2 D' B2 R2 U2 L2 D L' R' U' F D L B L2 D B F2,B
388589001,B2 L2 R2 U' F2 D' R2 F2 U2 F2 D' L' B2 D B2 R U' F' D B,B
5222067001,B D' F2 D R2 U F' D2 R D2 F2 R L2 F2 U2 R D L' U',B
