# Scramble samples — pair / xcross_pair / BGOR / bin 9
# Population in this bin: 406
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-30
# Columns: id,scramble,bottom_color

198766001,F2 D' U' F2 R2 D' F2 D' F' L2 R2 D2 U' R' U L2 B R2 D,B
218003001,R2 B2 U' R2 U2 B2 F R' B2 U B' D' L' R U F2 L' U' L' F',B
1495001,U R2 B2 L2 F2 D' L2 D2 B D' B' U2 F D2 L' F' R' U' F R,B
229991001,U2 F2 L' D2 U2 R2 B2 R' D2 L2 D B L' B2 F U2 B2 L U R,B
205052001,U2 F' R2 D2 R2 B2 R2 F2 U' F2 R' U F' D B' F2 L F' U2,B
2663001,B' L2 F U' D' B U' L F2 D' R' U2 R B2 L' U2 L U2 R2 B2,B
4639001,R2 B2 R2 B' L2 F2 D2 F U2 L' F2 U' F' R F2 D' B U F',B
4707001,B2 R D2 R' U2 L2 D2 R' U2 R' F' R2 U B2 L' D' L2 R F,B
310423001,U L' F' L U2 D' R' F L' U D F2 L' U2 L' B2 L2 D2 B2 L2,B
7139001,L2 D2 B2 D F2 R2 B2 U2 F2 U F2 R F U' B2 F2 U R' B L U',B
7296001,L F L' B' U' D' F' R' F2 L D2 R2 U2 D2 B R2 L2 B2 R2 F' B,B
311655001,U B2 D' F2 L2 D R2 F' U R2 D2 U2 R' B U' F R D' U2,B
7815001,L2 R U2 L D2 F2 U2 B2 U2 L D' L2 B U' R F' R2 D R2 F L,B
10342001,R' U2 R' B2 U2 L F2 R F2 L2 R' B U B R D R F L' U2 B L,B
277305001,L2 D2 U B2 R2 D' U L2 B2 L D' F' R U L D2 U2 R' F D2,B
11103001,F2 D2 R' U2 B2 L2 R U2 L' R' D B' F D2 U L F R' F' R2 D',B
204516001,B' R2 F' R2 D2 R2 B2 D2 B' R2 F' L' D F' U B U' R U' L2 U' B' L2,B
12641001,U L2 U' R' L' D' L F B' L' U' D2 L F2 R B2 L2 D2 F2,B
313585001,U2 L2 R2 U' R2 B2 U B2 L U' R' B F' L D2 B' U' L' R2 D',B
13484001,D2 B' L2 B2 L2 U2 L2 B' D2 L D B2 R U F2 U2 F L' D' R',B
15681001,B' R2 U' D R' F D' R2 D' R D2 B' R2 F2 L2 D2 R2 F' U2 F L2,B
15804001,L2 R2 D2 L2 U2 F R2 B' F' R' U' L' D L F' D F2 D' B R',B
300242001,F2 R2 B2 U' R2 U L2 F2 L' B' U2 B2 U' F R D L' D' U2,B
22689001,B' U2 R2 U2 B2 F' R2 B R2 F' U R' B' L' F D' F U' F,B
22934001,U2 R D2 B2 L2 U2 L2 U2 R F2 L D F' U' R2 D F' R U' B2 D2,B
304385001,L2 U' B2 F2 U2 R2 F2 D' B2 U2 L B' F' L2 D' L' B2 U R' D2 B,B
23990001,F2 B' R' B R U2 R' U' D F R L2 F2 D2 F2 D' R2 D R2,B
24191001,F2 L2 D' B2 L2 U' R2 D' F2 L U' B' R B' L' U' L D' B' U,B
192955001,L' R B2 R F2 R F2 D U' L B2 U2 L' B F' R B2 D2,B
25753001,L' U2 F' B U2 B U' R D L D2 F2 U2 B U2 R2 F' B2 L2 B,B
201532001,U' F2 L' B L U' F2 R' L' D F2 D2 R2 U2 F2 U2 B2 L2 B U2,B
28581001,D R' D R F L' U2 B' L2 D' L2 F2 D2 R L U2 R D2 R2 D2,B
30720001,R2 F L2 B U2 F U2 B L' U L' D L B L' F' R U' B2,B
315409001,U' B2 L2 U' F2 L2 D R2 F2 U' F2 R U' F' U L' D2 U L' D',B
31922001,U2 R2 U' D2 B R U' D2 L' U F' R2 U2 R2 D2 B2 U2 F R2,B
32139001,U2 L2 B F U2 B R2 F2 D' U2 L' U F2 D2 B' L' B2 D R' B,B
33254001,R B2 R2 U2 B2 D2 F2 R U2 F2 U' R' D' U2 F L' B' R2 U2 R,B
33817001,F2 D' R2 D' L2 F2 L2 R2 D F' U2 F' D R' D' B' F L F2 U',B
346675001,F2 R2 B U2 F2 L2 R2 F' U2 F D L2 R F U R F2 D L' B' R',B
193076001,B2 L' F2 U2 L B2 D2 L' B' R U2 R' U B U F R' U' L B',B
247324001,B U2 B2 L2 F L2 R2 D2 L2 F R' F' D2 L' R B' U' L R' D',B
38353001,R2 D' B2 U2 B2 U' F2 L2 R' U F' D R2 F R B U2 B2 R2 U',B
38493001,D2 F2 U2 F2 R' B2 U2 R2 F2 D' L U2 B' D U B' L D' R2 F' D2,B
198469001,B D2 L2 U2 F2 R2 B' D2 F2 L D2 R U' L B2 U B' R U R2,B
278378001,D2 L2 R' B2 U2 F2 U2 L2 R U' F2 D R B' R2 B L R2 F D2,B
39622001,F L2 U R U L2 D2 F U L' B' D' R2 D' L2 F2 D R2 F2 U,B
301413001,D2 B2 L2 D2 R2 F2 L2 U' L B' U L' D2 U2 R' B D' L' B2,B
40626001,L' F2 R' D' F' R L' F' R2 B' U' B2 L F2 D2 L2 F2 B2 U2 B2,B
41492001,U F D' R' B U2 R2 L2 B' D' R' L D2 L2 U2 F2 L' F2 B2 L',B
293527001,R2 F2 R' D2 L' F2 D2 R' U2 L' R' D F U2 B U' L' B R F L',B
45913001,L2 U' B D' L D R D F U L B2 D2 L F2 R2 D2 F2 D2 L',B
47622001,R2 D2 B' D2 B' F2 R2 B' L' R' F2 R' U R' D R B U2 R2,B
47831001,U2 L' B2 R' U2 R2 U2 R' D2 R' F R' D U L2 R' D2 L2 B' F' U,B
48016001,B2 U2 B2 R2 D' R2 U L2 F2 L' B2 D R B D' B U R U' B' U L2 U',B
