# Scramble samples — pair / xcross_pair / BGWY / bin 9
# Population in this bin: 413
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

255622001,F' U2 R2 D2 R2 B' D2 B R' D' L F' U' R' D L B F2 L,B
224394001,U' L2 U' R2 U L2 B2 L2 F2 L B R' B2 R2 B U' R' F L2 U2,B
2305001,L2 F2 U2 L D2 R B2 D2 B2 U2 B' D2 B' R2 D' R2 B F D,B
2450001,R' D2 F' R2 B2 R2 B L U' D' B2 R' B2 R2 U2 F2 U2 F2 R L2 U2,B
2643001,D2 B2 L2 D2 U2 B2 R' D2 L D2 L2 D B' L2 U2 F' D2 R' B U' L,B
4023001,R2 F2 D2 B' D2 R2 F' L2 D2 L U' R D U2 L2 F U2 L2 R2 F2,B
281011001,R' D2 L' D2 F2 L2 R' U2 R2 U2 B L D' F2 R F2 D' L U' B,B
7613001,F R' B D R' L' U L2 F U' L F2 L2 D2 B' L2 B' U2 R2 F D2,B
245738001,R U' F L' U' B D R' F2 U' R2 U2 B2 R L2 U2 B2 R2,B
216125001,D' B' R' D' L' B' R' D' R2 F L D' B2 D2 L2 F2 U F2 D',B
346521001,R' D' F' L' F2 L2 F' U' F L2 B' U' R2 F2 B2 U2 D B2 D',B
265162001,D B2 U R2 U2 F2 U F2 D B2 D2 B F2 R U' B' L D F R B,B
323249001,U2 B F D2 F' U2 F R2 U2 R' D2 B' U' R' D L' B F' L' D2,B
11005001,D2 F' L' F' D F B' R' B2 U F' R' L B2 L F2 L F2 L,B
321320001,B' L' U B R F' L' F2 L' U' D2 F R2 U2 R2 B2 D2 F,B
12808001,L' F' L F U' D2 F' R2 L B D F2 U R2 L2 D' R2 D' F2 B2,B
343106001,D2 F2 L U2 F2 R2 U2 B' D' R' U B2 F2 L2 B' L' U2 B',B
180686001,D' F2 D2 F2 U' F2 U2 L2 U' L2 R2 B D2 F' D L F U' F2 R,B
321416001,L U F' R B2 R2 L B' U D F2 R2 F2 R2 L2 F L2 B R2 U2,B
195002001,U2 B2 D L2 D' F2 D L U2 L' U R F2 D2 F' D B U' R2,B
18440001,D2 L2 F2 U B2 D' L2 R2 F2 U' F2 L' B' R2 U L2 B' L' U2 R2 D L',B
18556001,L2 F2 U2 B2 D2 U' B2 L2 B' R F U B U2 R' D2 L' D2 B' U',B
330980001,R' D' F2 R2 U' D B R D' L' F D2 B D2 F' L2 F U2 B U2,B
19793001,B2 R2 U2 L2 D2 U' B2 U' F R' D' U2 L D' R' U F' L2 D' F',B
281947001,F2 B L D R2 B2 R B' U2 B' U B2 U2 L2 D2 R2 F' L2 F' R2,B
173677001,B2 D' B2 U' B2 D' R2 D U' L' R' D B' R F' R2 U' L' F' U',B
302326001,U D' R F D2 L' U D' R' D F D2 L' D2 R F2 R2 F2 U2 L2,B
244118001,D' R2 D2 B2 U' L2 B2 U' F2 R2 D R' D2 F L' D' B U' L B' R',B
252432001,F' U2 B U2 L2 B' F2 L2 F' R' B2 U' L R' U2 B' L' D R B,B
28581001,D R' D R F L' U2 B' L2 D' L2 F2 D2 R L U2 R D2 R2 D2,B
28704001,L2 F D' F2 R D' R' B U2 R L B2 L2 D' R2 L2 F2 L2 U' D',B
296673001,L2 F' B R' F' D L' U F2 R D2 F R2 B2 D2 F' D2 F' R2 F',B
214758001,L2 B2 D' B2 D F2 U' B2 L' R' U F L R2 U2 B' U' L2 B' R',B
233387001,U F' R2 D2 F B D2 L D F R U L2 F2 D F2 U' D2 F2 U',B
