# Scramble samples — pair / xcross_pair / BG / bin 5
# Population in this bin: 577
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

283806001,L2 F2 D2 U2 L2 B D2 R2 U2 L2 R' B' U' F2 U2 L' D2 U R' F2,G
301562001,U B2 U L2 D L2 B2 U' R U' R F' L2 F' U F2 U L' U2 B R,B
433001,D2 B D2 U2 F' R2 F' U2 F D2 R' B' D2 F R' U' B' D2 B2 D2,G
1428001,U2 F2 R2 B2 R U2 L2 F2 U2 L' D2 F U' B L' B2 D' L D U F,G
1490001,L2 U2 F D2 B' F2 L2 R2 D' U2 F D' B' L B R' D R,G
1779001,F U2 B' U L' F' R F' B D F R2 U R2 F2 B2 D' F2,G
219667001,B' R B R U' F U R U2 B2 R D2 R U2 D2 F2 R B2,B
346957001,U2 R2 U2 R2 B2 F' U2 B R F U' F2 D' F U2 R' B2 R F,G
208496001,R2 B2 D2 B2 R2 B2 U' R2 D R2 F U R U2 R2 D' F' U2 B',B
242090001,D2 B L2 F2 U2 F' D2 L' D' B2 D F2 U2 R' B' F R F,G
286397001,B2 D' R2 U' B2 F2 U' L2 U2 F' D' F D' R' D2 B2 F2 L U',B
302504001,U2 F U2 L2 U L' U' F' D2 B2 D' L2 U2 L D2 R' D2 F2 D2,B
241970001,D' B2 D F2 R2 D2 B2 D L D F' L' F2 D' F2 L' F' D B',B
4762001,L D2 F2 L2 U2 L U2 R2 B2 F2 U' B F2 D2 B R D F R' B2,B
222698001,U2 L F2 U2 F2 U2 L U2 F U2 R B2 D R' D B' F' L D L' F2,B
5221001,B' U F' D2 R' F' L B' L D' F B2 D2 B2 L2 F2 R2 B' D2 L2,B
5542001,D' R2 L' F' R2 B2 U B L' U2 F2 L2 U2 F2 B2 U' R2 D' R2 U',B
252496001,U' L' B' R' U F R2 L2 F' D2 L B2 L2 D R2 L2 B2 U2 L2,B
7083001,F L2 U2 L2 F2 L2 B D2 U2 B2 L' D R D F' L D R',G
204097001,B2 R2 B2 D' R2 D B2 U' R2 U B U R2 B' U F2 R' B2 L2 R',G
7157001,R B L' B L2 F' R' B' L B U F2 L2 D' R2 L2 D',B
323861001,U' B2 L2 U R2 D2 F2 R2 U L2 R D' B' D2 F' R2 B' R2 F,G
