# Scramble samples — pair / xcross_pair / OR / bin 5
# Population in this bin: 560
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

82001,B2 L2 U F2 D2 R2 F2 L2 B R' D U2 R' U2 L2 D2 F U',O
288997001,F D' F U D F2 U L2 B2 L' F' U2 B2 L' D2 R2 U2 F2,O
333496001,F2 D2 L2 D' L2 R2 U F2 L' B U2 R B2 L D U' B2 L' B,O
228961001,D' B2 L2 B2 L2 U L2 D' B2 D2 U2 L U2 B' U F L B L2 B2 F',R
3270001,D2 R D2 R' F2 D2 F2 R2 F2 R B U' R' U B' U' R2 D F',O
207561001,B' D' B R D R2 D' R' F' L D L2 F2 U2 L2 F2 D F2 B2 D2,O
5443001,R2 F2 L F2 U2 L2 R' D2 L' D F L2 B' F L F2 D' F U2,O
251038001,F2 D' U2 B2 F2 L2 U' F2 U2 F U' R2 B L U F D B2 F' D2,R
252431001,B R2 U2 F U2 F2 U2 L2 R U2 F U R2 D2 B F U,R
295413001,U2 L' D2 B2 F2 L' B2 L2 B2 U' F2 R' D' R F' D' F L U2,R
281254001,D2 R' B2 D2 R2 U' L U L F' R2 F' D2 R2 B' R2 F2 L2 D2,R
278861001,B2 L2 U2 B2 R U2 B2 L' R' U B2 R D2 U2 B' D' R B2 R2,R
328349001,R' U R' B' R' B R' U2 F' D B2 R2 U2 R2 D' B2 L2,O
287808001,L F' R' L2 D' L F' B D2 L' F' B' L2 D2 F' U2 B' D2 F',R
201978001,B' U2 B L2 F' D2 U2 B' F2 D' L' B' D F D L' R' B F2 R',O
258743001,D2 F2 D U2 F2 R2 D U2 R' D2 L' D L U R' D U' F' U',O
13429001,U2 R2 F2 R2 F2 U2 R2 D2 F' R' F2 D L2 U L D2 B' F U',R
296218001,F2 D2 R' B2 F2 D2 F2 L2 D R2 D' R2 F' U' L2 F R' U L2,O
15566001,B R2 D' R2 D' B' D2 R U R' F2 U2 D2 L2 B U2 B' D2 F2,O
18485001,D' R2 F2 U' F2 D F2 U' L2 D2 R D' L D U R' B' F R' F',O
272519001,L' U L2 D' L D F D F' D2 R2 U R2 B2 D2 L2 F2 U' L2,R
283962001,D B2 F2 D' U2 L2 D L2 B2 R2 B2 L U2 B L' R' D L D F' R',O
22009001,U2 B2 R B2 U' F L2 D F' D2 B' R U2 L' D2 R2 L' D2 R,O
253538001,L2 F2 D' U F2 D2 U2 F' U' L R B F' U L2 F D2 B2,R
313305001,F2 D2 U2 B D2 F L2 U2 F2 L2 U2 R' D F2 R B' L D L,O
312069001,L' B2 R B2 U2 L U2 B' R U2 R2 B L2 U' L2 R' F',R
218885001,B U2 F D2 F R2 F2 R' B L2 F' D2 L' F R D U,R
23728001,U2 R2 F2 L F2 D2 R' U2 L' B' F' D F D L F D' B2 D2 B' L' F',O
27796001,U B2 D2 L2 D' R2 B2 U2 L D' B2 L2 D' B R D2 B' L B,R
267471001,L' U2 B2 R' B2 L2 F2 L2 U' B L2 U L' D' F' D B2 F R,R
28064001,B2 L2 R2 U2 L2 B' D2 B D2 F2 U' L' R2 D' F2 L R D,O
267476001,B' R2 B2 D2 L2 B2 D2 L2 F D2 B' L R2 D' R' B2 R2 U R' F,R
28697001,R2 L' D2 B U2 D L' F U F' L2 F R2 F2 D2 L2 D2 F D2,R
321501001,R2 F2 D' U' B2 D' F2 U L' B U2 L' B2 U L F2 L' U2 L D2,R
255506001,B2 R2 U2 B2 D F2 R2 D R2 D U' R' U2 R' F U L2 D2 R' U2,O
333508001,U2 B' U2 B' F2 L2 B F D L' D U' F R B2 L B2 D U',R
187088001,F' U R2 L2 F' L' U' L' F U L2 D2 F2 D L2 D R2 U L2 U',R
235730001,U L2 U' B2 R' F D' R2 B L2 B2 R F2 L' U2 L U2 B2 U2 B2,O
33180001,R2 U2 L2 U R2 F2 D2 U' F2 R' D2 L B' L D' F R' U R' D',O
139110001,L F2 U2 F2 U2 L2 U2 L2 B' U F2 U2 F2 D' R' D' B R,R
33377001,D' R' U2 D R2 D R D F B2 U L2 D F2 D2 F2 L2 F2 D B2,O
279123001,U2 F2 U' D2 F2 R D R2 D' B R2 B' R2 D2 F' R2 F2 R2 D2,O
321299001,L2 R2 U2 F U2 F' R2 U2 L2 F' L B' L2 D2 B2 D' R' F' U' B',R
36826001,U F2 U F2 U2 R2 D' F' D' F R' B2 U' B2 F' U2 R' B',R
37612001,R B2 L2 U2 F2 R' D2 L' D U L' U L U F R' B R F',R
316740001,F2 D2 F2 U2 L2 B R2 F' L2 R' B2 D' L' U' R' B' F L' D B,R
226223001,F2 D2 F L2 F D2 B' L2 B D' F2 D' R' D' R2 U L',R
237558001,D B D R F B2 R2 D2 R' U' B2 U2 D2 F U2 D2 B L2 B' R2,R
157951001,U2 B2 L' R2 D2 L B2 D2 F' D2 U' B2 R' U2 B2 R' D',O
209765001,D R' L2 F2 D' B' D2 L2 F' D L2 B' L2 D2 L2 B U2 B,R
338414001,L' U2 L D2 F2 R' U2 B2 F2 L U R F2 R2 B U' B2 U R' U2 L,R
40413001,R2 D2 F2 R2 D B2 L2 D' L2 U2 R2 F D L D L2 U2 L D U',O
40657001,D F D R2 D' R2 D R2 L D F U2 F' B U2 D2 B D2 B,O
244552001,L U2 B2 L2 F2 R' D' R F2 D2 U2 R2 U' B' D2 L' F',R
41505001,F2 D' L2 R2 D' R2 D' F2 D2 R' B' F2 U' L B2 F,O
42228001,B R2 D2 L2 F' L2 D2 B' L B L' F L2 R' D L2 R B2 D',R
300329001,B2 U F2 R2 U R2 F2 L2 F' R' D2 F R D L' D L' U' B' D',O
42927001,B2 F2 D2 B2 R2 F2 R' U2 R2 D R' F' R B U2 L R' B' U',R
49627001,U F2 D R2 D L' D2 B2 D L' F' U2 B' U2 F2 D2 R2 B' D2,R
50360001,U2 B D2 U2 L2 F' U2 R2 B' D' F U2 B' L2 F' L' F2 L,R
230296001,R2 B2 D2 B2 D' L2 U L2 U' B2 F' D' B2 L' U L2 D' U',R
183457001,U2 L2 B2 D2 B2 F D2 F L B D' F R' B L D B' R U2,O
51964001,R2 B2 L2 D2 L2 D F2 D L2 F2 D B L D2 L R F2 L' B R U',O
52413001,B' L2 B2 R2 F' D R' F B' L' D' B2 L F2 B2 L D2 R F2,R
254421001,U2 B D2 U2 L2 F2 U2 F' R2 B D2 R D B2 D2 U F' U' B D2,R
149769001,R' B2 R D2 L' B2 D2 U2 L U2 B L' U2 F' U L' U' L' B2 R,O
53887001,F R2 D R' D R D B L B2 R' B R2 F2 L2 F R2 D2 F2,O
55367001,F2 L B2 L' F2 L U2 R F D2 F D' L' D' B' F R' F D B R2,O
190589001,R2 B' D' R2 U R' D2 F' L2 D' R2 D2 L2 F' U2 B2 U2,R
262472001,R2 U' L2 D' B2 D' F2 D L2 F D' L' D' B2 R2 D L F' D2 U L',R
57603001,R U' R F U B' D' F' L2 B' U B2 R2 U' D' R2 U2 D F2 B2,O
169907001,B D L2 U2 L' B R' F' L' B U R2 B2 U2 R2 D R2 L2,R
305293001,L' D2 R' U L D2 R' D L2 F L B2 L2 F2 U' F2 U B2,O
59060001,F L2 R2 U2 R2 B2 F' L' D' L2 R D F R D U L,O
315558001,F2 D2 L D2 R' F2 D2 U2 L R D F2 D2 U' B' U' R2 D L' U2,R
189990001,U2 L2 R' U2 R' D2 B2 R' F2 D' R F R2 B D B' L2 F' L,R
60347001,U2 L' F D2 B' R2 B L D' F' R2 F2 R2 U2 B D2 B D2 F' L2,O
222917001,L' R2 U2 L2 R D2 B2 L2 D' L' R2 F' L F' L' F2 D' L,R
274108001,R2 U2 R' D2 B2 L U2 L2 U2 F' D' R U' B L' U' R2 U B D2,O
62096001,R' F2 D' F' D2 F' D2 L2 D R' B2 D2 R2 F2 R2 B2 R U2 L F2,R
64211001,R2 F' D2 B F U2 F D U2 R' U' B R2 U2 R' U R' F2,O
64337001,U L2 R2 D B2 D2 R2 B D2 B R' B F R' F R' D' L,O
290833001,L F2 U2 L R D2 R' U2 F2 R B2 U' R F L2 U2 B F2 U2,R
64913001,B2 U' F2 D R2 B2 U2 F2 D' L D' B' F' L2 U2 L2 B R F R',R
259775001,D2 F2 D2 F2 L2 U' R2 U' B F L' B R' D2 B D U2 R D' U2 L2 U2,O
169913001,U B2 F2 U B2 D' L D2 R B' D F' R2 F' D2 B2 R',O
191493001,L' B' U2 F2 B2 U' B2 D2 R' B' R L2 D' L2 F2 U' B2,R
186975001,F2 L2 R2 U' R2 D' R2 F2 U R D L' B' D2 U2 B R' B2 F',R
332212001,U2 R2 B' L2 D2 L2 U2 B' U2 B' R2 U' F U R2 B2 R D' B' L',R
71788001,B2 U F2 D F2 D' L2 F U F' D' R F R' B2 D2 U' F,R
72137001,R2 B2 F2 R' U2 F2 D2 R B R U' R' D2 F D2 U2 L U2 L,R
292138001,R' F R F' B' R2 L' D B D2 L2 U2 F2 L' U2 L F2 R2 L F2,O
73607001,B2 U F2 L2 B2 D' L2 U2 B2 F R' B' L' R2 B F' L U B2 F2,O
73624001,R' B U F B' D' R2 D' B' D2 F2 D2 R2 F D2 B R2 B2,O
73639001,D' B2 L2 U B2 U' R' B2 R B' F2 R F' L' F2 D R' F,R
162700001,F2 R B2 R' F2 L' B2 F2 D F2 D B D2 B2 U L B2 L U,R
278804001,U2 L U' F2 D R' U' D' F2 R2 F U2 R2 U2 B2 R2 B L2,O
222043001,D2 L2 U2 B2 L2 F2 L' U2 F2 D F L2 D' B D2 R B L2 F,R
