# Scramble samples — pair / xxcross_pair / G / bin 12
# Population in this bin: 10
# Samples listed: 10 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-18
# Columns: id,scramble,bottom_color,competition,round

484142001,F' D F2 R' L F L' B' D2 R2 F' B2 L2 U D L2 U B2 U2,G,Shaker Spring 2017 (2017-04-08),333 R2 B #5
857330001,F' U2 B L2 B L2 D2 L2 F U2 F U' L D' B2 L2 B R F2 L' F2 L' F,G,Uzbekistan Open 2018 (2018-08-18~19),333bf Final B #2
972670001,R2 D2 L2 D2 B F U2 B U' L R U2 B' L2 R2 B2 D' F2 D2,G,Northern Neck Winter 2019 (2019-01-05),333ft Final A E2
3969418001,B R U' F2 L2 D B2 U' L2 U B F D' F2 L' U' R2 B F2,G,Xerém Open 2024 (2024-07-27~28),333oh R2 B #1
4000073068,L' F D F2 R2 U' R' D2 F2 L2 F2 R2 U B2 U' F' D R D B,G,CubingUSA New England Quiet Championship 2024 (2024-08-10),333mbf Final B #2
4358931001,F D2 F L2 D2 F2 D2 R2 F' U2 B' U2 L' B D' F' U F L R2 F,G,Hanoi Winter 2024 (2024-12-14~15),333 R1 C #2
4480015001,U R' F' D B2 R2 F2 L2 U' R D' B' D2 U2 L U' R2 B,G,Central Asian Tour Astana 2025 (2025-02-08~09),333 R1 C #5
4539635001,U2 F2 D2 B2 U2 R2 F2 L' U2 B2 R U L2 R' D2 B' F2 R U F',G,Yanahuara Summer 2025 (2025-03-01),333 R1 H #2
4745940001,U R2 F' D' R L2 B D2 F2 L2 D2 L2 U' B2 U R' D' B' L',G,Illasi al Cubo 2025 (2025-05-17~18),333 R1 D #5
4866313001,B L F D R B' R2 L2 U2 D F2 U2 B2 D R2 F2 R F2 R',G,Hawaiian Island Tour - Honolulu 2025 (2025-07-16),333 R1 D #2
