# Scramble samples — pair / xxcross_pair / OR / bin 6
# Population in this bin: 520
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-06
# Columns: id,scramble,bottom_color,competition,round

4716333030,F' U' B L B' R L2 F U2 B D F U2 L2 U2 F2 B U2 L',O,UCSD Blind and Big 2025 (2025-05-10),333mbf Final A #1
5433966001,L' D2 R' B2 L2 U2 R' B2 D2 F2 D' B2 F' U' L' F' D F U',R,Iguanas Nuevo Vallarta 2026 (2026-03-07~08),333 R1 B #4
23691001,D R2 U F' R' D' R2 F2 D' B' U' D2 L2 U2 D' B2 D2 F2 U,R,San Diego Summer Splash 2014 (2014-05-24),333oh Final B E1
5626374001,R' B2 U F2 D U L2 D' U2 L2 B2 R B F L2 R B2 L2,O,No Clocks in Greenpoint 2026 (2026-05-09~10),333 R2 A E1
2937476001,F2 L' B2 L' B2 L2 U R' U2 F2 U R2 F' U2 B U' B2,R,Geelong Winter 2023 (2023-07-29~30),333 R1 A E1
5166645001,U2 D' L2 F D2 B' U F' U' F2 D2 R2 B2 R' D2 L2 F2 L D2 L' F2,O,BrizZon Side Open V 2025 (2025-11-08~09),333bf R2 A E2
3605435070,B' R2 D' U2 L' F2 L' F2 R' U2 R2 D F2 U R2 F U2 B' L B' L2,R,Supermiya PBQ in Tashkent 2024 (2024-03-16~17),333mbf Final A #3
2937804001,F' U' B2 U' R2 D2 U' F2 D2 F U2 L' B' F2 D2 B' L B' R2,O,Bangalore Cube Open July 2023 (2023-07-29~30),333 R1 F #4
55793001,R' F2 R F2 D2 L' U2 F D2 F2 U F2 L D2 L' F' L' U2,R,German Nationals 2014 (2014-09-06~07),333oh R1 B E1
4325994001,B' L B' R2 U' R2 B D2 R2 U' F2 D F2 D' R2 D L' U,R,Minnesota Championship 2024 (2024-11-30~12-01),333 R2 A E2
80535001,R F' U2 L2 U D2 R U D' B U' L2 B R2 B' D2 B,O,Plaza de las Américas 2014 (2014-11-15),333oh Final A #1
2239293001,D2 U2 L B2 U2 F2 D2 F2 L B R D L2 B' U2 B L' U B2 L' F',O,Pão de Queijo Open 2022 (2022-10-15~16),333bf Final A E1
97412001,L2 D2 F U2 L2 B' F' D2 L2 D' R2 B' R' B R2 F L' U' F2,R,Shaastra Cube Open 2015 (2015-01-03~04),333 R1 E E1
4237398001,R2 D2 R' F2 R2 B R2 D2 F D2 U2 F U2 D L B2 D2 B U' B',O,Ottawa 3x3x3 Fall A 2024 (2024-10-25),333 R1 C #4
1993067025,U B2 R F2 D2 L R U L B2 D2 B F' D' L' R F2 L' F,O,Brisbane's 20 in 21 in 2022 (2022-06-25~26),333mbf Final A #1
3465543001,R U2 R F2 D2 F2 L D2 U' L2 D2 L B' R' F U L F',R,Please Be Solved Aventura 2024 (2024-01-28),333 R2 B E1
116862001,R2 D U L2 U' R2 F2 D' F D2 U F2 D2 F U L U B2,O,Utah Pi Open 2015 (2015-03-14),333 R2 A #2
5613318001,L' D' L2 U' B2 U R2 U' B2 F2 L' F2 L' F D' F U2 B2 U L',R,Früehligswürfelä z'Rootchrüüz 2026 (2026-05-09),333bf Final A #3
2365686001,B' D2 L2 D2 R2 F' U' B' D' B2 F' L D2 F' L' D2 L',R,Mongolian Open 2022 (2022-12-11),333 R1 J #3
2616090001,B2 L2 U L2 F' B2 R D2 B R2 B2 U' L2 U' L2 F2 U L2,O,Kubiat HaNegev B 2023 (2023-04-03),333oh R1 D E1
2718809001,B' D R2 U' L2 R2 D' U2 R' F R2 D' B' F2 D' F2 R' U',R,Nikita Kovalchuk Memorial 2023 (2023-05-14),333 R1 B #4
3998524025,B' U' F2 R2 D2 B' F2 D2 B2 U2 R2 F' L' F U F D' F U B' L',O,Blind Till Nine in Vietnam 2024 (2024-08-10),333mbf Final A #1
4902844001,R2 B L U2 R2 B L2 R2 B' D L' D2 F' L B R2 D',O,Beginner Utrecht 2025 (2025-08-03),333 R1 C #5
138923001,R2 B2 D2 L2 B2 R2 D B2 D2 B L B' L D2 U' R2 U2 L' D2,O,Canberra Autumn 2015 (2015-05-09~10),333oh Final A #3
1754853001,D2 U F2 D' R2 B2 F2 D R2 B2 R2 L' D2 L' U2 R U2 F D',R,Cubetcha A 2021 (2021-12-04),333oh Final A #2
146617001,U F2 R2 F2 R2 D' F2 D' F2 R2 U R F' D' F2 R D2 U2 B' L',O,Indian Nationals 2015 (2015-05-29~31),333 R3 C E1
2604292001,L' U' F2 D B2 F2 L2 D R2 F' U F' L' R2 F2 R' F' R2 D',R,Saint John's Scramble 2023 (2023-04-01),333oh R1 C #1
179549001,F' L2 B D2 F2 U2 B' R U B U2 F D2 F' U' L2 R' B2,R,San Lorenzo Invierno 2015 (2015-08-15~16),333 R1 E #5
5305356035,F2 R U L' U F' L2 B U' L D2 R' U2 R B2 U2 B2 D2 L2 D' L2 U2,O,Georgia Quiet Championship 2026 (2026-01-03),333mbf Final A #1
3945719001,D U2 B2 L' B2 F2 L' R' F' L' F D U F2 D L D2 L,R,Mahavira Delhi Cube Open Sunday 2024 (2024-07-21),333 R2 B #3
208743001,U2 B2 F D2 F2 L2 R' B U2 B' R F' R' F U B D,R,Athens Fall 2015 (2015-10-24),333 Final A #3
211490001,D2 U2 L' B2 F2 L' U2 F2 R F2 L D' R F L' F' D L2 U B2,O,APJ BLD Open 2015 (2015-10-31~11-01),333oh R1 E E1
5564013001,F' B2 U2 B2 D2 L' U2 L B R F2 D' L U L F' R2 D2,O,Duper Super Davis Spring 2026 (2026-04-19),333 R2 A E1
5516014001,U F2 D2 R2 D2 R' F2 L' F2 L B D B2 F' L B' D F' R',R,Nova Plaza Facatativá V 2026 (2026-04-11),333 R2 A #1
