# Scramble samples — pair / xxcross_pair / O / bin 7
# Population in this bin: 292
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

927001,R' F2 D2 R' B2 U2 R' D2 F2 U B F2 U' R2 B R U' B2 R2,O
3164001,F' B2 R2 L F U2 F R B' R2 B L2 U B2 U' L2 D F2,O
317883001,D' R2 D F2 D2 F2 D F2 U2 F L2 D B F2 L' F2 R2 B' D U',O
3465001,B2 L2 D2 B2 R' U2 B2 L2 B2 R' B F D' U' B U F' U L2 R D,O
289210001,U' L2 D B2 U R2 U2 F2 R' B' D' R U R2 F' D2 U B' D,O
5059001,F R2 L B' D' L' B2 D2 B R B2 D2 F2 D2 L D2 L2 U2 L' B2,O
6373001,U D2 F U' L' F2 D R2 L D' L2 D' F2 R2 F2 U F2 R2 D,O
275863001,F2 R' D2 B2 R D2 F2 R2 F2 R D2 F R' B' U L U R' B D' R',O
9064001,R F2 L F2 D2 F2 L' F' L R' F' L B' L U' L2 F D,O
9200001,B' U2 L' B L2 B2 U' R U2 D' R2 U2 F2 R2 B' R2 F' U2 B' L2,O
10767001,D F2 D2 F2 U' L2 D U2 F2 R B U' B2 U B' F2 D2 B' L2,O
347423001,R2 B' L2 B L2 B' R2 F D2 R2 D L F D' R2 U' F' U B' U L' F',O
339502001,D' L2 U2 L2 B2 L2 U' B2 L' R2 F2 L' D R' U' B R U' B,O
21284001,U F' U' F' D F2 U R F' B L F D2 L2 F2 B' U2 R2 B',O
24139001,L' F' D2 F R U F U2 F' U R' F2 R' D2 R' D2 L B2,O
25219001,F U2 F R2 B D2 U2 B2 L2 B D2 R U' B' F' R' B R' B' U',O
343108001,U D B R' B L2 U2 R' B' D2 R' F2 U F2 U2 D' B2 R2 D,O
28141001,L2 B2 R2 B U2 B' L F2 D' F2 U' L U' B2 F U2 F',O
309744001,R2 U' B2 D F2 D' B2 U' F R' B U' B D' R B U2 B R',O
30706001,B2 D2 F2 L' R2 D2 F2 L D' B U2 R F' D' L F2 R' F2,O
31856001,D2 L2 R2 B D2 B U2 R2 U' R' F U2 L' D B' D' F' D2 F2,O
33688001,D' L D2 R2 L' D R' B' D L' F D2 R2 B2 U2 B2 D2 B D2,O
248902001,R' B' R2 B2 L2 F D' F D L' F2 L F2 B2 R B2 R,O
36653001,D L2 F2 D R2 U2 L2 F2 D2 B' U2 F R2 F2 L2 R B2 U L U L,O
260105001,B2 L2 U' B2 D2 R2 F' L2 B' R2 D' B2 D' U2 F2 L' D R',O
39104001,R F' U' F' R2 B U B' R2 F' R2 D2 R' U2 R U2 F2 D2 B2,O
39643001,U' R' U R B' U D L D R2 U' B2 D2 R2 B2 R2 F2 U' L2,O
41414001,R' U2 R2 B2 U2 R2 F2 R' U L R2 U' R F2 R D2 U F L',O
41772001,D' R2 B2 D R2 B' D F D2 B' F' D2 R2 D F2,O
330515001,U L2 D' B2 R2 F2 R2 U' F2 L D R' F' L' F' D2 B' F' R2 U L2,O
51132001,R' F2 R F2 D2 R2 U2 L B2 U' L2 B U B' D L' U2 B',O
328349001,R' U R' B' R' B R' U2 F' D B2 R2 U2 R2 D' B2 L2,O
52411001,B' R2 D2 F D2 F D2 U2 R2 B2 L F' D B' U2 R' B' L' D' F',O
53543001,R' F U F R F R2 F' D2 F U L2 U' L2 D' L2 D2 F2 U2,O
331673001,F2 U2 L F D' B' L' B' R B' U' B2 D2 F2 U' R2 F2 L2 B2 D',O
53994001,L2 B2 R2 F2 U L' F U L' F D B U B' F2 L',O
54317001,R' B2 D2 F L D R F' U2 L F2 D' L2 D R2 L2 U' D,O
270393001,F' B2 L U' R F2 R' L2 D' L B2 L2 B2 R2 L2 D2 F,O
58187001,U2 R2 D2 U2 L' U2 L B2 R2 U L U2 R2 U R2 U' R' B,O
250222001,D2 L2 D' R2 D' B2 F2 L R' U' R B2 L2 B' L' B' L F2,O
59153001,R2 L F B2 L' F2 U' B L' D2 B' R2 L2 D2 F' U2 L2 F2 R2 B2,O
61080001,D' R2 L D B2 L B2 R F U2 B' L2 F R2 L2 F' B' R2,O
248644001,R2 L F2 D' L2 F2 B L' F R' D' R L B2 R2 L D2 R2 L2,O
326757001,B2 U2 B2 R2 U B2 R2 U L' F D F' D2 B D B2 D' R' D',O
63310001,U F' B L U2 L2 D2 R2 B R B2 U' R2 U D F2 U' B2,O
64114001,R2 L D' R2 U' R' F2 R2 D' R' F' B2 D R2 U B2 R2 D2 B2,O
64862001,R D2 R2 B2 U2 B2 L B2 F L2 U2 B D' R' F R B D2 R,O
65383001,R' L' U' R' F' U2 R F U D2 R B2 R2 F L2 F U2 B',O
66157001,L2 U2 B2 L2 F R2 F U2 B L D2 L2 B R2 D2 U2 R2,O
67967001,F2 U' R2 U' B D2 B U' R2 D' R F2 R' B2 D2 R2 B2 L',O
68681001,D2 R' D F' U' L' B2 D' L2 D' L U2 L2 F2 B2 U2 F2 R B2 U2,O
68780001,F2 L2 B' L B L' U' B' R' D2 F2 U2 B2 L U2 R D2 L B2,O
69120001,D' L2 B2 D' B2 U' R2 U2 B U L' R2 U L D B2 R' B2 F2 U' L2 U,O
332315001,R2 B2 L2 B' R2 B' L2 D2 L2 B D R' F D R' D L2 D' U,O
70759001,D F2 U B2 D U B2 F2 R2 U' R F' R' U2 F D' L U' F' R',O
71958001,U' D' F R U D' L2 B2 D' R' U2 L2 U2 D2 F R2 F D2 F',O
72132001,L2 D' R' F B R D2 B U D2 B2 U' F2 D L2 D B2 D2 L2,O
73665001,R F L F R2 D' R D R' F U2 L' B2 D2 R' U2 R' D2 R,O
346624001,F2 L' R B2 L' F2 U2 F2 L2 B2 R' U R F D' F D U' F D L',O
255464001,R F D' F' L F2 L D L F2 B2 U F2 U L2 B2 U' R2,O
334506001,D' F2 D2 R B2 L2 U' B' R' F2 D2 R2 L2 F2 U' R2 D' F2 R2 L2,O
80067001,F2 L2 F2 U L2 U2 B2 L2 B2 L2 U F' D' U B' R' D' U' B' L2 U2,O
80099001,U L2 D' R2 B2 D F2 L2 F L' U2 B L2 D2 F L' U2 L2 D,O
81606001,B' D2 F2 R2 B F' L R B' R' D2 R B2 D2 B2 F R',O
81935001,D B2 R2 F2 L2 U F2 U2 L' B' L' F' R2 D R2 B2 L U' B' R' B' L',O
82399001,B2 L2 U2 F' U D' L' B L U2 R2 U F2 L2 D F2 R2 D' B2,O
307966001,B2 D F2 U' R2 F2 D L2 U2 F' L' D L2 B U' B F D F D',O
93079001,B2 R2 U' B2 U B D B' D2 F' R2 U2 B2 U2 R B2 U2 D2 R2,O
