# Scramble samples — pair / xxcross_pair / R / bin 7
# Population in this bin: 293
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

660001,R L' D' B2 D L' D' B2 R2 L F2 U2 F R2 F B2,R
810001,B L2 F U2 B' F' L2 B L' R2 U R' F' R2 D' L' F U' B',R
335001001,R' U' F U2 R2 F2 D B2 U F2 D2 U' L B2 F' U F' U F' L D R U F2 R' U' F,R
1740001,D2 B' U' F2 L U2 L2 B' U2 B' D' R2 D R2 D' F2 U2 B2 D,R
2009001,R' F' R' D' B R' U2 R U2 D F R' B2 L' D2 R D2 L2 F2,R
296572001,L D' F' L' F2 U F2 U F D F' D' F2 U' B2 L2 U2 R2,R
2477001,L' U2 R2 U D B' U2 F' R2 D R' B2 U2 L U2 D2 B2 D2 R' D2,R
4702001,F2 D2 F2 L2 U B2 L2 F U F2 L2 D' F U2 R U B' U2,R
324085001,L2 D' F2 R B2 R' U R U2 R B2 U2 R2 B D2 L2 F' L2,R
242080001,L' D F D' R L F B' U F2 R B2 D2 L' B2 L B2 D2 L,R
347026001,F2 L2 B' U2 B2 D2 L2 D2 F D2 F L D L B' D F' D2 R2 U L' F',R
7357001,L2 B' F2 R2 B2 L2 D2 F2 U' F2 R2 U L' R2 F R' U B,R
285706001,F2 U2 R2 U2 R' D2 U2 L F2 D' U2 R' B2 U' F L2 U2 L2 U2,R
8417001,D2 U' F2 L2 D' L2 U' B F D R U2 B L2 F2 U2 R U,R
10687001,L2 D' U F2 R2 D' F2 D' L2 R U F2 D2 L D2 L2 F D' B' F',R
315455001,D2 R2 D2 F2 L2 B2 U B F R' F2 D R2 D' B' L F2 U',R
279241001,R2 U2 F D2 L2 F' U' L2 U2 F2 U' B F2 D B L2 R,R
12774001,L' R2 F2 D2 L D2 B2 U2 L2 B' U F2 U F U2 L R U2 R2,R
14218001,F2 L2 U2 B' D F2 D2 F2 B' U R2 F U2 B2 U2 D2 R2 U2,R
320539001,D' B2 U D2 F' L' D2 R' B U' R D' L2 U' F2 U R2 L2,R
16679001,L2 R2 D U B2 U B2 F D' L R2 B' U' B2 R D' B' F2,R
283111001,L2 B' U2 F2 L2 D2 F' D2 L B' D U R F' R2 U2 R' D' L',R
18970001,D' U2 R2 D' L2 F2 U R' F U' B2 F' D F2 U B' R' D' F2 D',R
19180001,D2 R2 D R2 U' R2 U L2 U L U R2 U2 F2 R B' L B' F,R
21788001,D2 L2 B2 R2 U' R2 F2 U' R2 D F L B F2 L' F R U' F',R
21801001,U R2 U F2 U2 F2 L2 F2 R2 U' B2 L U2 B D U2 F2 R2 U' F' D2,R
279643001,R2 D' L2 F2 L2 D B2 L2 D2 R' D B L D2 B' D2 R2 U' F D,R
348188001,B2 L2 F2 D2 R2 U2 L D2 R' F2 R' D F R D F2 D' L U',R
28514001,F U2 F2 R2 F2 D2 B U L2 B' U2 D2 L2 B U2 F R2 U2 B',R
330547001,B2 U2 B2 L' F2 R' D2 L U2 F L R F2 U L' U' R' D' L2 F2 D',R
28997001,R D2 R' D2 U2 R' D2 L2 F2 R' U F2 L U2 R F2 U2 B2 U',R
313051001,L2 F2 D2 U2 L2 U2 L F L D2 U2 F' U' B' L2 F U2,R
29568001,F L2 U' D L' U' F2 R2 L2 U' L D2 R' D2 R2 B2 D2 L2,R
31254001,L B2 U' D2 R' F2 U R' U R' D2 F L2 B' L2 D2 F L2 D2 B2,R
315587001,R2 F2 U' R2 F2 D' R2 U2 B' D' B' R' F' R2 U2 B U F' D,R
32293001,D F2 D2 U B2 L2 B2 L2 U2 B' U L' B L' U2 B' L B L2,R
32648001,R' B U2 R2 L' D L F2 U' D' R' L2 U R2 U' D L2 U' R2 D',R
32704001,L2 U R2 D2 U' F2 U F2 L' D' F' D' F' L' D L2 D2 L2 D,R
