# Scramble samples — pair / xxcross_pair / WY / bin 6
# Population in this bin: 482
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-29
# Columns: id,scramble,bottom_color,competition,round

3261628010,B2 L2 F2 U B2 D2 F2 D' F2 L' U2 R2 U L2 U' B' D L B' L,W,Virginia Championship 2023 (2023-11-10~12),333mbf Final A #1
2212312001,U L2 F2 L2 F' U' R2 B' L R2 F U2 F2 U2 L2 R' D2,Y,Qubes Don' Lie İstanbul 2022 (2022-10-01~02),333oh R1 B E1
2661926001,U' L B' U2 L2 U2 B D2 U R D' R' B2 L R2 F2 R2 D,W,South Jersey Speedsolving 2023 (2023-04-22),333bf Final A #2
25784001,B' R2 F2 L2 B' D2 B U' F L2 R2 D F2 L' B' L' F' U,W,Erfurt Open 2014 (2014-06-07~08),333 Final B #2
32845001,U' D2 B2 R' B2 L2 F' L' U B' R2 D2 B2 R' D2 L' U2 L,Y,Masterpress Summer 2014 (2014-06-28~29),333 R1 A #2
5223732001,F D2 L F D2 F2 L2 F R2 F' D L' D2 L' D' B F' R',W,Waterloo Fall 2025 (2025-11-29),333 R2 C E1
40652001,D2 L B2 R2 B2 R F2 R B U R2 D U' B' R2 F2 U L2,W,Ha Noi Open 2014 (2014-07-26~27),333 R2 A E1
4438303001,U F B2 D' B2 D R2 D' B2 L2 B2 L' F2 R U L2 B' U L' F,W,Regreso a Clases Aves María 2025 (2025-01-18~19),333bf Final B E2
4061425001,R' F L' F2 R' D2 L B2 L2 D' B2 U2 L2 U B2 U' L2 R F,Y,Warm Up at gateway klia2 2024 (2024-08-31~09-01),333 R1 C #1
2540556001,U2 B L' B2 L2 U' B2 L2 D L2 R F' L2 D' F' R' D' F,Y,Oman Open 2023 (2023-03-11),333oh Final B #5
2711313001,F U R B2 U2 B2 U2 F2 D B2 R' B L' F D2 U F' L,W,Sambil Caracas Edition 2023 (2023-05-07),333 R2 B E1
5661276001,L2 F2 U' F2 L2 U' L2 F2 R2 B R' U F' L' F2 R D' B' F2,W,Liuzhou Open 2026 (2026-05-24),333 R2 D E2
2845214001,R' U' F R' B' D L2 R2 B2 L2 R2 U F' U' L' D' B' F L' D' R U' R' U' F,Y,Suffolk Summer 2023 (2023-07-01~02),333fm Final A #1
3801844001,L B R' U L2 U' R2 D2 F2 D F2 R' D2 L' F D2 F2 U',W,Sunway Velocity Mall Open 2024 (2024-05-25~27),333 R1 I E2
4795751001,R2 F2 R F2 L' F2 L' U2 B2 R2 U L2 R' F2 R2 B2 D B U,W,Saint John's Warm Up 2025 (2025-06-07),333oh R2 A E2
3662477001,L D' R2 B2 D R2 D2 F2 B' D2 R' D' B2 L' D2 B D' L2,W,Richmond Rumble 2024 (2024-04-13),333 R2 A #3
2485840001,B R2 U2 F' U2 B2 F2 U2 F2 L' D2 L' B' F' R2 U' B2 R' B,W,Herrljunga Open 2023 (2023-02-11~12),333oh Final A E2
