# Scramble samples — pair / xxcross_pair / W / bin 7
# Population in this bin: 280
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-03
# Columns: id,scramble,bottom_color

2644001,R2 F2 R2 F' U2 B D2 R2 B U' B L D' L2 D' U2 F R B,W
3270001,D2 R D2 R' F2 D2 F2 R2 F2 R B U' R' U B' U' R2 D F',W
332310001,D2 R U2 R F2 D2 R2 B2 U2 F2 U' R B2 F U' L' R' U F' U,W
289180001,U2 B2 U F2 R2 D2 U R2 B2 D2 F2 L F2 R' B U B F' R2 F',W
5235001,U2 B2 L B2 L B2 D2 L U2 R' D' F D2 R D B U2 R2 F',W
324094001,F2 L2 U' L2 U' F2 U F2 R D B U L F2 R U B F L,W
306187001,L2 F' R2 D2 F2 D2 R2 B2 F' U2 R U B' D2 R' F R' B2 F' L,W
281004001,F B L D' L' F' D2 R L D L2 F L2 F2 L2 B' R2 L2 F2,W
294564001,B2 U' F2 U B2 R2 D B' U' L' D' L' D L' F D2 L' F2,W
14585001,U2 D2 F L D L2 F' U B R L F2 R U2 L F2 R2 B2 L' D2,W
14807001,B2 D2 B' D2 F L2 R2 D2 F L D' F' U' L D2 B2 R2 B' U B2 D',W
15770001,L' B2 R B' L F D L' F R' F2 B2 D2 F2 L U2 R' B2 L',W
310649001,B U R' U' B' U2 F2 U' L' U R2 B2 U R2 D' R2 B2 U' B2,W
16757001,F' U2 L2 U2 B2 U2 B D2 R2 D L' B2 F2 L' D2 L' B2 L U,W
317879001,D' F2 U' B2 U F2 D' R2 D' F2 D2 R' D2 L' F' R B U R' U,W
17668001,U2 R F2 D2 L U2 F2 D2 B2 R' F' U B' F D' L D' L2 F U,W
19186001,B2 F2 D B2 D U2 F2 L2 B U B D' U' R' F2 D B L' R,W
20216001,B2 R2 U L2 B2 D L2 R2 U2 L2 R D L' D B' R2 B R' B D2,W
23524001,D2 F' R2 F U2 F' D2 F D2 U' B2 L B' F2 L' U' R B D',W
24504001,U2 R D2 B2 L B2 U2 B2 L' U B2 R' D U2 B D' L2 F' U R,W
24600001,D' L' F U R' L2 F2 U' L2 U' B2 L' U2 R B2 L' B2 R' U2,W
25025001,B2 U' F2 U' R2 U2 R2 D2 F' U' R F R' F' L' F2 L2 D F R2 D',W
25074001,U2 L2 U2 L' R' B2 R F2 U B D B2 D' B2 F2 L' F L2,W
27231001,L B' R' B U' F L F' U B U R2 U' R2 B2 D2 B2 D2 L2,W
28064001,B2 L2 R2 U2 L2 B' D2 B D2 F2 U' L' R2 D' F2 L R D,W
28568001,F D2 L' F' U' F U R2 L U R2 L2 D2 F2 B2 R2 B2,W
29646001,U2 B2 L2 B2 R F2 D2 L2 U2 R B2 U' F' L' D' R U L2 R' D L2 D,W
31065001,B L2 B' U' B' U' D F2 B R U B2 U' B2 L2 B2 R2 U' R2,W
32292001,D F U2 R' F' R2 L2 F U2 B' R2 B2 D' R2 F2 U R2 U',W
334002001,F' R2 B2 L2 D2 L2 B' R2 F D L2 U R' F' U' L2 D' B U',W
