# Scramble samples — pair / xxxcross_pair / ORWY / bin 8
# Population in this bin: 463
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color,competition,round

4311529001,R' U' F U' D' R D2 F2 R F' U B' R2 F B D2 L2 F2 R2 F R' F R' U' F,O,East Bay Big and Blind 2024,333fm Final A #2
2608001,D' B' L' D L' F2 U F U' L' U2 F D2 R2 F' B2 R2 U2 B2,Y,CMI Fiesta Open 2014,333 R1 R #4
7768001,R2 B2 R2 U' R2 U' R2 B' R' F D' R2 F2 R' U F' U B' D2,R,German Open 2014,333bf Final A E2
5599613028,L U B D2 B F R2 B L' D F' R' D2 F2 D U' F L' F,Y,Campeonato Mineiro 2026,333mbf Final A #2
4252247001,R B L' D B2 L' F R D B U2 B2 D2 L2 D' L2 F2 D,O,Unley Spring 2024,333 R1 B #2
2719519001,U2 F2 L' U2 R U2 L' U2 R2 U B U F2 L' R' D' F' D2 B R,R,Silentia 2 - BLD 2023,333bf Final B #3
4241322001,B2 U' R B2 U F' U' D' B2 D F' L2 B2 L2 D2 B' D2 B L2 D',O,Newmarket Side Events 2024,333bf R1 B E2
68670001,D F' L' D2 B D2 R2 D' B' D L2 D R2 L2 F2 U L2 B2 U',R,Hungarian Open 2014,333 R1 C #4
4693415001,R' D2 B2 R2 D' F2 U F2 U R D2 U2 L' U F' D' B' L',Y,NSW State Championship 2025,333 R2 A E1
93588001,F' R F' U B2 U D' B2 R2 L' F2 L2 F2 D R2 U' B2 U2,O,Schleswig Holstein Open 2014,333oh R1 B #1
95245001,U' L2 B2 L2 B2 D' F2 U' L2 D2 B2 R U L2 U B U2 L' U' R',R,Milan Winter Open 2015,333 Final A #4
4789632001,U' L B' D2 F R2 D2 R2 F2 U2 D' B' D B' L' B2 D' U,Y,Kansas Championship 2025,333oh Final A #1
4405378001,F' L2 F2 L' B' U2 L B2 R2 U' F B2 U2 B D2 B' U2 F,W,Imagination Station A 2025,333 Final A #3
3462050001,R' B' D2 L2 D B2 R F' B2 R2 D R2 U' B2 R2 D R2 D2 R,Y,Prescott Cubing Winter 2024,333 R1 D #2
112606001,B2 U' D2 L2 F B2 L U F2 D2 B L' B2 R L2 B2 L' U2,R,Dvina 3.0 2015,333ft Final A #3
3243094027,B2 R2 D2 F2 R2 U' R2 U2 B2 U R B D' B2 D2 U' R' D' U2 L2 U',W,CubingUSA Rocky Mountain Championship 2023,333mbf Final C #1
4014483001,L2 B R2 D2 F2 D2 R2 B R' B F L' B' R' D F R2 B2 L2,R,Blind and Fun Landvetter Summer 2024,333 Final B #5
3303271001,R2 F R' B2 R2 U B2 U L2 F2 R2 B2 F' U' L D2 U L' U',Y,UBC Big & Blind 2023,333oh R1 B E1
179549001,F' L2 B D2 F2 U2 B' R U B U2 F D2 F' U' L2 R' B2,Y,San Lorenzo Invierno 2015,333 R1 E #5
4753965001,U2 R U L U2 L' D2 U2 R' B2 R2 U2 F' U2 L R2 B' F' L',Y,Algs in Ankeny 2025,333oh Final B E2
195618001,F2 L F2 L2 D R F U2 R F2 U' F2 U2 R F2 L F2 R2,R,Australian Nationals 2015,333 R1 F #4
2454088001,R B D2 F R2 B' U2 B L2 U2 F2 R U' F D2 U2 F U2 R',Y,Glasgow Winter 2023,333 R1 A #3
5690390001,R2 B2 F2 L' F2 U2 B2 U' B' U' B R F' L' F D U F L' F,Y,Headache in Kode 2026,333bf Final A #4
210126001,L2 R2 U F2 L2 D2 U' R' F R' D2 B L2 U2 B U' B' D U,R,Hasselt Open 2015,333 R1 B E1
3595387001,L' F L D2 B2 L B2 U2 F2 R' B2 D B' U' B L2 F R' D',W,Nowa Sól Open 2024,333 R1 B #4
2219844033,D2 F R' D' B' D' L F' L R2 F2 B2 D2 R2 F' B2 R2 F2 U2 B R',W,Nacionales Argentinas 2022,333mbf Final A #1
219401001,L' U2 B2 R' F' L F R2 U' F D R' D2 R L B2 U2 R,W,Mijas Open 2015,333 R2 A #1
5472449001,F' D2 F' U B' D' L F B2 U2 R U2 L2 U2 R2 U' B L',R,GAN Negros Speedcubing Open 2026,333 Final A E2
233401001,L2 U2 L B2 R' D2 B' D F2 R' U R U' F L U L,W,Liberty Science 2015,333oh Final A #1
4884331034,U F R F R2 D2 R2 B' U2 B' F2 U2 B' L' F2 D F2 L2 F' U' L2 U,R,Mini Mental Delft 2025,333mbf Final A #1
258816001,R' F2 U2 L' B2 L U2 R' F2 U B L' U2 F D2 R2 D' U L2,Y,Edward's Rubik Day 2016,333 R2 B #4
260573001,B' L2 R2 D2 B' R2 F' L2 B2 U2 R F' R2 D L' U' B D L' B,R,Big Apple Cube Clash 2016,333 R1 F #1
5258074001,R D2 R B2 U B R L2 F2 U2 R2 L2 D' L2 B2 U R2 U B',O,Portugal Championship 2025,333oh R1 C E1
