# Scramble samples — pair / xxxcross_pair / ORWY / bin 9
# Population in this bin: 524
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-05-29
# Columns: id,scramble,bottom_color

334184001,U' R2 D B2 D' L2 B2 D' U' L F L2 B' R D R D2 U R',R
254461001,B2 L2 U F2 R2 U' F2 U L2 F2 U2 B' F' L B L2 U B' D' L U' B' L2,O
215254001,D2 L2 F' U2 F R2 B' D2 U' R' D2 R B2 U' B F' R' U',W
249035001,R' L U2 R' F L2 F L' B2 D2 R L2 U F2 D F2 U',R
254935001,R L2 F' D2 F L' U' D2 L B' D2 B' L2 U2 B' U2 F2 R2 D2,Y
201977001,B' D2 B2 L2 B2 F D2 U2 L' R' U' F' R' B2 D U' L U F,Y
4979001,U2 B2 L F2 D2 L2 R' D2 L F' R' B2 U' B' D2 B2 L' U2 R' B2 L' F2,Y
306045001,D2 U' B2 U L2 U' B2 R2 B2 D R F' U' R' B U2 B' L2 D,Y
189975001,L' D2 L' D2 L2 U2 B2 F D2 F L D L' D' L B2 L2,Y
331125001,F2 L2 B R2 B U2 F2 D' L' F2 L2 R B2 D2 U2 F R2 U2,Y
6724001,U2 B' L2 F' U2 B2 U2 F U' F' U' B2 D' U2 B L D' L F' L' F2,O
133408001,R D2 R' D2 R' D2 R' F2 D' L' R2 B' R' F U2 R' D' B,R
159329001,D B2 U' R2 B2 L2 B2 D2 U' B2 D B' U2 F2 U' L D2 R D B' R B R2,W
255178001,U L2 F2 D2 L2 F2 R2 B2 L B' F2 D2 R2 F' U' R2 B2 R D',W
247037001,R' U2 L B2 L' R' D2 B2 D2 L B' U2 L' B R D' F' D',Y
152713001,U' R2 U B2 U2 B2 L2 F2 U' R2 B U' F2 D' R B L2 F2 D2 U',Y
12773001,F2 R' U2 R B2 D2 L B2 R2 D' L R2 B D U R2 F' D L' D2,R
170370001,L B U2 L' F R2 U' F' L B' R L' B2 L' F2 B2 L F2,Y
267614001,R B2 L' D2 B2 F2 R2 B2 R' B2 D L' D' R2 F U' F' R' D2,O
13209001,F2 U2 L2 D2 L2 U2 F' L2 R2 U2 L F2 R2 D' U R' U' R2 B2,W
328272001,R B2 U2 R' B2 L' B2 R' U2 B2 D2 U' F L U' R B2 F U2 L B2,W
13936001,B' L2 F U2 L2 F2 R' F2 U L' U' R2 D2 L2 F R2 L2 B',W
14587001,R B2 U R' F2 D L' F B R U2 R2 F2 L B2 R L,W
202838001,R' B' U2 R2 U D2 R' F' R2 L' F2 R2 F' U2 B' R2 B R2 F,O
330222001,U R2 D2 L2 R2 B2 D F2 U L' D F L R D' F' L' D F',R
273358001,B D2 B' R2 B' R2 D' L2 B R' B' U2 B2 U2 L U,R
17474001,D2 B2 L2 B D2 L2 R2 F2 D' L D R U' L2 F U2 F' U',O
17661001,F2 L2 D F2 D2 L2 B2 L' D2 F D2 B' L' B' U B2 D2 L2,Y
138621001,U F2 R F D2 L' U' R' B2 L' U F2 R' U2 R' B2 U2 L,O
288591001,U' F2 R2 D' R2 F2 U2 F D U2 B2 D2 L U B2 L2 D' L2,O
160017001,R2 D' R2 D2 F2 D2 R2 F' D2 F' D2 F R U2 B R' F' L,Y
151501001,D' L2 U2 B' U L' F B' U' R2 F2 U2 F D2 B R2 B' U2 F' R2,R
18882001,U2 B L' F' L B' L2 B' U' D2 F2 R2 F' R2 L2 U2 F' R2 B2 U2,R
19180001,D2 R2 D R2 U' R2 U L2 U L U R2 U2 F2 R B' L B' F,R
