# Scramble samples — pair / xxxcross_pair / R / bin 8
# Population in this bin: 100
# Samples listed: 100 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-06-09
# Columns: id,scramble,bottom_color

26001,U2 R2 U' F2 D' L2 F2 D L B2 F2 D' L' U2 L R F U2 B' D2 B R2,R
7768001,R2 B2 R2 U' R2 U' R2 B' R' F D' R2 F2 R' U F' U B' D2,R
68670001,D F' L' D2 B D2 R2 D' B' D L2 D R2 L2 F2 U L2 B2 U',R
95245001,U' L2 B2 L2 B2 D' F2 U' L2 D2 B2 R U L2 U B U2 L' U' R',R
103711001,L2 F2 D' U2 B2 D' F' U B' L2 B2 L' B' F U2 B R D',R
111030001,D B D L2 D2 R2 L2 F' L2 F L U2 B2 U B2 R2 F2 D2,R
112606001,B2 U' D2 L2 F B2 L U F2 D2 B L' B2 R L2 B2 L' U2,R
144340001,D2 F2 R2 U2 B2 R' F2 L2 B2 L' D' B2 F' U F L' U' B' U2,R
195618001,F2 L F2 L2 D R F U2 R F2 U' F2 U2 R F2 L F2 R2,R
210126001,L2 R2 U F2 L2 D2 U' R' F R' D2 B L2 U2 B U' B' D U,R
260573001,B' L2 R2 D2 B' R2 F' L2 B2 U2 R F' R2 D L' U' B D L' B,R
269466001,F2 D2 B2 D R2 D2 U' B' U R' B2 L2 R U' L2 D' L2 R,R
322515001,L2 F2 D' R2 F2 D2 U2 R2 U' F D F2 U2 B2 L F2 R' B D' R,R
329717001,B2 D R B U F' D' R' U R D2 R2 U2 D2 F B2 L2 F2 D2 F2,R
357501001,R F2 L2 F' U' B D2 R D L D' B2 L2 U2 B2 U2 F' B2 L2 B',R
410766001,U2 L U2 R' U2 L2 D2 B2 R2 B D L2 D' B L2 D F' U2,R
442645001,R2 D' B2 D R2 B2 D' U' R2 U2 F U B' F L' B2 L' U R2,R
463000001,L2 U2 R2 U R2 D' L2 D B2 U B2 F D' B L' U' L' R2 F R2,R
495726001,F' L2 R2 F D2 F U2 L U2 L U' R2 U' L U2 R' F' L',R
573409001,R2 B2 F D2 B2 D2 U' F' R' U2 R D U2 F D' F R2,R
590697001,F D B' R L U L2 B U2 R' D R2 U2 L2 U L2 F2 U' F2 B2,R
603423001,D2 B2 F2 L2 U B2 R B' U2 L' D2 R2 B2 L R' F R,R
613267001,D2 F' R2 U2 B2 D2 F R2 B2 U' F' L U' F' R D' F' D' R2,R
661436024,L2 D2 B L2 B' D2 F' D2 F L2 R D F' D' B R' B R F R' B',R
662538001,D R2 U2 L2 F2 D L2 U L D2 F D F U R' U2 L2 D R' B' L2,R
778991001,R2 B2 D' B' D' F2 L' B D' L2 F2 D' L2 U D F2 B2,R
781801001,R2 F' B2 D' R' B' D2 R' L D R U2 F2 L' F2 U2 D2 L D2,R
925697001,L2 F' D2 B2 L2 D2 B' U2 R2 U2 L B U R D2 U R' D L,R
967588001,D' U2 B2 R2 B2 F2 U F2 U' F U' R U B2 D' L2 R2 B F2 L B' L',R
1006216001,D2 U2 L2 R F2 D2 F2 U2 F U B' L U' R U2 L B2 U2,R
1095253001,L D2 R L2 F R U' B' U' D' B2 U2 B D2 L2 F L2 D2,R
1101162001,D2 B2 U2 L R' U2 L2 D2 U' B D' F2 L B L F D' R D2,R
1140782001,D2 U2 L2 B' L2 F2 R2 D2 R F' R' B' R' D' U' R2 F' U2,R
1169459025,R' U2 R2 D2 L2 F2 L2 B2 U2 F L' F' R D2 U' F2 D' L B L B,R
1194381001,U L2 U L2 U' F2 L2 F2 U B2 F' D' R B2 U' L B' R2 B',R
1286257001,D L2 D' L2 U R2 B2 R' B R B L R2 F2 D L2 D L',R
1307091001,U2 L2 D' L2 U' L2 B2 U L B' L2 D U L2 B' F L2 D L',R
1307437001,B2 D R2 B2 D' R2 U' F L' R2 F R2 B U F' L2 B2 R U',R
1474339001,F2 D' U' R2 D U2 F' D' B2 F' R F' D' L R F D U' B R',R
1543130001,U' B U L D' R' L' B' D' B2 L2 U2 F2 R F2 L' U2 B2 L' D2,R
1661955001,F' L' D2 F2 R F2 U2 F2 D F2 R' B2 L U' L F',R
1941252001,B2 U' F2 U' R2 D F2 B' R F D B2 L2 B' D2 F D',R
2001658001,L B' D L2 U' F2 R2 D B2 F R2 B' D' L2 D' L R2 B2,R
2051938001,B U2 L2 F U2 F R2 B2 R2 F' U L R2 F' L F L2 B,R
2240292001,F2 L' B2 R' F2 D2 F2 U2 B' L2 F L R2 F' D F2 L' D L2,R
2280247001,U' F U2 R' B2 R' D2 R B2 D2 U' B2 F' R' F2 U2 B D' F',R
2305483001,F' U F' U2 B' L2 F D2 U2 L2 U B' L' U2 B2 D2 L2 F2,R
2312001001,L F' D' L' F U' F2 L F' R B2 U2 R2 U' R2 U' B2 U2,R
2320100001,R2 F2 L D2 L2 U' F2 D2 R2 B2 L2 F' U' R2 D' B' F R2 B,R
2345425001,U2 F R2 B' L2 F' D2 L2 R2 F2 R2 D' F2 R' D' B2 R2 F U B',R
2372946041,R2 F' L' F' D' L2 U' F2 R' B2 U F2 D' B2 R2 F2 D' F2 B L B',R
2629198001,L2 D' L B F U2 F' D2 B L2 R' B R' F2 D2 U2 L F' L' F',R
2666479001,F' R' D L D2 B2 L F2 R' F2 L B2 U B U' R D2 U' R',R
2719519001,U2 F2 L' U2 R U2 L' U2 R2 U B U F2 L' R' D' F' D2 B R,R
2748347001,B2 L2 U2 F B L D' L2 D2 R2 L2 B R2 F' D2 B' L B',R
2818757052,R B U R' L' U F' U2 R U2 B2 R L B2 R' B2 U2 L' U' L' F',R
3128748001,F U2 B D' R' U2 F2 D2 F R F2 U2 B2 D2 L2 B2 L' D2,R
3157216001,D2 B' D B U2 L2 F D2 L2 F2 R2 D R' U2 L2 D F2 L,R
3183922001,R D2 B2 R2 F2 R' F2 R2 U2 R' F2 R D U2 F' U R,R
3240211001,B R2 D2 L2 D2 B' L' B D' L2 B' L2 D2 B D2 B R' D,R
3295598001,D' R D L2 D2 L2 F2 L2 B2 R2 D B F2 L2 F D2 R' U,R
3323543001,D B2 L' B' U' L' D' F U2 L2 D2 R2 U2 B R2 L' D2 L2 D,R
3512843001,L2 D' L2 U F2 R' D' R' B2 U' F D2 R2 U2 D2 F2 D2,R
3548496001,L' F' L U2 F2 L D2 U2 R2 B2 U2 R' D' F R' D F' D2 B' U' B R',R
3600278001,D' F R2 B U' F B2 U R' B2 R F2 U2 F2 B2 R U2 R',R
3722131001,L' R D2 F2 L D2 L' B' F' U F L R' F' R2 B' F U,R
3732421001,D F' R' U B R2 D R2 U2 F2 U' F2 R' U2 B2 R2 D2 L2,R
3732954001,R D' B R2 U' R F R D2 F2 L' D2 F2 R' L B2 D' F' U,R
3756624001,F2 L2 U2 F2 L' D2 R B2 R' U2 B' U R U F2 U2 L' F' L,R
3868980001,L2 U2 B2 R D2 U2 R2 U F2 U' F' R2 D R F R' D',R
3939204001,L F2 R U2 R' F2 L F2 U' F' R' D R2 U R' F' L R',R
4014483001,L2 B R2 D2 F2 D2 R2 B R' B F L' B' R' D F R2 B2 L2,R
4093458001,D L R2 D' L2 U L2 R2 D' L2 F' U B2 U2 B' U' R F' U',R
4234778001,F' D' B D R2 F' B' R2 D2 B2 U2 R' D2 B2 L' B L2,R
4308288001,U B2 D' L B2 L F2 D2 B2 R' U2 B U' L2 B2 D' U' F D' L' F',R
4332530001,D L F' L2 B2 R2 B' D2 R2 F2 L2 F' L D2 B2 R D' U' R' B' L2 U2,R
4346204001,L U2 B2 R' B2 D2 R' D2 R2 F2 B L2 U2 B R' U' F2 D' U',R
4454898018,D L2 B' U' R2 U' B2 R2 U' F2 L' D2 F R2 D' B R' B2 D' B R,R
4460695001,B2 D L2 U' R2 F U L U2 F' R' U2 R2 F2 U D L2 D',R
4463467001,U' B2 D L F' D' L U' R F B R2 F R2 D2 R' F2,R
4487347001,U2 B' U2 R B2 U' F R U' R2 L2 F' R2 F U2 L B2,R
4503402001,L' R2 U2 R2 B' U2 F' L2 U2 B2 U2 D B' U2 F' D' L F L2,R
4673177001,L U' D2 R2 F2 D2 F' D2 R2 D2 L D2 U R2 B R' U2 B,R
4807583001,U' D2 L' D2 F2 L2 B U2 F' D B' D2 L2 U' R B,R
4884331034,U F R F R2 D2 R2 B' U2 B' F2 U2 B' L' F2 D F2 L2 F' U' L2 U,R
