# Scramble samples — pseudo / pseudo_cross / BGWY / bin 7
# Population in this bin: 11
# Samples listed: 11 (all entries in this bin)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-15
# Columns: id,scramble,bottom_color,competition,round

156731001,U' R B2 U2 R U R' F L' U' B' L' B2 D2 R F2 D2 R2 L,B,Cannes Open 2015 (2015-06-27~28),333 R1 A #2
459623001,R2 B2 D2 B' U2 R U' L B D' R' F2 D2 B2 L' D2 R2 L D2 R2 F2,B,Caltech Winter 2017 (2017-02-25),333 R1 C #4
496168001,L F2 L R2 B2 L2 U2 R' U R' B' D F L' U F' D' F' R',B,Bukidnon Speedcubing Challenge 2017 (2017-04-22),333 Final A #4
660655003,B' D2 F2 R2 F R2 B R2 U2 R2 B L' F' L2 R' B' R' U' R D' L2 U,B,Montgròs Open 2015 (2015-02-28~03-01),333mbf Final A #1
829975001,B2 D' U' L2 D F2 U B L' F U' R B' R2 F L D F' U2 L B,B,The Choice Cube Open 2018 (2018-07-14),333bf Final A #3
1128175001,L2 B U2 B D2 U2 L2 F2 U2 L' F' R B L2 U' L R' B2 F U,B,Fraser Valley Spring Open 2019 (2019-05-04),333oh Final F E1
2872630001,L2 F' U2 R2 D2 U2 B2 D2 F U L' B' D L' F L' D L D' R B' L2,B,Pre-Nacionales UP 2023 (2023-07-08),333bf Final A #3
4020055040,D2 R2 U R2 D' F2 L D2 B' R' D B R' B F L' R' B2 D,B,Morro Reuter Cubing 2024 (2024-08-17~18),333mbf Final B #1
4252292001,B' D' R F L' D F U D L2 U' D2 B2 D' R2 D2 R2 F' U' R',B,Unley Spring 2024 (2024-11-02),333 R2 C #5
4333775001,B' L2 B2 L2 D2 R U2 R' D2 U2 R D L F2 U' B D2 L D' R' B',B,Singapore Freeze 2024 (2024-12-07),333bf R1 B E2
5433363068,B2 R2 U R2 F2 D2 U' F2 D B' U B' R' B' D U' B2 L D' F L' F2,B,BrizZon Side Open II 2026 (2026-03-07~08),333mbf Final A #2
