# Scramble samples — pseudo / pseudo_xxxcross / BGOR / bin 6
# Population in this bin: 288
# Samples listed: 200 (uniform reservoir sample; cap = 200)
# Source: wca_scrambles_no_wide_move.txt
# Generated: 2026-07-06
# Columns: id,scramble,bottom_color,competition,round

6373001,U D2 F U' L' F2 D R2 L D' L2 D' F2 R2 F2 U F2 R2 D,B,Rumia Open 2014 (2014-03-29~30),333 R1 A E2
13215001,B2 L2 D' B2 D F2 D R2 F2 R U L2 U R U,B,Velbert Easter Open 2014 (2014-04-18~20),333 R2 B #5
22680001,B L' U B2 R U' L D2 L' B' R B2 U2 B2 D2 R' D2 B2 R',R,Berlin Open 2014 (2014-05-24~25),333 R2 A #3
34831001,R2 U2 R2 D' R2 U R D R' F R B L2 B L' B' L2 U,G,Chojnice Open 2014 (2014-07-05~06),333 R1 B #3
5439193001,U2 F L U' R D' L D' L2 F2 R' L' B2 D2 F2 D2 B' L,G,PUCP Cubing Festival IX 2026 (2026-03-07~08),333 R1 J #3
5598488001,D2 L2 D2 B2 L U D' B R' D' R F' L2 F2 D2 R2 L2 F,R,All Rounders Katowice I 2026 (2026-05-01~03),333 R1 C #2
4346707001,R' B2 R B' U L F2 U' L2 U2 B R2 B D2 B U2 B' D,R,Odd Sides in Sydney 2024 (2024-12-07~08),333oh Final A E1
103545001,U' R F' R' D2 F' B D' B D F' U2 R2 U2 F U2 R2 B2,O,Pré-Mundial 2015 (2015-01-23~25),333 R3 A #4
4361280032,R2 U2 F2 R2 U' L2 R B2 D2 F2 U R U F2 D' F2 U2 L2 U',G,Goiânia Xiu 2024 (2024-12-14~15),333mbf Final A #2
3829855001,F2 U B' U' B' R' F2 D F' R2 F2 L2 U2 F2 R2 F2 U,G,Bellinzona Open 2024 (2024-06-01~02),333 R2 B E2
5216793032,F' D R' U R2 F2 U F2 U L F' D U R2 B R2 D R2 B' L',O,Park Slope PBQ 2025 (2025-11-22~23),333mbf Final A #1
186973001,U' R2 D' F2 D F2 U' L2 R2 F D' L' D U B2 U R2 U' R,B,Suceava Rubik Open 2015 (2015-09-12),333oh Final B #4
188075001,U' L2 U F2 L2 R2 U2 F' U' B2 D' L2 D R2 B' U,G,LMDL Open 2015 (2015-09-12),333 R1 B #3
189945001,D B2 L B' L' B' D L D B2 L' F2 U R2 U B2 U2 D',G,Brisbane Spring 2015 (2015-09-19),333 R1 F E1
194200001,L2 F B' R' F R L' D F' D' R2 F2 B' U2 R2 L2 F2 B,R,Xela Open 2015 (2015-09-25~27),333 Final A #4
4361283001,R2 U2 L' U D2 B2 R F R L2 U L2 D R2 F2 L2 B2 D F2,R,Bristol Winter Beginners 2024 (2024-12-15),333 R1 A #1
204561001,R U' R' L' U2 F D' R F' B' U2 B' U2 D2 L2 F' L2 B L2,G,DYC Rubik Open 2015 (2015-10-17~18),333oh Final A #2
217500001,R2 D2 B2 D2 U R2 B2 U2 L' D2 R F' L U' L F' U' L' F',O,Valencia Open 2015 (2015-11-14),333 R1 C #1
224894001,B2 F' L2 D2 U2 B D F D' L' B2 L U' R2 D B2 F2,B,Taipei Open 2015 (2015-12-06),333 R2 B #3
4269826001,R F R2 F D' R2 U' L2 D' U2 B2 L R2 B R' D' F' D',O,Back to Berlin 2024 (2024-11-09~10),333oh R1 A #2
237589001,U2 F L U B' U' B R2 F2 U' L D2 R' U2 R' D2 R U2,B,South East Texas Open 2016 (2016-01-02),333 Final A #2
245477001,B2 R D2 L' R' B2 R' U' R F' U2 R D2 R D2 R2 F2 U2 L2 U,B,Shaastra Cube Open 2016 (2016-01-23~24),333bf Final D #1
251557001,B2 U F2 D' U2 R2 D' U' L' D2 U2 F2 U L2 B L2 F' D2,B,Zaragoza Open 2016 (2016-02-06~07),333 R2 C #2
267614001,R B2 L' D2 B2 F2 R2 B2 R' B2 D L' D' R2 F U' F' R' D2,O,Nepal Speedcubing 2016 (2016-03-19),333 R1 A #2
279495001,F' D R B' R' F R' B' U' L B2 L U2 R U2 L2 U2 R' F2,R,Virginia Open Spring 2016 (2016-04-02),333 R1 B #2
304301001,U' D R L2 D' R2 B U B' D' B R2 D2 R2 F2 D2 R2 B,O,Big Apple Spring 2016 (2016-05-21),333oh R1 F #1
5632126001,L' F' R2 U2 L2 U2 B F L2 F' R' F R2 D' R B2 L R F2 L',G,Long Island No Sound 2026 (2026-05-16),333mbf Final A #1
342429001,U2 R2 B2 R2 F U2 B2 D L2 B' U2 R' U2 R F' U2 B2 U',B,SSN Cube Open 2016 (2016-08-05~06),333 R1 F #2
3982673001,U2 F U2 L' D L D B2 U' R2 U' B2 D2 L2 F' D' R2,G,Willimiehen Kuutiopäivät 2024 (2024-08-03~04),333oh R1 B E1
4129821001,U B2 L D2 L F2 D2 L B R' B2 L' U' B' U2 R2 U F',B,Wiltshire September 2024 (2024-09-21~22),333 R1 D #3
366181001,B2 D L2 D2 U' B2 R2 U L2 U' L F U2 F U' B D2 R' D,G,Quabbin Open 2016 (2016-09-24),333 R2 B E1
4276692082,L' F D2 B U2 B' D2 L2 F U' L R D' L2 F2 D2 F' D U' L,G,Colombian Nationals Avenida Chile 2024 (2024-11-09~11),333mbf Final B #1
4524717001,R2 U2 F2 D' L' B D B D2 F2 L2 F D2 F R2 B R2 F2,G,Spark Melbourne February 2025 (2025-02-22~23),333 R1 D E1
4924926027,B U2 B' R2 B' U2 B D2 U2 B2 R B2 D' U2 B' L U' L' D2 R2 D,G,Peterborough Qualification Day 2025 (2025-08-10),333mbf Final A #1
429822001,B' D2 F R2 F' U2 R2 F U2 F2 L' D R2 F D U F L' F L,R,Cubers East India Open 2017 (2017-01-07~08),333 R2 B #3
430292001,U2 L2 R2 B' R2 B F U' L U' B L2 B L2 F' R' U B,G,Chișinău Winter 2017 (2017-01-08),333 R2 B #2
433070001,R L' D' L' F' D2 B U2 R B2 U' R2 D R2 D F2 R2 U' F2 L2,O,Olsztyn Open 2017 (2017-01-14),333 R2 D #5
433280001,U2 F' R2 B U2 B' D2 U2 L2 D' U' R' B2 U R B2 L' D2 U',R,Santa Fe Open 2016 (2016-12-10),333 Final A E2
440767001,D2 B2 U2 L2 R2 B' D2 R2 D2 F' R B' R2 F D F' U' F' U2 L',R,Cube Challenge Quark 2017 (2017-02-05),333 R2 B E1
449106001,L' B2 L2 F2 B' D R2 F' D L2 F2 R2 D2 L2 U2 F2 D' B2 D,O,Dallas Winter Variation 2017 (2017-02-18),333 Final A #4
449799001,D' B2 D B2 R2 D2 U L D2 L2 D L U L B2 D2 B2,R,Carte Blanche Kube Open 2017 (2017-02-18~19),333oh R1 D E2
5635651001,R' U' B R' F' R F' B U B2 R2 D L2 U2 B2 U' L' D R',B,Roscommon Cubing 2026 (2026-05-16~17),333oh Final A E2
5728070001,F' D2 U' B2 R2 U2 L2 B L' B' F2 D L U F2 R2 F R',O,Warm Up Carolina Pride 2026 (2026-06-27~28),333 R2 A E1
523476001,U2 R2 D2 F2 U R U F R2 L2 U B2 U L2 D' L2 U' B2 R2,O,Romanian Rubik Open 2017 (2017-05-27~28),333 R1 A #3
4487504001,B2 L2 F R2 L F' L' D2 R2 B' R2 U L2 B2 R2 U B,G,Sandnes Winter 2025 (2025-02-15~16),333oh R1 A #1
573876001,R D2 R' D2 U2 F U R F D' R' B R2 B U' L2,R,Constanța Cube Days 2017 (2017-08-19~20),333oh Final A E1
577465001,D F2 U R2 D' F2 U' B' R2 D2 B U2 L' D' B' U' L' B2,G,Bicho Legal Open 2017 (2017-08-19~20),333 R1 A #2
584101001,B2 F' D2 L2 B2 F' L2 U2 L2 U' F' U B2 R D2 R2 F' U,B,Ukrainian Nationals 2017 (2017-08-25~27),333 R1 B #2
590743001,R2 B2 R2 F' D2 B U2 F' U2 F D2 L F L' R B U' B R2 F2,R,DLS Wrzesień 2017 (2017-09-09),333oh R1 A #5
594019001,B' R' B R2 L' U' F2 R U' F2 D2 B' D2 B2 U2 F R2 F U2,O,Music City Fall 2017 (2017-09-15~16),333oh R1 C #2
605956001,B U D F2 U' R F2 B U' B2 R F2 L2 U2 F2 U' F2 U' R2,R,Panamá Open 2017 (2017-09-30),333oh Final B #4
5516180001,L' U2 L2 U2 F R2 B' U2 B R U2 R' B F2 L' F D,O,Marble City Cubing NY 2026 (2026-04-11),333 Final B #1
660785004,R2 B2 D2 F R2 B' F' L2 D2 R2 U F' R D2 B2 L D2 R' U L2,R,Kaliska Open 2015 (2015-08-08~09),333mbf Final A #3
660908012,U2 R D2 L2 F2 D2 B2 L D2 R B R' B2 L' F U F2 L' F' R B' L',G,Torneo Aventura Cubica 2016 (2016-01-23~24),333mbf Final A #1
661043012,B2 R D2 L D2 L' B2 R' D2 U2 R2 F L2 B R' D F D F R B R',G,Maru Cube Day 2016 (2016-07-09~10),333mbf Final A #1
4496834001,B D' L2 D2 U2 R' D' R' D B D2 L2 U2 L U' R,B,URJC Open 2025 (2025-02-15~16),333 R2 C #1
661328028,U2 R2 D' B2 L2 D' R2 B L' U' R2 U2 B' L2 B R' F' D U2 L' F,B,Cat and Mouse 2017 (2017-04-29),333mbf Final A #1
3893935001,B2 L2 B R2 B' U2 L' D B2 R' D2 F D F R D' F',B,Oslo Open 2024 (2024-06-21~23),333 R2 A E2
681376024,F U2 F2 R2 F2 L2 B' L2 R B L D2 R2 B' D' B2 R B2 U' F' L B,G,Swisscubing Mental Breakdown 2018 (2018-01-06~07),333mbf Final A #3
694544001,B' D2 R2 U2 B2 D2 B' D2 R2 D2 R' U2 B U' B2 U2 B R2 D F2,B,Istres Open 2018 (2018-01-27~28),333 R1 B #4
705795001,L U2 L' D2 R F2 R' U2 L' F2 U R2 U2 B2 R' B2 R2 U2 B' R',G,Colegio Newton Yura 2018 (2018-02-11),333 R2 B E1
5392357001,D2 L B' R2 F' D2 L2 F' R2 B' U2 L2 F2 R F2 U' L' F' R' B F' L,B,Melbourne Summer 2026 (2026-01-24~26),333bf R1 A E1
719829001,U2 B2 U' R2 U' L2 D' R2 U2 F2 U2 F' D R' U' L' D U' B' U2 F2,G,Jakarta Mini Open 2018 (2018-03-03~04),333 R1 C #3
733249020,F2 U' B2 U2 L2 B2 F2 D F2 U2 F' D' F U' R2 F2 U' L F L B2,R,Nacionales Uruguayas UCHI 2018 (2018-03-24~25),333mbf Final B #2
738562003,U2 F2 L2 D2 U2 F2 R D2 F2 R' F' L' F2 D' U F2 R D2 F' D2 B R',R,SRM Cube Open 2018 (2018-03-23~25),333mbf Final A #1
754079001,F' R2 B2 D2 R2 D2 F' U2 F' L F2 D' B F L D2 F R B2 U' L B',G,Stenay Open 2018 (2018-04-14~15),333bf Final B #3
797815001,U2 F D2 B2 R2 D2 F' U2 L2 U L F U2 L' F2 U' L2 D2 U,R,Colegio Arabe Open 2018 (2018-06-02),333ft Final A #3
814533001,L2 D L2 D B2 D2 B2 R2 D' U2 L' B2 F L2 F' D2 U2 R' B2 U,O,SJTU Open 2018 (2018-06-30),333 R1 B #5
817492001,B2 R2 D R2 B2 U' F2 U2 B' D' L' R2 U B2 U' R2 U' F U,B,Crossroads Cubing 2018 (2018-06-30),333 Final A #4
5384056052,B' U2 B D U' L2 D F2 L2 B R' D2 L' D2 R' D L D,O,Bara Multi-Blind i Jönköping 2026 (2026-02-15),333mbf R1 A #1
4532398001,R B2 D' L2 U F2 R2 F2 L2 F2 U' B R2 D2 B D R' U B' U2 L2 U2,G,Side n' Blind Nové Mesto 2025 (2025-03-01~02),333bf Final B #2
841748018,B2 U2 F2 L B2 L' B2 L2 F' D' F L B D' U2 L' F' L B' L2,O,CubingUSA Nationals 2018 (2018-07-27~29),333mbf Final E #1
848934005,F2 R2 F2 D2 L2 F2 R F2 R B D' B' L2 D F2 L2 B U2 B2 L,G,Project Radom 2018 (2018-08-04~05),333mbf Final A #1
3965417030,F2 D' R2 F2 L2 D2 L2 F' D' F2 D' B R' F' U B2 F L' F2,R,NZ North Island Championship 2024 (2024-07-19~21),333mbf Final B #2
866454001,L2 F' L2 U2 R F' L B' R2 U2 R F2 B R2 F' B2 U2,R,Kursk Open 2018 (2018-08-25~26),333oh R1 B E2
870383001,F2 R2 F2 R2 U F2 D U' R' B2 F' L U L' R2 F R2 D' L2,O,Music City Speedsolving 2018 (2018-08-31~09-01),333 R1 E E1
878439001,D2 F R2 F2 L2 F' U2 B F R2 B' L' D2 F' D L' B' R2 B2,B,Hillsboro Open 2018 (2018-09-15),333 Final A #1
910524001,U2 B' R' F2 R' D' L B R L F L2 F2 U B2 D2 L2 F2 R2,O,Ecuador Asciende 2018 (2018-10-20),333 Final B #2
933067001,D2 B2 D2 F D2 L2 B' R2 B' R' B' D2 R' F' D2 F' R' D F',O,SnoCo Fall 2018 (2018-11-17),333ft R1 A E1
4898954001,F' R2 U2 L U2 F2 R' D2 U2 L B2 R' D B2 F2 L B L D,R,Play Extreme Cubing B 2025 (2025-08-03),333 R1 C #1
4944492001,F2 D U' B2 D R2 U' R F' R U2 B2 L2 B' R F D2 R B R2,B,UNICAMP Cube 2025 (2025-08-16),333bf R1 B #1
1026337001,B2 D2 F2 D R2 U L2 U2 L2 F' U F L2 R' D' U' B R2 B2,B,Aventura Cúbica VII 2019 (2019-02-16~17),333 R2 C #2
4805026001,F' D' F L2 D F D' F2 D' F R' U2 B2 R U2 D2 R' L',G,CubingUSA Southeast Championship 2025 (2025-06-13~15),333oh R2 B E2
1035983001,R D' R2 D' L2 B' U2 R' B' R U B2 L U2 F2 R F2 L',O,Cult A Way Cube Open 2019 (2019-03-03),333 Final A #1
1050870001,F2 B U L U2 B2 U2 D2 B D' F R2 U D' R2 F2 U' B2 D,O,Blue Water Winter 2019 (2019-03-09),333 R1 A #5
1065348001,U R2 F' D B R' F B2 D B2 L U' B2 L2 U2 R2 U' D2,R,Speedsolving Huancayo 2019 (2019-03-24),333oh R1 A #3
1068501001,L' F2 L2 R' U2 R' F2 R2 B2 F' D2 R' D2 R' U F R' U' R2,B,İstanbul Spring 2019 (2019-03-24),333oh R1 A #4
1078996001,L2 B2 F2 L' B2 R U2 L F2 U L' D' B' D' R B2 F2 L' B,B,Cubalaya 2019 (2019-04-06),333oh Final A #2
1099382001,F U2 R' B2 U2 L B' R B' R' U L2 U L2 B2 U R2 U L2 U2,B,CCC Open Moscow 2019 (2019-04-13~14),333 R1 F #1
1102733001,U2 B2 U' R2 D' R2 B2 D' R2 F' L' U' L2 R' D' L2 F' L R,R,Arnold Classic South America 2019 (2019-04-13~14),333 R1 A #3
1116420001,F2 B2 R F U R2 D2 F U B2 U R2 F' U2 F R2 L2 B,B,Idaho Megacomp 2019 (2019-04-20),333 R1 C E2
1127142001,B R F L' D L B R' F' L2 U' L2 D F2 D2 B2 U' F2 B2 D,G,Koalafication Adelaide 2019 (2019-05-04),333 R1 B #4
1132844047,R2 D' F2 D' B2 F2 U L2 F' R U F L' U' B R' F' U2 R' D' L' F,R,Please Be Quiet WPI Spring 2019 (2019-05-04~05),333mbf Final A #1
1139008001,L D2 U2 B2 L' B2 L2 D2 L D' U2 B F' U' L' D U2 L2 B',B,Zhytomyr Cube Battle 2019 (2019-05-10~11),333 Final A E2
1140436001,D2 B D2 B R2 D2 L2 F2 L2 B' U' B U B' L U' B' R D R',O,Lincoln City 2019 (2019-05-11),333 R2 C E1
3938276001,U2 B2 D' F2 R2 U R2 U R2 L F U2 L' B' F2 U R' U2 L2,O,200 Perú 2024 (2024-07-13),333 R2 E #3
1184475023,F' L2 B D2 L2 F2 R2 B' D2 L2 F' U' L2 F' L F2 D L2 B' R B' L,G,Keep Portland Quiet 2019 (2019-06-15),333mbf Final A #1
1198672001,R' B2 D' F2 L' D F D' L D L U2 R2 F D2 F2 U2 L2 D2 B2,B,Cajun Cube Clash 2019 (2019-06-29),333 Final A #2
1235790001,B' R2 B R2 B2 R2 F' U2 R' F' R' F L2 F' D L2 B',B,Sherwood Park Summer 2019 (2019-07-27),333 R2 C E2
1265184001,F' R' L U L2 U D' F R F' R' B2 L2 D2 R U2 R' B2 L2 B2,G,Kharkiv Open 2019 (2019-08-17~18),333ft Final B #4
5034902001,B2 F2 L' B2 R' D2 B2 R2 U B' U F2 D2 F R F R2 U' R2,O,Corby Autumn 2025 (2025-09-20~21),333 R1 B #4
